masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Bikkurim,"ביאור הגר""א",1,0,00,@00יש מביאין פרק ראשון @11עיין במשניות ותמצא כן שתסר כאן @33:,יש מביאין פרק ראשון,,
Bikkurim,"ביאור הגר""א",1,1,1a,"@55מתני' @55גמרא. @11הנוטע מתוך שלו. @33אע""ג דנטיעה הזקינה שלו בהיתר אעפ""כ אינו מביא וכן באידך בבא כשהבריך לתוך שלו דהילדה בהיתר אעפ""כ אינו מביא מהילדה והטעם משום דחיין זה מזה:",גמרא,,
Bikkurim,"ביאור הגר""א",1,1,1a,@11ור' יוחנן @33מפרש הטעם דמתני' דאינו מביא משום גזל:,ור' יוחנן מפרש הטעם דמתני' דאינו מביא,,
Bikkurim,"ביאור הגר""א",1,1,1a,@11ר' יוסי אומר @33הטעם דמתני' מפורש שנאמר בכורי אדמתך:,ר' יוסי אומר הטעם דמתני' מפורש שנאמר,,
Bikkurim,"ביאור הגר""א",1,1,1a,"@11תני אם הבריך ברה""י או רבים מביא וקורא @33דלא הוי גזולה ובנתינת רשות פליגי. ר' יונה סבר אפי' נתן רשות לשעה מביא וקורא מפירות שעה זו. ור' יוסי סבר דוקא רשות לעולם וראייתו דר' יונה מכאן @11אילן הסמוך למיצר. @33אע""ג דשרשים יונקים מקרקע חבירו אעפ""כ בעל האילן מביא וקורא ותני שרשות לבעל הקרקע כשחופר בור בקרקעיתו לקוץ עצים של שרשים ושלו הן וע""כ הטעם באילן הסמוך למיצר דמביא וקורא דבשעה שעדיין לא חפר בור הבעל הקרקע הוי כנותן לבעל האילן רשות שיסמוך להמצר שלו וגם מוחל לשעה שיהיו גם העצים של בעל האילן נמצא מוכח דמחילה ורשות לשעה הוי מחילה דהא כשירצה ויחפור בורות יקוץ העצים לעצמו. ור""י מתרץ דבעצים הוי כנתינת רשות לעולם דאע""ג דיקוץ אותו אעפ""כ שרשים דרכן להחליף ולעולם הן:","תני אם הבריך ברה""י או רבים מביא",Jerusalem Talmud Bikkurim 1:1:4,תני אם הבריך ברשות מביא וקורא. רבי יוסי בשם רבי אימי והוא שנתן לו רשות לעולם הא לשעה לא. רבי יונה בשם רבי אימי אפילו לשעה. חייליה דרבי יונה מן הדא היה חופר בור שיח ומערה קוצץ ויורד והעצים שלו. ועצים לא לשעה הן. מה עבד לה רבי יוסי שרשים שדרכן להחליף לעולם מכיון שדרכן להחליף לעולם הן. אמר רבי מנא מילתא דרבי יוחנן מסייע לאבא דאמר רבי יוחנן כולהן משום תורת הגוזלן ירדו להן. וכאן מכיון שנתן לו רשות להבריך אפילו לשעה אין זה גוזלן.
Bikkurim,"ביאור הגר""א",1,1,1a,"@11א""ר מנא. @33דר' מנא הי' בן ר' יונה. ואמר סייעתא לר' יונה דנתינת רשות אפי' לשעה:","א""ר מנא",Jerusalem Talmud Bikkurim 1:1:4,תני אם הבריך ברשות מביא וקורא. רבי יוסי בשם רבי אימי והוא שנתן לו רשות לעולם הא לשעה לא. רבי יונה בשם רבי אימי אפילו לשעה. חייליה דרבי יונה מן הדא היה חופר בור שיח ומערה קוצץ ויורד והעצים שלו. ועצים לא לשעה הן. מה עבד לה רבי יוסי שרשים שדרכן להחליף לעולם מכיון שדרכן להחליף לעולם הן. אמר רבי מנא מילתא דרבי יוחנן מסייע לאבא דאמר רבי יוחנן כולהן משום תורת הגוזלן ירדו להן. וכאן מכיון שנתן לו רשות להבריך אפילו לשעה אין זה גוזלן.
Bikkurim,"ביאור הגר""א",1,1,1a,@11מן ר' יוחנן. @33דמפרש הטעם דמתני' משום גזל אבל כשנותן רשות אפי' לשעה לא הוי גזלן (אבל ר' יוסי דמפרש הטעם דווקא שצריך שתקרא אדמתך אפשר לומר דצריך רשות לעולם ואז נקרא אדמתך):,מן ר' יוחנן,,
Bikkurim,"ביאור הגר""א",1,1,1b,@11ר' זריקא כו'. @33אמר דמתני' כרבי דסבר בערלה שרשין חיין זה מזה. וכן כאן הזקינה משל ילדה והילדה משל זקינה יונקים ולכן אין מביאין משניהם. ודחה דכאן הטעם לאו משום יונקים אלא גזירת מלך שיהוא כל הגידולים מאדמתך בקרקע אחד:,ר' זריקא כו',,
Bikkurim,"ביאור הגר""א",1,1,1b,"@11ע""ד דר""י. @33דר""י פליג אבבא אם דרך היחיד ודרך הרבים באמצע אומר כזה מביא וא""ק. ופריך אמאי פליג רק אבבא זו דהא גם כאן יונק מקרקע אחרים. ומתרץ כגון שאינו יונק שהבריכה בדלעת או בסילון במקום דרך היחיד ודרך הרבים. ופריך א""כ לר' יהודא יביא ויקרא וגם לרבנן יביא ויקרא. ומתרץ ר' יונה תירוץ אחר מספקא ליה לר""י במוכר שביל ויחיד אם רק מקום דריסה מכר או עד התהום דא""א מקום דריסה מכר והוא הבריך תחת הדריסה הדין נותן שיביא ויקרא. ומספק שמא עד התהום מכר ואמו""ק. ופריך במה פליגי במוכר שביל היחיד ושם נוכל לתרץ דמספק פסק ר""י אבל במוכר שביל הרבים אף ר' יהודא מודה דעד התהום מכר להם וא""כ עדיין קשה לר""י מה בין הנוטע כו' וביין אם דרך הרבים מפסיק דפסק ר""י דמביא וא""ק הא אין כאן ספק בודאי עד התהום מכר להם:","ע""ד דר""י",Jerusalem Talmud Bikkurim 1:1:7,על דעתיה דרבי יודה מה בין הנוטע לתוך שלו והבריך לתוך של רבים. מה בין הנוטע לתוך שלו והבריך לתוך שלו ודרך הרבים באמצע. אמר רבי אימי אתיא דרבי יודה כרבי ליעזר דתנינן תמן אין עושים חלל תחת רשות הרבים בורות שיחין ומערות רבי ליעזר מתיר כדי שתהא עגלה מהלכת וטעונה אבנים. כמה דרבי ליעזר אמר תמן תחת רשות הרבים שלו כך רבי יהודה אמר הכא תחת רשות הרבים שלו. רבי שמואל בר רב יצחק בעי אין כרבי ליעזר יביא ויקרא. אמר רבי יוסי מיסבר סבר רבי שמואל בר רב יצחק שרבי ליעזר מתיר לעשות כן והן שלו לעולם. אלא רבי ליעזר מתיר לעשות כן וכל הקודם בהן זכה:
Bikkurim,"ביאור הגר""א",1,1,1b,"@11ומתרץ ר' אמי אתיא דר""י כר' אליעזר. @33דר""א מתיר לעשות חלל תחת ר""ה וכן כאן מתיר ר""י שיהא הבריכה מהלכת באמצע תחת חלל ר""ה:","ומתרץ ר' אמי אתיא דר""י כר' אליעזר",Jerusalem Talmud Bikkurim 1:1:7,על דעתיה דרבי יודה מה בין הנוטע לתוך שלו והבריך לתוך של רבים. מה בין הנוטע לתוך שלו והבריך לתוך שלו ודרך הרבים באמצע. אמר רבי אימי אתיא דרבי יודה כרבי ליעזר דתנינן תמן אין עושים חלל תחת רשות הרבים בורות שיחין ומערות רבי ליעזר מתיר כדי שתהא עגלה מהלכת וטעונה אבנים. כמה דרבי ליעזר אמר תמן תחת רשות הרבים שלו כך רבי יהודה אמר הכא תחת רשות הרבים שלו. רבי שמואל בר רב יצחק בעי אין כרבי ליעזר יביא ויקרא. אמר רבי יוסי מיסבר סבר רבי שמואל בר רב יצחק שרבי ליעזר מתיר לעשות כן והן שלו לעולם. אלא רבי ליעזר מתיר לעשות כן וכל הקודם בהן זכה:
