masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Challah,"ביאור הגר""א",1,0,00,@00חמשה דברים פרק ראשון @11חמשה דברים חייבין בחלה. @33פי' [ה'] מינין ואותן החמשה מינים חלוקין משאר מינים לענין ה' דברים. דהיינו. חלה. חדש. חמץ. מצה. והנודר מן הדגן:,חמשה דברים פרק ראשון,,
Challah,"ביאור הגר""א",1,1,1a,@11ושלשה חילוקים לענין ברכה. דהיינו מזונות. ומעין שלש. והמוציא וג' ברכות אם עשה פת @33:,ושלשה חילוקים לענין ברכה,,
Challah,"ביאור הגר""א",1,1,1a,@11אילו כתיב באכלכם (מיד) לחם הארץ תרימו @33:,אילו כתיב באכלכם מיד לחם הארץ תרימו,,
Challah,"ביאור הגר""א",1,1,1a,@11יכול יהא כל הדברים. @33דכל המינין קרוין לחם. תי' מלחם פי' דמשמע ולא כל לחם:,יכול יהא כל הדברים,Jerusalem Talmud Challah 1:1:2,"חמשה דברים חייבין בחלה כו' כתי' (במדבר טו) והיה באכלכם מלחם הארץ תרימו תרומה לה'. יכול יהו כל הדברים חייבין בחלה ת""ל מלחם ולא כל לחם אם מלחם ולא כל לחם. אין לי אלא חטין ושעורין בלבד. כוסמין שבולת שועל ושיפון מניין ת""ל (שם) ראשית עריסותיכם תריבה וריבה הכל: רבי יוסי בשם ר""ש תני ר' ישמעאל בן"
Challah,"ביאור הגר""א",1,1,1a,"@11אם מלחם ולא כל לחם אין לי אלא חיטין ושעורין כו' ת""ל ראשית עריסותיכם ריבה. וריבה הכל ת""ל מלחם. @33פי' משניהם מראשית עריסותיכם ומבאכלכם ידעינן שפיר שאינן חייבין בחלה אלא ה' מינים הללו בלבד שהם נקראים יותר לחם משאר מינים:",אם מלחם ולא כל לחם אין לי,Jerusalem Talmud Challah 1:1:2,"חמשה דברים חייבין בחלה כו' כתי' (במדבר טו) והיה באכלכם מלחם הארץ תרימו תרומה לה'. יכול יהו כל הדברים חייבין בחלה ת""ל מלחם ולא כל לחם אם מלחם ולא כל לחם. אין לי אלא חטין ושעורין בלבד. כוסמין שבולת שועל ושיפון מניין ת""ל (שם) ראשית עריסותיכם תריבה וריבה הכל: רבי יוסי בשם ר""ש תני ר' ישמעאל בן"
Challah,"ביאור הגר""א",1,1,1a,"@11ר' יוסי בשם ר""ש תני ר' ישמעאל כן. @33פי' כדלעיל מבאכלכם מלחם ומראשית עריסותיכם לחוד ידעינן חמשת המינין שחייבים בחלה ותו לא:","ר' יוסי בשם ר""ש תני ר' ישמעאל",Jerusalem Talmud Challah 1:1:2,"חמשה דברים חייבין בחלה כו' כתי' (במדבר טו) והיה באכלכם מלחם הארץ תרימו תרומה לה'. יכול יהו כל הדברים חייבין בחלה ת""ל מלחם ולא כל לחם אם מלחם ולא כל לחם. אין לי אלא חטין ושעורין בלבד. כוסמין שבולת שועל ושיפון מניין ת""ל (שם) ראשית עריסותיכם תריבה וריבה הכל: רבי יוסי בשם ר""ש תני ר' ישמעאל בן"
Challah,"ביאור הגר""א",1,1,1a,"@11ר' יונה בשם רשב""ל בשם ר""ש כצ""ל. @33ותי' ר' זעירא ט""ס. וכן תי' ר""ז ג""כ מיותר. דמוכח לקמן דר' זעירא סבר להיפך פי' דהם סוברין דהא דה' מינים חייבים בחלה ותו לא היינו כדמפרש לקמן דילפינן לחם לחם מפסח דאינו קרוי לחם לענין חלה אלא דבר שבא לידי מצה וחמץ כו':","ר' יונה בשם רשב""ל בשם ר""ש כצ""ל",Jerusalem Talmud Challah 1:1:14,"תמן תנינן איזו מין במינו החיטים אין מצטרפין עם הכל אלא עם הכוסמין. השעורין מצטרפין עם הכל חוץ מן החיטים. ר' יוסי אמר ליה סתם. ר' יונה בשם ר' יוחנן תמן בנשוך וכאן בבלול. תני ר' חייא כן וכולן שבללן תבואה קמחים ובציקות מצטרפות. עירס ראשי עיסיות. א""ר יוסי וההן נשוך לאו כמעורס הוא. את אמר אינו מצטרף והכא אינו מצטרף."
Challah,"ביאור הגר""א",1,1,1b,"@11ה""ג תני א""ר יוחנן בן נורי קרמית חייבת בחלה. וכן היה ר' יוחנן בן נורי אומר אורז מין דגן הוא וחייבין על חמוצו כרת שכן באה היא לידי חימוץ ומצה כו'. על עיקר בדיקתה הן חלוקין. @33פי' אם נקרא זה חמץ או לא:","ה""ג תני א""ר יוחנן בן נורי קרמית",Jerusalem Talmud Challah 1:1:4,"תני א""ר יוחנן בן נורי קרמית חייבת בחלה. ריב""נ אמר באה היא לידי מצה וחמץ. ורבנין אמרי אינה באה לידי מצה וחמץ. ויבדקוה. על עיקר בדיקתה הן חלוקין. ריב""נ אמר בדקוה ומצאוה שהיא באה לידי מצה וחמץ. ורבנין אמרי בדקוה ולא מצאו אותו שהיא באה לידי מצה וחמץ."
Challah,"ביאור הגר""א",1,1,1b,"@11ומייתי מתפוח שרסקו @33דכמו דבתפוח שרסקו פליגי ר""י ורבנן אי מיקרי זה חימוץ ברור אי לא. וה""ה הכא נמי פליגי גבי אורז אי מיקרי זה חמץ או לא:",ומייתי מתפוח שרסקו דכמו דבתפוח שרסקו פליגי,,
Challah,"ביאור הגר""א",1,1,1b,@11תפוח שריסקו. @33פי' של תרומה:,תפוח שריסקו,Jerusalem Talmud Challah 1:1:5,תמן תנינן תפוח שריסקו ונתנו לתוך העיסה וחימיצה הרי זו אסורה. תני רבי יוסי אומר מותר. רבי אחא רבי אבהו בשם רבי יוסי בן חנינא מה פליגין במחמץ במימיו אבל במחמץ בגופו דברי הכל מותר. ר' יוסי כדעתי' דו אמר תמן אין תבשילו תבשיל ברור. וכן הוא אומר הכא אין חימוצו חימוץ ברור.
Challah,"ביאור הגר""א",1,1,1b,@11הרי זו אסורה. @33פי' לזרים:,הרי זו אסורה,Jerusalem Talmud Challah 1:1:5,תמן תנינן תפוח שריסקו ונתנו לתוך העיסה וחימיצה הרי זו אסורה. תני רבי יוסי אומר מותר. רבי אחא רבי אבהו בשם רבי יוסי בן חנינא מה פליגין במחמץ במימיו אבל במחמץ בגופו דברי הכל מותר. ר' יוסי כדעתי' דו אמר תמן אין תבשילו תבשיל ברור. וכן הוא אומר הכא אין חימוצו חימוץ ברור.
Challah,"ביאור הגר""א",1,1,1b,"@11תני ר' יוסי אומר מותר לזרים. @33ומפרש במה פליגין במחמץ במימיו. פי' דלא הוי לפגם. אבל במחמץ בגופו ד""ה מותר. דאף שהוא נותן טעם מ""מ הוא נותן טעם לפגם ולכו""ע מותר:",תני ר' יוסי אומר מותר לזרים,Jerusalem Talmud Challah 1:1:5,תמן תנינן תפוח שריסקו ונתנו לתוך העיסה וחימיצה הרי זו אסורה. תני רבי יוסי אומר מותר. רבי אחא רבי אבהו בשם רבי יוסי בן חנינא מה פליגין במחמץ במימיו אבל במחמץ בגופו דברי הכל מותר. ר' יוסי כדעתי' דו אמר תמן אין תבשילו תבשיל ברור. וכן הוא אומר הכא אין חימוצו חימוץ ברור.
Challah,"ביאור הגר""א",1,1,1b,@11ומפרש ר' יוסי כדעתי' כמה דר' יוסי אמר אין תבשילו תבשיל ברור. @33פי' גבי שבת דקתני התם אין נותנין ביצה בצד המיחם בשביל שתתגלגל פי' שתצלה דאסור משום בישול. וקאמר התם ר' יוסי מתיר. פי' משום שאין זה נקרא תבשיל גמור הואיל ואין מבשל אצל האור ממש:,ומפרש ר' יוסי כדעתי' כמה דר' יוסי,Jerusalem Talmud Challah 1:1:5,תמן תנינן תפוח שריסקו ונתנו לתוך העיסה וחימיצה הרי זו אסורה. תני רבי יוסי אומר מותר. רבי אחא רבי אבהו בשם רבי יוסי בן חנינא מה פליגין במחמץ במימיו אבל במחמץ בגופו דברי הכל מותר. ר' יוסי כדעתי' דו אמר תמן אין תבשילו תבשיל ברור. וכן הוא אומר הכא אין חימוצו חימוץ ברור.
Challah,"ביאור הגר""א",1,1,1b,@11כן הוא אומר הכא. @33פי' גבי תפוח שאין זה נקרא חמץ גמור ולכך מותר דבטיל כשאר תרומה שנפל לתוך החולין. וכמו דהכא פליג ר' יוסי כן פליגי רבנן לעיל גבי אורז וסברי שאין זה נקרא בא לידי מצה וחמץ:,כן הוא אומר הכא,Jerusalem Talmud Challah 1:1:5,תמן תנינן תפוח שריסקו ונתנו לתוך העיסה וחימיצה הרי זו אסורה. תני רבי יוסי אומר מותר. רבי אחא רבי אבהו בשם רבי יוסי בן חנינא מה פליגין במחמץ במימיו אבל במחמץ בגופו דברי הכל מותר. ר' יוסי כדעתי' דו אמר תמן אין תבשילו תבשיל ברור. וכן הוא אומר הכא אין חימוצו חימוץ ברור.
Challah,"ביאור הגר""א",1,1,1b,"@11ודכוותי' אין לך מגרר עם כולן אלא חיטין ושעורין בלבד. @33פי' דהיינו אם עשה עיסה מאיזה מין שיהי' אם חיטים או שעורין גורר החיטין או השעורין את אותן המינין שיהא גם אותו המין חייב בחלה משא""כ בשאר ה' המינים שאינן גוררין את שאר המינין הנבללין עמה:",ודכוותי' אין לך מגרר עם כולן אלא,Jerusalem Talmud Challah 1:1:6,"וכמה דאת אמר אין לך בא לידי מצה וחמץ אלא חמשת המינין בלבד ודכוות' אין לך מגרר עם כולן אלא חיטים ושעורים בלבד. רבי הילא בשם ר""ש בן לקיש לא שנינו אלא העושה עיסה מן החיטים ומן האורז ואינו נגרר אלא עם החיטין בלבד:"
Challah,"ביאור הגר""א",1,1,1b,"@11ר' הילא כו' לא שנינו. @33פי' שיגרור @11אלא העושה עיסה מן החיטין ומן האורז. @33פי' שאינו גורר אלא חיטין ואינו גורר אלא את האורז. וכצ""ל שאינו גורר אלא את האורז ואינו נגרר אלא עם החיטין כו':",ר' הילא כו' לא שנינו,Jerusalem Talmud Challah 1:1:6,"וכמה דאת אמר אין לך בא לידי מצה וחמץ אלא חמשת המינין בלבד ודכוות' אין לך מגרר עם כולן אלא חיטים ושעורים בלבד. רבי הילא בשם ר""ש בן לקיש לא שנינו אלא העושה עיסה מן החיטים ומן האורז ואינו נגרר אלא עם החיטין בלבד:"
Challah,"ביאור הגר""א",1,1,1b,"@11מהו שיהא חייבים על קלי שלו משום חדש. @33פי' של אורז לרבנן דלחם שלו ודאי אין חייבים עליו דהא אינו בא לידי מצה וחמץ. אלא הא מיבעיא לי' אם חייב על קלי שלו ופשיט שאינו חייב. דאת שאינו חייב על לחם שלו משום חדש אינו חייב ג""כ על קלי שלו משום חדש:",מהו שיהא חייבים על קלי שלו משום,Jerusalem Talmud Challah 1:1:7,"מהו שיהו חייבים על קלי שלו משום חדש. א""ר זעירא כתיב (ויקרא כג) ולחם וקלי וכרמל לא תאכלו את שחייבים על לחם שלו משום חדש חייבין על קלי שלו משום חדש. את שאין חייבים על לחם שלו משום חדש אין חייבים על קלי שלו משום חדש:"
Challah,"ביאור הגר""א",1,1,1b,"@11ה""ג עירב ארבעה קבין חיטים בפני עצמן וחימצן. וארבעה קבין אורז בפני עצמן ועירבן מהו. @33פי' דמיבעי להו אם עירב אורז בחיטין אחר שנתחמצו. דשוב אין האורז בא לידי חימוץ. מהו אם החיטין גורר את האורז להיות חייב בחלה או אינו גורר אלא א""כ עירב קודם שנתחמצו החיטין דגם האורז בא לידי חימוץ אבל לא כשנתערב אחר שנתחמץ:","ה""ג עירב ארבעה קבין חיטים בפני עצמן",Jerusalem Talmud Challah 1:1:8,"רבי ירמיה בעי קומי רבי זעירא עירב ארבעת קבין בפני עצמן וחימצן וד' קבין בפני עצמן ועירבן הרי בשעת חיובן לבא לידי מצה וחמץ. אתייא דרבי יונה כרבי ירמיה ודרבי יוסי כרבי זעירא. אתיא דרבי יונה כרבי ירמיה. כמה דרבי ירמיה אמר עד שיהא קרוי לחם. כך ר' יונה אמר עד שיהא קרוי לחם. דרבי יוסי כר""ז כמה דר""ז אמר מינו קרוי לחם כן רבי יוסי אמר מינו קרוי לחם. אתיא דרבי יוסי כרבי הילא אע""ג דו פליג עלוי."
