masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text,problem,prev found match,next found match,index
Nedarim,גליון אפרים,1,0,2a,"@11עשאו @33כנבלה. כתב הרמב""ם פ""ה מה' שבועות אם נשבע שלא יאכל נבלה וטרפה בין אכל בין לא אכל אין כאן חיוב שבועה כלל. וכ' הכ""מ זה פשוט מאחר שהוא מושבע מהר סיני אין שבועה חלה עליה ע""כ. ומשנה שאינה צריכה היא שהרי כבר כתב שם הלכה ע""ז נשבע לקיים את המצוה ולא קיים פטור. ונראה שכיון למה שאמרו בסוגיין דאם נשבע על מה שנשבע כבר דמיא לנבלה:",עשאו כנבלה,,,no ref,Jerusalem Talmud Nedarim 1:1:7,Jerusalem Talmud Nedarim 1:1:8,10
Nedarim,גליון אפרים,1,0,4b,"@11חליל @33וכו' בין שלא אוכל לך מותר. וקשה למה לא אמרי' דכוונתו לחליל שבמקדש והא תנן דאם נדר באחד מכל משמשי המזבח כנדר בקרבן והוא ודוחק לומר דחליל לאו ממשמשי מזבח דהא מיהת דבר הנדור הוא דכלי שרת הוא וי""ל אלו כיון למשמשי המזבח ה""נ דאסור אלא דאיירי במי שנראה כוונתו שרוצה לומר חולין לפיכך מותר שאינו כינוי לחולין ובעינן שיהא פיו ולבו שוין:",חליל וכו' בין שלא אוכל לך מותר,,,no ref,Jerusalem Talmud Nedarim 1:4:2,,35
Nedarim,גליון אפרים,1,0,4b,"@11דברי @33ר""מ מכלל לאו וכו'. בקונט' הגהתי דברי חכמים מכלל וכו' דר""מ ודאי לית לי' מכלל לאו אתה שומע הן כדתנן פ""ג דקידושין ועוד לפי מאי דמסיק נראה דמאן דסובר מכלל לאו סובר דמותר. ומתני' דפ""ב דתנן לא קרבן לא אוכל לך מותר אתיא כר""מ דלית ליה מכלל לאו וכו'. ותוס' כתבו דף י""ג בד""ה קתני וכו' דאה""נ דלרבנן אסור ולרבותא נקט ר""מ אוסר אע""ג דלית ליה מכלל לאו וכו' ע""ש וקשה הא בסוגיין מפורש דפליגי רבנן עליה דר""מ. גם מה שתמה התוי""ט אדברי הר""ב שכתב ואין הלכה כר""מ ע""ש. ולפמ""ש לק""מ שהרי הר""ב גורס במתני' לקרבן לא אוכל לך והא פליגי. רבנן עלי' כמפורש כאן וצ""ע:","דברי ר""מ מכלל לאו וכו'",,,no ref,,Jerusalem Talmud Nedarim 1:4:5,36
Nedarim,גליון אפרים,1,0,9a,"@11ולמה @33תנינן מרובע. ק""ק דלמא איכא נמי באיטלקי גריס עגול לפיכך איצטרך למיתני מרובע:",ולמה תנינן מרובע,,,no ref,Jerusalem Talmud Nedarim 3:2:3,Jerusalem Talmud Nedarim 3:2:5,67
Nedarim,גליון אפרים,1,0,12a,"@11ביצחק @33ולא כל יצחק. כתב בש""ע בא""ח סי' תקצ""א ועקיד' יצחק לזרעו היום תזכיר והמדקדק לו' לזרע יעקב טועה. וכ' המג""א שהרי שנינו האומר קונם מזרע אברהם מותר באומות שנאמר כי ביצחק יקרא לו זרע עכ""ל ריב""ש וכ""כ המפרש בנדרים ר""ל דאמרי' ביצחק ולא כל יצחק. וצ""ע דהא מילתא אמר הקב""ה לאברהם שעשו לא יקרא על שמו אבל נקרא על שם יצחק והנודר מזרע יצחק אסור בעשו וי""ל מדקאמר רחמנא ליצחק לו ולזרעך אתן את כל הארצות האל ולעשו לא נתן ש""מ אין עשו בכלל וכ""כ בירושלמי בנדרי'. וקשה דהא נתן לעשו קיני וקניזי וקדמוני כמ""ש רש""י בפ' דברים וי""ל דאין זה ירושה ממש כמו בבני לוט ע""כ. הנה מ""ע על דברי הריב""ש שכ""כ המפרש בנדרים. קשה הרי דברי הריב""ש מפורשים בש""ס בבלי וירושלמי דעשו אינו בכלל זרע אברהם דכחיב ביצחק ולא כל יצחק וי""ל שכוונתו שגם המפרש סובר דמביצחק ממעטי' שאין עשו נקרא זרע יצחק שכתב ולא כל יצחק ועשו אינו נקרא זרע יצחק להכי מותר באומות. וע""ז מקשה מנ""ל למעוטי דאינו נקרא זרע יצחק דלמא למעוטי זרע אברהם לחוד קאתי. אך למאי דמסיק כאן בי""ח יצחק מי שהוא עתיד לנחול ב'. עולמו' הוא זרעו של יצחק ממילא שמעי' דאף זרעו של יצחק לא מיקרי גם הרמב""ם פ""ט מה""נ יישב קושיא זו שכתב ביצחק ולא כל יצחק והרי יצחק אמר ליעקב ויתן לו את ברכת אברהם ש""מ שהוא לבדו זרעו וזרע אברהם ותירוצו של המג""א תמוה דלדבריו למה ליה לש""ס לדחוק להביא ראיה מקרא ביצחק תיפוק ליה מדכתיב הארץ אשר אתה שוכב עליה לך אתננה ולזרעך דכה""ג דייקינן דאינן נקראים זרע יצחק. גם מ""ש וכ""כ בירושלמי ליתא שאינו בגירס' הירושלמי שלפנינו. גם מ""ש וקשה דהא נתן לעשו קני וכו' וכמ""ש רש""י. ליתא דמפור' ברש""י דלא ניתן לו רק אחת מהן שהוא הר שעיר. וביותר תמוה תקשי לי' מקרא את הארץ אשר נתתי לאברהם וליצחק לו אתננה ולזרעו. אלא ודאי דעל העתיד קאמר כדכתיב כי ירחיב ה' את גבולך וגו' א""כ גם אהריב""ש לא קשיא מידי וצ""ע:",ביצחק ולא כל יצחק,,,no ref,Jerusalem Talmud Nedarim 3:7:2,,82
Nedarim,גליון אפרים,1,0,12b,"@11כתיב @33ביום ההוא וגו' עד ואת בריתי וגו' י""ג בריתות. וקשה הא איכא י""ד וי""ל את בריתי הפר לא קחשיב דלאו בכלל כריתת ברי' הוא. וראיתי להרמב""ם בפי' המשנה שכתב י""ג בריתות הן מואתנה את בריתי עד זאת בריתי וגו' ומקשה בתי""ט שאין כולם מורי' על כריתת ברית כמו והיה לאות ברית את בריתי הפר ע""ש שהאריך. הנה והיה לאות ברית נראה דלק""מ דגם זה על כריתת ברית קאי אבל את כריתי הפר ודאי קושיא היא וכבר תירצנו קושייתו. ואני תמה מהרמב""ם דקחשיב מנינא אחרינא דלא כירושלמי. ומהרב בתי""ט שנעלם ממנו דברי הירושלמי וצ""ע:",כתיב ביום ההוא וגו' עד ואת בריתי,,,no ref,,,83
Nedarim,גליון אפרים,1,0,13a,"@11ע""ד @33דרבי יונה וכו' אע""פ שאינה כתובה בצידה וכו'. פי' השני שבקונט' הוא מפי' הר""ש פ""ב דחלה. וכ""נ עיקר דלפי' הראשון קשיא למה לא פריך הש""ס הך קושיא לעיל בפרקין אהא דאמר מחלליה מות יומת ושני כבשים בני שנה בדבור אחד נאמרו וי""ל כיון דאיכא תנא דפליג ויליף דתמיד דוחה שבת מבמועדו הלכו לא פריו מיניה:","ע""ד דרבי יונה וכו' אע""פ שאינה כתובה",,,no ref,,,84
Nedarim,גליון אפרים,1,0,13a,"@11ניחא @33וקשה מאי ניחותא הא לרבי יונה קשי' טפי בשר למה לי וי""ל דסד""א לעשות אתי לעשה ואין עשה דוחה ל""ת ועשה דהשמר ל""ת הוא לכך כתיב בשר לאשמועינן דלעשות לאו לעשה אתי אלא איצטרך לעשות אי אתה עושה אבל אתה עושה בסיב שע""ג רגליו ועיין בבבלי פר""א דמילה דף קל""ב ע""ב בגמ' ובתו' שם:",ניחא וקשה מאי ניחותא הא לרבי יונה,,,no ref,,,85
Nedarim,גליון אפרים,1,0,13a,"@22(ושם) @11אלא @33א""כ כתובה בצדה. וקשה לפי' השני שבקונט' דלמא שאני הכא כיון דנשנית בסיני כמ""ע דלאחר מתן תורה היא וי""ל דכולן נשנו בסיני ואפ""ה פליג ד' יוסה. ועיי בבבלי בסנהדרין פד""מ דף נ""ו:",ושם,,,no ref,,,86
Nedarim,גליון אפרים,1,0,13a,@99הדרן עלך פרק ארבעה נדרים,,,,no ref,,,87
