masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Berakhot,"הגהות רד""א",1,0,1a,"@11ותני @33עלה קרובים דבריהן להיות שוין וכו'. נ""ב פי' דאלת""ה ר' לא שנה ר' חייא מנא ליה, אלא השיעור דתני ר' חייא הוא כמו השיעור דתנא ר' במתני' וקרובים דבריהם להיות שווין:",ותני עלה קרובים דבריהן להיות שוין וכו',Jerusalem Talmud Berakhot 1:1:2,אנן תנינן משעה שהכהנים נכנסין לוכל בתרומתן. תני רבי חייא משעה שדרך בני אדם נכנסין לאכול פיתן בלילי שבת. ותני עלה קרובים דבריהן להיות שוין. איתא חמי משעה שהכהנים נכנסין לוכל בתרומתן יממא הוא ועם כוכביא הוא משעה שדרך בני אדם נכנסין לאכול פתן בלילי שבת שעה ותרתי ליליא הוא ואת אמרת קרובים דבריהן להיות שוין אמר רבי יוסי תיפתר באילין כופרניא דקיקייא דאורחיהון מסתלקא עד דהוא יממא דצדי לון מיקמי חיותא.
Berakhot,"הגהות רד""א",1,0,1b,"@11ודלא @33כר' יוחנן כו'. נ""ב וי""ל דילמא אתיא כר""י ור""י מיירי בתפלת נדבה ור' זעירא מיירי בתפלת חובה, וצ""ל דאתי' כר' חנינא לקמן פ""ד ה""ד עיי""ש:",ודלא כר' יוחנן כו',Jerusalem Talmud Berakhot 1:1:4,"ר' זעירא בשם רב ירמיה ספק בירך על מזונו ספק לא בירך צריך לברך דכתיב (דברים ח) ואכלת ושבעת וברכת. ספק התפלל ספק לא התפלל אל יתפלל ודלא כרבי יוחנן דא""ר יוחנן ולואי שיתפלל אדם כל היום כולו למה שאין תפילה מפסדת. ספק קרא ספק לא קרא נישמעינה מן הדא הקורא קודם לכן לא יצא ידי חובתו וקודם לכן לאו ספק הוא ואת אמרת צריך לקרות הדא אמרה ספק קרא ספק לא קרא צריך לקרות."
Berakhot,"הגהות רד""א",1,0,1b,"@11אלא @33מיעוט כוכבים כו, נ""ב כמו הלא מיעוט כוכבים שנים כמו הלא היא ברבת בני עמון כו':","אלא מיעוט כוכבים כו נ""ב כמו הלא",,
Berakhot,"הגהות רד""א",1,0,2a,"@11שנים @33לילה כו'. נ""ב פי' משום דקשה קושי' הש""ס לעיל והכתיב עד צאת הכוכבים ותירץ בש""ס דקאמר קדמיתא לא מתחשב לא חש ליה משום דהוי קשי' לי' למה לא תני כוכב ואם משום דה""א כוכב ראשון השתא נמי דתני כוכבים איכא למימר ב' כוכבי הראשונים:",שנים לילה כו',Jerusalem Talmud Berakhot 1:1:10,רבי יעקב דרומנה בשם רבי יהודא בן פזי כוכב אחד ודאי יום שנים לילה. ולית ליה ספק. אית ליה ספק בין כוכב לכוכב.
Berakhot,"הגהות רד""א",1,0,3b,"@11השמש @33יצא על הארץ כו'. נ""ב סיומא דאיבעיא הוא, עד לכשיתודע לבריות, וה""פ מה ביאתו משיתכסה מן הבריות דהיינו הוילון שמאיר ביום ניכנס לנרתקו בלילה ומתוך כך נראים הכוכבים אף יציאתו לכשיתראה לבריות דהיינו כשיוצא הוילון לעולם ואינן נראים הכוכבים ואז ודאי יום הוא. וקאמר ליה כיון שג' כוכבים נראין בבקר ע""כ לא יצא הוילון מנרתקו וא""ר ספוקי קמספקא לי' אם יום הוא אי לילה. ויסוד איבעי' זו נראה לו עפ""י שיטת תוס' חגיגה (י""ב ע""ב) ר""ה נכנס שחרית וכו' ונראה למורי לפרש איפכא נכנס שחרית וכו' ע""ש, ור' בא מישב האיבעי':",השמש יצא על הארץ כו',Jerusalem Talmud Berakhot 1:1:16,"מאן פליג ר' חנינא חברהון דרבנן בעי כמה דאת אמר בערבית נראו שלשה כוכבים אע""פ שהחמה נתונה באמצע הרקיע לילה הוא. ומר אף בשחרית כן. א""ר אבא כתיב (בראשית יט) השמש יצא על הארץ ולוט בא צוערה וכתיב (ויקרא כב) ובא השמש וטהר מקיש יציאתו לביאתו מה ביאתו משיתכסה מן הבריות אף יציאתו לכשיתודע לבריות. אמר רבי בא כתיב (בראשית מד) הבוקר אור התורה קראה לאור בוקר. תני רבי ישמעאל (שמות טז) בבקר בבקר כדי ליתן תחום לבוקרו של בוקר."
Berakhot,"הגהות רד""א",1,0,4a,"@11עקב @33בצד גודל הוא. ותימא הוא דתנן יומא בבבלי דף כ""ב במתני' ובזמן שהן מרובין רצין ועולין בכבש מכאן משמע שהיו הולכין עקב בצד גודל ואסור לרוץ משום איסורא כדי שלא יתגלה ערותך עליו ועי' בבבלי סוכה דף נ""ב ע""ב:",עקב בצד גודל הוא,Jerusalem Talmud Berakhot 1:1:18,זהו שעומד ומתפלל צריך להשוות את רגליו. תרין אמורין רבי לוי ורבי סימון חד אמר כמלאכים וחד אמר ככהנים. מאן דאמר ככהנים (שמות כ) לא תעלה במעלות על מזבחי שהיו מהלכים עקב בצד גודל וגודל אצל עקב. ומאן דאמר כמלאכים (יחזקאל א) ורגליהם רגל ישרה. ר' חנינא בר אנדריי בשם רבי שמואל בר סוטר המלאכים אין להן קפיצין ומה טעמא (דנייאל ז) קרבת על חד מן קמייא קיימיא.
Berakhot,"הגהות רד""א",1,0,4b,"@11מאילת @33השחר כו' וכמו מילה מדמיא לחברתה כו'. נ""ב פ' כמו משיאיר המזרח עד שתנץ החמה והוא ד' מילין אף כן שיעור מאילת השחר עד שיאור המזרח מילה מדמי' לחברתה:",מאילת השחר כו' וכמו מילה מדמיא לחברתה,,
Berakhot,"הגהות רד""א",1,0,4b,"@11ומן @33פרוס לצועד ד' מילין יותר הוון כו'. נ""ב פירוש בבבלי פסחים (צ""ג ע""ב) קאמר ר' חנינא גופי' לדידי הוי לי ההוא אתרא והוי חמשא מילין ומשני הש""ס הכא המלאך היה מקדר לפניהם הדרך ובבבלי משני (דף צ""ד ע""א) ויאיצו שאני וגו':",ומן פרוס לצועד ד' מילין יותר הוון,Jerusalem Talmud Berakhot 1:1:20,אמר רבי חצנא מאיילת השחר עד שיאור המזרח אדם מהלך ארבעת מילין משיאור המזרח עד שתנץ החמה ארבעת מיל. ומניין משיאור המזרח עד שתנץ החמה ארבעת מיל דכתיב (בראשית יט) וכמו השחר עלה וגומר וכתיב (שם) השמש יצא על הארץ ולוט בא צוערה. ומן סדום לצוער ארבעת מיל יותר הוון אמר רבי זעירא המלאך היה מקדר לפניהן הדרך ומניין מאיילת השחר עד שיאור המזרח ארבעת מיל כמו וכמו מילה מדמיא לחבירתה.
Berakhot,"הגהות רד""א",1,0,4b,"@11תרין @33דוקרנין כו'. נ""ב דוקרנים כמו קנים תדוקרנין וכמו שמצינו בת""י לקמן בפ' במה אשה ואיזו האלה כו' ר' יוסי מאימתי תורמין את הגורן משתעקר האלה הדא אמרה כמין דייקרינן עכ""ל וכאן דרש איילת מלשון האלה הוא דוקרנין:",תרין דוקרנין כו',Jerusalem Talmud Berakhot 1:1:21,"אמר רבי יוסי בי רבי בון הדא איילתא דשחרא מאן דאמר כוכבתא היא טעיא זימנין דהיא מקדמא וזימנין דהיא מאחרה. מאי כדון כמין תרין דקורנין דנהור דסלקין מן מדינחא ומנהרין. דלמא רבי חייא רבא ורבי שמעון בן חלפתא הוו מהלכין בהדא בקעת ארבל בקריצתה וראו איילת השחר שבקע אורה. אמר רבי חייא רבה לר' שמעון בן חלפתא בי רבי כך היא גאולתן של ישראל בתחילה קימאה קימאה כל מה שהיא הולכת היא רבה והולכת. מאי טעמא (מיכה ז) כי אשב בחושך ה' אור לי. כך בתחילה (אסתר ב) ומרדכי יושב בשער המלך ואחר כך (אסתר ו) ויקח המן את הלבוש ואת הסוס ואחר כך (שם) וישב מרדכי אל שער המלך ואחר כך (אסתר ח) ומרדכי יצא מלפני המלך בלבוש מלכות ואח""כ (שם) ליהודים היתה אורה ושמחה."
Berakhot,"הגהות רד""א",1,0,4b,"@11וגן @33אחד מס' כו'. נ""ב בבלי פסחים צ""ד ע""א תענית י' ע""א:",וגן אחד מס' כו',Jerusalem Talmud Berakhot 1:1:23,תני עץ חיים מהלך חמש מאות שנה אמר רבי יודה בי ר' אלעאי לא סוף דבר נופו אלא אפי' כורתו וכל פילוג מי בראשית מתפלגין מתחתיו ומה טעם (תהילים א) והיה כעץ שתול על פלגי מים. תני עץ חיים אחד מששים לגן הגן אחד מששים לעדן (בראשית א) ונהר יוצא מעדן להשקות את הגן תמצית כור תרקב שותה תמצית כוש מצרים שותה. נמצאת אומר מצרים מהלך ארבעים יום וכוש מהלך שבע שנים ועוד. ורבנן אמרין כשני אבות הראשונים (דברים יא) כימי השמים על הארץ וכשם שבין הארץ לרקיע מהלך חמש מאות שנה כך בין רקיע לרקיע מהלך חמש מאות שנה ועוביו מהלך חמש מאות שנה. ומה חמית מימר עוביו של רקיע מהלך חמש מאות שנה. אמר רבי בון יהי רקיע בתוך המים יהי רקיע בתווך. רב אמר לחים היו שמים ביום הראשון ובשני קרשו רב אמר (בראשית א) יהי רקיע יחזק הרקיע יקרש הרקיע יגלד הרקיע ימתח הרקיע אמר רבי יודה בן פזי יעשה כמין מטלית הרקיע היך מה דאת אמר (שמות לט) וירקעו את פחי הזהב וגומר.
