masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Shekalim,"הגהות יפ""מ",1,0,2a,"@11תרומת שקלים לקרבן כו'. @33כדי שיהא יד כולם שוה בהן. כתב המפרש מהר""א פולדא כלומר למטה יש לה קצבה ולענין זה יד כולן שוים אבל למעלה ממחצית השקל אין לה קצבה והיינו [למעלה] כפי מה שירצו יעשו נ""ב ולענין זה צריך להיות יד כולן שוין וכ""נ דלא קאי העשיר לא ירבה אלא על תרומת אדנים:",תרומת שקלים לקרבן כו',Jerusalem Talmud Shekalim 1:1:7,"ר""ח בשם רשב""ג ג' תרומות נאמרו בפרשה הזאת תרומת אדנים ותרומת שקלים ותרומת המשכן (שם) דבר אל בני ישראל ויקחו לי תרומה וגו' זו תרומת אדנים מאת כל איש אשר ידבנו לבו תקחו את תרומתי זו תרומת שקלים וזאת התרומה אשר תקחו מאתם זו תרומת המשכן תרומת המשכן למשכן מה שירצו יעשו תרומת שקלים לקרבן מה שירצו יעשו כדי שיהא יד כולן שוה תרומת אדנים לאדנים העשיר לא ירבה והדל לא ימעיט. אמר רבי אבון אף בפרשה הזאת נאמר בה ג' תרומות (שמות לא) מחצית השקל תרומה לה' יתן תרומת ה' לתת את תרומת ה':"
Shekalim,"הגהות יפ""מ",1,0,2a,"@11אמר רבי חלבו ר""ה רב בשם וכו'. @33נ""ב צ""ל אמר רבי חלבו ור""ה ורב בשם וכו':","אמר רבי חלבו ר""ה רב בשם וכו'",Jerusalem Talmud Shekalim 1:1:8,"בט""ו בו קורין את המגילה בכרכים. לא כן אמר רבי חלבו ר""ה רב בשם ר""ח רבה הכל יוצאין בי""ד &lt;ס""א הכל מודין&gt; שהוא זמן קריאתה לא בא אלא ללמדך שכל המצות הנוהגות באדר שני אינן נוהגות באדר ראשון ר' יוסה ור' אחא הוון יתבין א""ר יוסה לר' אחא לא מסתברא אלא לשעבר אבל לבא &lt;להכא&gt; לא והא תני מקום שנהגו לקרותה שני ימים קורין אותה שני ימים א""ל אוף אנא סבר כן אמר רבי מנא ויאות אילו משקרייא בי""ד חוזר וקרייא בט""ו שמא אין שומעין לו אם את אומר כן נמצאת עוקר זמן כרכים בידיך "
Shekalim,"הגהות יפ""מ",1,0,3a,"@11ציון מיכאן לציון ומצא אבן כו'. @33נ""ב צ""ל תני מצא אבן וכו' [וכן הוא בתוספתא ע""ש הגירסא]:",ציון מיכאן לציון ומצא אבן כו',Jerusalem Talmud Shekalim 1:1:14-15,"['מניין לציון ר\' ברכיה ר\' יעקב בר בת יעקב בשם ר\' חונייא דברת חוורין ר\' יוסה אמרי לה ר\' יעקב בר אחא בשם ר\' חונייא דברת חוורין ר\' חזקיה ר\' עוזיאל בריה דרב חונייא דבית חוורן בשם ר\' חונייא דבית חוורן (ויקרא יב) טמא טמא יקרא כדי שתהא הטומאה מוקראה לך בפיה ואומרת לך פרוש ר\' אילא בשם ר\' שמואל בר נחמן (יחזקאל לט) ועברו העוברים בארץ וראה עצם אדם ובנה אצלו ציון עצם מכאן שמציינין על העצמות אדם מיכן שמציינין על השדרה והגלגולת ובנה מיכן שמציינין על גבי אבן קבועה אם אומר את ע""ג אבן תלושה אף היא הולכת ומטמא במקום אחר אצלו למקום טהרה ציון מיכן לציון', 'ומצא אבן אחת מצויינת אף ע""פ שאין מקיימין כן המאהיל עליה טמא אני אומרת מת מצויין והיה נתון תחתיה היו שתים המאהיל עליהן טהור וביניהן טמא אם היה חורש בינתיים הרי הן כיחידיות ביניהן טהור וסביבותיהן &lt;טהור&gt; טמא']"
Shekalim,"הגהות יפ""מ",1,0,3a,"@11משרבו עוברי עבירה היו עוקרין ומשליכין @33כצ""ל:","משרבו עוברי עבירה היו עוקרין ומשליכין כצ""ל",Jerusalem Talmud Shekalim 1:2:1,אמר ר' יהודה בראשונה היו עוקרין ומשליכין לפניהן משרבו עוברי עבירה היו משליכין לדרכים התקינו שיהו מפקירין את כל השדה:
Shekalim,"הגהות יפ""מ",1,0,3b,"@11ואמר ר' אמי בשם רשב""ל כו' דאי כב""ה כו'. @33נ""ב בירושלמי פאה פ""ה ה""א ה""ג דב""ש אומרים הפקר לעניים הפקר ברם כב""ה עניים מעשרין ואוכלים [ועי' מ""ש על הגליון]:","ואמר ר' אמי בשם רשב""ל כו' דאי",Jerusalem Talmud Shekalim 1:2:5,"והיידא &lt;ס""א הדא דאת&gt; אמרה דא גדיש שלא לוקט תחתיו כל הנוגעות בארץ הרי הן &lt;זה&gt; של עניים ואמר ר' אמי בשם ר' שמעון בן לקיש דב""ש היא דאי כב""ה עניים אוכלין ומעשרין וא""ל ר' יוסי שמענו שהוא פטור ממעשר ד""ה משום קנסא:"
Shekalim,"הגהות יפ""מ",1,0,4b,"@11וכן מפורש על ידי עזרא. @33נ""ב צ""ל וכן הוא מפורש על ידי עזרא:",וכן מפורש על ידי עזרא,Jerusalem Talmud Shekalim 1:4:1,"אע""פ שאמרו אין ממשכנין נשים ועבדים וקטנים אבל אם שקלו מקבלין מידן הנכרי והכותי ששקלו אין מקבלין מהן ואין מקבלין מידם קיני זבין וקיני זבות וקיני יולדות וחטאות ואשמות &lt;ס""א אבל מקבלין מהן נדרים ונדבות&gt; זה הכלל כל שנידר ונידב מקבלין מידן וכל שאין נידר ונידב אין מקבלין מידן וכן מפורש על ידי עזרא שנאמר (עזרא ד) לא לכם ולנו לבנות בית לאלהינו ואלו שחייבין בקלבון לוים וישראלים וגרים ועבדים משוחררים אבל לא כהנים ונשים ועבדים וקטנים השוקל על יד כהן על יד האשה על יד עבד על יד קטן פטור ואם שקל על ידו ועל יד חבירו חייב בקלבון אחד ור' מאיר אומר שני קולבנות הנותן סלע ונוטל שקל חייב שני קולבנות השוקל על יד עני ועל יד שכינו ועל יד בן עירו פטור ואם הלוום חייב האחין השותפין שחייבין בקלבון פטורין ממעשר בהמה וכשחייבין במעשר בהמה פטורין מן הקלבון וכמה הוא קלבון מעה כסף דברי ר""מ וחכ""א חצי מעה: "
Shekalim,"הגהות יפ""מ",1,0,5b,"@11מתניתין פליגי על ר' יוחנן אין. @33נ""ב צ""ל מתניתין פליגי על ר""י דתני אין וכו'. ובלבד דבר צ""ל בדבר:",מתניתין פליגי על ר' יוחנן אין,Jerusalem Talmud Shekalim 1:4:5,"אמר ר' יוחנן בתחילה אין מקבלין מהם לא דבר מסוים ולא דבר שאינו מסוים ובסוף מקבלין מהן דבר שאינו מסוים ואין מקבלין מהן דבר מסוים רשב""ל אמר בין בתחילה בין בסוף אין מקבלין מהן לא דבר מסוים ולא דבר שאינו מסוים מתני' פליגא על רבי יוחנן אין מקבלין מהן הקדש ונדבה לבדק הבית פתר לה בין בתחלה בין בסוף ובלבד דבר &lt;ס""א שאינו&gt; מסוים &lt;נ""י פתר לה במסוים שאפילו מעותיו יוליכם לים המלח&gt;: ר""ש בן לקיש אמר בין בתחילה ובין בסוף אין מקבלין מהם לא דבר מסוים וכו': מתני' פליגא על רשב""ל דתני הכל שווין שהן נודרין ונידרין פתר לה עולה ניחא נודרי' עולה נידרי' עולה לא אלא כשאמר ישראל הרי עלי עולה ושמע נכרי ואמר מה שאמר זה עלי: ואינו מביא עמו נסכים ומותר נסכים לא לכלי שרת אינון נמצא מביא דבר מסויים התיב רבי יוסי בי רבי בון והא תנינן נערכין ועורכין לא לבדק הבית אינון היך מה דאת אמר תמן לשמים הוא מתכוין ומאיליהן הן באין לבדק הבית כן את אמר אף הכא לשמים הוא מתכוין ומאיליהן הן באין לבד""ה &lt;לכלי שרת&gt; מה עבד לה רשב""ל פתר לה (עזרא ד) לא לכם ולנו לבנות בית לאלהינו ר' חזקיה אמר ר' סימון שאל מעתה אין מקבלין מהן לאמת המים ולחומות העיר ומגדלותיה על שם &lt;שנא'&gt; (שם) ולכם אין חלק וגו': אלו חייבין בקלבון. &lt;תני"
Shekalim,"הגהות יפ""מ",1,0,6a,"@11ר' מאיר אומר ב' קלבונות מתניתא וכו'. @33נ""ב צ""ל רמ""א ב' קלבונות ת""ר שוקל שקלו חייב בקלבון א' בפרוטרוט ר""מ אומר א' בפרוטרוט וא' של תורה דר' מאיר לטעמיה דאר""מ כשם וכו':",ר' מאיר אומר ב' קלבונות מתניתא וכו',Jerusalem Talmud Shekalim 1:4:6,"אלו חייבין בקלבון אחד ר""מ אומר שני קולבנות מתניתא דרבי מאיר דאמר רבי מאיר אף על פי שאין שקלו תורה קלבנו תורה סבר ר' מאיר במי ששקלו שלם שהוא פטור מהקלבון דאמר&gt; מתניתא דר""מ דאמר ר""מ כשם ששקלו תורה כך קלבנו תורה קסבר ר""מ בנותר שקלו שלם שהוא חייב קלבון דאמר רבי מאיר כמין מטבע של אש הוציא הקב""ה מתחת כסא כבודו והראהו למשה ואמר לו זה יתנו כזה יתנו:"
Shekalim,"הגהות יפ""מ",1,0,8b,"@11השוקל שקלו מן ההקדש כו'. @33נ""ב צ""ל השוקל שקלו ממעות הקדש כו' וקרבה הבהמה מעל:",השוקל שקלו מן ההקדש כו',Jerusalem Talmud Shekalim 2:2:1,הנותן שקלו לחבירו לשקול על ידו ושקלו על ידי עצמו אם נתרמה התרומה מעל השוקל שקלו מן ההקדש ונתרמה התרומה וקרבה הבהמה מעל ממעשר שני ודמי שביעית יאכל כנגדן:
Shekalim,"הגהות יפ""מ",1,0,8b,"@11ממעשר שני כו' @33נ""ב מדמי מעשר שני כצ""ל:","ממעשר שני כו' נ""ב מדמי מעשר שני",,
Shekalim,"הגהות יפ""מ",1,0,9a,"@11שהביא מהן שקלי. @33נ""ב שאביא מהן לשקלי:",שהביא מהן שקלי,Jerusalem Talmud Shekalim 2:3:1,"המכנס מעות ואמר הרי אלו לשקלי בית שמאי אומרין מותרן נדבה ובית הלל אומרים מותרן חולין שאביא מהן שקלי שוין שהמותר חולין אלו לחטאתי שוין שהמותר נדבה שאביא מהן חטאתי שוין שהמותר חולין אמר רבי שמעון מה בין שקלים לחטאת אלא של שקלים יש להן קיצבה ולחטאת אין לה קיצבה ר' יהודה אומר אף לשקלים אין להן קיצבה שכשעלו ישראל מן הגולה היו שוקלין דרכונות חזרו לשקול סלעים חזרו לשקול טבעין ביקשו לשקול דינרין ולא קבלו מהן א""ר שמעון אע""פ כן יד כולן שוה אבל חטאת זה מביא בסלע וזה מביא בשתים וזה מביא בשלש:"
Shekalim,"הגהות יפ""מ",1,0,13b,"@11שמא יעני ויאמרו כו'. @33נ""ב שמא יענה גרסינן:",שמא יעני ויאמרו כו',Jerusalem Talmud Shekalim 3:2:10,שמא יעני ויאמרו כו': תני רבי ישמעאל קווץ לא יתרום מפני החשד תני הגזברין היו מפספסין בקילקין תני מדברין היו עמו משעה שהוא נכנס עד שעה שהוא יוצא וימלא פומיה מוי אמר ר' תנחומא מפני הברכה
Shekalim,"הגהות יפ""מ",1,0,15b,"@11רב חונה בשם רבי ירמיה דר""י וכו'. @33נ""ב צ""ל רב הונא בשם רבי ירמיה דר""י וכו':","רב חונה בשם רבי ירמיה דר""י וכו'",Jerusalem Talmud Shekalim 4:1:3,"העומר ושתי לחם ולחם הפנים וכל קרבנות הציבור: &lt;מתניתא דר' ישמעאל דר' ישמעאל אמר אין העומר בא מן הסוריא&gt; תמן תנינן כל קרבנות היחיד והציבור באין מן הארץ ומן חוצה לארץ מן החדש ומן הישן חוץ מן העומר ושתי לחם שאין באין אלא מן החדש ומן הארץ רב חונה בשם רבי ירמיה דרבי ישמעאל היא דרבי ישמעאל אומר אין העומר בא מן הסוריא תמן תנינן עשר קדושות הן ארץ ישראל מקודשת מכל הארצות ומה היא קדושתה שמביאין ממנה העומר והביכורים ושתי לחם מה שאין מביאין כן מכל הארצות ר' חייא &lt;חונה&gt; בשם רבי ירמיה דרבי ישמעאל היא דרבי ישמעאל אמר אין העומר בא מן הסוריא תמן תנינן ר' ישמעאל אומר מה חריש רשות אף קציר רשות יצא קציר העומר שהוא מצוה ר' ישמעאל כדעתיה דר' ישמעאל דאמר אין העומר בא מן הסוריא כדעתיה דאמר יצא קציר העומר שהוא מצוה מאן תנא שומרי ספיחין בשביעית נוטלין שכרן מתרומת הלשכה ר' ישמעאל היא א""ר יוסה דברי הכל היא לא מצאו בסוריא מביאין אותן ספיחין שבא""י ההן עומד מהו שיזרע בתחילה רב חייא בר אדא בעי קומי רבי מנא לא נמצא כקומץ על השיריים שאינן נאכלין אמר ליה נעשה כחמשה דברים שהן באין בטומאה ואין נאכלין בטומאה"
Shekalim,"הגהות יפ""מ",1,0,16a,"@11רבי ישמעאל אומר מותר המזבח קיץ המזבח. @33נ""ב צ""ל לקיץ המזבח:",רבי ישמעאל אומר מותר המזבח קיץ המזבח,Jerusalem Talmud Shekalim 4:2:1,פרה ושעיר המשתלח ולשון של זהורית באין מתרומת הלשכה כבש פרה וכבש שעיר המשתלח ולשון שבין קרניו ואמת המים וחומת העיר ומגדלותיה וכל צרכי העיר באין משירי הלשכה אבא שאול אומר כבש פרה כהנים גדולים עושין משל עצמן מותר שירי לשכה מה היו עושין בהן לוקחין בהן יינות שמנים וסלתות והשכר להקדש דברי רבי ישמעאל רבי עקיבה אומר אין משתכרין בשל הקדש אף לא משל עניים מותר התרומה מה היו עושין בה רקועי זהב ציפוי לבית קודש הקדשים רבי ישמעאל אומר מותר הפירות קיץ המזבח מותר תרומה לכלי שרת רבי עקיבה אומר מותר תרומה לקיץ המזבח מותר נסכים לכלי שרת רבי חנינה סגן הכהנים אומר מותר נסכים קיץ המזבח מותר התרומה לכלי שרת זה וזה לא היו מודים בפירות: 
