masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Terumot,ככר לאדן,1,0,13b,"@11חי @33לא לקבל מבושל כצ""ל. פי' יקח מן החי מעט לא כנגד מבושל כדמפרש שהמבושל טופח:","חי לא לקבל מבושל כצ""ל",Jerusalem Talmud Terumot 2:2:5,"תמן תנינן כביצה אוכלין שהניחן בחמה ונתמעטו כן כזית מן הנבילה וכעדשה מן השרץ כזית פיגול כזית נותר כזית חלב הרי אילו טהורין דרומאי אמרי והוא שיהא כזית מעיקרו ר' יוחנן ור""ש בן לקיש תריהון אמרין ואע""פ שאין כזית מעיקרו תמן תנינן אמרו לו אף היא היתה חסירה או יתירה מני אמרו לו ר""מ פעמים שהשאור יפה והוא תפוח הא אילו סולת היתה צמוקה ועכשיו שהוא שאור יפה והוא תפוח את רואה את התפוח כילו צמק ונראית חסירה ופעמים שהשאור רע והוא צמק הא אלו סולת היתה תפוחה ועכשיו שהשאור רע והוא צמוק את רואה את הצמק כילו תפח ונראית יתירה על דעתיה דר' ירמיה דרומאי ור' יוחנן ור""ש בן לקיש שלשתן אמרו דבר אחד ביתירה על דעתייהו דר' יונה ור' יוסי שלשתן אמרו דבר אחד בחסירה אילין דבר פטי בשלון אורז אנשין מתקנתה יתיה חברייא סברין מימר ייסב חיי לו לקביל מבשל אמר לון ר' יוסי אף אנא אמר כן למה שדרכו לתפוח:"
Terumot,ככר לאדן,1,0,32b,"@11מה @33דמי לה פטרי חמורות כצ""ל. פי' מה דומה לזה. @11מה @33אכפלן פי' מה אכפת לן:","מה דמי לה פטרי חמורות כצ""ל",Jerusalem Talmud Terumot 6:1:13,לא הספיקה לשלם עד שנתגרשה איתא חמי אילו היה לה כמה מעשרות שמא אינן שלה תמן מעשרות מסויימין ברם הכא תרומה אינה מסוימת מה דמי לה פיטרי חמורות:
Terumot,ככר לאדן,1,0,48a,"@11המרכס @33בקטניות ובתלתן אינו עובר וכו' כצ""ל. פי' כמו פרות המרכסות פ' השוכר את הפועלים:","המרכס בקטניות ובתלתן אינו עובר וכו' כצ""ל",Jerusalem Talmud Terumot 9:1:13,המרכין בקיטניות ובתלתן אינו עובר משום בל תחסום שור בדישו אבל אסור מפני מראית עין אית תניי תני בדיש שהוא מותר לך ואית תניי תני בדיש שהוא אסור לך
Terumot,ככר לאדן,1,0,48a,"@11עדשים @33צופדות אותו שלא יתן כצ""ל. פירוש מלשון צפד עורם @11אבל @33אם יש בקליפה החיצונה כדי ליתן טעם אסור אית תנויי וכו' כצ""ל:","עדשים צופדות אותו שלא יתן כצ""ל",Jerusalem Talmud Terumot 9:1:14,אמר רבי בא בר ממל מתני' בשנותנו משהוציאו עדשים מימיהן עדשים צופרות אותו שלא יתן אבל אם נתנו עד שלא הוציאו עדשים את מימיהן לא בדא וכמה דאת אמר עדשים צופרות אותו שלא יתן דכוותה עדשים צופרות אותו שלא יבלע היאך עבידא בצל של חולין שנותנו לתוך עדשים של תרומה אפילו כן עדשים צופרות אותו שלא יבלע הדא דתימר ביבש אבל בלח אסור בבצל ובקפלוט בין לח בין יבש בין שלם בין מחותך אסור העביר פטמתו כמחותך הוא היו שנים שלשה כמחותכין הן
Terumot,ככר לאדן,1,0,54a,"@11בא @33לפני ר""ג בר רבי א""ל אבא לא מורי וכו' ואנא מורה כצ""ל:","בא לפני ר""ג בר רבי א""ל אבא",Jerusalem Talmud Terumot 10:6:8,"ר' זעירא ר""ש בר אבא בשם ר' יוחנן אדא בר גרשון רבי ביריי ר' לוי בר פלטא זקן אחד בשם רבי ששים ואחת אסורות ששים ושתים מותרות ר' שמואל בר נחמן בשם ר' יונתן העיד אדא חבירנו לפנינו בששים ואמר מי שיביא לי יותר מששים מכשיר אנא אמרין לשמעון בר ווא אמר את הכין ואינון אמרין הכין אמר לון אנא מה דשמעית ואינון מה דשמעין שמעון בר ווא אמר קומי ר' חנינא מעשה בא לפני רבן גמליאל בר' א""ל אבא לא מורי בארבעים ושבע ואנא מורה בארבעים וחמש ר' חייא בשם ר' חנינא מעשה בא לפני רבי ואמר אית תמן חמשין"
Terumot,ככר לאדן,1,0,56b,@11ולמה @33אמר שיעשו וכו' ר' יעקב ורבי יודה חד וכו' בשם ר' לעזר אמר מתניתא וכו' כן צריך להיות:,ולמה אמר שיעשו וכו' ר' יעקב ורבי,,
Terumot,ככר לאדן,1,0,58b,@11על @33ידיכן הוה שהר פי' כמו שחיר. וקרץ פי' בקר:,על ידיכן הוה שהר,,
Terumot,ככר לאדן,1,0,58b,"@11הורי @33ר""י בן פזי לאלין וכו' פתילה לית ליה לרבי אילא וכו' גזל לא מן הדין שמא מבזבזא בה בקדושה כצ""ל:","הורי ר""י בן פזי לאלין וכו' פתילה",Jerusalem Talmud Terumot 11:5:9,"אדא שמשא שאל לר' אימי בגין דאנא צבע פתילה מן חולא א""ל בטל הוא על גב פתילות הורי רבי יודא בן פזי לאילין דבי נחמיה כן רבי אימי נסב פתילה רבי אילא לא נסב פתילה לית ליה לר' אילא הדא דר' אימי סבר ר' אילא משום גזל ובלא מן הדין שמשא מבזבזא בה קדושה"
Terumot,ככר לאדן,1,0,58b,"@11פרשיה @33ר' חייא דכפר תחומין קומי רבי ומניתיה כצ""ל וע' בתענית פ""ד בירושלמי דף ס""ח:",פרשיה ר' חייא דכפר תחומין קומי רבי,Jerusalem Talmud Terumot 11:5:11,"א""ר אבהו שנה לי יונתן בן עכמאי בת כהן שהיתה עומדת ערב שבת עם חשיכה ובידה נר ובתוכו שמן שריפה הרי זו מוספת לתוכו שמן של חולין ומדלקת א""ל ר""ז מה טבייה א""ל אדם גדול היה ובקי במשנתינו היה פרשיה רבי חייא דכפר תחומין קומי רב ומניתיה חכים."
Terumot,ככר לאדן,1,0,59a,"@11אמר @33ליה של כת קודמין הוא והא רבי אלעזר מעיין וכו' כצ""ל. והוא מתני' דכלים פרק כ""ה:",אמר ליה של כת קודמין הוא והא,Jerusalem Talmud Terumot 11:5:12,"מדליקין בבית המשתה אבל לא בבית האבל דברי רבי יודא רבי יוסי אומר בבית האבל אבל לא בבית המשתה ר' מאיר אוסר כאן וכאן ורבי שמעון מתיר כאן וכאן מה טעמא דר' יהודא בבית המשתה על ידי דמניהון נקיים לא מתעסקין ביה בבית האבל על ידי דמניהון צואין מתעסקין ביה מה טעמא דרבי יוסי בית האבל על ידי דאינון כניעין לא מתעסקין ביה בית המשתה על ידי דאינון פחיזין מתעסקין ביה מה טעמא דרבי מאיר בבית האבל על ידי דמניהון צואין מתעסקין ביה בית המשתה על ידי דאינון פחיזין מתעסקין ביה מה טעמא דרבי שמעון בית האבל על ידי דאינון כניעין לא מתעסקין ביה בית המשתה ע""י דמניהון נקיים לא מתעסקין ביה אמרין דבי רבי ינאי הלכה כרבי שמעון רבי יעקב בר אחא בשם רבי יאשיה הלכה כרבי שמעון רבי יוסי צירניא בעי קומי רבי ירמיה דלא כן מה אנן אמרין רבי מאיר ורבי שמעון אין הלכה כר""ש א""ל של בית קודמין היא והא רבי יהודה אומר מעין שניהן ורבי יוסי אומר מעין שניהן ורבי יהודא ורבי יוסי הלכה כר' יוסי."
