masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text,problem
Megillah,קרבן העדה,1,1,1a,@22מתני' @11מגילה נקראת באחד עשר בשנים עשר וכו'. @33פעמים בזה ופעמים בזה כדמפרש ואזיל:,מגילה נקראת באחד עשר בשנים עשר וכו',JTmock Megillah 1:1:1,מגילה נקראת באחד עשר בשנים עשר בשלשה עשר בארבעה עשר בחמשה עשר לא פחות ולא יתר. כרכים המוקפין חומה מימות יהושע בן נון קורין בחמשה עשר כפרים ועיירות גדולות קורין בארבעה עשר אלא שהכפרים מקדימין ליום הכניסה:,
Megillah,קרבן העדה,1,1,1a,"מימות יהושע בן נון קורין בט""ו. דכתיב על כן היהודים הפרזים עושים יום י""ד ומדפרזים בי""ד מוקפין בט""ו והא דקבעי מימות יהושע מפרש בגמרא:","מימות יהושע בן נון קורין בט""ו",JTmock Megillah 1:1:1,מגילה נקראת באחד עשר בשנים עשר בשלשה עשר בארבעה עשר בחמשה עשר לא פחות ולא יתר. כרכים המוקפין חומה מימות יהושע בן נון קורין בחמשה עשר כפרים ועיירות גדולות קורין בארבעה עשר אלא שהכפרים מקדימין ליום הכניסה:,
Megillah,קרבן העדה,1,1,1a,"אלא שהכפרים מקדימין. כלומר מאחר שמוקפין קורין בט""ו ופרזים בי""ד הכל בכלל והיכי משכחת תו י""א וי""ב וי""ג לכך קאמר אלא שהכפרים נתנו להם רשות להקדים קריאתן יום ב' בשבת לפני יום י""ד או ה' בשבת שהן יום הכניסה וטעמא שמקדימין מפרש בגמרא:",אלא שהכפרים מקדימין,JTmock Megillah 1:1:1,מגילה נקראת באחד עשר בשנים עשר בשלשה עשר בארבעה עשר בחמשה עשר לא פחות ולא יתר. כרכים המוקפין חומה מימות יהושע בן נון קורין בחמשה עשר כפרים ועיירות גדולות קורין בארבעה עשר אלא שהכפרים מקדימין ליום הכניסה:,
Megillah,קרבן העדה,1,1,1a,"@22גמ' @11ר' אילא. @33אמר משמיה דר' שמעון בר בא משמיה דר""י:",ר' אילא,JTmock Megillah 1:1:2,"ר' אילא שמעון בר בא בשם ר' יוחנן כתיב לקיים את ימי הפרים האלה בזמניהם מה תלמוד לומר בזמניהם ר' יונה ר' יוסה ר' יונה אמר ליתן להן זמנים אחרים ר' יוסה אומר זמנים שקבעו להם חכמים ואלו הן י""א וי""ב וי""ג וי""ד וט""ו או אינו אלא י""ו וי""ז ר' אבהו בשם ר' לעזר ולא יעבר לא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר או אינו אלא תשיעי ועשירי שמואל בר נחמן בשם ר' יונתן ימים אין כתיב כאן אלא כימים תן ימים כנגד ימים אחד עשר ושנים עשר כנגד ארבעה עשר וחמשה עשר או שנים עשר ושלשה עשר כנגד ארבעה עשר וחמשה עשר א""ר חלבו יום שלשה עשר יום מלחמה היה הוא מוכיח על עצמו שאין בו ניחה מעתה אל יקראו בו לפניו ולאחריו קורין ובו אינן קורין או אינו אלא תשיעי ועשירי כימים ימים שהן סמוכין לימים ואם ימים שהן סמוכין לימים אינן אלא ששה עשר ושבעה עשר לית יכיל דא""ר אבהו בשם רבי אלעזר לא יעבר ולא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר",
Megillah,קרבן העדה,1,1,1a,"מה ת""ל בזמניהם. דה""מ למכתב בזמן או בזמנם:","מה ת""ל בזמניהם",JTmock Megillah 1:1:2,"ר' אילא שמעון בר בא בשם ר' יוחנן כתיב לקיים את ימי הפרים האלה בזמניהם מה תלמוד לומר בזמניהם ר' יונה ר' יוסה ר' יונה אמר ליתן להן זמנים אחרים ר' יוסה אומר זמנים שקבעו להם חכמים ואלו הן י""א וי""ב וי""ג וי""ד וט""ו או אינו אלא י""ו וי""ז ר' אבהו בשם ר' לעזר ולא יעבר לא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר או אינו אלא תשיעי ועשירי שמואל בר נחמן בשם ר' יונתן ימים אין כתיב כאן אלא כימים תן ימים כנגד ימים אחד עשר ושנים עשר כנגד ארבעה עשר וחמשה עשר או שנים עשר ושלשה עשר כנגד ארבעה עשר וחמשה עשר א""ר חלבו יום שלשה עשר יום מלחמה היה הוא מוכיח על עצמו שאין בו ניחה מעתה אל יקראו בו לפניו ולאחריו קורין ובו אינן קורין או אינו אלא תשיעי ועשירי כימים ימים שהן סמוכין לימים ואם ימים שהן סמוכין לימים אינן אלא ששה עשר ושבעה עשר לית יכיל דא""ר אבהו בשם רבי אלעזר לא יעבר ולא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר",
Megillah,קרבן העדה,1,1,1a,"ר' יונה ור""י. כלומר פליגי בה ר""י ור""י:","ר' יונה ור""י",JTmock Megillah 1:1:2,"ר' אילא שמעון בר בא בשם ר' יוחנן כתיב לקיים את ימי הפרים האלה בזמניהם מה תלמוד לומר בזמניהם ר' יונה ר' יוסה ר' יונה אמר ליתן להן זמנים אחרים ר' יוסה אומר זמנים שקבעו להם חכמים ואלו הן י""א וי""ב וי""ג וי""ד וט""ו או אינו אלא י""ו וי""ז ר' אבהו בשם ר' לעזר ולא יעבר לא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר או אינו אלא תשיעי ועשירי שמואל בר נחמן בשם ר' יונתן ימים אין כתיב כאן אלא כימים תן ימים כנגד ימים אחד עשר ושנים עשר כנגד ארבעה עשר וחמשה עשר או שנים עשר ושלשה עשר כנגד ארבעה עשר וחמשה עשר א""ר חלבו יום שלשה עשר יום מלחמה היה הוא מוכיח על עצמו שאין בו ניחה מעתה אל יקראו בו לפניו ולאחריו קורין ובו אינן קורין או אינו אלא תשיעי ועשירי כימים ימים שהן סמוכין לימים ואם ימים שהן סמוכין לימים אינן אלא ששה עשר ושבעה עשר לית יכיל דא""ר אבהו בשם רבי אלעזר לא יעבר ולא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר",
Megillah,קרבן העדה,1,1,1a,"ליתן להם זמנים אחרים. שיהא לכל א' מהם זמן אחר דסד""א שיהא כל א' עושה שני ימים אלו או אי בעי ליקרו בארבעה עשר או בט""ו קמ""ל שזמנו של פרזים אינו כזמנו של מוקפין וכן בהיפך:",ליתן להם זמנים אחרים,JTmock Megillah 1:1:2,"ר' אילא שמעון בר בא בשם ר' יוחנן כתיב לקיים את ימי הפרים האלה בזמניהם מה תלמוד לומר בזמניהם ר' יונה ר' יוסה ר' יונה אמר ליתן להן זמנים אחרים ר' יוסה אומר זמנים שקבעו להם חכמים ואלו הן י""א וי""ב וי""ג וי""ד וט""ו או אינו אלא י""ו וי""ז ר' אבהו בשם ר' לעזר ולא יעבר לא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר או אינו אלא תשיעי ועשירי שמואל בר נחמן בשם ר' יונתן ימים אין כתיב כאן אלא כימים תן ימים כנגד ימים אחד עשר ושנים עשר כנגד ארבעה עשר וחמשה עשר או שנים עשר ושלשה עשר כנגד ארבעה עשר וחמשה עשר א""ר חלבו יום שלשה עשר יום מלחמה היה הוא מוכיח על עצמו שאין בו ניחה מעתה אל יקראו בו לפניו ולאחריו קורין ובו אינן קורין או אינו אלא תשיעי ועשירי כימים ימים שהן סמוכין לימים ואם ימים שהן סמוכין לימים אינן אלא ששה עשר ושבעה עשר לית יכיל דא""ר אבהו בשם רבי אלעזר לא יעבר ולא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר",
Megillah,קרבן העדה,1,1,1a,"זמנים שקבעו להם חכמים. והן הזמנים דתנן במתני' וה""ק זמנים הרבה תיקנו להם חכמים ואי לאו דמצאו סמך מן המגילה שמותרין להוסיף ולשנות הזמנים י""ד וט""ו לא היה כח ביד ב""ד שלאחריהן לשנותן שאין ב""ד יכול לבטל דברי בית דין חבירו אא""כ גדול ממנו בחכמה ובמנין:",זמנים שקבעו להם חכמים,JTmock Megillah 1:1:2,"ר' אילא שמעון בר בא בשם ר' יוחנן כתיב לקיים את ימי הפרים האלה בזמניהם מה תלמוד לומר בזמניהם ר' יונה ר' יוסה ר' יונה אמר ליתן להן זמנים אחרים ר' יוסה אומר זמנים שקבעו להם חכמים ואלו הן י""א וי""ב וי""ג וי""ד וט""ו או אינו אלא י""ו וי""ז ר' אבהו בשם ר' לעזר ולא יעבר לא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר או אינו אלא תשיעי ועשירי שמואל בר נחמן בשם ר' יונתן ימים אין כתיב כאן אלא כימים תן ימים כנגד ימים אחד עשר ושנים עשר כנגד ארבעה עשר וחמשה עשר או שנים עשר ושלשה עשר כנגד ארבעה עשר וחמשה עשר א""ר חלבו יום שלשה עשר יום מלחמה היה הוא מוכיח על עצמו שאין בו ניחה מעתה אל יקראו בו לפניו ולאחריו קורין ובו אינן קורין או אינו אלא תשיעי ועשירי כימים ימים שהן סמוכין לימים ואם ימים שהן סמוכין לימים אינן אלא ששה עשר ושבעה עשר לית יכיל דא""ר אבהו בשם רבי אלעזר לא יעבר ולא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר",
Megillah,קרבן העדה,1,1,1a,"ופריך או אינו אלא ט""ז וי""ז. באדר ומנ""ל דמרבינן לאקדומיה ולא לאחוריה:","ופריך או אינו אלא ט""ז וי""ז",JTmock Megillah 1:1:2,"ר' אילא שמעון בר בא בשם ר' יוחנן כתיב לקיים את ימי הפרים האלה בזמניהם מה תלמוד לומר בזמניהם ר' יונה ר' יוסה ר' יונה אמר ליתן להן זמנים אחרים ר' יוסה אומר זמנים שקבעו להם חכמים ואלו הן י""א וי""ב וי""ג וי""ד וט""ו או אינו אלא י""ו וי""ז ר' אבהו בשם ר' לעזר ולא יעבר לא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר או אינו אלא תשיעי ועשירי שמואל בר נחמן בשם ר' יונתן ימים אין כתיב כאן אלא כימים תן ימים כנגד ימים אחד עשר ושנים עשר כנגד ארבעה עשר וחמשה עשר או שנים עשר ושלשה עשר כנגד ארבעה עשר וחמשה עשר א""ר חלבו יום שלשה עשר יום מלחמה היה הוא מוכיח על עצמו שאין בו ניחה מעתה אל יקראו בו לפניו ולאחריו קורין ובו אינן קורין או אינו אלא תשיעי ועשירי כימים ימים שהן סמוכין לימים ואם ימים שהן סמוכין לימים אינן אלא ששה עשר ושבעה עשר לית יכיל דא""ר אבהו בשם רבי אלעזר לא יעבר ולא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר",
Megillah,קרבן העדה,1,1,1a,"ה""ג ולא יעבר ולא יעברו. וה""פ כתיב ברישא ולא יעבור להיות עושים שני ימים האלה וכתיב בתריה וימי פורים האלה לא יעברו ל""ל הא כבר כתיב ולא יעבור אלא ללמד שאין לאחר הקריאה אחר ב' ימים הכתובים במגילה דהיינו י""ד וט""ו:","ה""ג ולא יעבר ולא יעברו",JTmock Megillah 1:1:2,"ר' אילא שמעון בר בא בשם ר' יוחנן כתיב לקיים את ימי הפרים האלה בזמניהם מה תלמוד לומר בזמניהם ר' יונה ר' יוסה ר' יונה אמר ליתן להן זמנים אחרים ר' יוסה אומר זמנים שקבעו להם חכמים ואלו הן י""א וי""ב וי""ג וי""ד וט""ו או אינו אלא י""ו וי""ז ר' אבהו בשם ר' לעזר ולא יעבר לא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר או אינו אלא תשיעי ועשירי שמואל בר נחמן בשם ר' יונתן ימים אין כתיב כאן אלא כימים תן ימים כנגד ימים אחד עשר ושנים עשר כנגד ארבעה עשר וחמשה עשר או שנים עשר ושלשה עשר כנגד ארבעה עשר וחמשה עשר א""ר חלבו יום שלשה עשר יום מלחמה היה הוא מוכיח על עצמו שאין בו ניחה מעתה אל יקראו בו לפניו ולאחריו קורין ובו אינן קורין או אינו אלא תשיעי ועשירי כימים ימים שהן סמוכין לימים ואם ימים שהן סמוכין לימים אינן אלא ששה עשר ושבעה עשר לית יכיל דא""ר אבהו בשם רבי אלעזר לא יעבר ולא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר",
