masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text,problem
Chagigah,"מהר""א גרידץ",1,0,00,"@88עמ' ג ע""ב @11והכא לא יראו פני ריקם. @33נ""ב וסוף הקרא ולא יראו פני ריקם וכן הוא בבכורות נ""א ע""ב אלא שם למדין בכור מעולת ראיה וכאן ראיה מבכור. [פי' דהביא שם בבכורות כל הפסוק כל בכור בניך תפדה ולא יראו פני ריקם ויליף שם בכור מעולת ראיה בג""ש דריקם ריקם דחייב באחריות דפדיון הבן וכאן הביא הפסוק הנ""ל וכל בכור בניך תפדה ולא יראו פני ריקם בכדי למילף להיפך עולת ראיה מבכור דמה בכור אפילו לאחר מיתה משום דכתיב כל בכור בניך תפדה וכל רבויא הוא כנודע (ועי' בתורה תמימה בפ' תשא אות כ""ט) אף עולת ראיה בא לאחר מיתה משום דילפינן ג""כ גז""ש ריקם ריקם מה ריקם דכתיב גבי בכור אפי' לאחר מיתה אף ריקם דכתיב גבי עולת ראיה ג""כ בא אפילו לאחר מיתה:","עמ' ג ע""ב",Jerusalem Talmud Chagigah 3:1:6,"תמן תנינן כל הכלים יש להן אחוריים ותוך ויש להם בית צביעה ר""מ אומר לעריבה גדולה של עץ ר""ע אומר לכוסות ר""מ אומר לידים טמאות וטהורות א""ר יוסי לא אמרו אלא לידים טהורות בלבד וכרבי מאיר היו ידיו טמאות ואחורי הכוס טהורין משקה לחוץ על גבי הכוס ואחזו בבית צביעתו פשיטא שאין משקה מיטמא מן היד לטמא את הכוס כשם שאין משקה מיטמא מן היד לטמא את הכוס כך אין משקה מיטמא מן היד לטמא ככר במקום אחר נישמעינה מן הדא משקין טהורים נתונין בקרקע נגע בהן ככר טמא טימאן לאי זה דבר טימאן לא לטמא ככר במקום אחר מפני שהן ע""ג הקרקע הא ע""ג הכוס לא אלא משקה נתון ע""ג היד ואחזו בבית צביעתו אפי' כן אין משקה מיטמא מן הכוס לטמא את היד נישמעינה מן הדא משקין טמאין נתונין בקרקע נגע בהן ככר טהור ניטמא לא אמר אלא ככר הא יד לא וכר' יוסה היו ידיו טהורות ואחורי הכוס טמאים משקה נתון על גבי היד ואחזו בבית צביעתו פשיטא שאין משקה מיטמא מן הכוס לטמא את היד וכשם שאין משקה מיטמא מן הכוס לטמא היד כך אין משקה מיטמא מן הכוס לטמא ככר במקום אחר נישמעינה מן הדא משקין טמאין נתונין בקרקע נגע בהן ככר טהור ניטמא לאיזה דבר ניטמא לא לטמא הככר במקום אחר מפני שהן על גבי קרקע הא על גבי היד לא אלא משקה נתון על גבי הכוס ואחזו בבית צביעתו אפי' כן אין משקה מיטמא מן היד לטמא את הכוס נישמעינה מן הדא משקין טמאים נתונים בבית צביעתו של כוס נגע בהן כוס שאחוריו טהורים בבית צביעתו ניטמא:",
Chagigah,"מהר""א גרידץ",1,0,00,]:,,Jerusalem Talmud Chagigah 3:1:6,"תמן תנינן כל הכלים יש להן אחוריים ותוך ויש להם בית צביעה ר""מ אומר לעריבה גדולה של עץ ר""ע אומר לכוסות ר""מ אומר לידים טמאות וטהורות א""ר יוסי לא אמרו אלא לידים טהורות בלבד וכרבי מאיר היו ידיו טמאות ואחורי הכוס טהורין משקה לחוץ על גבי הכוס ואחזו בבית צביעתו פשיטא שאין משקה מיטמא מן היד לטמא את הכוס כשם שאין משקה מיטמא מן היד לטמא את הכוס כך אין משקה מיטמא מן היד לטמא ככר במקום אחר נישמעינה מן הדא משקין טהורים נתונין בקרקע נגע בהן ככר טמא טימאן לאי זה דבר טימאן לא לטמא ככר במקום אחר מפני שהן ע""ג הקרקע הא ע""ג הכוס לא אלא משקה נתון ע""ג היד ואחזו בבית צביעתו אפי' כן אין משקה מיטמא מן הכוס לטמא את היד נישמעינה מן הדא משקין טמאין נתונין בקרקע נגע בהן ככר טהור ניטמא לא אמר אלא ככר הא יד לא וכר' יוסה היו ידיו טהורות ואחורי הכוס טמאים משקה נתון על גבי היד ואחזו בבית צביעתו פשיטא שאין משקה מיטמא מן הכוס לטמא את היד וכשם שאין משקה מיטמא מן הכוס לטמא היד כך אין משקה מיטמא מן הכוס לטמא ככר במקום אחר נישמעינה מן הדא משקין טמאין נתונין בקרקע נגע בהן ככר טהור ניטמא לאיזה דבר ניטמא לא לטמא הככר במקום אחר מפני שהן על גבי קרקע הא על גבי היד לא אלא משקה נתון על גבי הכוס ואחזו בבית צביעתו אפי' כן אין משקה מיטמא מן היד לטמא את הכוס נישמעינה מן הדא משקין טמאים נתונים בבית צביעתו של כוס נגע בהן כוס שאחוריו טהורים בבית צביעתו ניטמא:",
Chagigah,"מהר""א גרידץ",1,0,6a,"@11על עזבם את תורתי @33נ""ב עיין בבלי ב""מ פ""ה ע""ב ובילקוט ירמיה רמז רפ""ב:","על עזבם את תורתי נ""ב עיין בבלי",Jerusalem Talmud Chagigah 1:7:2-3,"['תני ר""ש בן יוחי אם ראית עיירות שנתלשו ממקומן בארץ ישראל דע שלא החזיקו בשכר סופרים ומשנים מה טעמא (ירמיהו ט) על מה אבדה הארץ נצתה כמדבר מבלי עבר ויאמר ה\' על עזבם את תורתי', ""רבי יודן נשייא שלח לרבי חייה ולר' אסי ולר' אמי למיעבור בקירייתא דארעא דישראל למתקנה לון ספרין ומתניינין עלין לחד אתר ולא אשכחון לא ספר ולא מתניין אמרין לון אייתון לן נטורי קרתא אייתון לון סנטורי קרתא אמרון לון אילין אינון נטורי קרתא לית אילין אלא חרובי קרתא אמרין לין ומאן אינון נטורי קרתא אמר לון ספרייא ומתנייניא הדא היא דכתיב (תהילים קכז) אם ה' לא יבנה בית וגו'""]",sequence problem
Chagigah,"מהר""א גרידץ",1,0,8a,"@11כשם שמצוה לומר על דבר שהוא נעשה. @33נ""ב עיין בבלי יבמות ס""ה ע""ב:",כשם שמצוה לומר על דבר שהוא נעשה,Jerusalem Talmud Chagigah 1:8:14,"רבי אבהו בשם רבי יוחנן כל האסורין שריבה עליהן שוגג מותר מזיד אסור ולא מתניתא היא אם שוגג מותר אם מזיד אסור מתניתא בתרומה דרובה אתא מימור לך ואפילו בשאר כל הדברים רבי אחא בשם רבי יונתן כשם שמצוה לומר על דבר שהוא נעשה כך מצוה שלא לומר על דבר שאינו נעשה א""ר לעזר כשם שאסור לטהר את הטמא כך אסור לטמא את הטהור ר' אבא בר יעקב בשם רבי יוחנן אם באת הלכה תחת ידיך ואין את יודע אם לתלות או לשרוף לעולם הוי רץ אחר השריפה יותר מן התלייה שאין לך חביב בתורה מפרים הנשרפין ושעירים הנשרפין והן בשריפה רבי יוסי בעי ולמידין דבר שאין מצותו לכאן מדבר שמצותו לכאן:",
Pesachim,"מהר""א גרידץ",1,0,64a,"@11ששה דברים עשה חזקיהו כו'. @33נ""ב עיין לעיל פ""ד ה""ט ונזכר בירושלמי נדרים פ""ו ה""ט:",ששה דברים עשה חזקיהו כו',Jerusalem Talmud Pesachim 9:1:6,ששה דברים עשה חזקיה מלך יהודה על שלשה הודו לו ועל שלשה לא הודו לו ואלו שלשה שהודו לו כיתת נחש הנחושת והודו לו גירר עצמות אביו על מיטה של חבלים והודו לו גנז טבלה של רפואות והודו לו ואלו שלא הודו לו קיצץ דלתות ההיכל ולא הודו לו סתם את מוצא מימי גיחון ולא הודו לו עיבר ניסן בניסן ולא הודו לו.,
Shekalim,"מהר""א גרידץ",1,0,11a,"@11בקה""ע ד""ה ר""י הוה מסמיך. @33לפי שבעל בשר היה הוצרך להשען על אדם אחר. נ""ב בברכות י""ג ע""ב שאני ר' יוחנן דבעל בשר הוה ובב""מ דף פ""ד ע""א ובכתובות ס""ב ע""א:","בקה""ע ד""ה ר""י הוה מסמיך",,,
Shekalim,"מהר""א גרידץ",1,0,21a,"@11בא למנות עליהם @33נ""ב נראה דט""ס הוא ונכון כמו שהוא בס""פ ג' דיומא:","בא למנות עליהם נ""ב נראה דט""ס הוא",,,
Shekalim,"מהר""א גרידץ",1,0,21a,"@11בקרבן העדה ד""ה מי שהיה באותו הדור כשעלו ישראל מן הגולה עכ""ל @33נ""ב ולענ""ד קאי על התנא דמתניתי' שמנה כאן אותן שהיו בדורו ואלו לדעת המפרש בעל קה""ע מה תלינן פירוש המשנה דיומא ספ""ג לכאן. מאן דאמר מי שהיה באותו הדור וכו' וכי הוגרם בן לוי ובית גרמי ובית אבטינס היו מו העולים מבבל כפי הנראה מהסוגיא דשם היו סמוך לחורבן בית שני אשר בשביל זה לא רצו ללמד. ואם נאמר שהיו בשם זה בין העולי בבל וגם סוף בית שני היו בשם זה היה אפשר לומר כן גם למאן דאמר כשרי דור ודור מונה דאלו שביומא אחרינא היו בשם זה:","בקרבן העדה ד""ה מי שהיה באותו הדור",,,
Shekalim,"מהר""א גרידץ",1,0,26b,"@11בקה""ע ד""ה נמצא שלחן בדרום. @33וה""פ שלחן ארכו ב' אמות ומחצה הרי הוא שלשים אמה [כ""ה הגירסא בדפוסים הקדמונים ואצלנו הוא מתוקן] נ""ב תי' ומחצה לא יובן הא לא היה רק ב' אמות וא""כ יהיה הפסק חצי אמה מנין זה די במשהו כפי הסוגיא בבבלי מנחות צ""ט:","בקה""ע ד""ה נמצא שלחן בדרום",,,
Shekalim,"מהר""א גרידץ",1,0,27b,"@11בקה""ע ד""ה ואין הכהן חושש וכו'. @33ולא פליג ר""י משמע דכ""ע מודים כו'. נ""ב ואע""ג דע""ז עצמו איתא דר""י אמר שלא היה שופר כדאיתא בתוספתא פ""ג דשקלים לא פליג אלא דלא תקנו קן אבל מודה לת""ק שאם בא ?ראי נתנה חובתה לקן דלא חיישינן אע""ג שהרבה נתנו חובתו לשם לא חיישינן שמא מת אחת וא""כ מדוע לא תקנו מתחלה לר""י קן ומשני דחייש ר' יהודה לודאי:","בקה""ע ד""ה ואין הכהן חושש וכו'",,,
