masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Nazir,מראה הפנים,1,0,1b,"@11כל @33כינוי נזירות. באומר אין נאה כזה. מסוגיא דהכא משמע דבנאה לא בעינן תפוס בשערו אלא נזיר עובר לפניו מהני דהלואי אהא נאה כמותו קאמר וכן משמע מהכא דבאומר הריני כזה תפוס בשערו לחוד הוא דמהני אבל לא משמע כן מסוגית הבבלי אלא בנאה תפוס בשערו דוקא הוא דמהני אבל נזיר עובר לפניו לא מהני ובאומר הריני כזה נזיר עובר לפניו מהני. ואפי' אם נפרש דברי רבי יוסי ב""ח דהכא דתפוס בשערו נמי בעינן קאמר לא אתייא כסוגית הבבלי דמשמע מהתם דהא דמוקי שמואל באומר הריני כזה בשהנזיר עובר לפניו לחוד הוא דקאמר ולא בעינן תפוס בשערו וכדפירשו התוס' ד""ה הריני כזה וכן נראה מדברי הרמב""ם פ""א מהל' נזירות הל""ו ובפ""ב הל""ד ולא כדמשמע מדברי המפרש בבבלי דף ג':",כל כינוי נזירות,JTmock Nazir 1:1:3,תני כל כינויי נזירות כנזירות ולוקין עליהן אף על גב דרבי יוחנן אמר אין לוקין על האיסרות מודה הוא הכא שהוא לוקה אף על גב דרבי שמעון אמר אינו מביא קרבן מודה הוא הכא שהוא לוקה אף על גב דר' יודה אמר ספק נזירות מותר מודה הוא הכא שהוא לוקה מה נן קיימין אם במתכוין ליזור אפילו אמר שאזכיר פת אהא נזיר נזיר אם בשאינו מתכוין ליזור אף על גב שהוציא נזירות מפיו לא יהא נזיר כך אם היה קורא בתורה והזכיר נזיר נזיק אלא כי נן קיימין באומר אחד מכל הלשונות הללו נזרי אם תופש אחד מהן נזירות תחול עליו נזירות ואם לאו לא תחול עליו נזירות אמר לו שמור ושמעת.
Nazir,מראה הפנים,1,0,1b,"@11אמר @33רבי שמעון בן לקיש לשון אומות העולם הוא. בבבלי נדרים ד י' מהפך הגי' דר""ל לדרבי יוחנן דקאמר לשון א""ה הן ונ""מ שהולכין אחר כל לשון שהם מכניס באותו מקום ובאותו זמן כדמשמע הכא להאי מ""ד וכ""כ הרמב""ם בכ""א מנדרים הלט""ז וכרבי יוחנן דהתם ועיין בריש נדרים שכתבתי שם להכריח דסוגיא דהתם אזלא כמ""ד לשונות א""ה הן ואינו סותר למה שכתבנו שהולכין אחר כל לשון דהתם ה""ק ולמה לא תנינן כינוי ערכין כלומר דקס""ד דלשונות שבדו חכמים הן וא""כ למה לא אמרו נמי בערכין ותמורות כן ומשני דלשונות נכרים הן וא""כ לא הוי מנינן למיתני ערכין ערצין כו' דבלשונות נכרים לא אשכחן בהו כה""ג:",אמר רבי שמעון בן לקיש לשון אומות,JTmock Nazir 1:1:6,"נזיק נזיח פזיק א""ר יוחנן לשונות שביררו להן ראשונים אין רשות לבירייה להוסיף עליהן והא תני ר' חייה רזיח הזיח א""ר שילא לשונות שביררו להן משניות אין רשות לבירייה להוסיף עליהן והתני בר קפרא חרס לא חספא אמר ר' זעירא לשון גבוה הוא (איוב ט) האומר לחרס ולא יזרח וגו' אמר ר' שמעון בן לקיש לשון אומות העולם הוא אמר רבי זעירא לשון גיוותי הוא דאינון קריי לחספא כספא אמר ר' יוסי נראין דברים במקומות אחרים אבל במקום שקוראין לנזיר נזיק אנו אומרים נזיר פסילים אינו נזיר"
Nazir,מראה הפנים,1,0,2a,"@11הרי @33עלי לשלח פרע כו'. בבבלי לא נחית להא דהתם קאמר אהא דפריך ממאי דהדין שלוח ריבוייא הוא דכתיב שלחיך פרדס רמונים אימא מידי דעבורי הוא דכתיב ושולח מים על פני חוצות תנא פרע פרע יליף כתיב הכא גדל פרע שער ראשו וכתיב התם גבי כהן ופרע לא ישלחו וצ""ל דהאי ש""ס לא ס""ל להאי ג""ש והילכך עד דאמר נמי הריני מסלסל או הריני מכלכל:",הרי עלי לשלח פרע כו',JTmock Nazir 1:1:8,הריני כזה. אמר ר' יוסי בר חנינה בתפוש בשערו והוא אמר הריני כזה הריני מסלסל הריני מכלכל כאומר הריני מן המסלסלין מן המכלכלין הריני מסלסל ומכלכל כאומר לא אסלסל ולא אכלכל פחות משלשים אלא שלשים הרי עלי שלא אסלסל שלא אכלכל כאומר לא אסלסל ולא אכלכל יותר על שלשים אלא שלשים הרי עלי לשלח פרע הרי אני מסלסל מכלכל הרי עלי שלא אסלסל ושלא אכלכל הרי עלי לשלח פרע
Nazir,מראה הפנים,1,0,2a,"@11נעשה @33כמתנדב ציפורין. משמע דלרבנן עכ""פ ציפורין הוא מביא לשלם נדבתו ולא דמי לאשם דלקמיה דהתם ודאי אינו מביא כלל דנדר בטעות הוא אבל ציפורין מביא שהרי באין בנדבה הן וכ""כ הרמב""ם בפי' המשנה אלא שבחיבורו נראה שחזר בו שהרי כתב בפ""א הל""ז אמר הרי עלי ציפורין אינו נזיר והרי זה כמי שלא הוציא בשפתיו כלום ומשמע דאפי' ציפורין אינו מחויב להביא והכי משמע מסוגית הבבלי דהרי שקיל וטרי לרבי יוחנן דגריס התם אליביה כדר""ל דהכא דאמר טעמיה דר""מ חיישינן שמא ציפורי נזיר טמא קיבל עליו ודילמא ציפורי נדבה קיבל עליו א""כ הרי עלי קן מיבעיא ליה. ולפ""ז האי דיוקא דייקינן נמי אליבא דרבנן דודאי לא נתכוין לצפורי נדבה וא""כ כמי שלא הוציא בשפתיו כלום הוא:",נעשה כמתנדב ציפורין,JTmock Nazir 1:1:9,"הרי עלי ציפורין ר' מאיר אומר נזיר וחכמים אומרים אינו נזיר א""ר יוחנן משום כינויי כינויין עד די שעריה כנישרין רבא וטיפרוהי כציפורין רשב""ל אמר משום נזיר טמא מביא עוף וכי ציפורין הוא מביא תורין ובני יונה הוא מביא אית תניי תני כל עוף טהור קרוי ציפורין ואית תניי תני כל עוף בין טמא בין טהור קרוי ציפורין מן דמר כל עוף טהור קרוי ציפורין (דברים יד) כל צפור טהורה תאכלו ומן דמר כל עוף בין טמא בין טהור קרוי ציפורין (יחזקאל לט) אמור לצפור כל כנף מה טעמא דרבנין נעשה כמתנדב ציפורין לבדק הבית מ""ט דר""מ נעשה כמתנדב אשם לבדק הבית מה נפק מביניהון אמר הרי עלי אשם על דעתיה דר' מאיר מאחר שאינן מתנדבין אשם לבדק הבית נזיר על דעתין דרבנין מאחר שנזיר טמא מביא אשם אינו נזיר:"
Nazir,מראה הפנים,1,0,2b,"@11כרבי @33יהודה עד שיזכיר ווי""ן. האי ש""ס לשיטתיה אזיל דמוקי לה לפלוגתייהו דר""מ ור""י בהכי וכמפורש בפרק בתרא דגיטין הל""ו וע""ש וש""ס הבבלי לא מחלק הכא בהא ועיין לקמן בפ""ב דקידושין הל""א ד""ה מאן תנא ווי""ן מ""ש מזה:","כרבי יהודה עד שיזכיר ווי""ן",JTmock Nazir 1:2:2,כיני מתניתא או מן החרצנים או מן הזגין או מתגלחת או מטומאה אם אמר בכולן נזיר כרבי יהודה עד שיזכיר ווים ברם ר' מאיר אפילו לא הזכיר ווין
Nazir,מראה הפנים,1,0,3a,"@11נדרים @33חלין על האיסורין. וה""ה בנזירות ואע""פ שלא אמר עלי ודלא כמ""ש המפרש בדף ד' ד""ה הרי מושבע ועומד דהא דנזירות חלה על דבר מצוה דוקא בנשבע מפי עצמו בתחלה שישתה יין אלא כפירוש ר""ת בתוס' ד""ה מאי היא וכן נראה דעת הרמב""ם בפ""ז מנזירות הלי""א שכתב ואצ""ל לומר שהוא אסור ביין קידוש שהוא מד""ס משמע ומפרש כר""ת וכגירסתו שם בגמרא וכי מושבע ועומד מהר סיני וממילא נשמע דחלה אף על מושבע מהר סיני והא דכתב שם כיצד מי שנשבע שישתה יין היום ואח""כ נדר בנזיר צ""ל דלאו דוקא הוא לפי גירסא זו בגמרא וכדמשמע מהכא דאפי' על איסורין שמושבע מהר סיני חלה הנזירות:",נדרים חלין על האיסורין,JTmock Nazir 1:2:5,"לא גזרתי מותר כבר הייתי נזיר הרי זה אסור ר' בון בר חייה בשם ר' אבינה ר' אימי בשם ר' יוסי בר חנינה האומר הריני מיץ של ערלה לא אמר כלום חברייא אמרין מחלוקת כר""ש דתנינן תמן שבועה שלא אוכל ואכל נבילות וטריפות שקצים ורמשים חייב ורבי שמעון פוטר אמר רבי זעירא בכולל נחלקו אבל בפורט כל עמא מודיי שאין שבועות חלות על איסורין וכאן בכולל אנן קיימין אמר ר' יודן כאן בנדרים כאן בשבועות נדרים חלין על איסורין ואין שבועות חלות על האיסורין"
Nazir,מראה הפנים,1,0,3a,"@11מן @33הכא הכביד שערו רבי. וכן היא פלוגתא דתנאי בבבלי דף ד'. לרבי מגלח כל י""ב חדש דילפינן מאבשלום דמגלח לי""ב הוה ולרבי נהוראי לשלשים יום ופסק הרמב""ם ז""ל בפ""ג מנזירות הלי""ב בהא כרבי דנזיר עולם מיקל בתער כל י""ב חדש ומסוגיא דהכא משמע דחכמים דפליגי אדרבי במתניתין דלקמן גבי הריני נזיר כשערות ראשי דסברי מגלח אחת לל' יום פליגי נמי הכא דלדידהו אין נזיר עולם מגלח לי""ב חדש אא""כ באומר מלא כדמפרש לקמן. אבל מסוגית הבבלי אין לנו הכרח לומר כן דהתם לרבנן מטעמא אחרינא הוא דנעשה כאומר כמנין שערות ראשי ונזירות חלוקות הן אבל הכא מודו דמגלח לי""ב חדש. וכן הא דקאמר הכא לקמן דבאומר כמנין אפי' רבי מודה דנזירות חלוקות הן פליגא אסוגית הבבלי דשלהי פרקין דקאמר התם לרבי לא שאני ליה מונה וכן הא דמשמע מסוגיא דהכא דמחלק לרבנן באומר מלא גופיה בין דין דמלא שער ראשי ובין יין דמלא הבית דהתם מגלח אחת לל' יום ומטעמא דפרישית לקמן בפנים דהואיל ואמר פתם נזרתי אין מחמירין עליו כל כך גם בזה אין לנו הכרח מסוגית הבבלי לומר כן אלא דאיכא למימר דהתם לרבנן נמי מגלח אחת לי""ב חדש ודינו כשאר נזיר עולם דמגו דנחית לנזירות מחמרינן עליה בכל. ועיין לקמן בד""ה ותני עלה שם נתבאר כוונתינו מתוך דברינו אלה:",מן הכא הכביד שערו רבי,JTmock Nazir 1:2:7,"מן הכא הכביד שערו רבי דמר ר' ירמיה משום ר' אימי דברי ר' נזיר עולם מגלח אחד לשנים עשר חדש דברי חכמים פעמים שהוא מגלח אחת לשלשים יום פעמים שהוא מגלח אחת לי""ב חדש ר' הילא בשם ר' אסי מתניתא אמרה כן הריני נזיר כשער ראשי וכעפר הארץ וכחול הים הרי זה נזיר עולם ומגלח אחת לשלשים יום ר' אומר אין זה מגלח אחת לשלשים יום אלא אחת לי""ב חדש ואי זהו שמגלח אחת לשלשים יום האומר הרי עלי נזירות כשערות ראשי וכעפר הארץ וכחול הים אמר ר' זעירא בסתם חלוקין מה נן קיימין אם באומר מלא שערי כל עמא מודיי שמגלח לאחר שנים עשר חדש אם באומר כמיניין שערות ראשי כל עמא מודיי שמגלח אחד לשלשים יום אלא כי נן קיימין באומר כשיער ר' אומר מלא ראשי ורבנין אמרין כאומר כמיניין שערות ראשי וכאן למה אין האיש נודר שאינו אלא כמזרז עצמו מן האסורין ועוד מן הדא הוסיף רבי יהודה אם אמר כמלקטי קיץ וכשבילי שמיטה וככוכבים שברקיע הרי זה נזיר עולם ומגלח אחת לשלשים יום אין תימר ר' יהודה כרבנין כרבי הוא הוסיף ר' יהודה אבשלום נזיר עולם הוה ומגלח אחת לשנים עשר חדש מאי טעמא משום נזירות וויידא אמרה על רבנין שהוא מגלח אחת לשלשים יום הדא היא דתנינן הריני נזיר מלא הבית או מלא הקופה בודקין אותו ותני עלה שהוא מגלח אחת לשלשים יום והא אמר שהוא מגלח א' לי""ב חדש"
Nazir,מראה הפנים,1,0,3a,"@11הוסיף @33רבי יודה אם אמר כמלקטי קייץ כו'. כך היא הגירסא בתוספתא אלא דשם לא גריס הוסיף ולפי גירסא זו שפיר הוי הוכחה דר' מודה באומר כמניין ולא פליג אלא בסתם כדפרישית. אבל בבבלי שלהי כרקין גריס רבי יהודה אומר הריני נזיר מנין הלקטי קיץ ומנין שבילי שמטה והילכך מפרש התם טעמא דרבי יהודה דמנין שאני ופליג בהא ארבי דלא שאני לוה מונה כדמייתי התם ברייתא דקאמר הכי רבי בהדיא. ויצא לנו עוד מזה דלשיטת הבבלי פלוגתא דרבי ורבנן במתני' הריני נזיר כשער ראשי בין במנין ובין באומר מלא דהתם לא מחלק מידי וטעמייהו דרבנן דלעולם אמרינן בכה""ג נזירות חלוקות הן ומגלח אחת לשלשים ימים מכיון דתלה נזירותו בדברים חלוקין אבל בעלמא אפילו לרבנן נזיר עולם מגלח אחת לי""ב חדש. ולבי אע""ג דחלה בדברים חלוקין כיון דאמר הריני נזיר נזירות אריכתא היא. ומיהו אחת לי""ב חדש היא דמגלח כדקאמר הכא בהדיא לרבי וכן כתב הרמב""ם בפירוש המשנה וכן פירש הר""ב ודלא כפי' המפרש התם במתני' רבי אומר אין זה מגלח אחת לשלשים יום נזירות אריכא היא ואינו מגלח לעולם:",הוסיף רבי יודה אם אמר כמלקטי קייץ,JTmock Nazir 1:2:7,"מן הכא הכביד שערו רבי דמר ר' ירמיה משום ר' אימי דברי ר' נזיר עולם מגלח אחד לשנים עשר חדש דברי חכמים פעמים שהוא מגלח אחת לשלשים יום פעמים שהוא מגלח אחת לי""ב חדש ר' הילא בשם ר' אסי מתניתא אמרה כן הריני נזיר כשער ראשי וכעפר הארץ וכחול הים הרי זה נזיר עולם ומגלח אחת לשלשים יום ר' אומר אין זה מגלח אחת לשלשים יום אלא אחת לי""ב חדש ואי זהו שמגלח אחת לשלשים יום האומר הרי עלי נזירות כשערות ראשי וכעפר הארץ וכחול הים אמר ר' זעירא בסתם חלוקין מה נן קיימין אם באומר מלא שערי כל עמא מודיי שמגלח לאחר שנים עשר חדש אם באומר כמיניין שערות ראשי כל עמא מודיי שמגלח אחד לשלשים יום אלא כי נן קיימין באומר כשיער ר' אומר מלא ראשי ורבנין אמרין כאומר כמיניין שערות ראשי וכאן למה אין האיש נודר שאינו אלא כמזרז עצמו מן האסורין ועוד מן הדא הוסיף רבי יהודה אם אמר כמלקטי קיץ וכשבילי שמיטה וככוכבים שברקיע הרי זה נזיר עולם ומגלח אחת לשלשים יום אין תימר ר' יהודה כרבנין כרבי הוא הוסיף ר' יהודה אבשלום נזיר עולם הוה ומגלח אחת לשנים עשר חדש מאי טעמא משום נזירות וויידא אמרה על רבנין שהוא מגלח אחת לשלשים יום הדא היא דתנינן הריני נזיר מלא הבית או מלא הקופה בודקין אותו ותני עלה שהוא מגלח אחת לשלשים יום והא אמר שהוא מגלח א' לי""ב חדש"
Nazir,מראה הפנים,1,0,3b,"@11ויידא @33אמרה על רבנין שהוא מגלח אחת לשלשים יום הדא היא. איכא למידק דהא משמע דהש""ס דהכא ס""ל דנזיר עולם דמתני' דהכא לרבנן נמי מגלח אחת לשלשים יום כפי שנתבאר ומאי דוחקיה לאהדורי על מתני' דמלא הבית הא שפיר אשכחן תרווייהו לרבנן במתני' דהכא ובמתני' דכשער ראשי דמגלח אחת לשלשים יום ובאומר מלא שערי מגלח אחת לי""ב חדש וי""ל דרצה לחלק באומר מלא גופיה לרבנן בין מתני' דמלא שער ובין מתני' דמלא הבית ומטעמא דפרישית בפנים:",ויידא אמרה על רבנין שהוא מגלח אחת,JTmock Nazir 1:2:7,"מן הכא הכביד שערו רבי דמר ר' ירמיה משום ר' אימי דברי ר' נזיר עולם מגלח אחד לשנים עשר חדש דברי חכמים פעמים שהוא מגלח אחת לשלשים יום פעמים שהוא מגלח אחת לי""ב חדש ר' הילא בשם ר' אסי מתניתא אמרה כן הריני נזיר כשער ראשי וכעפר הארץ וכחול הים הרי זה נזיר עולם ומגלח אחת לשלשים יום ר' אומר אין זה מגלח אחת לשלשים יום אלא אחת לי""ב חדש ואי זהו שמגלח אחת לשלשים יום האומר הרי עלי נזירות כשערות ראשי וכעפר הארץ וכחול הים אמר ר' זעירא בסתם חלוקין מה נן קיימין אם באומר מלא שערי כל עמא מודיי שמגלח לאחר שנים עשר חדש אם באומר כמיניין שערות ראשי כל עמא מודיי שמגלח אחד לשלשים יום אלא כי נן קיימין באומר כשיער ר' אומר מלא ראשי ורבנין אמרין כאומר כמיניין שערות ראשי וכאן למה אין האיש נודר שאינו אלא כמזרז עצמו מן האסורין ועוד מן הדא הוסיף רבי יהודה אם אמר כמלקטי קיץ וכשבילי שמיטה וככוכבים שברקיע הרי זה נזיר עולם ומגלח אחת לשלשים יום אין תימר ר' יהודה כרבנין כרבי הוא הוסיף ר' יהודה אבשלום נזיר עולם הוה ומגלח אחת לשנים עשר חדש מאי טעמא משום נזירות וויידא אמרה על רבנין שהוא מגלח אחת לשלשים יום הדא היא דתנינן הריני נזיר מלא הבית או מלא הקופה בודקין אותו ותני עלה שהוא מגלח אחת לשלשים יום והא אמר שהוא מגלח א' לי""ב חדש"
Nazir,מראה הפנים,1,0,3b,"@11ותני @33עלה שהוא מגלח אחת לשלשים יום הך ברייתא ליתא בש""ס הבבלי. ומתוך מה שנתבאר לעיל דלפי שיטת הבבלי דבמתניתין דמלא שער פליגי ר' ורבנן לעולם בין במונה ובין אומר מלא לר' מגלח אחת לי""ב חדש הואיל ואמר מתחילה הריני נזיר הוי כשאר נזיר עולם עד שיאמר הרי עלי נזירות ולרבנן מכיון דתלה נזירות בדברים חלוקים מגלח א' לשלשים יום ולפ""ז במתני' דמלא הבית דאם אמר סתם נזרתי דלין אותו להחמיר ונזיר כל ימיו הוא ולכ""ע בין לר' ובין לרבנן מגלח א' לי""ב חדש דכשאר נזיר עולם הוא ובהא לא פליגי ר' ורבנן לפי שיטת הבבלי וטעמא דהא הכא לא תלה הוא נזירותו בדברים חלוקין והוא אומר לב""ד שידונו דעתו וכיון דמחמרינן עליה להיות נזיר עולם מטעמא דנחת לנזירות ושמא מלא החרדל קביל עליה דינו כשאר נזיר עולם. ואין להכריח מסוגית הבבלי דף ח' דקאמר עלה דהאי מתני' דאפי' ר' יהודה מודה בהא דנזיר כל ימיו הוא אע""ג דבעלמא ס""ל ספק נזירות להקל שאני הכא דנחית ליה לנזירות ובמאי לחלוקי מיניה ופריך אמאי לא ליחזי לקופה כאלו מלאה קישואין ותהוי ליה תקנתא לא ס""ד דנזירות הוא דקביל עליה ור' יהודה סבר לה כר' דאמר אין זה מגלח א' לשלשים יום ואיזהו שמגלח אחת לשלשים יום האומר הרי עלי נזירות כשער ראשי ע""כ ולכאורה משמע דלענין זה נמי אמרינן ור' יהודה סבר לה בהא כר' דמגלח א' לי""ב חדש וא""כ לרבנן דפליגי התם על ר' וס""ל דמגלח א' לשלשים יום ס""ל נמי הכא כן ולא אתיא סיפא דמתני' דמלא הבית כוותייהו (וכן דעת התי""ט לפרש כן). אבל הא ליתא כלל דהא דקאמר ר' יהודה סבר לה כר' ה""ק כמו דמצינו לר' דמחמיר התם אע""ג דתלה נזירותו בדברים חלוקין אפ""ה מכיון דאמר מתחלה הריני נזיר נזירות חדא הויא ואין זה מגלח לשלשים יום וה""נ אליבא דר' יהודה במתני' אע""ג דאיכא למימר דליחזי כאלו קופה מלאה קישואין ותיהוי ליה תקנתא הא לא אמרינן דמכיון דנחית לנזירות מחמרינן עליה דשמא מלא חרדל קביל עליה ונזיר עולם הוי ולא מיתוקמא מילתיה דר' יהודה כרבנן דלדידהו לעולם אמרינן בההיא דהתם נזירות חלוקין הן ולא ס""ל לרבי יהודה האי סברא שכתבנו לחלק אליבא דרבנן בין תלה היא נזירותו בדברים חלוקין או לא ולפיכך לא מוקי הש""ס מילתיה כרבנן אלא כר' ועוד דלמסקנא דקאמר לר' יהודה שאני ליה ברישא בין מונה לאינו מונה וס""ל כוותיה דר' בחדא ופליג עליה בחדא וא""כ לא מצי לאוקמי מילתיה כלל לרבנן דלדידהו אפילו באינו מונה קאמרי התם דנזירות חלוקין הן כמו שנתבאר לעיל אבל לרבנן גופייהו דהתם שכיר איכא למימר דמודו הכא להא דרב יהודה ומשום דלא תלה הוא נזירותו בדברים חלוקין חדא נזירות הויא ומגו דנחית לנזירות מחמרינן עליה דלית ליה תקנתא במלא קישואין כמו שנתבאר והשאר נזיר עולם הוי ובהא כ""ע ל""פ דמגלח אחת לי""ב חדש. ומתוך זה נתבארו לנו דברי הרמב""ם ז""ל על נכון כי המה סובבים והולכים על קוטב הישר ונטוים על קו האמת שכתב בפ""ג הלכה יח בדין הריני נזיר כשער ראשי שמגלח אחת לשלשים יום כרבנן מטעמא שתלה נזירותו בדברים חלוקים ואפילו לא אמר כמנין ה""ו כמי שאמר כמנין ובדין דמלא הבית ומלא הקופה כתב לעיל בהלכה י""ז ואם אמר סתם נדרתי רואים את הקופה כאלו היא מלאה חרדל ויהיה נזיר כל ימיו ויש לו לגלח מי""ב חדש לי""ב חדש ויביא קרבנותיו כשאר נזירי עולם. והן הן הדברים שבארנו דפסק כרבנן דהתם וכר' יהודה דהכא דמודו ליה רבנן בהא. והתי""ט כתב במשנה ה' בד""ה ונזיר כל ימיו אחר שכתב פירושו בגמ' (וזהו כפי מה שנדחה לעיל בדברינו) וז""ל ולא עוד אלא שראיתי להרמב""ם בפ' ג' מהל' נזירות שפסק כדלעיל דלא כר' ובדהכא פסק דמגלח כל י""ב חדש והא הוי כמזכי שטרא אבי תרי וצ""ע שהראב""ד והכ""מ לא העירו בזה כלל עכ""ל. ולפי מה שכתבנו יפה כתב הרמב""ם ויפה ויכה לנו דיש לחלק בין תלה הוא עצמו בדברים חלוקין לאומר סתם ותולה דעתו דב""ד וכל המעיין יודה לדברינו כי דבריו המה ברורים וחזקים כראי מוצק ובעל משנה למלך תירץ בענין אחר והנלע""ד כתבתי:",ותני עלה שהוא מגלח אחת לשלשים יום,JTmock Nazir 1:2:7,"מן הכא הכביד שערו רבי דמר ר' ירמיה משום ר' אימי דברי ר' נזיר עולם מגלח אחד לשנים עשר חדש דברי חכמים פעמים שהוא מגלח אחת לשלשים יום פעמים שהוא מגלח אחת לי""ב חדש ר' הילא בשם ר' אסי מתניתא אמרה כן הריני נזיר כשער ראשי וכעפר הארץ וכחול הים הרי זה נזיר עולם ומגלח אחת לשלשים יום ר' אומר אין זה מגלח אחת לשלשים יום אלא אחת לי""ב חדש ואי זהו שמגלח אחת לשלשים יום האומר הרי עלי נזירות כשערות ראשי וכעפר הארץ וכחול הים אמר ר' זעירא בסתם חלוקין מה נן קיימין אם באומר מלא שערי כל עמא מודיי שמגלח לאחר שנים עשר חדש אם באומר כמיניין שערות ראשי כל עמא מודיי שמגלח אחד לשלשים יום אלא כי נן קיימין באומר כשיער ר' אומר מלא ראשי ורבנין אמרין כאומר כמיניין שערות ראשי וכאן למה אין האיש נודר שאינו אלא כמזרז עצמו מן האסורין ועוד מן הדא הוסיף רבי יהודה אם אמר כמלקטי קיץ וכשבילי שמיטה וככוכבים שברקיע הרי זה נזיר עולם ומגלח אחת לשלשים יום אין תימר ר' יהודה כרבנין כרבי הוא הוסיף ר' יהודה אבשלום נזיר עולם הוה ומגלח אחת לשנים עשר חדש מאי טעמא משום נזירות וויידא אמרה על רבנין שהוא מגלח אחת לשלשים יום הדא היא דתנינן הריני נזיר מלא הבית או מלא הקופה בודקין אותו ותני עלה שהוא מגלח אחת לשלשים יום והא אמר שהוא מגלח א' לי""ב חדש"
