masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Chagigah,פני משה,1,1,1a,"@22מתני' @11הכל חייבין בראייה. @33במצות יראה כל זכורך שצריכין להתראות פנים בעזרה ברגל וצריכין ג""כ להביא קרבן עולה שנאמר ולא יראו פני ריקם וזהו נקראת עולת ראייה. והכל דקתני לאתויי מי שחציו עבד וחציו בן חורין וזהו דוקא למשנה ראשונה דפ""ד דגיטין דקאמרי ב""ה עובד את רבו יום אחד ואת עצמו ביום אחד ולפיכך עבדי ליה תקנתא במצות שהוא חייב בהן מספק מדברי סופרים אבל אין כן הלכה אלא כמשנה אחרונה שחזרו ב""ה להורות כדברי ב""ש שכופין את רבו לשחררו וכל זמן שלא שחררו אמרו חכמים שפטור מן המצות כי היכי שנוכל למהר לרבו לשחררו כדי שלא ימנע מן המצות:",הכל חייבין בראייה,JTmock Chagigah 1:1:1,"הכל חייבין בראייה חוץ מחרש שוטה וקטן וטומטום ואנדרוגינס נשים ועבדים שאינן משוחררין החיגר והסומא והחולה והזקן וכל שאינו יכול לעלות ברגליו איזהו קטן כל שאינו יכול לרכוב על כתיפו של אביו ולעלות מירושלם להר הבית דברי ב""ש וב""ה אומרים כל שאינו יכול לאחוז בידו של אביו ולעלות מירושלם להר הבית שנא' (שמות כג) שלש רגלים:"
Chagigah,פני משה,1,1,1a,"חוץ מחרש. בפ""ק דתרומות תנינן חרש שדברו חכמים בכל מקום שאינו שומע ואינו מדבר והכא במצות ראיה אף המדבר ואינו שומע ואפי' הוא חרש באזנו אחת פטור וכן השומע ואינו מדבר פטור דילפינן ראיה ראיה מהקהל דכתיב שם בבוא כל ישראל לראות את פני ה' וכתיב בתריה למען ישמעו פרט למי שאין לו שמיעה גמורה ולמען ילמדו פרט לשומע ואינו מדבר והא דתנן כאן חרש סתם אמרינן התם בגמרא מתניתין חסורי מחסרא והכי קתני הכל חייבין בראייה ובשמחה חוץ מחרש המדבר ואינו שומע או שומע ואינו מדבר שפטור מן הראייה ואע""פ שפטור מן הראייה חייב בשמחה ואת שאינו לא שומע ולא מדבר ושוטה וקטן פטור אף מן השמחה הואיל ופטורין מכל מצות האמורות בתורה:",חוץ מחרש,JTmock Chagigah 1:1:1,"הכל חייבין בראייה חוץ מחרש שוטה וקטן וטומטום ואנדרוגינס נשים ועבדים שאינן משוחררין החיגר והסומא והחולה והזקן וכל שאינו יכול לעלות ברגליו איזהו קטן כל שאינו יכול לרכוב על כתיפו של אביו ולעלות מירושלם להר הבית דברי ב""ש וב""ה אומרים כל שאינו יכול לאחוז בידו של אביו ולעלות מירושלם להר הבית שנא' (שמות כג) שלש רגלים:"
Chagigah,פני משה,1,1,1a,"החיגר. אפי' ברגלו אחת והסומא אפי' באחת מעיניו והחולה והזקן וכל שאינו יכול לעלות ברגליו שהוא רך וענוג וילפינן מדכתיב שלש רגלים יצאו אלו שאינן יכולין לעלות ברגליהם וסומא מדכתיב בבוא כל ישראל לראות כשם שהן באים להראות כך הם באים לראות הר קדשו ובית שכינתו יצא סומא אפי' באחת מעיניו שאין ראייתו שלימה ומדכתיב כל זכורך ממעטינן טומטום ואנדרוגינוס ונשים שאינן בכלל זכורך ועבדים דכל מצות עשה שאין האשה חייבת בה אין העבדים חייבין בה ודקתני שאין משוחררין היינו שאינן משוחררין לגמרי ומאי ניהו מי שחציו עבד וחציו בן חורין דג""כ פטור והך סיפא כמשנה אחרונה וכדלעיל:",החיגר,JTmock Chagigah 1:1:1,"הכל חייבין בראייה חוץ מחרש שוטה וקטן וטומטום ואנדרוגינס נשים ועבדים שאינן משוחררין החיגר והסומא והחולה והזקן וכל שאינו יכול לעלות ברגליו איזהו קטן כל שאינו יכול לרכוב על כתיפו של אביו ולעלות מירושלם להר הבית דברי ב""ש וב""ה אומרים כל שאינו יכול לאחוז בידו של אביו ולעלות מירושלם להר הבית שנא' (שמות כג) שלש רגלים:"
Chagigah,פני משה,1,1,1a,כל שאינו יכול לאחוז וכו' ולעלות. ברגליו מירושלים להר הבית ולבוא לעזרה:,כל שאינו יכול לאחוז וכו' ולעלות,JTmock Chagigah 1:1:1,"הכל חייבין בראייה חוץ מחרש שוטה וקטן וטומטום ואנדרוגינס נשים ועבדים שאינן משוחררין החיגר והסומא והחולה והזקן וכל שאינו יכול לעלות ברגליו איזהו קטן כל שאינו יכול לרכוב על כתיפו של אביו ולעלות מירושלם להר הבית דברי ב""ש וב""ה אומרים כל שאינו יכול לאחוז בידו של אביו ולעלות מירושלם להר הבית שנא' (שמות כג) שלש רגלים:"
Chagigah,פני משה,1,1,1a,"שנאמר שלש רגלים. הראוי לעלות ברגליו הוא דחייבו הכתוב ומדגדול בכה""ג פטור הוא מן התורה קטן נמי לאו בר חינוך הוא:",שנאמר שלש רגלים,JTmock Chagigah 1:1:1,"הכל חייבין בראייה חוץ מחרש שוטה וקטן וטומטום ואנדרוגינס נשים ועבדים שאינן משוחררין החיגר והסומא והחולה והזקן וכל שאינו יכול לעלות ברגליו איזהו קטן כל שאינו יכול לרכוב על כתיפו של אביו ולעלות מירושלם להר הבית דברי ב""ש וב""ה אומרים כל שאינו יכול לאחוז בידו של אביו ולעלות מירושלם להר הבית שנא' (שמות כג) שלש רגלים:"
Chagigah,פני משה,1,1,1a,"@22גמ' @11מתניתא. @33דקתני קטן פטור היינו בראוית קרבן. דלאו בר קרבן הוא אבל בראיית פנים בעזרה אפי' קטן חייב מן הדא דכתיב בפ' הקהל וכו'. וכי אין קטן גדול מטף ואם טף חייב קטן לכ""ש וילפינן ראייה ראייה מהקהל:",מתניתא,JTmock Chagigah 1:1:2,מתני' בראיית קרבן אבל בראיית פנים אפי' קטן חייב מן הדא (שמות כג) הקהל את העם האנשים והנשים והטף ואין קטן גדול מטף 
Chagigah,פני משה,1,1,1a,"דתני בברייתא מעשה וכו'. איידי דמזכיר הכתוב מייתי דרשת ר""א בן עזריה. ובמכילתא בפ' קדש לי כל בכור מייתי דרשת ר""א בן עזריה על הפסוק אתם נצבים וגו' טפכם נשיכם וגו':",דתני בברייתא מעשה וכו',JTmock Chagigah 1:1:3,"דתניא מעשה בר""י בן ברוקה ור""א חסמא שהיו מהלכין מיבנה ללוד והקבילו רבי יהושע בבקיעין אמר להן מה חדוש היה לכם בבית המדרש היום אמרו לו הכל תלמידיך ומימיך אנו שותים אמר להן אעפ""כ א""א לבית המדרש שלא יהא בו דבר חדש בכל יום מי שבת שם אמרו לו ר' לעזר בן עזריה מה היתה פרשתו הקהל את העם האנשים והנשים והטף פתח בה אמר הואיל והאנשים באין ללמוד והנשים לשמוע הטף למה באו אלא כדי ליתן שכר למביאיהן אמר להן אין הדור יתום שר' לעזר בן עזריה בתוכו "
Chagigah,פני משה,1,1,1b,מי שבת שם. שבת של מי היתה:,מי שבת שם,JTmock Chagigah 1:1:3,"דתניא מעשה בר""י בן ברוקה ור""א חסמא שהיו מהלכין מיבנה ללוד והקבילו רבי יהושע בבקיעין אמר להן מה חדוש היה לכם בבית המדרש היום אמרו לו הכל תלמידיך ומימיך אנו שותים אמר להן אעפ""כ א""א לבית המדרש שלא יהא בו דבר חדש בכל יום מי שבת שם אמרו לו ר' לעזר בן עזריה מה היתה פרשתו הקהל את העם האנשים והנשים והטף פתח בה אמר הואיל והאנשים באין ללמוד והנשים לשמוע הטף למה באו אלא כדי ליתן שכר למביאיהן אמר להן אין הדור יתום שר' לעזר בן עזריה בתוכו "
Chagigah,פני משה,1,1,1b,"אתייא דר""א בן עזרייה. דדריש והנשים לשמוע משמע שאינן בכלל ילמדו ודלא כבן עזאי:","אתייא דר""א בן עזרייה",,
Chagigah,פני משה,1,1,1b,"דתנינן תמן. בפ""ג דסוטה מכאן אמר בן עזאי וכו':",דתנינן תמן,JTmock Chagigah 1:1:4,אתיא דרבי לעזר בן עזריה דלא כבן עזאי דתנינן תמן מיכן אמר בן עזאי חייב אדם ללמד את בתו תורה שאם תשתה תדע שהזכות תולה לה:  
