masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Nedarim,פני משה,1,0,1a,"@11כל כינויי נדרים כנדרים. @33בבבלי מוקמינן דרישא דמתני' חסורי מחסרא וה""ק כל כינויי נדרי' כנדרים כל ידות נדרים כנדרים ואלו הן ידות נדרים האומר לחבירו מודר אני ממך כו' ואלו הן כינויי נדרי' קונם קינח קונס. ידות נדרים כמו בית יד של בלי שאוחזין אותו בו כך ידות הנדרים שבהם הנדרים נאחזים. כינויי נדרים. כמו המכנה שם לחבירו שאינו עיקרו של שם:",כל כינויי נדרים כנדרים,JTmock Nedarim 1:1:1,כל כינויי נדרים כנדרים חרמים כחרמים שבועת כשבועות נזירות כנזירות האומר לחבירו מודר אני ממך מופרש אני ממך מרוחק אני ממך שאיני אוכל לך שאיני טועם לך אסור מנודה אני לך ר' עקיבה היה חוכך בזה להחמיר כנדרי רשעים נדר בנזיר בקרבן ובשבועה כנדרי כשרים לא אמר כלום כנדבותם נדר בנזיר ובקרבן:
Nedarim,פני משה,1,0,1a,"מודר אני ממך. אם אמר אחד מלשונות הללו מודר אני ממך שאיני אוכל לך ושאיני טועם לך או מופרש אני ממך שאיני אוכל לך ושאיני טועם לך או מרוחק אני ממך שאיני אוכל כו' הויא ידות נדרים ואסור לאכול ולטעום עמו אבל אם אמר מודר אני ממך בלבד אין במשמעות. דבריו אלא שלא ידבר עמו ומופרש אני ממך בלבד משמע שלא ישא ויתן עמו ומרוחק אני ממך בלבד משמע שלא ישב בארבע אמותיו ואינו אסור לאכול עמו אא""כ פירש ואמר עם כל אחד מלשונות הללו שאיני אוכל לך ושאיני טועם לך משום דקי""ל ידים שאין מוכיחות לא הויין ידים:",מודר אני ממך,JTmock Nedarim 1:1:1,כל כינויי נדרים כנדרים חרמים כחרמים שבועת כשבועות נזירות כנזירות האומר לחבירו מודר אני ממך מופרש אני ממך מרוחק אני ממך שאיני אוכל לך שאיני טועם לך אסור מנודה אני לך ר' עקיבה היה חוכך בזה להחמיר כנדרי רשעים נדר בנזיר בקרבן ובשבועה כנדרי כשרים לא אמר כלום כנדבותם נדר בנזיר ובקרבן:
Nedarim,פני משה,1,0,1a,רבי עקיבה היה חוכך בזה. כלומר מחכך שפתיו זו בזו ולא רצה לאסור בפירוש אבל היה נראה מדעתו שהוא אוסר:,רבי עקיבה היה חוכך בזה,JTmock Nedarim 1:1:1,כל כינויי נדרים כנדרים חרמים כחרמים שבועת כשבועות נזירות כנזירות האומר לחבירו מודר אני ממך מופרש אני ממך מרוחק אני ממך שאיני אוכל לך שאיני טועם לך אסור מנודה אני לך ר' עקיבה היה חוכך בזה להחמיר כנדרי רשעים נדר בנזיר בקרבן ובשבועה כנדרי כשרים לא אמר כלום כנדבותם נדר בנזיר ובקרבן:
Nedarim,פני משה,1,0,1a,כנדרי רשעים כו'. בגמ' מפרש היכי קאמר:,כנדרי רשעים כו',JTmock Nedarim 1:1:1,כל כינויי נדרים כנדרים חרמים כחרמים שבועת כשבועות נזירות כנזירות האומר לחבירו מודר אני ממך מופרש אני ממך מרוחק אני ממך שאיני אוכל לך שאיני טועם לך אסור מנודה אני לך ר' עקיבה היה חוכך בזה להחמיר כנדרי רשעים נדר בנזיר בקרבן ובשבועה כנדרי כשרים לא אמר כלום כנדבותם נדר בנזיר ובקרבן:
Nedarim,פני משה,1,0,1a,כנדרי כשרים לא אמר כלום. לפי שהרשעים הם שנודרים ונשבעים לא הכשרים שהם יריאים שלא לעבור על בל תאחר ונזהרים שלא להוציא שבועה מפיהם ולפיכך כנדרי כשרים לא אמר כלום:,כנדרי כשרים לא אמר כלום,JTmock Nedarim 1:1:1,כל כינויי נדרים כנדרים חרמים כחרמים שבועת כשבועות נזירות כנזירות האומר לחבירו מודר אני ממך מופרש אני ממך מרוחק אני ממך שאיני אוכל לך שאיני טועם לך אסור מנודה אני לך ר' עקיבה היה חוכך בזה להחמיר כנדרי רשעים נדר בנזיר בקרבן ובשבועה כנדרי כשרים לא אמר כלום כנדבותם נדר בנזיר ובקרבן:
Nedarim,פני משה,1,0,1a,כנדבותם. אם אמר כנדבות כשרים הריני נזיר או הרי זה קרבן אם אוכל ככר זו ואכלה חייב בנזיר או בקרבן וכן אם אמר כנדבות כשרים הריני נזיר והרי זה קרבן אם אוכל ועבר ואכל חייב בנזיר ובקרבן לפי שהכשרים פעמים שהן נודרי' בנזיר לאפרושי מאיסורי ומתנדבי' בקרבן שמביאין קרבן לפתח העזרה ומקדישין אותם שם כדי שלא יבאו בם לידי מכשול. נדבה היא כשאומר הרי זו ונדר הרי עלי לפיכך הכשרים מתנדבים אבל אינם נודרים כי היכי דלא ליתו לידי תקלה:,כנדבותם,JTmock Nedarim 1:1:1,כל כינויי נדרים כנדרים חרמים כחרמים שבועת כשבועות נזירות כנזירות האומר לחבירו מודר אני ממך מופרש אני ממך מרוחק אני ממך שאיני אוכל לך שאיני טועם לך אסור מנודה אני לך ר' עקיבה היה חוכך בזה להחמיר כנדרי רשעים נדר בנזיר בקרבן ובשבועה כנדרי כשרים לא אמר כלום כנדבותם נדר בנזיר ובקרבן:
Nedarim,פני משה,1,0,1a,@22גמ' @11כתיב איש כי ידר. ומה תלמוד לומר עוד נדר אלא מכאן לרבות כינויי נדרים כנדרים וכן כולם:,כתיב איש כי ידר,JTmock Nedarim 1:1:2,"כתיב (במדבר ל) איש כי ידר. מה ת""ל נדר. אלא מיכן שכינוי נדרים כנדרים. (שם) או השבע מה ת""ל שבועה. אלא מיכן שכינויי שבועות כשבועות. (ויקרא כז) אך כל חרם מה ת""ל יחרים. אלא מיכן שכינויי חרמים כחרמים. (במדבר ו) נדר נזיר. מה ת""ל להזיר. אלא מיכן שכינויי נזירות כנזירות. עד כדון כר' עקיבה דאמר לשונות ריבויין הן. כר' ישמעאל דאמר לשונות כפולין הן והתורה דיברה כדרכה. (בראשית לא) הלוך הלכת (שם) נכסף נכספת (בראשית מ) גונב גונבתי מנלן איש כי ידר נדר לה' או השבע שבועה לאסור אסר על נפשו לא יחל דברו. מה ת""ל ככל היוצא מפיו יעשה. אלא מיכן שכינויי נדרים כנדרים. וכינויי שבועה כשבועה. ומניין שכינויי נזירות כנזירות נדר נדר. מה נדר שנאמר להלן כינויי שבועה כשבועה אף נדר שנאמר כאן כינוי נזירות כנזירות."
Nedarim,פני משה,1,0,1a,"עד כדון כר""ע. דאמר בכל מקום לא דברה תורה כלשון בני אדם וכפל המקרא לרבות הוא כדאמר בהערל ובהרבה מקומות:","עד כדון כר""ע",JTmock Nedarim 1:1:2,"כתיב (במדבר ל) איש כי ידר. מה ת""ל נדר. אלא מיכן שכינוי נדרים כנדרים. (שם) או השבע מה ת""ל שבועה. אלא מיכן שכינויי שבועות כשבועות. (ויקרא כז) אך כל חרם מה ת""ל יחרים. אלא מיכן שכינויי חרמים כחרמים. (במדבר ו) נדר נזיר. מה ת""ל להזיר. אלא מיכן שכינויי נזירות כנזירות. עד כדון כר' עקיבה דאמר לשונות ריבויין הן. כר' ישמעאל דאמר לשונות כפולין הן והתורה דיברה כדרכה. (בראשית לא) הלוך הלכת (שם) נכסף נכספת (בראשית מ) גונב גונבתי מנלן איש כי ידר נדר לה' או השבע שבועה לאסור אסר על נפשו לא יחל דברו. מה ת""ל ככל היוצא מפיו יעשה. אלא מיכן שכינויי נדרים כנדרים. וכינויי שבועה כשבועה. ומניין שכינויי נזירות כנזירות נדר נדר. מה נדר שנאמר להלן כינויי שבועה כשבועה אף נדר שנאמר כאן כינוי נזירות כנזירות."
Nedarim,פני משה,1,0,1a,"כר""י. אבל לר' ישמעאל דס""ל בכל מקום לשונות כפולין הן והתורה דיברה כדרכה ולא לרבות אתא אלא כדרך הכופל בלשונו כמו שמצינו במקרא הלך הלכת כו' מנלן לרבות כינויי נדרים:","כר""י",JTmock Nedarim 1:1:2,"כתיב (במדבר ל) איש כי ידר. מה ת""ל נדר. אלא מיכן שכינוי נדרים כנדרים. (שם) או השבע מה ת""ל שבועה. אלא מיכן שכינויי שבועות כשבועות. (ויקרא כז) אך כל חרם מה ת""ל יחרים. אלא מיכן שכינויי חרמים כחרמים. (במדבר ו) נדר נזיר. מה ת""ל להזיר. אלא מיכן שכינויי נזירות כנזירות. עד כדון כר' עקיבה דאמר לשונות ריבויין הן. כר' ישמעאל דאמר לשונות כפולין הן והתורה דיברה כדרכה. (בראשית לא) הלוך הלכת (שם) נכסף נכספת (בראשית מ) גונב גונבתי מנלן איש כי ידר נדר לה' או השבע שבועה לאסור אסר על נפשו לא יחל דברו. מה ת""ל ככל היוצא מפיו יעשה. אלא מיכן שכינויי נדרים כנדרים. וכינויי שבועה כשבועה. ומניין שכינויי נזירות כנזירות נדר נדר. מה נדר שנאמר להלן כינויי שבועה כשבועה אף נדר שנאמר כאן כינוי נזירות כנזירות."
Nedarim,פני משה,1,0,1a,"מה ת""ל ככל היוצא וגו'. דהא כבר כתיב לא יחל דברו אלא לרבות כינויי נדרי' ושבועות דבכל לשון שיוציא מפיו יעשה:","מה ת""ל ככל היוצא וגו'",JTmock Nedarim 1:1:2,"כתיב (במדבר ל) איש כי ידר. מה ת""ל נדר. אלא מיכן שכינוי נדרים כנדרים. (שם) או השבע מה ת""ל שבועה. אלא מיכן שכינויי שבועות כשבועות. (ויקרא כז) אך כל חרם מה ת""ל יחרים. אלא מיכן שכינויי חרמים כחרמים. (במדבר ו) נדר נזיר. מה ת""ל להזיר. אלא מיכן שכינויי נזירות כנזירות. עד כדון כר' עקיבה דאמר לשונות ריבויין הן. כר' ישמעאל דאמר לשונות כפולין הן והתורה דיברה כדרכה. (בראשית לא) הלוך הלכת (שם) נכסף נכספת (בראשית מ) גונב גונבתי מנלן איש כי ידר נדר לה' או השבע שבועה לאסור אסר על נפשו לא יחל דברו. מה ת""ל ככל היוצא מפיו יעשה. אלא מיכן שכינויי נדרים כנדרים. וכינויי שבועה כשבועה. ומניין שכינויי נזירות כנזירות נדר נדר. מה נדר שנאמר להלן כינויי שבועה כשבועה אף נדר שנאמר כאן כינוי נזירות כנזירות."
