masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Peah,פני משה,1,1,00,@11מתני' @33אלו דברים שאין להם שיעור. מדאורייתא אבל מדרבנן לפאה יש לה שיעור כדתנן במתני' דלקמן אין פוחתין לפאה מששים:,מתני' אלו דברים שאין להם שיעור,JTmock Peah 1:1:1,אלו דברים שאין להם שיעור הפיאה והביכורים והראיון וגמילות חסדים ותלמוד תורה אלו דברים שאדם אוכל מפירותיהם בעולם הזה והקרן קיימת לעולם הבא כיבוד אב ואם וגמילות חסדים והבאת שלום בין אדם לחבירו ותלמוד תורה כנגד כולן:
Peah,פני משה,1,1,00,הפאה. שאדם חייב להניח בסוף שדהו לעניים כדכתיב לא תכלה פאת שדך בקצרך:,הפאה,JTmock Peah 1:1:1,אלו דברים שאין להם שיעור הפיאה והביכורים והראיון וגמילות חסדים ותלמוד תורה אלו דברים שאדם אוכל מפירותיהם בעולם הזה והקרן קיימת לעולם הבא כיבוד אב ואם וגמילות חסדים והבאת שלום בין אדם לחבירו ותלמוד תורה כנגד כולן:
Peah,פני משה,1,1,00,והבכורים. דכתיב ראשית בכורי אדמתך תביא בית ה' אלהיך ולא ניתן בהם שיעור:,והבכורים,JTmock Peah 1:1:1,אלו דברים שאין להם שיעור הפיאה והביכורים והראיון וגמילות חסדים ותלמוד תורה אלו דברים שאדם אוכל מפירותיהם בעולם הזה והקרן קיימת לעולם הבא כיבוד אב ואם וגמילות חסדים והבאת שלום בין אדם לחבירו ותלמוד תורה כנגד כולן:
Peah,פני משה,1,1,00,"והראיון. שחייב אדם להראות בעזרה בשלש רגלים דכתיב שלש פעמים בשנה יראה כל זכורך והראייה הזאת אין לה שיעור דכל אימת דבעי עייל ומתחזי ונפיק. א""נ הראיון עולת ראיה ושלמי חגיגה שחייב להביא כדכתיב ולא יראו פני ריקם אין לה שיעור מדאורייתא דכתיב איש כמתנת ידו אבל החכמים נתנו בה שיעור עולת ראיה מעה כסף וחגיגה שתי כסף:",והראיון,JTmock Peah 1:1:1,אלו דברים שאין להם שיעור הפיאה והביכורים והראיון וגמילות חסדים ותלמוד תורה אלו דברים שאדם אוכל מפירותיהם בעולם הזה והקרן קיימת לעולם הבא כיבוד אב ואם וגמילות חסדים והבאת שלום בין אדם לחבירו ותלמוד תורה כנגד כולן:
Peah,פני משה,1,1,00,וגמילות חסדים. שבגופי כגון בקור חולים ולקבור מתים וכיוצא בהן אבל גמילות חסדים מממונו כגון פדיון שבוים ולהלביש ערומים ולהאכיל את הרעבים וכיוצא בהן יש לה שיעור שיתן בכל פעם שתבוא מצוה כזו לידו חמישית מן הריוח שבנכסיו ותו לא מחייב דהכי אמרינן המבזבז אל יבזבז יותר מחומש הלכך מבעי לי' לאינש לאפרושי חמישית בכל עת כדי שיהא מצוי כל זמן שיבא גמילות חסד לידו שיקיים ובהכי נפיק ידי חובתיה:,וגמילות חסדים,JTmock Peah 1:1:1,אלו דברים שאין להם שיעור הפיאה והביכורים והראיון וגמילות חסדים ותלמוד תורה אלו דברים שאדם אוכל מפירותיהם בעולם הזה והקרן קיימת לעולם הבא כיבוד אב ואם וגמילות חסדים והבאת שלום בין אדם לחבירו ותלמוד תורה כנגד כולן:
Peah,פני משה,1,1,00,ותלמוד תורה. אין לה שיעור דכתיב והגית בו יומם ולילה:,ותלמוד תורה,JTmock Peah 1:1:1,אלו דברים שאין להם שיעור הפיאה והביכורים והראיון וגמילות חסדים ותלמוד תורה אלו דברים שאדם אוכל מפירותיהם בעולם הזה והקרן קיימת לעולם הבא כיבוד אב ואם וגמילות חסדים והבאת שלום בין אדם לחבירו ותלמוד תורה כנגד כולן:
Peah,פני משה,1,1,00,"כנגד כלם. שקול ת""ת כנגד כולם:",כנגד כלם,,
Peah,פני משה,1,1,00,"@11גמ' @33למה לא תנינן תרומה עמהון. מפני מה לא חשיב במתני' לתרומה נמי עם כל הני דהא לתרומה נמי אין לה שיעור מדאורייתא דאפי' חטה אחת פוטרת הכרי אלא דחכמים הוא דנתנו לה שיעור עין יפה אחת מארבעים והבינונית מחמשים כדתנן בפ""ד מתרומות:",גמ' למה לא תנינן תרומה עמהון,JTmock Peah 1:1:2,"רבי בנימין בר לוי אמר רבי יצחק ורבי אמי הוון יתבון מקשיי למה לא תנינן תרומה עמהן אמר רבי אמי מפני המחלוקת אמר רבי יוסי אדם עושה כל שדהו ביכורים ואין אדם עושה כל שדהו תרומה התיבון הרי הוא אומר פיאה והרי אין אדם עושה כל שדהו פיאה ותניתה א""ר יוסי קצירת שיבולת הראשונה דומה למירוחו עד שלא קצר השיבולת הראשונה לא נתחייבה שדהו בפיאה משקצר שיבולת ראשונה נתחייבה שדהו בפיאה ביקש לעשות כל שדהו פיאה עושה ברם הכא עד שלא נתמרח הכרי לא נתחייב כריו תרומה נתמרח ביקש לעשות כל כריו תרומה אינו עושה דתנינן תמן האומר כל גרני תרומה וכל עיסתי חלה לא אמר כלום עד שישייר מקצת:"
Peah,פני משה,1,1,00,"מפני המחלוקת. משום דפליגי תנאי שם המרבה בתרומה ר""א אומר אחד מעשרה רבי ישמעאל אומר מחצה חולין ומחצה תרומה ר""ט ור""ע אומרים עד שישייר שם חולין וכיון דפלוגתא היא עד כמה יכול להרבות בשיעורה בפלוגתא לא מיירי:",מפני המחלוקת,JTmock Peah 1:1:2,"רבי בנימין בר לוי אמר רבי יצחק ורבי אמי הוון יתבון מקשיי למה לא תנינן תרומה עמהן אמר רבי אמי מפני המחלוקת אמר רבי יוסי אדם עושה כל שדהו ביכורים ואין אדם עושה כל שדהו תרומה התיבון הרי הוא אומר פיאה והרי אין אדם עושה כל שדהו פיאה ותניתה א""ר יוסי קצירת שיבולת הראשונה דומה למירוחו עד שלא קצר השיבולת הראשונה לא נתחייבה שדהו בפיאה משקצר שיבולת ראשונה נתחייבה שדהו בפיאה ביקש לעשות כל שדהו פיאה עושה ברם הכא עד שלא נתמרח הכרי לא נתחייב כריו תרומה נתמרח ביקש לעשות כל כריו תרומה אינו עושה דתנינן תמן האומר כל גרני תרומה וכל עיסתי חלה לא אמר כלום עד שישייר מקצת:"
Peah,פני משה,1,1,00,"א""ר יוסי. עוד טעמא אחרינא איכא דלא דמיא תרומה להנך דחשיב במתני':","א""ר יוסי",JTmock Peah 1:1:2,"רבי בנימין בר לוי אמר רבי יצחק ורבי אמי הוון יתבון מקשיי למה לא תנינן תרומה עמהן אמר רבי אמי מפני המחלוקת אמר רבי יוסי אדם עושה כל שדהו ביכורים ואין אדם עושה כל שדהו תרומה התיבון הרי הוא אומר פיאה והרי אין אדם עושה כל שדהו פיאה ותניתה א""ר יוסי קצירת שיבולת הראשונה דומה למירוחו עד שלא קצר השיבולת הראשונה לא נתחייבה שדהו בפיאה משקצר שיבולת ראשונה נתחייבה שדהו בפיאה ביקש לעשות כל שדהו פיאה עושה ברם הכא עד שלא נתמרח הכרי לא נתחייב כריו תרומה נתמרח ביקש לעשות כל כריו תרומה אינו עושה דתנינן תמן האומר כל גרני תרומה וכל עיסתי חלה לא אמר כלום עד שישייר מקצת:"
