masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Shabbat,פני משה,1,0,1a,@11יציאות השבת. @33הוצאות שמרשות לרשות האמורות אצל שבת. ולהך פירושא קאמר בגמרא דתנא להכנסה נמי הוצאה קרי לה שהרי מוציא מרשות לרשות הוא והא דתני יציאות ולא קתני הוצאות לישנא דקרא נקיט דכתיב אל יצא איש ממקומו ודרשי' מיניה הוצאה אל יצא עם הכלי ללקט המן:,יציאות השבת,JTmock Shabbat 1:1:1,יציאות השבת שתים שהן ארבע בפנים ושתים שהן ארבע בחוץ באי זה צד העני עומד בחוץ ובעל הבית בפנים פשט העני את ידו לפנים ונתן לתוך ידו של בעל הבית או שנטל מתוכה והוציא העני חייב ובעל הבית פטור פשט בעל הבית את ידו לחוץ ונתן לתוך ידו של עני או שנטל מתוכה והכניס בעל הבית חייב והעני פטור פשט העני את ידו לפנים ונטל בעל הבית מתוכה או שנתן לתוכה והוציא שניהן פטורין פשט בעל הבית את ידו לחוץ ונטל העני מתוכה או שנתן לתוכה והכניס שניהן פטורין:
Shabbat,פני משה,1,0,1a,"שתים שהן ארבע בפנים. שתים הן מן התורה הוצאה והכנסה לבעל הבית העומד בפנים ברשות היחיד ועושה כל המלאכה עקירה והנחה מרשות לרשות ושתים הן לחיוב שחייב חטאת על שגגתו כגון ששגג ולא ידע שהוא שבת או ששגג ולא ידע שמלאכה זו אסורה ועל זדונו בלא התראה חייב כרת ואם הוא בהתראה חייב סקילה וכמו בכל שאר מלאכות של שבת. והא דפתח התנא במלאכת הוצאה ולא קתני לפי סדר האבות השנויין לקמן בפ""ז משום שההוצאה היא מצוייה ביותר ורגילין ב""א להכשל בה לפי שאין צורך לעסק אחר עמה אלא שהוא מוציא או מכניס החפץ עמו ועוד טעם אחר לפתיחת המסכת במלאכה זו משום שמלאכה גרועה היא דמה לי מוציא מרה""י לר""ה ומה לי מוציא' מרה""י לרה""י ואינה נראית למלאכה לפיכך הקדים אותה התנא לשנותה להשמיענו דמ""מ מלאכה היא:",שתים שהן ארבע בפנים,JTmock Shabbat 1:1:1,יציאות השבת שתים שהן ארבע בפנים ושתים שהן ארבע בחוץ באי זה צד העני עומד בחוץ ובעל הבית בפנים פשט העני את ידו לפנים ונתן לתוך ידו של בעל הבית או שנטל מתוכה והוציא העני חייב ובעל הבית פטור פשט בעל הבית את ידו לחוץ ונתן לתוך ידו של עני או שנטל מתוכה והכניס בעל הבית חייב והעני פטור פשט העני את ידו לפנים ונטל בעל הבית מתוכה או שנתן לתוכה והוציא שניהן פטורין פשט בעל הבית את ידו לחוץ ונטל העני מתוכה או שנתן לתוכה והכניס שניהן פטורין:
Shabbat,פני משה,1,0,1a,שהן ארבע. שהוסיפו עוד שתים מדבריהם כשהמלאכה נעשית על ידי שנים שזה עוקר וזה מניח דמן התורה שניהם פטורין כדדרשינן מקרא דכתיב ואם נפש אחת תחטא וגו' יחיד שעשה אותה חייב שנים שעשאוה פטורין אבל חכמים אסרו לכתחילה ואם עשה פטור כדמפרש ואזיל לקמן:,שהן ארבע,JTmock Shabbat 1:1:1,יציאות השבת שתים שהן ארבע בפנים ושתים שהן ארבע בחוץ באי זה צד העני עומד בחוץ ובעל הבית בפנים פשט העני את ידו לפנים ונתן לתוך ידו של בעל הבית או שנטל מתוכה והוציא העני חייב ובעל הבית פטור פשט בעל הבית את ידו לחוץ ונתן לתוך ידו של עני או שנטל מתוכה והכניס בעל הבית חייב והעני פטור פשט העני את ידו לפנים ונטל בעל הבית מתוכה או שנתן לתוכה והוציא שניהן פטורין פשט בעל הבית את ידו לחוץ ונטל העני מתוכה או שנתן לתוכה והכניס שניהן פטורין:
Shabbat,פני משה,1,0,1a,"ושתים שהן ארבע בחוץ. וכן להעני העומד בתוך ברה""ר שתים הן לחיוב מן התורה כשעושה כל המלאכה עקירה והנחה שהן ארבע מדבריהם לפי שהוסיפו חכמים עוד שתים לאסור לכתחלה אף כשזה עוקר וזה מניח. והא דנקיט התנא לבעל הבית ולעני משום הך טעמא גופא דאמרן לפי שהוצאה מלאכה גרועה היא ולא הוי גמרינן הוצאה דעני מבעל הבית ולא בעל הבית מעני וכן לא הכנסה והלכך אשמועינן לתרוייהו:",ושתים שהן ארבע בחוץ,JTmock Shabbat 1:1:1,יציאות השבת שתים שהן ארבע בפנים ושתים שהן ארבע בחוץ באי זה צד העני עומד בחוץ ובעל הבית בפנים פשט העני את ידו לפנים ונתן לתוך ידו של בעל הבית או שנטל מתוכה והוציא העני חייב ובעל הבית פטור פשט בעל הבית את ידו לחוץ ונתן לתוך ידו של עני או שנטל מתוכה והכניס בעל הבית חייב והעני פטור פשט העני את ידו לפנים ונטל בעל הבית מתוכה או שנתן לתוכה והוציא שניהן פטורין פשט בעל הבית את ידו לחוץ ונטל העני מתוכה או שנתן לתוכה והכניס שניהן פטורין:
Shabbat,פני משה,1,0,1a,"פשט העני את ידו לפנים. וחפץ אחד בידו ונתן אותו לתוך ידו של בעל הבית דעביד ליה עקירה מר""ה והנחה ברה""י או שנטל העני החפץ מתוך ידו של בעל הבית והוציא בידו לחוץ דעביד ליה עקירה מרה""י והנחה בר""ה דאע""ג דבעינן עקירה ממקום חשוב שיהי' בו ד' טפחים על ד' טפחים וכן הנחה על מקום ארבעה על ארבעה והכא ליכא מסקינן בגמרא משום דידו של אדם חשובה ליה כארבעה על ארבעה לפי שרגיל ליטול ולהניח בה חפצים ואפי' גדולים הרבה והלכך אע""פ שלא הניח החפץ במקום שהוא עומד בו הואיל והוא בידו הרי הוא כמונח בארץ:",פשט העני את ידו לפנים,JTmock Shabbat 1:1:1,יציאות השבת שתים שהן ארבע בפנים ושתים שהן ארבע בחוץ באי זה צד העני עומד בחוץ ובעל הבית בפנים פשט העני את ידו לפנים ונתן לתוך ידו של בעל הבית או שנטל מתוכה והוציא העני חייב ובעל הבית פטור פשט בעל הבית את ידו לחוץ ונתן לתוך ידו של עני או שנטל מתוכה והכניס בעל הבית חייב והעני פטור פשט העני את ידו לפנים ונטל בעל הבית מתוכה או שנתן לתוכה והוציא שניהן פטורין פשט בעל הבית את ידו לחוץ ונטל העני מתוכה או שנתן לתוכה והכניס שניהן פטורין:
Shabbat,פני משה,1,0,1a,"העני חייב. לפי שהוא עשה מלאכה שלימה עקירה והנחה אבל בעל הבית פטור. והך פטור וכן פטור דעני דבבא שניה פטור ומותר גמור הוא דלא עשה כלום אלא מעשה איצטבא הוא דעביד ואין כאן משום איסור שבת כלום אע""ג דאיכא הכא משום לפני עור לא תתן מכשול ולפיכך רצו מהמפרשי' לפרש דהכא בעני נכרי מיירי אבל הא ליתא דלא מיירי הכא אלא במילי דשבת ומשום איסור שבת הוא דאמרי' דפטורי דרישא פטור ומותר הוא:",העני חייב,JTmock Shabbat 1:1:1,יציאות השבת שתים שהן ארבע בפנים ושתים שהן ארבע בחוץ באי זה צד העני עומד בחוץ ובעל הבית בפנים פשט העני את ידו לפנים ונתן לתוך ידו של בעל הבית או שנטל מתוכה והוציא העני חייב ובעל הבית פטור פשט בעל הבית את ידו לחוץ ונתן לתוך ידו של עני או שנטל מתוכה והכניס בעל הבית חייב והעני פטור פשט העני את ידו לפנים ונטל בעל הבית מתוכה או שנתן לתוכה והוציא שניהן פטורין פשט בעל הבית את ידו לחוץ ונטל העני מתוכה או שנתן לתוכה והכניס שניהן פטורין:
Shabbat,פני משה,1,0,1a,פשט בעל הבית וכו' בעל הבית חייב. לפי שהוא עשה מלאכה שלימה והעני פטור ומותר הוא דלא עביד מידי והא דמהפך התנא ומפרש לשתים מן התורה להעומד בחוץ והדר מפרש לשתים מן התורה להעומד בפנים ולא כסדר שהתחיל בתחלה משום דאתא לאשמועינן דהכנסה נמי הוצאה קרי לה והלכך בתר דפתח ביציאות קא מפרש הכנסה לאלתר:,פשט בעל הבית וכו' בעל הבית חייב,JTmock Shabbat 1:1:1,יציאות השבת שתים שהן ארבע בפנים ושתים שהן ארבע בחוץ באי זה צד העני עומד בחוץ ובעל הבית בפנים פשט העני את ידו לפנים ונתן לתוך ידו של בעל הבית או שנטל מתוכה והוציא העני חייב ובעל הבית פטור פשט בעל הבית את ידו לחוץ ונתן לתוך ידו של עני או שנטל מתוכה והכניס בעל הבית חייב והעני פטור פשט העני את ידו לפנים ונטל בעל הבית מתוכה או שנתן לתוכה והוציא שניהן פטורין פשט בעל הבית את ידו לחוץ ונטל העני מתוכה או שנתן לתוכה והכניס שניהן פטורין:
Shabbat,פני משה,1,0,1a,"פשט העני וכו'. הני תרתי בבי דסיפא הן הן השתים מדבריהם שהוסיפו חכמים לאסור לכתחל' אפי' לא עשה אחד מהן מלאכה שלימה דחששו שמא יבאו כל אחד בפ""ע לעשות מלאכה שלימה בשבת. והיינו כאן שתים מדבריהם להעומד בחוץ ושתים מדבריהם להעומד בפנים:",פשט העני וכו',JTmock Shabbat 1:1:1,יציאות השבת שתים שהן ארבע בפנים ושתים שהן ארבע בחוץ באי זה צד העני עומד בחוץ ובעל הבית בפנים פשט העני את ידו לפנים ונתן לתוך ידו של בעל הבית או שנטל מתוכה והוציא העני חייב ובעל הבית פטור פשט בעל הבית את ידו לחוץ ונתן לתוך ידו של עני או שנטל מתוכה והכניס בעל הבית חייב והעני פטור פשט העני את ידו לפנים ונטל בעל הבית מתוכה או שנתן לתוכה והוציא שניהן פטורין פשט בעל הבית את ידו לחוץ ונטל העני מתוכה או שנתן לתוכה והכניס שניהן פטורין:
Shabbat,פני משה,1,0,1a,"@22גמ' @11מהו שתים שהן ארבע. @33ובעי הש""ס היכי מפרש כן להמתני' דקתני שתים שהן ד' בפנים ושתים שהן ארבע בחוץ ואי את משכחת לה כולהו חיובא ועל כרחך דיש בהן ג""כ צד פטור וכדמפרש לקמן במתני' ושואל הש""ס היאך מרמז התנא בריש דבריו להני חיובי ופטורי דתני ואזיל:",מהו שתים שהן ארבע,JTmock Shabbat 1:1:2,"מהו שתים שהן ארבע שתים לחיוב ושתים לפטור. או ארבע לחיוב וארבע לפטור. נישמעינה מן הדא שבועות שתים שהן ארבע. א""ר בא תמן כולהון לחיוב. ברם הכא חיוב ופטור אתינן מיתני. הדא אמרה ארבע לחיוב וארבע לפטור. אמר רבי יוסי מתניתא אמרה כן שבועות שתים שהן ארבע לא לחיוב. ודכוותה יציאות השבת שתים שהן ארבע לחיוב. והא תני דלתות ההיכל שנים שהן ארבע אית לך למימר לא לחיוב ולא לפטור. ניתני שנים עשר פטור. לא אתינן מיתני אלא פטור שהוא כנגד חיוב. אמר ר' חייה בר אבא מהו ההן פטור דתנינן הכא מותר. אמר רבי יוסי עני ועשיר אחד הן ומנו אותן חכמים שנים. הכנסה והוצאה אחד הן ומנו אותן חכמים שנים. יציאות השבת אין הכנסה בכלל. המוציא מרשות לרשות אין המכניס בכלל. נישמעינה מן הדא דמר ר' יסא בשם ר' יוחנן הכניס חצי גרוגרת והוציא חצי גרוגרת חייב. מניין שהוצאה קרוייה מלאכה רבי שמואל בר נחמן בשם רבי יונתן שמע להן מן הדא (שמות לו) ויצו משה ויעבירו קול במחנה לאמר איש ואשה אל יעשו עוד מלאכה לתרומת קודש ויכלא העם מהביא. נמנעו העם מלהוציא מבתיהן וליתן לגיזברים. ר' חזקיה בשם ר' אילא אפילו הכנסה את שמע מינה. כשם שנמנעו העם מלהוציא מבתיהן וליתן לגזברין כך נמנעו הגיזברין מלקבל מידן ולהכניס ללישכה. ר' חזקיה בשם ר' אחא שמע כולהן מן הדין קרייא (ירמיהו יז) לא תוציאו משא מבתיכם ביום השבת."
Shabbat,פני משה,1,0,1a,"שתים לחיוב ושתים לפטור. כלומר מי נימא דשתים שהן ארבע דקאמר היינו שיש בהן שתים לחיוב ושתים מהן לפטור. השתים לחיוב הן הוצאה והכנסה בעשיית כל המלאכה לבע""ה העומד בפנים והשתים לפטור אם אילו עושה כל המלאכה וכדחשיב בבבא דסיפא פשט בע""ה את ידו לחוץ ונטל העני מתוכה וכו' דהיינו הוצאה והכנסה דפטור. וכן שתים שהן ארבע בחוץ ג""כ בענין הזה אנו מפרשין שתים לחיוב להעני העומד בחוץ אם עשה כל המלאכה דהוצאה ודהכנסה שהן ארבע היינו עם השתים לפטור שלא עשה כל המלאכה אלא כדקתני בסיפא שפשט העני את ידו המליאה לפנים ונטל הבע""ה מתוכה ואין כאן מלאכה שלימה בהכנסה וכן בהוצאה שפשט העני את ידו ריקנית לפנים ונתן הבע""ה לתוכה והוציא. ונמצאת אומר דהשתים דקאמר התנא בריש דבריו הן השתים לחיוב ושהן ארבע דקאמר הן הן השתים לפטור:",שתים לחיוב ושתים לפטור,JTmock Shabbat 1:1:2,"מהו שתים שהן ארבע שתים לחיוב ושתים לפטור. או ארבע לחיוב וארבע לפטור. נישמעינה מן הדא שבועות שתים שהן ארבע. א""ר בא תמן כולהון לחיוב. ברם הכא חיוב ופטור אתינן מיתני. הדא אמרה ארבע לחיוב וארבע לפטור. אמר רבי יוסי מתניתא אמרה כן שבועות שתים שהן ארבע לא לחיוב. ודכוותה יציאות השבת שתים שהן ארבע לחיוב. והא תני דלתות ההיכל שנים שהן ארבע אית לך למימר לא לחיוב ולא לפטור. ניתני שנים עשר פטור. לא אתינן מיתני אלא פטור שהוא כנגד חיוב. אמר ר' חייה בר אבא מהו ההן פטור דתנינן הכא מותר. אמר רבי יוסי עני ועשיר אחד הן ומנו אותן חכמים שנים. הכנסה והוצאה אחד הן ומנו אותן חכמים שנים. יציאות השבת אין הכנסה בכלל. המוציא מרשות לרשות אין המכניס בכלל. נישמעינה מן הדא דמר ר' יסא בשם ר' יוחנן הכניס חצי גרוגרת והוציא חצי גרוגרת חייב. מניין שהוצאה קרוייה מלאכה רבי שמואל בר נחמן בשם רבי יונתן שמע להן מן הדא (שמות לו) ויצו משה ויעבירו קול במחנה לאמר איש ואשה אל יעשו עוד מלאכה לתרומת קודש ויכלא העם מהביא. נמנעו העם מלהוציא מבתיהן וליתן לגיזברים. ר' חזקיה בשם ר' אילא אפילו הכנסה את שמע מינה. כשם שנמנעו העם מלהוציא מבתיהן וליתן לגזברין כך נמנעו הגיזברין מלקבל מידן ולהכניס ללישכה. ר' חזקיה בשם ר' אחא שמע כולהן מן הדין קרייא (ירמיהו יז) לא תוציאו משא מבתיכם ביום השבת."
