masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Yoma,פני משה,1,1,1a,"@11שבעת ימים קודם ליום הכפורים מפרישין כהן גדול מביתו. לפי שכל עבודות יום הכפורים אינן כשירות אלא בו שנאמר בפ' יה""כ וכפר הכהן אשר ימשח אותו. ופרישה לכ""ג לפני יה""כ נפקא לן מדכתיב בשבעת ימי המילואים ומפתח אהל מועד לא תצאו שבעת ימים וכתיב בתריה כאשר עשה ביום הזה צוה ה' לעשות לכפר עליכם ודרשו רבותינו לעשות זה מעשה פרה לכפר עליכם זה מעשה יה""כ שהכהן השורף את הפרה והעובד ביה""כ שניהם טעונים פרישה מביתם שבעת ימים כמו שהיו טעונים פרישה אהרן ובניו בשבעת ימי המלואים. ומפרישין אותו מאשתו שמא תמצא אחר הביאה ספק נדה שתראה דם על הסדין שקנחה בו ואין ידוע אם בשעת הביאה היה בה דם זה וטמא הוא משום בועל נדה או אפשר לאחר הביאה ולפיכך מפרישין אותו ז' ימים קודם:",שבעת ימים קודם ליום הכפורים מפרישין כהן,JTmock Yoma 1:1:1,"שבעת ימים קודם ליום הכיפורים מפרישין כהן גדול מביתו ללישכת פרהדרין ומתקינן לו כהן אחר תחתיו שמא יארע בו פסול ר' יהודה אומר אף אשה אחרת מתקינין לו שמא תמות אשתו שנאמר (ויקרא טז) וכפר בעדו ובעד ביתו ביתו היא אשתו אמרו לו חכמים א""כ אין לדבר סוף:"
Yoma,פני משה,1,1,1a,"ללשכת פרהדרין. שם פרהדרין היא על פקודים המתחלפים כמו פקידי המלך וכיוצא בהן ולפי שבבית שני הכהנים גדולים שלאחר שמעון הצדיק והדורות הכשרים שאחריו קם היו נותנין ממון להמלך להתמנות לכ""ג ומתוך שרשעים היו רובן מהם לא היו מאריכין ימיהם ולפעמים היו שאף שנתן לא השלימו והיו מתחלפין לכך נקרא לשכה זו לשכת פרהדרין:",ללשכת פרהדרין,JTmock Yoma 1:1:1,"שבעת ימים קודם ליום הכיפורים מפרישין כהן גדול מביתו ללישכת פרהדרין ומתקינן לו כהן אחר תחתיו שמא יארע בו פסול ר' יהודה אומר אף אשה אחרת מתקינין לו שמא תמות אשתו שנאמר (ויקרא טז) וכפר בעדו ובעד ביתו ביתו היא אשתו אמרו לו חכמים א""כ אין לדבר סוף:"
Yoma,פני משה,1,1,1a,"ומתקינין לו כהן אחר תחתיו. מזמינין לו כהן שאם יארע לו קרי או איזה פסול ישמש זה ככה""ג באותו יום תחתיו ואותו כהן שמזמינין לו א""צ פרישה מביתו מקודם ומשום דזה אינו ודאי ועוד שיכולין לשאול אותו אם יארע לו איזה ספק או לא:",ומתקינין לו כהן אחר תחתיו,JTmock Yoma 1:1:1,"שבעת ימים קודם ליום הכיפורים מפרישין כהן גדול מביתו ללישכת פרהדרין ומתקינן לו כהן אחר תחתיו שמא יארע בו פסול ר' יהודה אומר אף אשה אחרת מתקינין לו שמא תמות אשתו שנאמר (ויקרא טז) וכפר בעדו ובעד ביתו ביתו היא אשתו אמרו לו חכמים א""כ אין לדבר סוף:"
Yoma,פני משה,1,1,1a,אמרו לו חכמים אם כן. דחיישית למיתה אין לדבר סוף שמא אף זו תמות אלא לטומאה דשכיחא חיישינן לפיכך מתקינין לו כהן אחר תחתיו אבל למיתה דלא שכיחא שימות בפתע פתאום לא חיישינן ואין מתקינין לו אשה אחרת. והלכה כחכמים:,אמרו לו חכמים אם כן,JTmock Yoma 1:1:1,"שבעת ימים קודם ליום הכיפורים מפרישין כהן גדול מביתו ללישכת פרהדרין ומתקינן לו כהן אחר תחתיו שמא יארע בו פסול ר' יהודה אומר אף אשה אחרת מתקינין לו שמא תמות אשתו שנאמר (ויקרא טז) וכפר בעדו ובעד ביתו ביתו היא אשתו אמרו לו חכמים א""כ אין לדבר סוף:"
Yoma,פני משה,1,1,1a,"@22גמ' @11שמע לה מן הדא. לפרישת כ""ג ז' ימים קודם יה""כ דכתיב בפרשת מלואים ומפתח אהל מועד לא תצאו שבעת ימים וגו' כאשר עשה ביום הזה צוה ה' לעשות לכפר עליכם ודריש לכאשר עשה ביום הזה אלו שבעת ימי המלואים. כלומר דאדלעיל קאי דכתיב בשלו את הבשר פתח אהל מועד ושם תאכלו אותו וגו' ומפתח אהל מועד וגו' ועל זה אמר כאשר עשה ביום הזה הוא הראשון של הז' ימים כך תתנהגו כל ז' ימים ואכתי לדורות לא נפקא לן עד לקמן:",שמע לה מן הדא,JTmock Yoma 1:1:2,"ר' בא בשם ר' יוחנן שמע לה מן הדא (ויקרא ח) כאשר עשה ביום הזה אלו שבעת ימי המילואים צוה ה' לדורות לעשות זה שעיר של יוה""כ או אינו אלא שעיר של ראש חדש אמר רבי בא לכפר עליכם כפרה שהיא כזו מה זו כפרת אהרן עצמו כפרת בנים עצמן אף זו כפרת אהרן עצמו כפרת בנים עצמן"
Yoma,פני משה,1,1,1a,"צוה ה'. מכאן למדנו לדורות דהאי צוה מיותר הוא דכבר כתיב לעיל כאשר צויתי לאמר וגו' אלא דהאי צוה לדורות נאמר ומלעשות דאבתרה נפקא לן דהצוואה לדורות דקרא זה שעיר של יה""כ וכלומר דהפרישה לדורות על קודם יה""כ נאמר דאשכחן ביה עשייה דכתיב ועשהו חטאת וטעמא דנקט זה שעיר של יה""כ משום דלשון עשייה הראשונה שבפרשה גביה הוא דכתיבא:",צוה ה',JTmock Yoma 1:1:2,"ר' בא בשם ר' יוחנן שמע לה מן הדא (ויקרא ח) כאשר עשה ביום הזה אלו שבעת ימי המילואים צוה ה' לדורות לעשות זה שעיר של יוה""כ או אינו אלא שעיר של ראש חדש אמר רבי בא לכפר עליכם כפרה שהיא כזו מה זו כפרת אהרן עצמו כפרת בנים עצמן אף זו כפרת אהרן עצמו כפרת בנים עצמן"
Yoma,פני משה,1,1,1a,"או אינו אלא שעיר של ר""ח. כלומר מנא לך למידרש דהאי צוה לעשות לדורות על יה""כ הוא דנאמר דילמא על שעיר של ר""ח הוא דאשכחן ביה צווי ועשייה דכתיב קודם קרבנות של יום השמיני דמלואים ויאמר משה זה הדבר אשר צוה ה' תעשו ומשום דבכל הקרבנות השעירים שהקריבו בו ביום לא היה בהם הנוהג לדורות אלא שעיר של ר""ח בלבד וכדאמרי' שלש שעירים היו באותו היום וכו' הלכך פריך ואימא דפרישה דקרא לדורות ללמד על שעיר של ר""ח הוא דנאמר דטעון פרישת ז' בכל ר""ח כמו השעיר הראשון שנוהג לדורות היה אחר פרישת שבעה:","או אינו אלא שעיר של ר""ח",JTmock Yoma 1:1:2,"ר' בא בשם ר' יוחנן שמע לה מן הדא (ויקרא ח) כאשר עשה ביום הזה אלו שבעת ימי המילואים צוה ה' לדורות לעשות זה שעיר של יוה""כ או אינו אלא שעיר של ראש חדש אמר רבי בא לכפר עליכם כפרה שהיא כזו מה זו כפרת אהרן עצמו כפרת בנים עצמן אף זו כפרת אהרן עצמו כפרת בנים עצמן"
Yoma,פני משה,1,1,1a,"לכפר עליכם. כתיב וזה המקרא נאמר לאהרן ולבניו ודרשי' מעליכם דמיותר הוא אלא לומר דהאי לכפר הנרמז בקרא שהוא לדורות לא אמרתי לך שטעון פרישת שבעה אלא בכפרה שהיא כזו של יום השמיני מה כפרה זו שהיא אחר פרישת שבעה היתה כפרת אהרן בפ""ע וכפרת בניו בפ""ע כדכתיב קח לך עגל בן בקר לחטאת וגו' ואל בני ישראל תדבר לאמר קחו שעיר עזים לחטאת וגו' ולא מצינו שהיה כפרת הבנים עם כפרת אהרן בקרבנו דהא וכפר בעדך כתיב וא""כ נכלל כפרת הבנים בכלל כפרת כל ישראל ולא בכפרת אהרן ואף זו של יה""כ היא כמו כן שכפרת אהרן בפ""ע היא בוידוי הראשון של פרו וכפרת הבנים והיא של שאר הכהנים בוידוי השני הוא דאע""ג דבקרבן אחד מתכפרין מ""מ חלוק כפרתן שדברים היא ועוד דאיכא למ""ד דלא מיתכפרי כהנים בפרו של אהרן אלא מקופיא ולא מקיבעא ושפיר יליף מהיקישא דפרישת שבעה לדורות על כפרת יה""כ הוא דנאמר:",לכפר עליכם,JTmock Yoma 1:1:2,"ר' בא בשם ר' יוחנן שמע לה מן הדא (ויקרא ח) כאשר עשה ביום הזה אלו שבעת ימי המילואים צוה ה' לדורות לעשות זה שעיר של יוה""כ או אינו אלא שעיר של ראש חדש אמר רבי בא לכפר עליכם כפרה שהיא כזו מה זו כפרת אהרן עצמו כפרת בנים עצמן אף זו כפרת אהרן עצמו כפרת בנים עצמן"
Yoma,פני משה,1,1,1a,"ר' יונה בשם בר קפרא שמע לה מן הדא וכו'. כלומר דבר קפרא פליג על ר' יוחנן דלא יליף מהאי קרא אלא פרישה ליה""כ ובר קפרא יליף מהאי קרא גופיה לפרה וליה""כ כדמסיק ואזיל:",ר' יונה בשם בר קפרא שמע לה,JTmock Yoma 1:1:3,ר' יונה בשם בר קפרא שמע לה מן הדא כאשר עשה ביום הזה אלו שבעת ימי המילואים צוה ה' זו שריפת הפרה נאמר כאן צוה ה' ונאמר להלן (במדבר יט) זאת חקת התורה אשר צוה ה' לאמר לעשות זה שעיר של יום הכפורים או אינו אלא שעיר של ראש חדש כהיא דאמר ר' בא לכפר עליכם כפרה שהיא כזו מה זו כפרה שאינה כשירה אלא בכהן גדול אף זו כפרה שאינה אלא בכהן גדול
Yoma,פני משה,1,1,1a,"כהיא דאמר ר' בא וכו'. כלומר כעין דדריש ר' בא לעיל מלכפר אבל לא כטעמיה אלא דדריש מהקישא דלכפר מה זו כפרה של מלואים שאינה כשירה אלא בכ""ג. כלומר שתחילת עבודה של יום שמיני למלואים לא היתה אלא בכ""ג אף כפרה זו של יה""כ אני מורה לפרישת שבעה שאינה כשירה אלא בכ""ג:",כהיא דאמר ר' בא וכו',JTmock Yoma 1:1:3,ר' יונה בשם בר קפרא שמע לה מן הדא כאשר עשה ביום הזה אלו שבעת ימי המילואים צוה ה' זו שריפת הפרה נאמר כאן צוה ה' ונאמר להלן (במדבר יט) זאת חקת התורה אשר צוה ה' לאמר לעשות זה שעיר של יום הכפורים או אינו אלא שעיר של ראש חדש כהיא דאמר ר' בא לכפר עליכם כפרה שהיא כזו מה זו כפרה שאינה כשירה אלא בכהן גדול אף זו כפרה שאינה אלא בכהן גדול
