masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Avodah Zarah,"רידב""ז",1,0,2a,"@11חברייא @33אמרי טעמא דר' ישמעאל משום בריה דמועדא דשייך לחג כמו החג בעצמו כמו אסרו חג. אמר ר' בא כיון שהוא יודע שאסור לך לישא וליתן עמו הוא ממעט בשמחת אידו והוי לאחר אידיהן כמו לפני אידיהן מה מפקא מביניהון למכור לו דברים שאינן מתקיימין ע""ד חברייא אסור פי' דהא לפני אידיהן אינו אסור אלא דבר המתקיים בתוך המועד אבל למכור לו לפני אידיהן דבר שאינו מתקיים במועד מותר כיון דלא חזי לי' במועד לא אזיל ומודה כדפרש""י דף ו' ע""ב אבל במועד גופי' אסור אפי' דבר שאינו מתקיים וע""כ לחברייא דלדידהו יום שלאחר אידיהן הוי בריה דמועדא והוי כיום איד בעצמו משום דשייך להחג ע""כ אפילו דבר שאינו מתקיים אסור למכור אבל לר' בא מותר דהא לא חמור לאחר אידיהן מלפני אידיהן. וכיון דמותר לפני אידיהן למכור דבר שאין מתקיים כן מותר נמי לאחר אידיהן ועיין בתוס' ז""ל והרא""ש ז""ל דף ו' ע""ב דפירשו שם לא אסרו אלא דבר המתקיים דהוא מכר דווקא אבל לא ליקח. ובירושלמי מפורש הוא כן דקאי אמכר דווקא כדגרסינן למכור דבר שאינו מתקיים. מפורש מכר דווקא:",חברייא אמרי טעמא דר' ישמעאל משום בריה,JTmock Avodah Zarah 1:1:11,"חברייא אמרי טעמא דרבי ישמעאל משום בריה דמועדא. אמר רבי בא כיון שהוא יודע שאסור לך לישא וליתן עמו הוא ממעט בשמחת אידו. מה מפקת מביניהון למכור לו דברים שאינן מתקיימין על דעת חברייא אסור על דעת רבי בא מותר. א""ר יודן קרייא מסייע למה דאמרי חברייא וביום עשרים וארבעה לחדש השביעי נאספו בני ישראל בצום ובכי ובשקים ואדמה עליהם. ולמה לא אמר בעשרים ושלשה משום בריה דמועדא. אין נימא דהוה בשובתא לית יכיל דאת מחשב ואת משכח צומא רבא בחד בשובא. ומה בה ולית ר' חוניה מיקל למאן דמעבר ליה מן אתריה. א""ר יוחנן בר מדייא אנא חשב יתה ולא הוה בשובתא:"
Avodah Zarah,"רידב""ז",1,0,3b,"@11מה @33אותו היום בלבד או אותו היום בכל שנה ר""ל אע""ג דעביד בכל שנה יום שמחה מכל מקום אינו כיום איד ממש לאסור לישא וליתן עמו. ע""ז קאמר והתנא תגלחתו ותגלחת בנו אסורה וכן קחשיב ואזיל משתהו ומשתה בנו וכן לידתו ולידת בנו אסורה. א""א בשלמא דאותו היום בכל שנה ניחא שפיר. דמשכח""ל שפיר דלאחר ימים רבים נזדמן שנולד בנו בזה היום וגם נשא אשה לאחר זמן ימים רבים באותו היום וגם גילח באותו היום ונמצא דהוי משתהו ומשתה בנו ותגלחותו ותגלחת בנו ולידתו ולידת בנו. משא""כ א""ת דלא הוי אלא אותו יום ראשון שגילח ועשה משתה לנישואין ומשתה ושמחה ליום לידתו א""כ קשה היכא משכח""ל משתהו וגלחותו ולידתו כאחת עם בנו הא האב מגלח בראשונה ועושה משתה ליום לידתו קודם ללידת בנו וע""ז משני דכולהון מיירי שגילחו כאחת ונשאו נשים כאחת וכן נתאחר לעשות משתה ללידתו עד דאיתלד לי' בר ועביד כחדא ולעולם אינו איד אלא בפעם הראשון. והברייתא דתני בתגלחת ומשתה ולידתו שלו ושל בנו אתא לאשמעינן דאע""ג דהוי שמחה כפולה לו מכל מקום אינו אסור אלא אותו יום בלבד:",מה אותו היום בלבד או אותו היום,JTmock Avodah Zarah 1:3:2,מה אותו היום בלבד או אותו היום בכל שנה. והתני תגלחתו ותגלחת בנו אסורה תיפתר שגילחו שניהן כאחת. והתני משתהו ומשתה בנו אסורה תיפתר שגילחו שניהן כאחת שנשאו נשים. והתני לידתו ולידת בנו אסורה אית לך מימר שנולדו שניהן כאחת. תיפתר בההוא דלא אספיק מיעבר ביומיה עד דאיתיליד ליה בר ועבד כחדא.
Avodah Zarah,"רידב""ז",1,0,4a,"@11הא @33תוכה אסור מפני שיש בה צלם אחד יהא אסור בתמי'. ע""ז משני רשב""ל ביריד שנו ומזה מביא הרא""ש ז""ל ראי' דלא מיירי ביום איד אלא יריד בעלמא. אבל אינו מביא ראיה לדבריו דמיירי ביריד שמוכרים צרכי ע""ז. ז""א דלשיטת הירושלמי דמי עכו""ם ביד עכו""ם מותרת. כמבואר בסמוך אלא דמייתי ראיה דלא מיירי ביום איד אלא יריד בעלמא שנעשה לצרכי ע""ז והאיסר הוא בלוקח מעכו""ם משום דמהנה בנתינת המכס וממילא ישראל שהלך ליריד הזה שידענו בו שלא הלך לקנות בהמה ועבדים דברים המותרין כדכתב הר""נ ז""ל בדף ל""ג אסור לשאת ולתת עמו. ואפי' הבהמה שמותר לו ליקח אסורה הבהמה עליו ועל כל ישראל כמבואר בסמוך:",הא תוכה אסור מפני שיש בה צלם,JTmock Avodah Zarah 1:4:2,"הא תוכה אסור. מפני שיש בה צלם אחד יהא תוכה אסור ריש לקיש אמר ביריד שנו. ומה בין תוכה לחוצה לה תוכה שנהנה מן המכס אסור חוצה לה מותר שלא נהנה מן המכס ואם היה חוצה לה נהנה מן המכס אף חוצה לה אסור. והתני הולכין ליריד ולוקחין משם עבדים ושפחות ובהמה ר""ל אמר לא סוף דבר עבדים ישראל אלא אפי' עבדים נכרים שמקרבן תחת כנפי שכינה. והתני לקח משם כסו' תשרף בהמה תיעקר מעות יוליכם לים המלח ניחא כסות תישרף מעות יוליכם לים המלח בהמה תיעקר והתני הולכין ליריד ולוקחין מהן עבדים ושפחות ובהמה רשב""ל אמר לא סוף דבר עבדים ישראל אלא אפילו עבדים נכרים שמקרבן תחת כנפות שמים תיפתר ישראל ישראל. והתני המוכר עבדו לנכרים דמיו אסורין עוד היא תיפתר ישראל ישראל. ישראל שהולך ליריד לוקחין ממנו מפני שהוא כמציל מידן ובחזירה אסור שנתנה מחמת ע""ז ובנכרים בין הולכין בין באין מותר. רבי בא בריה דרבי חייה בר בא בשם רבי יוחנן אם היה פונדק מותר. רבי זעירא בעי ביריד אסור ובפונדק מותר דילמא בפרגמטיא אמרה רבי יוחנן. אתא רבי בא בריה דרבי חייה בר בא בשם רבי יוחנן אם היה פונדק מותר בפרקמטיא אמר רבי יוחנן"
Avodah Zarah,"רידב""ז",1,0,4a,"@11ומה @33בין תוכה לחוצה לה תוכו שנהנה מן המכס אסור כו'. ופריך והתני הולכין ליריד ולוקחין משם עבדים ושפחות ובהמה. ע""ז משני רשב""ל לא סוף דבר עבדים ישראל אלא אפילו עבדים עכו""ם שמקרבן תחת כנפי שכינה וכדאיתא בבבלי דף י""ג ע""ב ועי' בתוס' ז""ל ד""ה הכא. דלגבי בהמה פשיטא לי' דשרי משום מיעוטייהו אבל גבי עבד ס""ל דלא שייך מיעוטייהו משום דאדרבה אוכל משלו עיי""ש וה""נ לא פריך מבהמה משום דפשיטא לי' דשרי ליקח מהם משום מיעוטייהו וכל עיקר דקשה לי' הוא מעבד דלא שייך מיעוטייהו ע""ז משני הא דרשב""ל דאפי' בעבד עכו""ם שרי ג""כ משום דמכניסו תחת כנפי שכינה. ע""ז פריך והתני לקח משם כסות תשרף בהמה תעקר מעות יוליכם לים המלח. א""כ קשה רומיא דברייתות אהדדי. מבהמה אבהמה הא בבהמה שייך מיעוטייהו וקשרית לה בברייתא חדא וכדמסיק ניחא כסות תשרף מעות יוליכם לים המלח משום דלא שייך מיעוטייהו אבל בהמה קשה למה תעקר והא תנינן בברייתא אחריתי הולכין ליריד ולוקחין מהן עבדים ושפחות ובהמה. ומסיק הא דרשב""ל דאפילו עבדים עכו""ם משום דמקרבן תחת כנפי השכינה אבל בבהמה לא צריך טעם משום דפשוט הוא דמיעוטייהו שרי וא""כ קשיא על ההיא ברייתא דתני דאפילו בהמה תעקר כמו כסות ומעות. ע""ז משני תיפתר ישראל מישראל. כדי להבין סוגיא הזאת נקדים מה דכתבו התוס' ז""ל במס' ע""ז דף י""ג ע""א ד""ה מעות וז""ל לכאורה משמע דהני מעות אינם אסורים אלא מטעם קנס דומיא דפירות ושאר דברים ר""ל דומיא דפירות שלקח מהן כמו כן המעות שמכר להם סחורה וקיבל מהן מעות נמי אינן אסורין אלא מטעם קנס אבל אינן אסורין מדרבנן מטעם חשש דמי עכו""ם. דהוא מדאורייתא אסור. ואסרו רבנן עליו. והחשש דחיישינן עליו הוא ג""כ מדרבנן. דרבנן עשו החשש הזה ואסרו. [ונפ""מ אם הישראל השני שקיבל המעות צריך נמי להוליך לים המלח אם מטעם קנס אינו אסור אלא עליו. אבל לא קנסו חכמים עליו משא ומתן עמו שמא דמי היריד בידו משום דדמי היריד גופי' אינו אלא קנס ע""כ לא קנסו חכמים כולו האי] ותימא דלקמן דף ל""ג גבי ישראל ההולך ליריד משמע דמעות הנמצא בידו אינן אסורין מטעם קנסא דמשא ומתן אלא דאמרינן עכו""ם זבין. כך הק' הר""ר אלחנן ז""ל ותירץ ר""י ז""ל דהתם ה""ק בחזרה אסור אפי' לישא וליתן עמו משום חשש דמי עכו""ם כיון דהלך ודאי דמי עכו""ם בידו דאי גלימא זבין הכא הוי מזבין לי' ומ""מ הוי רק קנסא דרבנן דהא יש לומר דהדמים הי' בידו מקודם ולא מכר כלום שם אך כיון דידענו שלא הלך להיריד לקנות דברים המותרין כגון בהמה קנסו אותו כדאיתא בר""נ ז""ל אבל הכא לא מיירי אלא בנמצא שם וקנס דקנסינן לי' משום דנשא ונתן ביום איד ע""א. ולהכי אין לאסור המעות אלא לדידי' דעביד איסורא. ואפי' לר""י דאמר נשא ונתן אסור מיהו לישא וליתן עמו שרי ולא חיישינן שמא ישא ויתן באותן המעות דכולי האי לא קנסו עכ""ל ז""ל ונמצא לפ""ז דהוי נ""מ בין אם אמרינן דמעות יוליכן לים המלח אם הוי משום קנסא דנשא ונתן ביריד ונתן מכס. או דהדמים אסורין משום חשש דמי עכו""ם בידו. אם מחשש דדמי עכו""ם בידו אסור לישראל השני לישא וליתן עמו שמא דמי עכו""ם בידו. ואם משום קנסא דנשא ונתן ביריד אינו אסור המעות אלא להישראל הראשון. אבל ישראל השני מותר דלדידי' קנסו ולא לממונא משום דלא קנסו כולי האי. ע""ז משני דמה דקשיא לך על הברייתא דתני לקח משם בהמה תיעקר. דלמה תיעקר הא בברייתא אחריתי קאמר דלוקחין בהמה משום מיעוטייהו שרי ז""א. דהברייתא דתני לקח משם בהמה תיעקר מיירי שישראל אסור לו ליקח מן ישראל שהלך מכאן ולקח בהמה ביריד ומיירי ביריד שמוכרין שם צרכי עכו""ם כדאיתא ברא""ש ז""ל דאמרינן שניתנה לו הבהמה מחמת ע""ז והוי הבהמה דמי עכו""ם כדמסיק בסמוך שנתנה לו מחמת ע""ז והוי כההיא דדף ל""ג בישראל שהולך ליריד שמוכרין שם צרכי עכו""ם דבחזרה אסור לשאת ולתת עמו מדרבנן דאמרינן דמי עכו""ם בידו ודמי עכו""ם ביד ישראל אסור. משא""כ בברייתא דתני לוקחין מהן בהמה. הוא דישראל מותר ליקח בהמה מן העכו""ם ביריד ולא חיישינן דלמא מחמת עכו""ם נתנה לו להעכו""ם משום דדמי עכו""ם ביד עכו""ם מותר כדאיתא בדף ס""ד עיי""ש וכן פסקו הפוסקים ז""ל עיין בתוס' ז""ל דף י""ב ע""א ד""ה דכוותי' וכן מבואר בסמוך בירושלמי ונמצא דהא דתני בברייתא דבהמה תיעקר לאו דוקא שישראל הראשון יעקור הבהמה ולדידי' קנסו ז""א אלא דלממונו קנסו ג""כ ואפי' ישראל השני אסור ליקח מאתו שום בהמה דדילמא דמי עכו""ם הוא דמחמת עכו""ם נתנה לו ולא משום קנס דנשא ונתן ביריד דלא יהא אסור אלא לישראל הראשון ז""א אלא דהא דתני לקח משם בהמה תיעקר הוא דלממונא נמי קנסו דאסור על כל ישראל ליקח ממנו שום בהמה ומעות וכסות וזהו מדרבנן דהא מדאורייתא מותר דדילמא המעות הללו הי' בידו מקודם ומאן נאמר לן דעכו""ם זבין אך הוא מדרבנן דכיון דמיירי שהלך שלא בשביל דברים המותרין (כדאיתא בר""נ ז""ל) כמו בהמה ועבדים אסיר לילך וכיון דהלך לשם אסרו רבנן את הממון שלו. ואע""ג דהמשתחוה לבע""ח לא נאסרה והבהמה עצמה כשעבדה לא נאסרה. מ""מ בחלופי עכו""ם נאסרה כדאיתא דף נ""ד ע""ב ומיירי ביריד שמוכרין שם צרכי עכו""ם כדכתב הרא""ש ז""ל ושו""ע סי' קמ""ט והגם דהישראל מותר לילך שם ליקח דברים הללו עבדים ושפחות ובהמה מיירי הברייתא הזאת בשידעינן שלא הלך לשם בשביל דברים הללו ע""כ אסור לישא וליתן עמו כדכתב הר""נ ז""ל דף ל""ג עיי""ש ואפילו בהמה שמותר לו לילך ליקח מ""מ אסור ליקח ממנו דקנסינן לי' ואמרינן שמא מחמת עכו""ם נתנה לו כדאיתא בירושלמי בסמוך וקנסו רבנן אפילו לממונו ולא לדידי' בלבד קנסו אלא אף ממונו קנסו. ואע""ג דהכא לא שייך למימר דהכא הוי מזבין לי' דדף ל""ג הנ""ל מ""מ קנסו רבנן אפי' דברים המותרין ליקח ובמס' בכורות דף ל""ד ובגיטין דף מ""ד ומ""ק דף י""ג גבי איבעיא בקנסא דרבנן אם קנסו לדידי' או לממונא מבואר במס' בכורות דהמוכר עבדו לעכו""ם חמור מכולם והתם קנסו יותר להממונא יותר מכל מקום דקנסו רבנן ואסרו הממון כדאיתא בתוס' ז""ל וכו' דמסיק דאף ישראל מישראל אסור וקנסו לממונא ע""ז פריך והתני המוכר עבדו לעכו""ם דמיו אסורין. ומשמע לי' דאין אסורין אלא לו לבד ומשני דגם שם תיפתר ישראל מישראל דישראל אחר אסור ליקח ממנו הממון וע""ז מביא הברייתא ההולך ליריד דבחזרה ג""כ אסור דאמרינן מחמת עכו""ם נתנה לו:",ומה בין תוכה לחוצה לה תוכו שנהנה,JTmock Avodah Zarah 1:4:2,"הא תוכה אסור. מפני שיש בה צלם אחד יהא תוכה אסור ריש לקיש אמר ביריד שנו. ומה בין תוכה לחוצה לה תוכה שנהנה מן המכס אסור חוצה לה מותר שלא נהנה מן המכס ואם היה חוצה לה נהנה מן המכס אף חוצה לה אסור. והתני הולכין ליריד ולוקחין משם עבדים ושפחות ובהמה ר""ל אמר לא סוף דבר עבדים ישראל אלא אפי' עבדים נכרים שמקרבן תחת כנפי שכינה. והתני לקח משם כסו' תשרף בהמה תיעקר מעות יוליכם לים המלח ניחא כסות תישרף מעות יוליכם לים המלח בהמה תיעקר והתני הולכין ליריד ולוקחין מהן עבדים ושפחות ובהמה רשב""ל אמר לא סוף דבר עבדים ישראל אלא אפילו עבדים נכרים שמקרבן תחת כנפות שמים תיפתר ישראל ישראל. והתני המוכר עבדו לנכרים דמיו אסורין עוד היא תיפתר ישראל ישראל. ישראל שהולך ליריד לוקחין ממנו מפני שהוא כמציל מידן ובחזירה אסור שנתנה מחמת ע""ז ובנכרים בין הולכין בין באין מותר. רבי בא בריה דרבי חייה בר בא בשם רבי יוחנן אם היה פונדק מותר. רבי זעירא בעי ביריד אסור ובפונדק מותר דילמא בפרגמטיא אמרה רבי יוחנן. אתא רבי בא בריה דרבי חייה בר בא בשם רבי יוחנן אם היה פונדק מותר בפרקמטיא אמר רבי יוחנן"
Avodah Zarah,"רידב""ז",1,0,4b,"@11ר""ב @33ברי' דריב""ב בשם ר""י אם הי' פונדק מותר ר""ז בעי ביריד אסור בפונדק מותר דקס""ד דלשלם על היריד שכר פונדק מותר אעפ""י שמקבלין מכס מהפונדק ע""ז מקשה מ""ש דביריד אסור לשאת ולתת משום דמקבלין מכס מהסחורה כמו כן אסור נמי בפונדק משום שכר פונדק דלמא בפרגמטיא אמרה כו' ר""ל דמותר לשאת ולתת עמהם בפרגמטיא בפונדק ששם מתקבלין אנשים למסחור ולא אסרו אלא מו""מ שעל היריד ולא במו""מ שבפונדק:","ר""ב ברי' דריב""ב בשם ר""י אם הי'",JTmock Avodah Zarah 1:4:2,"הא תוכה אסור. מפני שיש בה צלם אחד יהא תוכה אסור ריש לקיש אמר ביריד שנו. ומה בין תוכה לחוצה לה תוכה שנהנה מן המכס אסור חוצה לה מותר שלא נהנה מן המכס ואם היה חוצה לה נהנה מן המכס אף חוצה לה אסור. והתני הולכין ליריד ולוקחין משם עבדים ושפחות ובהמה ר""ל אמר לא סוף דבר עבדים ישראל אלא אפי' עבדים נכרים שמקרבן תחת כנפי שכינה. והתני לקח משם כסו' תשרף בהמה תיעקר מעות יוליכם לים המלח ניחא כסות תישרף מעות יוליכם לים המלח בהמה תיעקר והתני הולכין ליריד ולוקחין מהן עבדים ושפחות ובהמה רשב""ל אמר לא סוף דבר עבדים ישראל אלא אפילו עבדים נכרים שמקרבן תחת כנפות שמים תיפתר ישראל ישראל. והתני המוכר עבדו לנכרים דמיו אסורין עוד היא תיפתר ישראל ישראל. ישראל שהולך ליריד לוקחין ממנו מפני שהוא כמציל מידן ובחזירה אסור שנתנה מחמת ע""ז ובנכרים בין הולכין בין באין מותר. רבי בא בריה דרבי חייה בר בא בשם רבי יוחנן אם היה פונדק מותר. רבי זעירא בעי ביריד אסור ובפונדק מותר דילמא בפרגמטיא אמרה רבי יוחנן. אתא רבי בא בריה דרבי חייה בר בא בשם רבי יוחנן אם היה פונדק מותר בפרקמטיא אמר רבי יוחנן"
Avodah Zarah,"רידב""ז",1,0,4b,"@11אמר @33רבי יוחנן רבי אבוה בשם רבי יוחנן החליף בהמה בע""ז אסורה ר""ח בעי אילו השתחוה לה לא אסרה מפני שהחליף בהמה בע""ז אסרה פי' הפ""מ ז""ל דהא אין נעבד בבעלי חיים והמשתחוה לבהמה לא אסרה והאיך נאסרה משום חלופי ע""ז ואינו מובן לי הא ר' יוחנן גופי' סבירא לי' במס' ע""ז דף נ""ד ע""ב דנאסרה בחלופי ע""ז דגרסינן שם כי אתא רשב""י אמר ר' יוחנן אעפ""י שאמרו המשתחוה לבע""ח לא נאסרו עשאן חליפין לעכו""ם נאסרו עיי""ש בפירש""י ז""ל וז""ל ז""ל החליפן בעכו""ם שהיתה לו עכו""ם והחליפה לעכו""ם בבהמתו עכ""ל ז""ל עיי""ש הרי מפורש דבחליפין נאסרו ונראה לפע""ד דה""פ דר""ח מקשה אילו השתחוה לה לא נאסרה מפני שהחליף בהמה בע""ז נאסרה פי' דהנה ר' יוחנן ר""א בשם ר""י קאמר. החליף בהמה בע""ז אסורה דעכו""ם הי' לו ע""ז והחליף בבהמה אסורה הבהמה באיסור הנאה של עכו""ם ע""ז מקשה ר""ח הא דמי עכו""ם ביד עכו""ם מותרת דהוא מטעם שכתבו בתוס' ז""ל דף ס""ד ע""א ד""ה מסתברא ונראה הטעם כי מה שעכו""ם תופסת דמי' משום דכתיב והיית חרם כמוהו כל מה שאתה מהוה ממנו כמוהו ובישראל דוקא נאמר ולא לב""נ עכ""ל ז""ל והוא דלא נאסרה לב""נ איסור הנאה דע""ז אלא השתחוי' לבד אבל אין איסור על ב""נ איסור הנאה דע""ז ומותר ב""נ לעשות סחורה מע""ז וע""כ כל מה שהוא מהוה ממנו אין אסור בהנאה ואינו אסור חלופי עכו""ם אלא ישראל שהחליף עכו""ם שלו בבהמה עם הנכרי עושה איסור הנאה על הבהמה. ולפיכך פירש""י ז""ל הנ""ל עשאן חליפין לעכו""ם נאסרו שהיתה לו ע""ז והחליפה לעכו""ם בבהמתו דהוא דהעכו""ם הי' של ישראל והחליפה על בהמת עכו""ם. משא""כ כשהנכרי החליף עכו""ם שלו על בהמת ישראל לא נאסרה דלא גרע מעכו""ם עצמו דלא נאסרה עליו בהנאה. ולא שייך כל מה שמהוה ממנו כמוהו. ע""ז משני דלמא בפרגמטיא שנכנסה קודם ליריד אתאמרת ר""ל דהחליף העכו""ם הכו""מ על הבהמה קודם היריד דהיריד קבוע לה זמן שמתחיל היריד מן מסחר של צרכי עכו""ם ואסור לשאת ולתת מזמן ההוא אבל קודם זמן הקבוע ליריד אעפ""י שנתקבצו אנשים הרבה מותר לשאת ולתת עמהם. ואם החליף עכו""ם בבהמה קודם זמן היריד אעפ""י שעדיין לא בא זמן המוגבל להיריד. כיון שהתחיל לעשות עסק בחלופי עכו""ם הרי הוא כהגיע זמן היריד ואסור לשאת ולתת משעה ההיא עמו:",אמר רבי יוחנן רבי אבוה בשם רבי,JTmock Avodah Zarah 1:4:2-3,"['הא תוכה אסור. מפני שיש בה צלם אחד יהא תוכה אסור ריש לקיש אמר ביריד שנו. ומה בין תוכה לחוצה לה תוכה שנהנה מן המכס אסור חוצה לה מותר שלא נהנה מן המכס ואם היה חוצה לה נהנה מן המכס אף חוצה לה אסור. והתני הולכין ליריד ולוקחין משם עבדים ושפחות ובהמה ר""ל אמר לא סוף דבר עבדים ישראל אלא אפי\' עבדים נכרים שמקרבן תחת כנפי שכינה. והתני לקח משם כסו\' תשרף בהמה תיעקר מעות יוליכם לים המלח ניחא כסות תישרף מעות יוליכם לים המלח בהמה תיעקר והתני הולכין ליריד ולוקחין מהן עבדים ושפחות ובהמה רשב""ל אמר לא סוף דבר עבדים ישראל אלא אפילו עבדים נכרים שמקרבן תחת כנפות שמים תיפתר ישראל ישראל. והתני המוכר עבדו לנכרים דמיו אסורין עוד היא תיפתר ישראל ישראל. ישראל שהולך ליריד לוקחין ממנו מפני שהוא כמציל מידן ובחזירה אסור שנתנה מחמת ע""ז ובנכרים בין הולכין בין באין מותר. רבי בא בריה דרבי חייה בר בא בשם רבי יוחנן אם היה פונדק מותר. רבי זעירא בעי ביריד אסור ובפונדק מותר דילמא בפרגמטיא אמרה רבי יוחנן. אתא רבי בא בריה דרבי חייה בר בא בשם רבי יוחנן אם היה פונדק מותר בפרקמטיא אמר רבי יוחנן', 'רבי אבהו בשם רבי יוחנן החליף בהמה בע""ז אסורה. רב חסדא בעי אילו השתחוה לה לא אסרה מפני שהחליף בהמה בע""ז אסרה דילמא בפרגמטיא שנכנסה קודם ליריד איתאמרת. אתא רבי זעירא רבי אבהו בשם רבי יוחנן החליף בהמה בע""ז אסרה בפרגמטיא שנכנסה קודם ליריד איתאמרת. א""ר אבהו אסור לעשות חבילה ביריד ותני כן לא ישאל בשלומו במקום שהוא מתחשב מצאו לפי דרכו שואל בשלומו בכובד ראש.']"
Avodah Zarah,"רידב""ז",1,0,5a,"@11אמר @33ר' אבוה אסור לעשות חבילה ביריד עיין בהרמב""ן ז""ל דף י""ג דהא דאסור למכור ביריד במקום שלא שקלי מיכסי מיני' ולמה לא התירו אלא ליקח דברים דמיעוטייהו הוא משום שהעכו""ם מתעלה בהם כשהם מתאספין ומביאין סחורה ובאים למכור ביריד שלה אבל ליקח מהם כל היכי דממעט להו לא מתחשבו ובירושלמי א""ר אבוה אסור לעשות חבילה ביריד. ותני כן לא ישאל במקומו במקום שהוא מתחשב עכ""ל ז""ל משמע דמפרש דאיסור חבילה הוא שיתקבצו יהודים רבים בחבילה אסור משום שהיא מכבד את העכו""ם בזה שמתקבצין הרבה ביחד במקום אחד ומביא ראיה דכן אפילו שאילת שלום אסור במקום שהוא מתחשב בזה:",אמר ר' אבוה אסור לעשות חבילה ביריד,JTmock Avodah Zarah 1:4:3,"רבי אבהו בשם רבי יוחנן החליף בהמה בע""ז אסורה. רב חסדא בעי אילו השתחוה לה לא אסרה מפני שהחליף בהמה בע""ז אסרה דילמא בפרגמטיא שנכנסה קודם ליריד איתאמרת. אתא רבי זעירא רבי אבהו בשם רבי יוחנן החליף בהמה בע""ז אסרה בפרגמטיא שנכנסה קודם ליריד איתאמרת. א""ר אבהו אסור לעשות חבילה ביריד ותני כן לא ישאל בשלומו במקום שהוא מתחשב מצאו לפי דרכו שואל בשלומו בכובד ראש."
Avodah Zarah,"רידב""ז",1,0,7a,"@11הא @33דבר שאין בו נזק לרבים מותר פי' דנקט התנא הדברים שאין בונין עמהם בסילקי וגרדין ואיצטדיא ובימה דכל הנהו יש בהם נזק לרבים כדפרש""י ז""ל ומדלא נקט אלא איסור בנין משום דהוי דבר שיש בו נזק לרבים דע""י בנינו עושה מעשה שע""י יגיע נזק לרבים משמע אבל הי' עושה בדברים הללו דקחשיב התנא בסילקי וגרדין ואיסטדיא הוא איצטדנין ובנוסח המשנה בבבלי גרסינן איצטדנין ובימה דבר שאין בו נזק לרבים כגון ישיבה בעלמא שאין בזה נזק לרבים מותר דכיון דנקט התנא דוקא בנין דהוי דבר שיש בו נזק לרבים משמע דהא שאין בו נזק לרבים כגון הילוך בעלמא שרי ע""כ דמתניתין רבי נתן הוא [וחסר כאן תיבת רבי נתן ונדפס רק דברי וטעות דמוכח הוא כדמוכח בסמוך] כדמסיק הברייתא דההולך לשם ורואה את הנחשים כו' ובבבלי דף י""ח ע""ב גרסינן ההולך לאיצטדנין ורואה את הנחשים כו' כו' הר""ז מושב לצים אבל ר""נ מתיר מפני שצווח ומציל הרי דמתניתין דלא אסר אלא הבנין מוכח דאתיא כר""נ ובבבלי שם מוכח דר""נ מתיר באיצטדנין לאו בישיבה לחוד אלא בהילוך שייך ג""כ הולך ומציל וע""כ לא אסר במתניתין באיצטדנין ואינך אלא הבנין אבל לא ההילוך ומותר לילך לאיצטדנין משום דס""ל כר""נ:",הא דבר שאין בו נזק לרבים מותר,JTmock Avodah Zarah 1:7:2,"הא דבר שאין בו ניזקא לרבים מותר. מתני' דברי דתני הרואה את הנחשים ואת החברים מוקיון מופייון מוליון מילרין מילריה סגירלון סגילריה הרי זה אסור משום מושב לצים שנאמר ובמושב לצים לא ישב וכולן מביאין לידי ביטול תורה שנאמר כי אם בתורת ה' חפצו. העולה לתיאטרון אסור משום ע""ז דברי רבי מאיר וחכמים אומרים בשעה שהן מזבנין אסור משום ע""ז ואם לאו אסור משום ומושב לצים בלבד. העולה לתיאטרון וצווח אם לצורך הרבים מותר ואם מתחשב הוא אסור היושב באיצטדין הרי זה שופך דמים. רבי נתן מתיר מפני שני דברים משום שצווח ומציל את הנפשות ומעיד על האשה שתינשא."
Avodah Zarah,"רידב""ז",1,0,7a,"@11עבר @33ובנה ר""א אמר מותר ונראה דהירושלמי ס""ל דהי' הא""מ דאסור משום קנס כדאיתא לעיל בכמה דברים דאסור המעות משום קנס כמו במכירת בהמה גסה בה""ו ועיי' בה""ד ע""ז קמ""ל ר""א דבזה לא קנסו המעות כיון דהוי אך תשמישי עכו""ם עי' בבבלי דף י""ט ע""ב ע""ש:","עבר ובנה ר""א אמר מותר ונראה דהירושלמי",,
Avodah Zarah,"רידב""ז",1,0,7a,"@11אמר @33ר""מ לא מסתברא כאהין סוברה דלא אסור ר""ל דאלא אסור כלישנא דהירושלמי בכמה מקומות דאיכא ברייתא דסבירא לי' דאסור לבנות דימיסאות אפילו קודם שהגיע לכיפה משום דהוא סייד כל הדא כיפתא על כן אסור לבנות כל עיקר הדימסאות וחילק הברייתא על המשנה:","אמר ר""מ לא מסתברא כאהין סוברה דלא",JTmock Avodah Zarah 1:7:3,עבד ובנה רבי לעזר אמר מותר אמר רבי מנא לא מסתברא כאהין סוברה דלא אסור דהוא חייד כל הדא כיפתא:
