masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Sheviit,"רידב""ז",1,0,1a,"@11עד @33כאן הוא יפה לפרי כו'. עד כאן הוא מעבה את הכורת מכאן ואילך הוא מתיש את כחו מתוך שהוא יודע שהוא מתיש את כחו אף הוא אינו מתכוין אלא לעבודת הארץ כן גי' הגר""א ז""ל בכ""י קדשו בירושלמי שת""י ותיבת ויחרוש מיותר:",עד כאן הוא יפה לפרי כו',JTmock Sheviit 1:1:6,ולמה עד עצרת עד כאן הוא יפה לפרי מכאן ואילך הוא מנבל פירותיו והא תנינן אחד אילן סרק ואחד אילן מאכל עד כאן הוא מעבה את הכורת מכאן ואילך הוא מתיש את כוחו ויחרוש מתוך שהוא יודע שהוא מתיש כחו של אילן אף הוא אינו מתכווין לעבודת הארץ
Sheviit,"רידב""ז",1,0,1a,"@11ולמה @33לא תני נתה מקולי ב""ש כו' פעמים שאין הגשמים מצוין ואין הליחה מצויה ואין עתיד לחרוש. קודם לעצרת כדברי ב""ש כן גי' הגר""א ז""ל בכ""י קדשו:","ולמה לא תני נתה מקולי ב""ש כו'",JTmock Sheviit 1:1:7,"ולמה לא תניתא מקולי ב""ש ומחומרי ב""ה פעמים שאין הגשמים מצויין ואין הליחה מצוייה והוא עתיד לחרוש קודם לעצרת כדברי בית שמאי ובית הלל אומרים עד העצרת:"
Sheviit,"רידב""ז",1,0,1b,"@11רב @33אמר בעשוין צובר ושמואל אמר בעשוין שורה אמר ר' יוסי תמן איתאמרת וכא לא איתאמרת פי' דוקא לענין קנין קרקע בזה נפ""מ בין צובר לשורה כדאיתא במס' ב""ב (דף פ""ג) דמ""ד כחצובה אבל שורה לא משום דמיזדרע וכיון דיכול לזרוע ע""כ לא מכרו המוכר אבל מאי שייכות הוא הפלוגת' הכא לענין חרישת בית סאה בשבילן ע""ז אמר ר' יונה אפי' הכא איתאמרת בקרובים פי' דאיתא לקמן (בה""ה במתניתן) היו עשויות שורה ומוקפות עטרה פי' הר""ש ז""ל והרע""ב ז""ל דהפי' שורה הוא דעשוי כחומה דתרגום חומה הוא שורה עיי""ש והוא ע""פ הירושלמי כאשר יתבאר בע""ה לקמן וסמוכין האילנות זה אצל זה ממש ונעשו כחומה לא מהני בנטיעות לקמן וקאמרינן שם בגמ' לקמן (ה""ה) דתרי גונא שורה איכא דיש הנקרא שורה בעומדין בשורה אחת ומפוזרין זמ""ז ויש הנקרא שורה בעומדים במקום אחד ופי' שורה הזה הוא חומה ע""ז קאמר ר' יונה דהא דקאמר רב בצובר ולא שורה הוא השורה הקרובה ונקרא שורה על שם חומה בזה לא מהני באילנות כמו בנטיעות אבל שמואל ס""ל דבאילנות מהני שורה כחומה וע""ז מקשה ר' מנא דאי אפשר לומר דבשורה כחומה שמואל מתיר באילנות והא תנינן כל שהבקר יכול לעבור בכליו ולא תימא דהטעם דבעינן שהבקר יכול לעבור בכליו ואי לא למיעקר קיימא כדאיתא ברשב""ם ז""ל במס' ב""ב ובהר""ש ז""ל ובכל הראשונים ז""ל משום דמפסיד האדמה וע""כ למיעקר קיימי ולפוזרן כדי שלא להפסיד האדמה כיון דמפוזרין זה מזה רק ב' אמות ואין הבקר יכול לעבור בכליו א""כ מפסיד האדמה בלא שום תשמיש אותו שטח האדמה שבין אילן לאילן ע""כ יעקרם ויפזרם מה שא""כ בעומדים בשורה כחומה דאין מפסיד שום שטח מהאדמה שפיר דמי ע""ז מסיק דז""א הטעם אלא איתא חמי בשעה שהבקר עובר בכליו השרשים מהלכין מן הצד ובשעה שאין הבקר עובר בכליו אין השרשים מהלכין מן הצד דאין מקום להשרשים להתפשט א""כ מכח טעם זה למיעקר קיימא בשעה שאין הבקר עובר בכליו וא""כ לפ""ז גם בעשוין בשורה כחומה נמי אין חורשין בית סאה בשבילן באילנות כמו בנטיעות משום דבאילנות למיעקר קיימא וע""כ מיירי רב ושמואל בשורה מפוזרת ובשורה מפוזרת לכו""ע מהני הכא וע""כ ל""ל דהכא איתאמרת:",רב אמר בעשוין צובר ושמואל אמר בעשוין,JTmock Sheviit 1:2:2,"רב יהודה בשם שמואל רבי אבהו בשם רבי יוחנן הקונה שלשה אילנות בתוך של חבירו רחוקים מטע עשר לבית סאה קרובים כדי שיהא הבקר עובר בכליו קנה קרקע שתחתיהן קרקע שביניהן שחוצה להן מלוא האורה וסלו רב אמר בעשויין צובר ושמואל אמר בעשויין שורה אמר רבי יוסי תמן איתאמרת וכא לא איתאמרת א""ר יונה אפילו הכא איתאמרת בקרובים א""ל רבי מנא ואם בקרובים והא תנינן כדי שיהא הבקר עובר בכליו איתא חמי בשעה שהבקר עובר בכליו השרשים מהלכין מן הצד ובשעה שאין הבקר עובר בכליו אין השרשים מהלכין מן הצד."
Sheviit,"רידב""ז",1,0,1b,"@11ר""א @33שאל מזו לזו ט""ז ולצד עשרים וחמש פי' דיהא בית סאה מחזקת נ' אמה והאיך הוא החשבון דחורשין כל בית סאה עד כ""ה אמה וביניהם רק ט""ז אמה ר""ש בר""י בעי היו נתונים בצד הגדר האיך חורשין כל בית סאה בשבילן הא כל אילן מתפשט א""ע בשרשיו בכל הצדדין לכל רוח ונתפשטין גם אחורי הגדר ולמה הולכין מצד זה ואין הולכין מצד השני לגדר וא""ר יוסי לפ""ז ינתן סאה לכל רוח ורוח כמו דנותנין סאה לפנים מן הגדר ואם תתן להם מחוץ לגדר א""כ יהיה להם ארבעה סאין כצ""ל ארבעה בית סאין:","ר""א שאל מזו לזו ט""ז ולצד עשרים",JTmock Sheviit 1:2:3,ר' ליעזר שאל מזו לזו שש עשרה ולצד עשרין וחמש רבי שמואל בר רב יצחק בעי היו נתונים בצד הגדר חורשים כל בית סאה בשבילן אמר רבי יוסי אין בעי ניתן להן ארבעים סאה סאה מכאן וסאה מכאן סאה מכאן וסאה מכאן ר' ירמיה בעי היתה גפן אחת מודלה על גבי שתי סאין את חורש קרקע שתחתיה וקרקע שחוצה לו מלוא האורה וסלו חוצה לו
Sheviit,"רידב""ז",1,0,1b,"@11אילן @33מלמעלן חורשין בו למטה ואילן מלמטן חורשין בו מלמעלן פי' דשאל אפי' בזה יפה להם החרישה אפילו דהשרשים עמוקים הרבה מ""מ יפה להם החרישה וקאמר נשמיענה מן הדא מרחיקין את האילן מן הבור כו' ותני עלה בין מלמעלן בין מלמטן וח""כ מוכת דהשרשים עולין מלמעלן ומדחה דאין מזה ראי' דה""ק בין שהאילן מלמעלן והבור מלמטן בין שהאילן ובור מלמטן נפשוט דתני בהדיא אילן למעלן ובור מלמטן וקאמר הגמ' דמשם אין ראיה דנימא אילן מלמעלן כו' ודרך השרשים לעלות למעלן בתמי' אר""ח לא מפני השרשים אלא שעושין עפר תיחוח:",אילן מלמעלן חורשין בו למטה ואילן מלמטן,JTmock Sheviit 1:2:4,"באיסור שני פרקים הראשונים אלו מלמעלן חורשין בו מלמטן ואלו מלמטן חורשין בו מלמעלן ניחא אלו מלמעלן חורשין בו מלמטן אלו מלמטן חורשין בו מלמעלן. נשמיענא מן הדא מרחיקים את האילן מן הבור עשרים וחמש אמה ותני עליה בין מלמעלן בין מלמטן או נימר בין שהאילן למעלן והבור מלמטן בין שהאילן והבור מלמטן והתני אילן מלמעלן והבור מלמטן אילן מלמטן והבור מלמעלן ניחא אילן מלמעלן והבור מלמטן אילן מלמטן והבור מלמעלן ודרך השרשים לעלות מלמעלן אמר רבי חנינא לא מפני השרשים אלא שהן עושין עפר תיחוח והן מלקין ארעיתו של בור אתא עובדא קומי רבי יסא דבי רבי בון אמר יחידי הוא ולא סמכון עליו דתני עלה ר""ש אומר כשם שאמרו מלמעלן כך אמרו מלמטן:"
Sheviit,"רידב""ז",1,0,2a,"@11ר' ביבי @33בשם ר""ח ובלבד שלא יפחות מחשבון משולשים פי' דבעינן שיהא שלשה מן הט' הללו שיצא מהן ככר דבלה של ששים מנה. אע""פ שמהשאר לא יצא כלל. זעירא בר' חנינא אמר ובלבד שלא יפחות מחשבון מתושעין פי' דסגי ליה באם יצא החשבון הזה מכל תשעה דדין תשעה כמו דין ג' וכמו דבג' צריך שיצא מן הג' כך בתשעה צריך שיצא מן התשעה החשבון הזה כן פי' בשנות אליהו ז""ל ועיין ברמב""ם ז""ל ובראב""ד ז""ל בהלכות שביעית (פרק ג' הלכה ה'):","ר' ביבי בשם ר""ח ובלבד שלא יפחות",JTmock Sheviit 1:3:3,"היה עושה כו'. רבי ביבי בשם רבי חנינא ובלבד שלא יפחות מחשבון משולשים זעירא ב""ר חנינא אמר ובלבד שלא יפחות מחשבון מתושעין"
Sheviit,"רידב""ז",1,0,2a,"@11היו @33ארבעה והבקר עובר בכליו שנים ואין הבקר עובר בכליו פי' דנמצא בין אלו הארבעה ב' שאין הבקר עובר בכליו וי""ל דנחשבים השנים לאחד ונשאר שלשה. ע""ז אמר כיון שאין הבקר עובר בכליו את רואה אותן כאלו שנים [ותיבת חמשה נשתרבב מהא דבסמוך] וטעמא כיון שאין הבקר עובר בכליו אין השרשים מהלכין מן הצד ויורדין למטה וע""כ לא מהני החרישה דבית סאה להאילנות הללו דהחרישה היא מועלת לרכך הקרקע ותועיל להשרשים וע""כ הג' האילנות העומדים בערך מטע עשר לבית סאה וקרובים בכדי שהבקר יעבור בכליו מועיל התפשטות השרשים על כל הבית סאה דחורשין כל בית סאה בשבילם והנ""מ כשהשרשים מתפשטין מן הצד משא""כ בשנים הקרובים שאין הבקר עובר בכליו שאין בהם התפשטות שרשים מן הצד לא מהני להבית סאה וע""כ את רואה אותן כאלו הן שנים:",היו ארבעה והבקר עובר בכליו שנים ואין,JTmock Sheviit 1:3:4,"היו ארבעה והבקר עובר בכליו שנים ואין הבקר עובר בכליו מכיון שאין הבקר עובר בכליו את רואה אותן כאלו חמשה. היו חמשה תפלוגתא דר""ש ורבנן דתנינן תמן כרם שהוא נטוע על פחות מד' אמות ר""ש אומר אינו כרם ורבנן אומרים כרם ורואין את האמצעית כאילו אינן"
Sheviit,"רידב""ז",1,0,2a,"@11היו @33חמשה פי' ושנים באמצע הבקר עובר בכליו תלי בפלוגתא דר""ש ורבנן גבי כרם שהוא נטוע פחות מד' אמות דר""ש סבר דהוי כמו גדר המפסיק ורבנן ס""ל רואין את האמצעים כאלו אינן וחורשין כל בית סאה בשבילם משא""כ בארבעה ושנים מהן הבקר עיבר בכליו אין אנו אומרים דרואין את האחד כאלו אינו אלא את רואה אותן כאלו הן שנים:",היו חמשה,JTmock Sheviit 1:3:4,"היו ארבעה והבקר עובר בכליו שנים ואין הבקר עובר בכליו מכיון שאין הבקר עובר בכליו את רואה אותן כאלו חמשה. היו חמשה תפלוגתא דר""ש ורבנן דתנינן תמן כרם שהוא נטוע על פחות מד' אמות ר""ש אומר אינו כרם ורבנן אומרים כרם ורואין את האמצעית כאילו אינן"
Sheviit,"רידב""ז",1,0,2a,"@11אין @33צריך לומר כו' ר' ישמעאל כדעתיה כו' הגר""א ז""ל בב""י קדשו גרס איפכא יצא קציר העומר שהוא מצוה ר' ישמעאל כדעתיה דר' ישמעאל אומר אין העומר בא מסוריא:",אין צריך לומר כו',JTmock Sheviit 1:3:6,אין צריך לומר כו' ר' ישמעאל כדעיתה דרבי ישמעאל אמר אין העומר בא מסוריא יצא קציר העומר שהיא מצוה:
Sheviit,"רידב""ז",1,0,2b,"@11א""ר @33יוסי אף אנן נמי תנינן דר""ח רבה שלשה אילנות של שלשה אנשים כו' וחורשין כל בית סאה עד ר""ה הגר""א ז""ל בכי""ק מחק תיבות עד ר""ה:","א""ר יוסי אף אנן נמי תנינן דר""ח",JTmock Sheviit 1:4:2,"תני ר""ח אילנות של אדם אחד וקרקע של אדם אחד מצטרפין וחורשין כל בית סאה בשבילן אמר רבי יוסי אף אנן נמי תנינן דר""ח רבה שלשה אילנות של שלשה אנשים הרי אלו מצטרפין וחורשין כל בית סאה עד ר""ה:"
