masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Eruvin,שיירי קרבן,1,1,1b,"@11ותני כן הביא ארבע דוקרנין וסיכך על גביהן סוכה כשרה כו'. @33וקשה בבבלי במסכת סוכה דף ד' ע""ב מייתי הש""ס ברייתא ת""ר נעץ ארבע קונדסין וסיכך על גבן ר' יעקב מכשיר וחכמים פוסלין ע""כ א""כ מאי פריך מרבי יעקב הא רבנן פליגי עליה וי""ל דמסיק התם באמצע הגג מחלוקת אבל על שפת הגג ד""ה כשרה ואלו במבוי אם העמיד דוקרנין על הגג והם גבוהים למעלה משלשה והניח ע""ג קורה פסולה. ומכאן ראיה לגירסת הגאונים והרמב""ם בפ""ד מהלכות סוכה דין י""א דלר""נ בשפת הגג ד""ה כשרה נמצא שני התלמודיים שוים:",ותני כן הביא ארבע דוקרנין וסיכך על,Jerusalem Talmud Eruvin 1:1:2,"ר' יוסה אמר לה סתם רבי אחא בשם רב רבנן ילפין לה מפתחו של היכל ורבי יודה יליף לה מפתח האולם אם מפתח האולם דייו ארבעים אמה דתנינן תמן פתח האולם גבוה ארבעים אמה ורוחב עשרים אמר תני רבי חייה אפילו ארבעים חמשים אמה תני בר קפרא אפילו מאה אמה א""ר אבין ר' יודה כדעתיה ורבנן כדעתהון דתנינן תמן וכן גשרים המפולשין מטלטלין תחתיהן בשבת דברי רבי יודה וחכמים אוסרין היך מה דתימר תמן את רואה את המלתירה כולו יורדת וסותמת אוף הכא את רואה את התיקרה כולו יורדת וסותמת הוא דעתיה דר' יודה בסוכה הוא דעתיה במבוי הוא דעתהון דרבנן בסוכה הוא דעתהון במבוי ולא דמייא יש דברים כשירים בסוכה ופסולין במבוי כשירין במבוי ופסולין בסוכה דוקרנין כשירין בסוכה ופסולין במבוי ותני כן הביא ארבעה דוקרנין וסיכך על גביהן סוכה כשירה מבוי פסול הדא דתימר בגבוהין ג' למעלה מכותלי המבוי אבל אם אינן גבוהין ג' מכותלי המבוי כשר בשאין בהן רוחב ארבעה אבל אם יש בהן רוחב ארבעה אפילו גבוהין כמה כשר דפנות כשירות בסוכה ופסולות במבוי ותני כן שתים כהילכתן ושלישית אפי' טפח כשר רבי חייה בשם ר' יוחנן שתים של ארבעה ארבעה טפחים ושלישית אפילו טפח כשר ובמבוי עד שיהא מגופף מארבע רוחותיו רחב מעשר אמות סוכה כשרה ומבוי פסול הדלה עליה את הגפן ואת הדלעת הדא דתימר על בית סאתיים אבל יתיר מבית סאתיים נעשית כמחיצה שהוקפה זרעים שאין מטלטל בה אלא בארבע אמות חמתה מרובה מצילתה בסוכה פסולה ובמבוי כשר סוכה מקורה פסולה מבוי מקורה כשר רבי אמי בשם רב הושעיא לא סוף דבר מקורה אלא נתן מלתרא יש בו רחב ארבעה טפחים מתרת את המבוי"
Eruvin,שיירי קרבן,1,1,1b,"@11רחב מיו""ד אמות בסוכה כשרה. @33וקשה הא גם בסוכה פירצה שהוא יתר מיו""ד אמות פוסלת המחיצה וכ""כ הרמב""ם פ""ד מה""ס וי""ל דבדופן שלישית איירי דבסוכה כשרה עומד מרובה על הפרוץ וה""ה פירצה שיתר מעשר כשרה ועי' ברמב""ם ובהה""מ פ""ד מה""ס וצ""ע:","רחב מיו""ד אמות בסוכה כשרה",Jerusalem Talmud Eruvin 1:1:2,"ר' יוסה אמר לה סתם רבי אחא בשם רב רבנן ילפין לה מפתחו של היכל ורבי יודה יליף לה מפתח האולם אם מפתח האולם דייו ארבעים אמה דתנינן תמן פתח האולם גבוה ארבעים אמה ורוחב עשרים אמר תני רבי חייה אפילו ארבעים חמשים אמה תני בר קפרא אפילו מאה אמה א""ר אבין ר' יודה כדעתיה ורבנן כדעתהון דתנינן תמן וכן גשרים המפולשין מטלטלין תחתיהן בשבת דברי רבי יודה וחכמים אוסרין היך מה דתימר תמן את רואה את המלתירה כולו יורדת וסותמת אוף הכא את רואה את התיקרה כולו יורדת וסותמת הוא דעתיה דר' יודה בסוכה הוא דעתיה במבוי הוא דעתהון דרבנן בסוכה הוא דעתהון במבוי ולא דמייא יש דברים כשירים בסוכה ופסולין במבוי כשירין במבוי ופסולין בסוכה דוקרנין כשירין בסוכה ופסולין במבוי ותני כן הביא ארבעה דוקרנין וסיכך על גביהן סוכה כשירה מבוי פסול הדא דתימר בגבוהין ג' למעלה מכותלי המבוי אבל אם אינן גבוהין ג' מכותלי המבוי כשר בשאין בהן רוחב ארבעה אבל אם יש בהן רוחב ארבעה אפילו גבוהין כמה כשר דפנות כשירות בסוכה ופסולות במבוי ותני כן שתים כהילכתן ושלישית אפי' טפח כשר רבי חייה בשם ר' יוחנן שתים של ארבעה ארבעה טפחים ושלישית אפילו טפח כשר ובמבוי עד שיהא מגופף מארבע רוחותיו רחב מעשר אמות סוכה כשרה ומבוי פסול הדלה עליה את הגפן ואת הדלעת הדא דתימר על בית סאתיים אבל יתיר מבית סאתיים נעשית כמחיצה שהוקפה זרעים שאין מטלטל בה אלא בארבע אמות חמתה מרובה מצילתה בסוכה פסולה ובמבוי כשר סוכה מקורה פסולה מבוי מקורה כשר רבי אמי בשם רב הושעיא לא סוף דבר מקורה אלא נתן מלתרא יש בו רחב ארבעה טפחים מתרת את המבוי"
Eruvin,שיירי קרבן,1,1,2a,"@11כהנא אמר הלכה כר""י. @33בקונטרס הגהתי אין הלכה כר""י ולפי הגירסא שלפנינו נ""ל דה""פ דקשיא ליה הא בלא""ה הלכה כדברי המיקל בעירובין ומשני דאתא לאשמועינן דהלכה כר""י אפי' נגד החכמים אבל הגירסא שבקונ' נראה עיקר:","כהנא אמר הלכה כר""י",Jerusalem Talmud Eruvin 1:1:3,"רבי אחא רבי חיננא בשם כהנא הלכה כרבי יודה דלא כן מה אנן אמרינן רבי יודה וחכמים תהא הלכה כרבי יודה אלא בגין דא""ר יעקב בר אידי בשם ר' יהושע בן לוי הלכה כדברי המיקל בהלכות עירובין ואמר רב נחמן בר יצחק בשם רבי יהושע בן לוי הלכה כרבי יוחנן בן נורי ומקשינן עליה לא כן אמר רבי יעקב בר אידי בשם רבי יהושע בן לוי הלכה כדברי המיקל בהילכות עירובין לא כן א""ר יצחק בר נחמן בשם ריב""ל הלכה כרבי יוחנן בן נורי וקשיינן עלה סברין מימר יחיד אצל יחיד הא יחיד אצל חכמים לא אתא רבי יעקב בר אחא רבי יעקב בר אידי בשם ר' יהושע בן לוי הלכה כרבי יוחנן בן נורי ואפילו חכמים החלוקין עליו וכא תהא הלכה כרבי יודה ואפילו חכמים החלוקים עליו שמואל אמר הלכה כדברי המיקל בעירובין א""ל רב חייה בר אשי כגון ההוא דתנינן תמן וכן גשרים המפולשין מטלטלין תחתיהן בשבת דברי רבי יודה וחכמים אוסרין א""ל לא עירובין אמרתי אלא מחיצות סבר כהנא כהדא דשמואל לפום כן צריך מימר אין הלכה כרבי יודה"
Eruvin,שיירי קרבן,1,1,2b,"@11ר""א אמר ד""א כדי מבוי. @33וקשה הא ר' אחא אמר בסמוך ד' טפחים כדי מבוי וי""ל דלעיל אמר משמיה דר' הושעיא ואיהו סבר דשיעור מבוי ארבע אמות א""נ לעיל דאיתא לדופן בהיכר בעלמא סגי הכא דהשתא הוא דמשוי ליה לדופן בעינן שיעור ד' אמות אך לשון כדי מבוי קשה קצת לפי תי' זה:","ר""א אמר ד""א כדי מבוי",Jerusalem Talmud Eruvin 1:1:6,לא היה גובה עשרה טפחים צריך לחוק כמה יחוק רבי אחא אמר ד' אמות כדי מבוי רבי יוסה אמר ד' טפחים כדי מקום ר' יעקב בר אחא ר' יוסה בשם ר' יוחנן עושה חריץ על פתח המבוי עמוקר י' ורחב ד' ומתיר המבוי בין מבפנים בין מבחוץ והוא שיהא בתוך ג' לכותלי המבוי ואפילו כמאן דמר תמן ארבעה מודי הכא בג' תמן חוץ למבוי ברם הכא בתוך המבוי.
Eruvin,שיירי קרבן,1,1,2b,"@11מ""ד מתוך ג' רבנן מ""ד מתוך ד' ר""מ. @33קצת קשה הא ר""מ אומר כל מקום שאתה מוצא ב' רשויות והן רשות אחת כגון עמוד ברה""י גבוה יו""ד ורחב ד' אין מכתפין עליו גזרה משום תל ברה""ר כדאיתא בבבלי פ""ק דשבת דף ט' ע""א כ""ש דלא נחשב תל המתלקט עשרה מתוך ד' למחיצה לרה""י ונ""ל דגרסי' מ""ד מתוך ד' רחב""ג דהכי אי' בתוס' פי""א דשבת וכ""ה בבבלי בשבת ד' ק' ע""א ועיי' בתוס' מנחות דף ס""ג ע""א בד""ה כל כבשי כבשים וכו' ומש""ל בפ' הדר:","מ""ד מתוך ג' רבנן מ""ד מתוך ד'",Jerusalem Talmud Eruvin 1:1:7,"עשה גדר בפתח המבוי גבוה עשרה ורחב ארבעה ומתיר המבוי בין מבפנים בין מבחוץ היה שם גדר אם מתלקט הוא עשרה טפחים מתוך ג' צריך קורה ואם לאו אין צריך אית תניי תני מתוך ארבע מאן דמר מתוך שלש רבנן מאן דמר מתוך ארבע ר""מ היה מונדרן באמצע המבוי לעליונים נידון משום חריץ לתחתונים משום גדר:"
Eruvin,שיירי קרבן,1,1,3a,"@11אכסדרה שנפרצה למלואה לרה""ר וכו'. @33כתב הרמב""ם בפי""ז מה""ש אכסדרה בבקעה מותר לטלטל בכולה ואע""פ שהיא בת ג' מחיצות ותקרה שאנו רואין פי תקרה יורד וסותם ע""כ וכתב הה""מ אף ע""ג דאיכא בגמרא א""ד ביותר מעשר כ""ע ל""פ כ""פ בעשר ומדברי הרמב""ם נראה דאפילו ביתר מעשר וכל""ק ויש מי שפוסק כלשון אחרון וכן דעת הרשב""א ע""כ וכן דעת הרז""ה ומדברי הירושל' נראה כדעת הרמב""ם מדלא מחלק בין י' ליתר מעשר:","אכסדרה שנפרצה למלואה לרה""ר וכו'",Jerusalem Talmud Eruvin 1:1:9,"ואכסדרא שנפרצה למלואה לר""ה רבי לא ורבי יוחנן תריהון אמרין מטלטלין בכולה שמואל אמר אין מטלטלין בה אלא בארבע אמות אמר רבי יוסי ולא מודי שמואל במבוי שהוא מקורה למעלה מעשרים אמה שהוא כשר אלא מיסבור סבר שמואל והוא שיהא כל הכשר קורה בתוך עשרים אתא רבי אחא רבי חיננא בשם רבי הושעיה והוא שיהא הכשר הקורה בתוך עשרים אמר רבי יוסי ואפילו דסבר שמואל במבוי המקורה למעלה מעשרים אמה כשר לא דמי מבוי לאכסדרא מבוי נעשה לתשמיש בתים אכסדרא לא נעשית אלא לתשמיש דבר אילו מבוי שאינו מקורה ונתן הקורה בתוך עשרים שמא אינו כשר אילו אכסדרה שאינה מקורה ונתן הקורה בתוך עשרים שמא כלום היא"
Eruvin,שיירי קרבן,1,1,3a,"@11ולא מודי שמואל במבוי וכו'. @33בבבלי דף צ' ע""ב איתא נמי להך פלוגתא וגרסינן התם אכסדרה בבקעה ופי' רש""י ואכסדרה זו פרוצה וכו' וכמ""ש בקונטר' והרי""ף ור""ת מפרשים שהיא מוקפת מחיצה מג' רוחותיה ונ""ל דכדבריהם כן הוא דאם לא כן מאי פריך ממבוי בשלמא יש לה ג' מחיצות פריך שפיר משא""כ בפרוצה לא דמיא כלל למבוי אבל לפי' הרי""ף ניחא:",ולא מודי שמואל במבוי וכו',Jerusalem Talmud Eruvin 1:1:9,"ואכסדרא שנפרצה למלואה לר""ה רבי לא ורבי יוחנן תריהון אמרין מטלטלין בכולה שמואל אמר אין מטלטלין בה אלא בארבע אמות אמר רבי יוסי ולא מודי שמואל במבוי שהוא מקורה למעלה מעשרים אמה שהוא כשר אלא מיסבור סבר שמואל והוא שיהא כל הכשר קורה בתוך עשרים אתא רבי אחא רבי חיננא בשם רבי הושעיה והוא שיהא הכשר הקורה בתוך עשרים אמר רבי יוסי ואפילו דסבר שמואל במבוי המקורה למעלה מעשרים אמה כשר לא דמי מבוי לאכסדרא מבוי נעשה לתשמיש בתים אכסדרא לא נעשית אלא לתשמיש דבר אילו מבוי שאינו מקורה ונתן הקורה בתוך עשרים שמא אינו כשר אילו אכסדרה שאינה מקורה ונתן הקורה בתוך עשרים שמא כלום היא"
Eruvin,שיירי קרבן,1,1,3b,"@11עושה פס ג' וכל שהוא ומרחיקו וכו'. @33כתבו תוס' בפרקין דף י' ע""ב בד""ה ועושה פס ג' אמות וצריך לחי אחר דהא פס לא מהני הואיל ומופלג מן הכותל שלש דקא' לקמן דלא הוי לחי ע""כ ודבריהם ברורים דלכך קאמר כאן דבעינן פס ג' וכל שהוא יותר ללחי ועיין במג""א סימן שס""ג סעיף ו' ודלא כש""ג:",עושה פס ג' וכל שהוא ומרחיקו וכו',Jerusalem Talmud Eruvin 1:1:10,"היה רחב בתוך חמש עשרה אמה ר' בא ורב הונא בשם רב עושה פס של ג' אמות וכל שהוא מרחיקו מן הכותל שתי אמות אותו וכל שהוא נידון לשם לחי והשאר והוא שיהא העומד רבה על החלל ויעשה פס ארבעה טפחים ולא כן תני עושה פס של ארבעה טפחים א""ר בא בר פפי כדי להתיר שניהן בלא קורה אית תניי תני מעמיד קנה ודוקרן אית תניי תני עושה פס של ארבעה טפחים א""ר יוסה הלכה כאומר עושה פס ארבעה טפחים"
Eruvin,שיירי קרבן,1,1,3b,"@11מבוי עקום ומפולש רי""א נותן לחי וקורה מכאן וצ""ה מכאן. @33רש""י פי' שצריך לעשות צ""ה בעקמומיתו דבמקום שהוא מפולש לחבירו חשוב כל אחד כמפולש לרה""ק הלכך צריך צ""ה בעקמומיתו ולחי מכאן ולחי מכאן או צ""ה מכאן וצ""ה מכאן ולחי בעקמומיתו ור""י פי' שניתר באחד מפתחים בצ""ה ומצד אחד לחי או קורה ובעקמומיתו לא צריך כלום וכתב הרא""ש ובירושלמי גרס מבוי שהוא עקום וכו' ומסיק רב כר""י ושמואל כר""ל משמע כפי' ר""י ויש עוד ליישב הירושלמי לפי' רש""י דלא איירי בירושלמי אלא בתיקון אחד מן המבואות תדע מדלא קאמר ר""ל דנותן לחי או קורה מכאן ולחי או קורה מכאן כי היכא דקאמר ר""י נותן לחי או קורה מכאן ועושה צ""ה מכאן אלא ודאי בתיקון אחד מן המבואות מיירי וקאר""י אם אחד מן המבואות רוצה לתקן עושה צ""ה ולחי ור""ל אמר נותן לחי במקום צ""ה ומתיר אע""פ שבתיקון שתי מבואות נמי הייתי יכול לפרש כן מ""מ טוב לפרש בתיקון מבוי אחד כי היכי דלא לפלוג הירושלמי אגמרא דידן ע""כ וקשה לפירושו הראשון איך יפרש הא דמסיק הש""ס על דעתיה דר""ל בקשו לעשות תקנה וכו' דמשמע דעקמומית לר""ל אסור לגמרי מיהו י""ל כדפירשתי בקונט' ומודה הרא""ש דלר""ל העקמומית עצמו אסור אך קשה אי הא דקאר""י עושה צ""ה מכאן היינו בעקמומית למה פליג ר""ל לקמן בסמוך במבוי העשויה כמין כי שאין ניתרה בלחי וצ""ה לא יהא אלא מבוי מפולש בשלמא לפירושי שבקונטרס ניחא שאין בעקמומית שום היתר אבל לפי' הרא""ש קשה וי""ל דסובר ר""ל דמבוי המפולש אין לה היתר אלא בדלתות וכחנניא. ועיין בב""י סי' שס""ד בד""ה ואם עשוי כמין חי""ת בסופו במ""ש אהרשב""א ע""ש:","מבוי עקום ומפולש רי""א נותן לחי וקורה",Jerusalem Talmud Eruvin 1:1:12,"מבוי עקום ומפולש רבי יוחנן אומר נותן לחי וקורה מיכן ועושה צורת פתח מיכן ריש לקיש אמר נותן לחי או קורה ומתיר על דעתיה דריש לקיש בקשו לעשות להן תקנה אלו משתמשין עד מקום הכותל ואלו משתמשין עד מקום הכותל ולא נמצאו שתי רשויות משתמשות ברשות אחת אלא אלו משתמשות דרך עקמומיות ואלו משתמשות דרך עקמומיות ולא נמצא שתי רשויות משתמשות ברשות האסורה להן רב ושמואל רב כר""י ושמואל כר""ל"
Eruvin,שיירי קרבן,1,1,4b,"@11מן הצד יותר מעשר. @33הא כעשר כשר וזה ראיה מפורשת למ""ש תוס' בפרקין דף ו' ע""א בד""ה מצידו בעשר מראשו בד' עשר אין פירוש כד' דעשר כשל מטה וארבעה כשל מעלה ע""כ:",מן הצד יותר מעשר,Jerusalem Talmud Eruvin 1:1:14,"רב ירמיה בשם רבי בון מבוי שנפרץ מכנגדו ארבעה מן הצד יותר מעשר חברייא בשם רב לא שנייא בין שכנגדו בין מן הצד ארבעה הוון בעיי מימר מאן דמר מן הצד יותר מעשר הא עשר מותר בשיש שם רוחב ארבעה מאן דמר בין מכנגדו בין מן הצד ארבעה בשאין שם רוחב ארבעה ולא כן סברנן מימר רב כרבי יוחנן וא""ר יוסי בי רבי בון כדי לעשות כל הרשות כאחת."
