masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Megillah,שיירי קרבן,1,0,1a,"@11אלא שהכפרים מקדימין ליום הכביסה. @33כתב הר""ן ויש לשאול היכי שרינן להכפרים לקרות בי""א ובי""ב ובי""ג בתוך העיירות שאין קורין אלא בי""ד קרי כאן לא תתגודדו לא תעשו אגודות אגודות ע""כ וכה""ג מקשים תוס' ביבמות פ""ק ונ""ל כיון דמצאו חכמים סמך מן המקרא כדמשני לקמן מי שסידר את המשנה וכו' א""כ לא הוה אגודות כי היכא דמצינו שהכתוב נתן מצות להכהנים בפני עצמן ולא מיקרי אגודות וכ""מ לעיל בפסחים דף י""ג ע""ש:",אלא שהכפרים מקדימין ליום הכביסה,Jerusalem Talmud Megillah 1:1:1,מגילה נקראת באחד עשר בשנים עשר בשלשה עשר בארבעה עשר בחמשה עשר לא פחות ולא יתר. כרכים המוקפין חומה מימות יהושע בן נון קורין בחמשה עשר כפרים ועיירות גדולות קורין בארבעה עשר אלא שהכפרים מקדימין ליום הכניסה:
Megillah,שיירי קרבן,1,0,1a,"@11מה ת""ל בזמניהם. @33בבבלי גרסינן האי מיבעיא ביה לגופיה ומשני ליכתוב רחמנא זמנם לכן פירשתי בקונטרס דקשיא ליה לכתוב רחמנא זמנם אבל קשיא לי מאי קא פריך האי מיבעיא ליה לגופיה הא כמה פעמים פריך הש""ס במועדו למה לי ומוקי ליה לדרשא אם כן הכא נמי בזמן למה לי פשיטא דבזמן יעשה ואפשר דשאני התם דבמועדו טובא כתיבי בפרשה:","מה ת""ל בזמניהם",Jerusalem Talmud Megillah 1:1:2,"ר' אילא שמעון בר בא בשם ר' יוחנן כתיב לקיים את ימי הפרים האלה בזמניהם מה תלמוד לומר בזמניהם ר' יונה ר' יוסה ר' יונה אמר ליתן להן זמנים אחרים ר' יוסה אומר זמנים שקבעו להם חכמים ואלו הן י""א וי""ב וי""ג וי""ד וט""ו או אינו אלא י""ו וי""ז ר' אבהו בשם ר' לעזר ולא יעבר לא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר או אינו אלא תשיעי ועשירי שמואל בר נחמן בשם ר' יונתן ימים אין כתיב כאן אלא כימים תן ימים כנגד ימים אחד עשר ושנים עשר כנגד ארבעה עשר וחמשה עשר או שנים עשר ושלשה עשר כנגד ארבעה עשר וחמשה עשר א""ר חלבו יום שלשה עשר יום מלחמה היה הוא מוכיח על עצמו שאין בו ניחה מעתה אל יקראו בו לפניו ולאחריו קורין ובו אינן קורין או אינו אלא תשיעי ועשירי כימים ימים שהן סמוכין לימים ואם ימים שהן סמוכין לימים אינן אלא ששה עשר ושבעה עשר לית יכיל דא""ר אבהו בשם רבי אלעזר לא יעבר ולא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר"
Megillah,שיירי קרבן,1,0,1a,"@11ליתן להם זמנים אחרים. @33בקונטרס פירשתי להשוות דברי רבי יונה לדברי הש""ס בבלי ועי""ל ליתן להם זמנים אחרים היינו אם עברו י""ד וט""ו ולא קרו שיקראו אחרי כן ולא ס""ל דרשא דולא יעבור והא דתנן במתני' לא פחות ולא יותר היינו לכתחלה וכן מצינו במתני' גבי מילה ותדע דהא תני לקמן בסמוך שזמנו כל החדש וכן פסקו כל הפוסקים:",ליתן להם זמנים אחרים,Jerusalem Talmud Megillah 1:1:2,"ר' אילא שמעון בר בא בשם ר' יוחנן כתיב לקיים את ימי הפרים האלה בזמניהם מה תלמוד לומר בזמניהם ר' יונה ר' יוסה ר' יונה אמר ליתן להן זמנים אחרים ר' יוסה אומר זמנים שקבעו להם חכמים ואלו הן י""א וי""ב וי""ג וי""ד וט""ו או אינו אלא י""ו וי""ז ר' אבהו בשם ר' לעזר ולא יעבר לא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר או אינו אלא תשיעי ועשירי שמואל בר נחמן בשם ר' יונתן ימים אין כתיב כאן אלא כימים תן ימים כנגד ימים אחד עשר ושנים עשר כנגד ארבעה עשר וחמשה עשר או שנים עשר ושלשה עשר כנגד ארבעה עשר וחמשה עשר א""ר חלבו יום שלשה עשר יום מלחמה היה הוא מוכיח על עצמו שאין בו ניחה מעתה אל יקראו בו לפניו ולאחריו קורין ובו אינן קורין או אינו אלא תשיעי ועשירי כימים ימים שהן סמוכין לימים ואם ימים שהן סמוכין לימים אינן אלא ששה עשר ושבעה עשר לית יכיל דא""ר אבהו בשם רבי אלעזר לא יעבר ולא יעבר ר' יצחק בר נחמן בשם שמואל לא יעבר ולא יעבר"
Megillah,שיירי קרבן,1,0,2a,"@11אם משושן הבירה את למד. @33אפשר לפרש דלריב""ק פריך אם משושן הבירה את יליף נאמר דדוקא בשושן אל יקראו בי""ד אלא בט""ו ושאר כל המקומות המוקפין יקראו בי""ד אלא דקשה לי לפרש כן משום דבתוספתא משמע דלא השיב ריב""י אלא לת""ק ולא לריב""ק וגם לפי מסקנא דשמעתין הוא כך לכן בחרתי לפרש כמ""ש בקונ':",אם משושן הבירה את למד,Jerusalem Talmud Megillah 1:1:4,"כרכים המוקפין חומה מימות יהושע בן נון קורין בחמשה עשר. ר' סימון בשם רבי יהושע בן לוי חלקו כבוד לארץ ישראל שהיתה חריבה באותן הימים ותלו אותה מימות יהושע בן נון ויקראו הכל בחמשה עשר ר' אבהו דרש ישיבה ישיבה מה ישיבה שנאמר להלן מימות יהושע בן נון אף ישיבה שנאמר כאן מימות יהושע בן נון ויקראו הכל בי""ד ר' יודה בר פזי דרש פרזי פרזות נאמר כאן (אסתר ט) פרזות ונאמר להלן (דברים ג) לבד מערי הפרזי הרבה מאוד מה פרזי שנאמר להלן מימות יהושע בן נון אף פרזות שנאמר כאן מימות יהושע בן נון תני רבי יהושע ב""ק אומר מימות אחשורוש א""ל ר' יוסי בי ר' יהודה וכי מה ענין שושן הבירה לבא לכאן אם משושן הבירה את למד מעתה בשושן הבירה אל יקראו ושאר כל המקומות יקראו הא תלתא תניין תנייא קדמייא סבר מימר מימות יהושע בן נון תנייא אחרייא סבר מימר מימות אחשורוש תנייא אחרייא סבר מימר עיר מ""מ נמצאת אומר ריב""ק ור' יוסי בי ר' יהודה שניהם אמרו דבר א' אלא שזה למד מטעם א' וזה למד מטעם א' ותני כן הסמוך לכרך והנראה עמו הרי הוא כיוצא בו ר' אייבו בר נגרי בשם ר' חייה בר בא כגון הדא חמתה לא אמר אלא כגון הא חמתה עצמה מוקפת חומה מימות יהושע בן נון מן הדא (יהושוע יט) וערי מבצר הצדים צר וחמת רקת וכינרת הצידים כפר חיטייא צר דסמיכה לה חמת חמתה רקת טיברייא כנרת גינוסר התיב רבי לוי והכתיב (יהושוע יב) והערבה עד ים כנרת מעתה שני גינוסריות היו או לא היו אלא שני אבטוניות כגון בית ירח וצינבריי שהן מגדלות כינרים חרב הכרך ונעשה של עכו""ם איתא חמי בו אינן קורין ובחוצה לו קורין"
Megillah,שיירי קרבן,1,0,2b,"@11חרב הכרך ונעשה של עכו""ם וכו'. @33כתב הר""ן בשם הרמב""ן פירוש בירושלמי שאלו מילתא דר' יהושע בן לוי דלקמן דכרך שחרב מי' בטלנים ולבסוף ישב או שנעשה של עכו""ם מהו והשיבו דק""ו הוא שהרי בכרכים המוקפין חומה שבחוצה לארץ קורין בט""ו אע""פ שהרבה כרכים בחו""ל שלא היו בהן ישראל כלל מימות אחשורוש וכ""ש שלא היה בהן עשרה בטלנין ע""כ והדבר תימא דתלי תניא בדלא תניא היא גופה מנ""ל דבחו""ל קורין כלל וע""ק א""כ דבח""ל קורין בכרכין המוקפין מימות יהושע א""כ אף בח""ל קמיבעי ליה ומאי ק""ו שייך כאן לכן נ""ל פירוש שבקונטרס עיקר ואפשר שזהו כוונת הר""ן שכתב בסוף דבריו ואם הירושלמי מתפרש כך יש ללמוד ממנו שכרכין המוקפין בח""ל קורין בט""ו ע""כ ור""ל שאפשר לפרש הירושלמי כמ""ש בקונטרס וא""כ אין ללמוד ממנו:","חרב הכרך ונעשה של עכו""ם וכו'",Jerusalem Talmud Megillah 1:1:4,"כרכים המוקפין חומה מימות יהושע בן נון קורין בחמשה עשר. ר' סימון בשם רבי יהושע בן לוי חלקו כבוד לארץ ישראל שהיתה חריבה באותן הימים ותלו אותה מימות יהושע בן נון ויקראו הכל בחמשה עשר ר' אבהו דרש ישיבה ישיבה מה ישיבה שנאמר להלן מימות יהושע בן נון אף ישיבה שנאמר כאן מימות יהושע בן נון ויקראו הכל בי""ד ר' יודה בר פזי דרש פרזי פרזות נאמר כאן (אסתר ט) פרזות ונאמר להלן (דברים ג) לבד מערי הפרזי הרבה מאוד מה פרזי שנאמר להלן מימות יהושע בן נון אף פרזות שנאמר כאן מימות יהושע בן נון תני רבי יהושע ב""ק אומר מימות אחשורוש א""ל ר' יוסי בי ר' יהודה וכי מה ענין שושן הבירה לבא לכאן אם משושן הבירה את למד מעתה בשושן הבירה אל יקראו ושאר כל המקומות יקראו הא תלתא תניין תנייא קדמייא סבר מימר מימות יהושע בן נון תנייא אחרייא סבר מימר מימות אחשורוש תנייא אחרייא סבר מימר עיר מ""מ נמצאת אומר ריב""ק ור' יוסי בי ר' יהודה שניהם אמרו דבר א' אלא שזה למד מטעם א' וזה למד מטעם א' ותני כן הסמוך לכרך והנראה עמו הרי הוא כיוצא בו ר' אייבו בר נגרי בשם ר' חייה בר בא כגון הדא חמתה לא אמר אלא כגון הא חמתה עצמה מוקפת חומה מימות יהושע בן נון מן הדא (יהושוע יט) וערי מבצר הצדים צר וחמת רקת וכינרת הצידים כפר חיטייא צר דסמיכה לה חמת חמתה רקת טיברייא כנרת גינוסר התיב רבי לוי והכתיב (יהושוע יב) והערבה עד ים כנרת מעתה שני גינוסריות היו או לא היו אלא שני אבטוניות כגון בית ירח וצינבריי שהן מגדלות כינרים חרב הכרך ונעשה של עכו""ם איתא חמי בו אינן קורין ובחוצה לו קורין"
Megillah,שיירי קרבן,1,0,2b,"@11ויהי גבולם מחלף וגו' קטת ונהלל וגו' @33וקשה הא קטת ובהלל בגבול זבולון הוא וכתוב בקרא תחלה ואח""כ כתיב מחלף והוא בגבול נפתלי ולמה שינה הסדר ופירש תחלה ערי נפתלי ואח""כ ערי זבולון וי""ל דמאן דאמר דקרא מסייעא לריב""ח היה שוכן בערי נפתלי והם היו קרובים אליו אך תימא לפ""ו יש בפסוק ויהי גבולם מחלף וגו' שבעה ערים ולמעלה קחשיב וערי המבצר הצדים וגומר חמשה ערים וכתיב בתריה יאדמה והרמה וחצור וקדש ואדרעי ועין חצור ויראון ומגדל אל חרם ובית ענה ובית שמש ערים י""ט ולחשבון זה הם ערים כ""ב לפחות וצ""ע:",ויהי גבולם מחלף וגו' קטת ונהלל וגו',Jerusalem Talmud Megillah 1:1:7,"כל העיירות שמנה יהושע אפי' מאה אינן רשב""ל אמר מוקפות חומה מנה ר' יוסי בר חנינה אמר הסמוכות לספר מנה קרייא מסייע לר' יוסי בן חנינה (יהושוע יט) ויהי גבולם מחלף וגו' קטת ונהלל ושומרון ויראלה ובית לחם מחלף חלף מאילון איילון בצעננים אגנייא דקדש ואדמי דמין הנקב ציידתה ויבנאל כפר ימה עד לקום לוקים וקטת קטינית ונהלל מהלול ושמרון סימונייה ויראלה חורייה בית לחם בית לחם צרייה"
Megillah,שיירי קרבן,1,0,2b,"@11לוד ואונו הן הן גי החרשים. @33וא""ת הא כתיב בנחמיה לוד ואונו גי החרשים וי""ל דמפרש לקרא הכי לוד ואונו הן גי החרשים דאל""כ ה""ל למכתב וגי החרשי' ובבבלי דף ד' ע""א כתב רש""י בד""ה לוד ואונו וגי החרשים מערי בנימן היו כדכתיב ובני אלפעל וגו' ובד""ה מיחסו על שבט בנימין וגמ' גמיר לה ריב""ל מרביה דמוקפות חומה מימות יב""ן הן ובמתני' דערכין תנן תרתי מנייהו דקא מני לוד ואונו אצל ערי חומה שאינן נוהגים אלא מימות יב""ן ע""כ וכתב מהרש""א כך היה גרסתו שם בערכין אבל בכל נוסחא שלפנינו במשנה שם לא מנה אלא אונו וכמ""ש תוס' ע""כ ומסוגיין מבואר דלא תנא שם אלא אונו דהא משני דלא אמר אונו משום דתנינן ויותר קשה לי אמ""ש דגי חרשים מערי בנימין היה והרי מפורש כתיב בד""ה ד' בבני יהודה ושריה הוליד את יואב אבי גי חרשים כי חרשים היו הרי דמערי בבי יהודה היו וצ""ע וא""ת הרי כתיב בנחמיה י""א ובני בבימין מגבע וגו' לוד ואובו וגיא חרשים משמע שישבו בני בנימין בגי חרשים י""ל דזהו היה לאחר שעלו מן הגולה שהחזיקו במקומות בני יהודה אך קשה איך קאמר ר""ח לוד ואונו הן הן גיא חרשים הא גיא חרשים בנחלת בנחלת בני יהודה היו וצ""ל דתרי גיא חרשים היו וצ""ע:",לוד ואונו הן הן גי החרשים,Jerusalem Talmud Megillah 1:1:8,"ר' אחא ר' יודה בן לוי ריב""ל בשם ר' לוד וגיא החרשים מוקפות חומה מימות יב""ן ולמה לא אמרן ואונו בגין דכתיב והא כתיב לוד ואיתאמרת אלא בגין דתנינן וגמלה וגדור והדיר ואונו וירושלם וכן כיוצא בהן והכתיב (דברי הימים א ח) ובני אלפעל עבר ומשעם ושמר הוא בנה את אונו ואת לוד ובנותיה אמר רבי לעזר בי ר' יוסה בימי פילגש בגבעה חרבה ועמד אלפעל ובנייה הה""ד (שופטים כ) גם כל הערים הנמצאות שלחו באש ר' חנניה בשם ר' פינחס לוד ואונו הן הן גיא החרשים."
Megillah,שיירי קרבן,1,0,3a,"@11הכל יוצאין בי""ד. @33בסוגיא זו פירשתי עוד פירושים אחרים ומפני האריכות לא כתבתי אותם ומחו' המאה""ג מהו' גרשון נר""ו כתב דה""פ דלקמן אמרינן מפני מה אמרו חל להיות לכרכים בשבת קורין בע""ש דא""ר חלבו הכל יוצאין בי""ד שהוא זמן קריאתה ובבבלי אמרי' מתני' מני אי ר' אי ר""י וכו' מאי ר' יוסי דתניא חל להיות בע""ש מוקפין וכפרים מקדימין ליום הכביסה ועיירות גדולות קורין בו ביום ר' יוסי אומר אין מוקפין קודמין לעיירות אלא אלו ואלו קורין בו ביום וכו' מ""ט דר' יוסי בכל שנה ושנה מה כל שנה ושנה אין מוקפין קודמין לעיירות אף כאן וכו' ר' חלבו ס""ל לדינא כר' יוסי אבל לא מטעמא אלא ס""ל הטעם דהכל יוצאין בי""ד שהוא זמן קריאתה וקאמר הא דצריך ליתן טעם הנ""ל ולמילף מבכל שנה ושנה דלא בא אלא ללמדך שהמצות נוהגות באדר שני לזה איצטריך בכל שנה ושנה וכדאמרינן לקמן דף ד' ע""ב ר' אבהו בשם ר""מ בכל שנה ושנה הקיש שנה מעוברת לשנה שאינה מעוברת מה שנה שאינה מעוברת אדר הסמוך לניסן אף שנה שהיא מעוברת אדר הסמוך לניסן ור' חלבו דאמר שם כדי לסמוך גאולה לגאולה טעמא יהיב למאי אמרו בכל שנה ושנה באדר שני כדי לסמוך גאולה לגאולה מש""ה לא יליף מבכל שנה ושנה דמוקפין קורין בע""ש אלא מן הטעם הנ""ל דהכל יוצאין בי""ד שהוא זמן קריאתה עכ""ל ואפשר לפרש כן אך לפי הגירסא שבשקלים דוחק לפרש כן ועמ""ש שם:","הכל יוצאין בי""ד",Jerusalem Talmud Megillah 1:1:9,"ר' חלבו ר' חונה בשם ר' חייה רבה הכל יוצאין בארבעה עשר שהיא זמן קריאתה לא בא אלא ללמדך שהמצוות נוהגות באדר שני רבי יוסי ור' אחא הוון יתיבין א""ר יוסי לר' אחא לא מסתברא לשעבר אבל לבא והא תני מקום שנהגו לקרותה ב' ימים קורין אותה שני ימים א""ל אוף אנא סבר כן א""ר מנא ויאות אילו מי שקרייה בארבעה עשר וחזר וקרייה בחמשה עשר שמא אין שומעין לו אם אומר את כן שמא נמצאת עוקר זמן כרכים בידיך "
Megillah,שיירי קרבן,1,0,3b,"@11ולא עזרא תיקן וכו'. @33כתב המג""א סימן קל""ה איתא ברי""ף פרק ד' דמגילה ירוש' עזרא תיקן לישראל שיהיו קורין ג' בב""ה ובמנחה עכ""ל וצ""ע דאיתא במרובה שהלכו ישראל ג' ימים בלא תורה בימי משה עמדו הנביאים שביניהם ותקנו שיהא קורין בב' וה' ובשבת וכו' והא דכתב הרי""ף שעזרא תיקן בב' וה' היינו מבין הקרואים כדאיתא בגמ' ע""כ וכ""פ הר""ן ותימא א""כ מאי פריך הש""ס הכא ולא עזרא תיקן הלא מימות משה היו הכפרים צריכין לבוא לעיר בב' וה' לקרות בתורה ואפשר לומר דלא כתבו כן אלא לפי שיטת הבבלי אבל הירושלמי פליג עליה אך קשה אם כן בימא דאף בהא פליג דסובר דעזרא תיקן לקרות בב' וה' וצ""ע:",ולא עזרא תיקן וכו',Jerusalem Talmud Megillah 1:1:12,"ר' יוסטא בי ר' שונם בעא קומי ר' מנא ולא עזרא תיקן שיהו קורין בתורה בשני ובחמישי ובשבת במנחה ומרדכי ואסתר מתקינים על מה שעזרא עתיד להתקין א""ל מי שסידר את המשנה סמכה למקרא (אסתר ט) משפחה ומשפחה ומדינה ומדינה ועיר ועיר:"
Megillah,שיירי קרבן,1,0,4a,"@11בעון קומי ר""ז למה דאת אמר תמן וכו'. @33ותימא הא כבר שנייא לעיל ונראה דהאי בעון בתרא כלישנא אחרינא הוא ופליג אלישנא קמא:","בעון קומי ר""ז למה דאת אמר תמן",Jerusalem Talmud Megillah 1:3:3,"בעון קומי רבי זעירה כמה דאת אמר חל להיות לכרכים בשבת קורין בע""ש חל להיות לעיירות בשבת יקראו בע""ש אלא מתניתא כתרין תנייא תניי קדמייא סבר מימר כל שהוא נדחה ממקומו ידחה ליום הכניסה ותנייא חורנא סבר מימר כל שהוא נדחה ממקומו לא ידחה ליום הכניסה אמר לון כן אמר רב חד תנייא הוא מפני מה אמרו חל להיות לכרכים בשבת קורין בע""ש דא""ר חלבו רב חונה רב בשם ר' חייה רבה הכל יוצאין בי""ד שהוא זמן קריאתה ודכוותה חל להיות לעיירות בשבת דאמר ר' חלבו יום י""ג יום מלחמה היה והוא מוכיח על עצמו שאין בו ניחה אשכח תני כפרים קורין בע""ש ועיירות גדולות ידחו ליום הכניסה ומוקפות חומה לאחר השבת היך עבדין עובדא א""ר יוסה לית איפשר ואין איפשר כמתניתה"
