masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Moed Katan,שיירי קרבן,1,0,1a,"@11אלא כר""מ @33. וקשה הא כחכמים נמי מצי אתי' דגם אינהו סברי דמעיין שיצא בתחלה לאו טירחא היא וי""ל דאיכא למימר לרבנן מעיין שיצא בתחלה מידי דטירחא היא ואפ""ה שרי רבנן כדמיבעיא לקמן אבד וטרח מהו וא""ת איך נוקמי מתני' כר""מ הא ר""ע אפי' בית הבעל מתיר להשקות וי""ל דה""ק דאתי' כר""מ בהא דלאו טירחא היא א""נ מתני' אתיא לאשמועינן דאפי' בית השלחין מי קילון אסור:","אלא כר""מ ",Jerusalem Talmud Moed Katan 1:1:2,"ניחא מעיין שלא יצא בתחילה מעיין שיוצא בתחילה ולא טריח הוא אלא כר""מ דר""מ אמר משקין ממנו אפילו שדה בית הבעל. א""ר יוסי דברי הכל כשהיה אחד ונעשה שנים או שהיו מימיו מועטין ונתברכו: ותני כן מעיין שיצא בתחילה משקין ממנו אפילו שדה בית הבעל דברי ר""מ. וחכ""א אין משקין ממנו אלא שדה בית השלחין שחרבה. על דעתיה דר""מ משקין ממנו דבר שאינו אבד ודבר שהוא טריח. על דעתיה דרבנן אין משקין ממנו אלא דבר שהוא אבד ובלבד דבר שאינו טריח. אבל וטרח מה אמרי בה רבנן. נישמעינה מן הדא כל שהוא פסידה והולכת זו היא בית השלחין. עמדה מלהכחיש זו בית הבעל מחלוקת דר""מ וחכמים. עד כמה תשהא ותיעשה בית השלחין עד כדי שתשהא שנים שלשה ימים קודם לרגל. נישמעינה מן הדא חבריה נגב קומי מועדא תלתא יומין חזר במועדא. אתא עובדא קומי רב חונה ואמר אילין דאכחשין ישתיין אילין דלא אכחשין לא ישתיין. ר' יונה ור' יוסי הורון בהדה מקרת דצילייא דהוון זריעה סערין מיחצדינון במועדא דלא יפקען וייבדן:"
Moed Katan,שיירי קרבן,1,0,2a,"@11הפוסקין והבריכה@33. פירשתי בקונט' חדא מילתא היא וכ""פ רש""י בבבלי דף ד' ואפשר לומר דהפוסקין היינו בריכה שנתמלא מן המעיין ונפסק המעיין אלא דק""ק א""כ ה""ל למפשט מהכא בעי' דלעיל:",הפוסקין והבריכה,Jerusalem Talmud Moed Katan 1:1:4,"ר' ירמיה בעי מי תמציות שלא פסקו מה הן. נישמעינה מן הדא אלו הן מי תמציות כל זמן שהגשמים יורדין וההרים בוצצין. פסקו גשמים אע""פ שהרים בוצצין הרי הן כמי תמציות. פסקו מלהיות בוצצין הרי הן כמי גביים. עד איכן חייה בר בון בשם ר' יוחנן עד כדי שתפרח חברית. רבי לעזר בי יוסי בשם רבי תנחום בי ר' חייה עד כדי שיעשו כרגלי האווז. רבי ירמיה בעי פרחה חברית ולא פסקה למפריעו הוא נעשה כמעיין או מיכן ולבא. ליידה מילה הטביל בו מחטים וצינורות אין תימר למפריעו הוא נעשה מעיין טהרו אין תימר מיכאן ולבא לא טהרו. רבי לעזר בי רבי יוסי שאל אילין אנטרגטייא מה את עביד לון כמי קילון או אינון כמי קילון. בריכה שנתמלאת מן המעיין והפסיק המעיין מתוכה מהו להשקות ממנה. נישמעינה מן הדא אבל אין משקין לא ממי הגשמים ולא ממי הקילון. מה אנן קיימין אם בשעה שהגשמים יורדין והלא כמשקין לים הגדול הן. אלא כי נן קיימין בשעה שפסקו גשמים אם בשעה שפסקו גשמים לא כבריכה שנתמלאת מן המעיין והפסיק המעיין מתוכה היא ואת אמר אין משקין ממנה הדא אמרה בריכה שנתמלאת מן המעיין והפסיק המעיין מתוכה אין משקין ממנה. בריכה שנתמלאת מן הקילון והמשיך המעיין לתוכה מהו להשקות ממנה נישמעינה מן הדא שדה בית השלחין שניטופה לתוך שדה בית השלחין אחרת משקין ממנה. א""ר ירמיה ועודה מנטפת. וכי מחמת הניטוף היא יכולה להשקות. לא מחמת עצמה שהיא מליאה ואת אמר משקין ממנה הדא אמר בריכה שנתמלאת מן הקילון והמשיך המעין לתוכה משקין ממנה. ותני שמואל כן הפוסקין והבריכה שמילאן קודם לרגל לא ישקה מהן ברגל אם היתה אמת המים עוברת ביניהן משקה מהן ואינו נמנע:"
Moed Katan,שיירי קרבן,1,0,2b,"@11מפני שהוא מכשיר צדדיה לזריעה@33. כמו שפירשתי בקונט' כן פרש""י בגמ' וכ""פ הרא""פ אך הא דקאמר הש""ס בסמוך חפר לעשות אמה של בניין הפי' דחוק לכן נ""ל לפרש דה""ק שהוא מכשיר את הצדדים שבחפירה עצמה ובאמת לשון הש""ס בבלי שהוא מכשיר אגפיה לזריעה אבל לשון הירושלמי שהוא מכשיר צדדיה והשתא שפיר קאמר דבאמה של בניין ליכא משום מכשיר צדדיה לזריעה:",מפני שהוא מכשיר צדדיה לזריעה,Jerusalem Talmud Moed Katan 1:2:2,"תמן תנינן ר' לעזר בן עזריה אוסר עד שיעמוק שלשה או עד שיגביה שלשה או עד שיתן על הסלע. פתר לה תרין פתרין בשהיה לו דבר ממועט בתוך ביתו מערב שביעית והוא מבקש להוציאו בתוך שדהו בשביעית הרי זה מוסיף עליו והולך משיפסקו עוברי עבירה רבי לעזר בן עזריה אוסר מה טעמא דר' לעזר בן עזריה שמא לא ימצא לו זבל ונמצא מזבל את אותו המקום. אתיא דר' לעזר בן עזריה כר' יוסי כמה דר' יוסי אומר אין זבל מצוי כן ר' לעזר ב""ע אמר אין זבל מצוי. פתר לה פתר חורין כשהיה לו דבר ממועט בתוך ביתו בערב שביעית והוא מבקש להוציאו לתוך שדהו בשביעית ה""ז מוסיף והולך משיפסקו עוברי עבירה ר' לעזר בן עזריה אוסר מ""ט דר' לעזר בן עזריה שמא לא ימצא לו זבל ונמצא מזבל את אותו מקום. ולא כבר הוא מזובל מערב שביעית. ר' ירמיה ר' בון חייה בשם ר' בא בר ממל מפני מראית העין עד שיוציא עשר משפלות כאחת. ולית לרבנן מפני מ""ע א""ר אידי דחוטרא סלו ומגריפו מוכיחין עליו שהוא עושה אשפה. ר' יוסי בי ר' בון אמר אילין שמועתא דהכא דתנינן תמן רבי לעזר בן עזריה אומר אין עושין את האמה בתחילה במועד ושביעית. א""ר ירמיה מפני שהוא מכשיר את צדדיה לזריעה. ר' ירמיה ר' בון בר חייה בשם ר' בא בר ממל מפני מראית העין. הוון בעיי מימר מאן דאמר תמן מפני מראית העין וכא מראית העין מ""ד תמן מפני שהוא מכשיר את צדדיה לזריעה וכא מה אית לך. לית לך אלא כהדא שמא לא ימצא לו זבל ונמצא מזבל את אותו המקום. מה נפק מן ביניהון חפר לעשות אמה של בנין הוון בעיי מימר מ""ד תמן מפני מראית העין וכא מפני מראית העין מאן דאמר תמן מפני שהוא מכשיר את צדדיה לזריעה הרי אינו מכשיר את צדדיה לזריעה. הכל מודין שאם היה לו שם אבנים או צרורות או סיד או גיבסס מותר:"
Moed Katan,שיירי קרבן,1,0,3a,"@11ומפרקין המנעול וכו'@33. מה שיש לדקדק בכל הסוגיא מבואר בשקלים פ""ק (דף ג):",ומפרקין המנעול וכו',,
Moed Katan,שיירי קרבן,1,0,3b,"@11בסתם חלוקים. @33הרא""פ פי' בסתם חלוקים ולא הוזכר ראב""י בהדיא ע""כ ואינו מחוור ול""נ לפרש עוד דבסתם חלוקים היינו בשנטועי' עשר לבית סאה ופי' שבקונט' נראה עיקר:",בסתם חלוקים,Jerusalem Talmud Moed Katan 1:3:2,"רבי מנא אמר לה סתם. רבי אבין בשם שמואל בסתם חלוקים. מה אנן קיימין אם במרווחין דברי הכל אסור אם ברצופין דברי הכל מותר אלא כי נן קיימין בנטועין מטע עשר לבית סאה רבי ליעזר בן יעקב עבד לון כמרווחין ורבנן עבדין לון כרצופין. הא רבנן אמרי במרווחין אסור להשקות מהו להמשיך. נילף הדא דרבנן מן דרבי ליעזר בן יעקב כמה דר' ליעזר בן יעקב אמר במרווחין אסור להשקות ומותר להמשיך כן רבנן אמרי במרווחין אסור להשקות ומותר להמשיך. ולא כן סברינן מימר במרווחין דברי הכל אסור והן עפר לבן לא במרווחין הוא. אלא כאן בשביעית וכאן במועד. מה בין שביעית ומה בין מועד. שביעית על ידי שהוא מותרת במלאכה התירו בין דבר שהוא טריח בין דבר שאינו טריח מועד ע""י שהוא אסור במלאכה לא התירו אלא דבר שהוא אבד ובלבד דבר שאינו טריח. ואית דבעי מימר נישמעינה מן הדא שביעית על ידי שזמנה מרובה התירו מועד על ידי שזמנו קצר אסור. אותן שבעת ימים האחרונים לא מסתברא מיעבדינון כשבעת ימי הרגל ויהיו אסורין. אשכח תני מרבצין בעפר לבן בשביעית אבל לא במועד:"
Moed Katan,שיירי קרבן,1,0,3b,"@11אשכח תני וכו'@33. פי' הרא""פ דקתני בהדיא מועד ש""מ כמו שאוסר התם דומיא דהכי מתיר הכא אפי' ז' ימים אחרוני' דאי אוסר מז' ימים אחרונים אין שייך לומר ובמועד אסור אף בשביעית בכה""ג אוסר אלא ודאי חילוק של היתר ואיסור מלאכה ביניהון ור""ש נמי כראב""י ס""ל וכדאשכח בברייתא ע""כ ודבריו תמוהים למה אין שייך לומר ובמועד אסור הכי הל""ל דאין שייך לומר דבשביעית מותר דהא איכא ז' ימים אחרונים דאסורים אלא דליתא נמי להא דכיון דכל השנה שרי לא חש לאותן ז' ימים וע""ק מאי קאמר דר""ש כראב""י הא עפר לבן כמרווחין ובהן אף רבנן אסרי וע""ק לעיל בפרקין נמי קאמר הנך תרי טעמי שחלוקים שביעית ממועד ולא מייתי הא דאשכח תני אלא ודאי פי' שבקונט' עיקר וכ""מ בתיו""ט ע""ש:",אשכח תני וכו',Jerusalem Talmud Moed Katan 1:3:2,"רבי מנא אמר לה סתם. רבי אבין בשם שמואל בסתם חלוקים. מה אנן קיימין אם במרווחין דברי הכל אסור אם ברצופין דברי הכל מותר אלא כי נן קיימין בנטועין מטע עשר לבית סאה רבי ליעזר בן יעקב עבד לון כמרווחין ורבנן עבדין לון כרצופין. הא רבנן אמרי במרווחין אסור להשקות מהו להמשיך. נילף הדא דרבנן מן דרבי ליעזר בן יעקב כמה דר' ליעזר בן יעקב אמר במרווחין אסור להשקות ומותר להמשיך כן רבנן אמרי במרווחין אסור להשקות ומותר להמשיך. ולא כן סברינן מימר במרווחין דברי הכל אסור והן עפר לבן לא במרווחין הוא. אלא כאן בשביעית וכאן במועד. מה בין שביעית ומה בין מועד. שביעית על ידי שהוא מותרת במלאכה התירו בין דבר שהוא טריח בין דבר שאינו טריח מועד ע""י שהוא אסור במלאכה לא התירו אלא דבר שהוא אבד ובלבד דבר שאינו טריח. ואית דבעי מימר נישמעינה מן הדא שביעית על ידי שזמנה מרובה התירו מועד על ידי שזמנו קצר אסור. אותן שבעת ימים האחרונים לא מסתברא מיעבדינון כשבעת ימי הרגל ויהיו אסורין. אשכח תני מרבצין בעפר לבן בשביעית אבל לא במועד:"
Moed Katan,שיירי קרבן,1,0,3b,"@22(ושם) @11אלא כאן באילן וכו@33'. כ' הרא""ש בפירקין ודברי הרי""ף שפסק כראב""י עיקר דבירושל' פ""ב דשביעית מוכח דרבנן אסרי הרבצה והא דקתני חכמים מתירים בזה ובזה מפרש בין ששתו קודם הרגל בין שלא שתו בין באילן בין בזרעים ע""כ ודבריו תמוהים לי הא לא מסיק בשביעית דרבנן אסרי הרבצה אלא ראב""י בברייתא הוא דאוסר ואם נאמר דסובר רבנן דמתני' דפליגי אר""ש ראב""י היא עדיין קשיא הא התם בעפר לבן איירי דה""ל כמרווחין כמפורש כאן והתם ובמרווחין לא פליגי רבנן וראב""י דהכא ולתרווייהו אסור א""כ מאי מייתי הרא""ש סיעתא לאסור השקאה בנטועים עשר לבית סאה מהרבצה דעפר לבן ותו קשיא אמ""ש הרא""ש דהירושל' מפרש דחכמים מתירין אפי' בזרעים שלא שתו קודם הרגל הא מפורש מסיק הש""ס איפכא וכדפירשתי בקונט' וכן קשיא נמי אדברי הר""ן דמשמע מדבריו דהירושל' סובר דפליגי בתרווייהו ע""ש ונ""ל דגירסתם בין ששתו קודם הרגל בין שלא שתו קודם הרגל בין באילן בין בזרעים וצ""ע:",ושם,,
Moed Katan,שיירי קרבן,1,0,4a,"@11התירו סופו מפני תחילתו @33. וכ""ה בבבלי דף ז' וקשה הא גרסינן בבבלי בביצה דף י""א ע""ב אמר עולא ג' דברים התירו סופו משום תחלתו ור' יהודה אומר ד' דברי' ולא קחשיב הך דהכא ואם נאמר דעולא ור""י פליגי אר""ח קשה למה פסקו הפוסקים כר""ח וי""ל כיון דמסיק בבבלי אמר רב אשי מתני' נמי דייק' פסקו כוותי' דבתר' הוא:",התירו סופו מפני תחילתו ,Jerusalem Talmud Moed Katan 1:4:5,"ומקרין את הרצפה במועד. אבן על גבי אבן וצרור על גבי צרור. ובשביעית בונה כדרכו אבן על גבי צרור וצרור ע""ג אבן. ובפירצה שאינה סגה את העפר אבל פירצה שהיא היתה סגה את העפר אסור לגודרה בשביעית ותני כן כל פירצה שהיא סגה את העפר אסור לגודרה בשביעית ושאינה סגה את העפר מותר לגודרה בשביעית. בשאינה מכשלת את הרבים אבל אם מכשלת הרבים אע""פ שהיא סגה את העפר מותר לגודרה בשביעית כהדא אם היה כותלו גוהה סותרו ובונהו. ויסתור ולא יבנהו. רבי חנניה בשם רבי יוחנן התירו סופו מפני תחלתו שאם אומר את לו שלא יבנה אף הוא אינו סותרו ונמצא בא לידי סכנה:"
Moed Katan,שיירי קרבן,1,0,4a,"@11רמ""א רואין את הנגעים להקל.@33 כ' התיו""ט דבירושלמי משמע דגרסי' תחילה מדמייתי מתני' דנגעים וכו' ע""ש ואיני רואה שום ראיה מזה אדרבה כפי מ""ש בקונט' נראה בהיפך דלא גרסינן במתניתין תחילה אלא דבברייתא הוא דגרסינן הכי כדמסיק:","רמ""א רואין את הנגעים להקל",Jerusalem Talmud Moed Katan 1:5:1,"ר' מאיר אומר רואין את הנגעים להקל אבל לא להחמיר וחכמים אומרים לא להקל ולא להחמיר ועוד א""ר מאיר מלקט אדם עצמות אביו ואמו מפני ששמחה היא לו ר' יוסי אומר אבל הוא לו ולא יעורר על מתו ולא יספידנו קודם לרגל שלשים יום:"
Moed Katan,שיירי קרבן,1,0,4b,"@11ואינו נכנס לעזרה@33. וקשה הא כל זמן שלא טימאו הכהן טהור הוא ולמה לא יכנוס לעזרה וי""ל כיון שכב' נטמא בנגע זה אסור לכנוס לעזרה אפי' לאחר. הפטור כשנולד בו סימן טומאה אפי' קודם הראותו לכהן ודוחק:",ואינו נכנס לעזרה,Jerusalem Talmud Moed Katan 1:5:2,"תמן תנינן בהרת כגריס ופסת כגריס ונולד לפסיון מחיה או שער לבן. והלכה לה האום ר' עקיבה מטמא וחכמים אומרים תיראה כתחילה. הא רבי עקיבה מטמא ומחליט ורבנן אמרי תיראה כתחלה מחליטין. ומה ביניהון ר' יוחנן אמר ערב הרגל ביניהון. רבי עקיבה אומר הי קדמייתא ואין את נזקק לו לא להקל ולא להחמיר. ורבנן אמרי חורי היא ואת פוטרו מן הראשונה. והיידא היא שלא להחמיר שאין את נזקק לו לשנייה לא להקל ולא להחמיר. ר' יוסה בשם ר' אחא אתייא דיחידייא דהכא כסתמא דתמן ודיחידייא דתמן כסתמא דהכא. אתיא דיחידייא דהכא כסתמא דתמן ר' עקיבה אומר היא קדמייתא ואין את נזקק לו לא להקל ולא להחמיר ודיחידייא דתמן כסתמא דהכא ורבנן אמרי חורי היא ואת פוטרו מן הראשונה. ותנינן הכא ר' מאיר אומר רואין את הנגעים בתחילה להקל אבל לא להחמיר. ר' יוסי בי ר' בון בשם רבי אחא בין דיחידייא דהכא בין דרבנן דהכא מודיי לרבנן דתמן להקל אבל לא להחמיר. תמן בשהלכה לה האום ברם הכא בשהלכו להם הסימנין והאום קיימת. א""ר נראים דברי ר' יוסי במוסגר ודברי ר' מאיר במוחלט ר' זעירה אמר ימי הרגל ביניהון. ר' עקיבה אומר היא קדמיתא והוא נכנס לעזרה ורבנן אמרי חורי היא ואינו נכנס לעזרה. הא ר' עקיבה מטמא ומחליט ורבנן אמרי תיראה כתחילה מחליטין. ומה ביניהון שמואל אמר פריחה ביניהון. ר' עקיבה אומר היא קדמייתא בפורח מן הטמא טהור ורבנן אמרי חורי היא בפורח מן הטהור טמא. ואמרין בשם שמואל פריחה ושחין המורד ביניהון. רבי עקיבה אומר היא קדמייתא בפורח מן הטמא טהור ורבנן אמרי חורי היא בפורח מן הטהור טמא. בגין דהוא חורי הא אין הוא היא טהורה ואתייא כיי דאמר רבי שמעון בן לקיש דאיתפלגון פרחה בו בשחין המורד ר' יוחנן אמר טהור ר' שמעון בן לקיש אמר טמא:"
