masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Pesachim,שיירי קרבן,1,0,1a,"@11אור לי""ד בודקין את החמץ. @33בקונטרס פירשתי דמדאורייתא בעינן בדיקה וביטול וכו'. נראה דעת רש""י והרמב""ם כפי הגירסא שלפנינו וכמ""ש הב""י בסי' תל""א וכ""נ מהא דאמרינן לקמן בשמעתין ובספק אבל בודאי אפילו מר""ה הרי מבואר דלודאי לא מהני הביטול ועוד דדריש בסמוך מקרא דמבערין מי""ד בערב ש""מ דבדיקה מדאורייתא ונ""ל טעמו של דבר דכיון דכתיב לא יראה לך ודרשינן בספרי בטל בלבך ותשביתו היינו הבערה הרי לביטול ולביעור מן התורה מיהו ביטול זה שהוא מדין הפקר אין ראוי שיועיל דהפקר בלב לאו הפקר הוא וכמ""ש הר""ן אלא כיון דאינו אלא מספק הקיל הכתוב דמהני מיהו גם לחמץ ידוע מהני הביטול דאינו עובר על בל יראה לאחר הביטול דהא גבי לא יראה כתיב לך וכיון שביטל לאו שלך הוא אלא כשנודע לו צריך לשרפו ולבערו ואין החיוב לבערו מיד כשרואה אותו דהאי עשה כעשה דוהשיב את הגזלה היא שאין זמן להשבתו וכ""נ קצת מדברי תוספות סוף דף כ""ט והיינו דוקא כשביטלו אבל אם לא ביטלו מיד כשרואה עובר עליו על בל יראה ובל ימצא ובזה כל הסוגיות שבבבלי בפ""ק ובפ""ב ופ' אלו עוברין יבואו על נכון ואין בהן ספק וזהו כוונת רש""י בכמה מקומות אך הא דפירש""י בדף ד' ע""ב בד""ה בביטול בעלמא דכתיב תשביתו ולא כתיב תבערו והשבתה בלב היא השבתה ע""כ קשה דא""כ ל""ל לך שלך אי אתה רואה אבל אתה רואה של אחרים ושל גבוה השתא דידיה אם הפקירו בלב מותר להשהותו בביתו של אחרים מיבעיא ויש ליישב ואין כאן מקומו ובחידושי פוסקים הארכתי:","אור לי""ד בודקין את החמץ",Jerusalem Talmud Pesachim 1:1:1,אור לארבעה עשר בודקין את החמץ לאור הנר כל מקום שאין מכניסין בו חמץ אינו צריך בדיקה ובמה אמרו שתי שורות במרתף מקום שמכניסין בו חמץ בית שמאי אומרים שתי שורות על פני כל המרתף ובית הלל אומרים שתי שורות החיצונות שהן העליונות:
Pesachim,שיירי קרבן,1,0,1a,"@11ואם לומר שמתחיל בי""ד והכתיב עד יום האחד ועשרים לחדש. @33וקשה דלמא עד ולא עד בכלל ומליל י""ד מתחילין לאכול מצות עד יום כ""א שהן שבעת ימים ובמכילתא פ' בא תניא שבעת ימים עם יו""ט ראשון אתה אומר כן או אינו אלא חוץ ליו""ט ראשון ת""ל עד יום האחד ועשרים אי עד יום האחד ועשרים אוציא סמוך לעשרים ת""ל שבעת ימים ע""כ הרי מפורש דאיכא למימר עד יום וכו' עד ולא עד בכלל ומאי דדייק המכילתא מז' ימים לאו דיוקא הוא כדכתיבנא דעם יום י""ד הוא שבעה וי""ל דא""כ עד יום האחד ועשרים ל""ל ממילא הוה אמרי' הכי אלא ודאי לגלות עד ועד בכלל ובהכי ניחא מאי דמקשי תוס' בברכות דף ח' ע""ב בד""ה כאלו התענה תשיעי ועשירי והקשה רשב""א ומאי קושיא והא כתיב בראשון בי""ד יום לחדש בערב תאכלו מצות ואותו ערב ר""ל ערב של ט""ו ה""נ נימא מאי ערב ערב של עשירי וע""ש תירוצם. אבל לפי סוגיא זו לק""מ דהאי בערב נמי קאי אי""ד שמתחילין לבער ולבדוק בערב של ארבעה עשר אך קשה לי ומאי סלקא אדעתיה דש""ס שבערב תאכלו מצות קאי אערב של י""ד הא כתיב בפרשת אמור ובחמשה עשר יום לחדש הזה חג המצות לה' שבעת ימים מצות תאכלו הרי מפורש דמתחילין לאכול מצות ביום ט""ו ולא ביום י""ד וי""ל דסד""א שבעת ימים חוץ ליו""ט הראשון אבל השתא דכתיב עד יום הכ""א ללמד שבעת ימים ולא יותר דאל""כ עד יום ל""ל א""נ מדסמיך ליה שבעת ימים בקרא דבתריה ואין להאריך:","ואם לומר שמתחיל בי""ד והכתיב עד יום",Jerusalem Talmud Pesachim 1:1:2,כתיב (שמות יב) ושמרתם את המצות כי בעצם היום הזה הוצאתי את צבאותיכם מארץ מצרים. (שם) בראשון בארבעה עשר יום לחדש בערב תאכלו מצות וגומר. מה אנן קיימין אם לאכילת מצה כבר כתיב (שם) שבעת ימים מצות תאכלו. ואם לומר שמתחיל בארבעה עשר והכתיב (שם) עד יום האחד ועשרים לחודש. אלא אם אינו ענין לאכילת מצה תניהו ענין לביעור חמץ.
Pesachim,שיירי קרבן,1,0,1b,"@11וכי יש חמה בלילה וכו'. @33הרא""ש גורס וכי יש חמה בלילה תיפתר כשלא בדק כדתנן לא בדק אור י""ד בודק י""ד שחרית הדא אמרה אפילו ביום צריך לבדוק לאור הנר ואפילו בבית שיש בו אורה ע""כ והגירסא שלפנינו הוא מכוונת יותר:",וכי יש חמה בלילה וכו',Jerusalem Talmud Pesachim 1:1:6,וצריך לבדוק לאור הנר. נישמעינה מן הדא אין בודקין לא לאור החמה ולא לאור הלבנה ולא לאור הככבים אלא לאור הנר. ניחא לא לאור הלבנה ולא לאור הככבים אלא לאור חמה וכי יש חמה בלילה. הדא אמרה אפי' ביום צריך לבדוק לאור הנר. לא סוף דבר בית שאין בו אורה אלא אפילו בית שיש בו אורה אפילו ביום צריך לבדוק לאור הנר.
Pesachim,שיירי קרבן,1,0,1b,"@11לא סוף דבר בית שאין בו אורה אלא אפילו בית שיש בה אורה אפילו ביום צריך לבדוק לאור הנר @33בבבלי דף ח' גרסינן אמר רבא אכסדרה לאורה נבדקת וכאן אמרינן דאפילו בית שיש בה אורה אינו נבדק אלא בנר וי""ל דהיינו דדייק בית שיש בו אורה ולא קאמר מקום שיש בו אורה לומר דדוקא בית אבל אכסדרה אינה צריכה נר ביום והיינו בעי' דרבי ירמיה בסמוך:",לא סוף דבר בית שאין בו אורה,Jerusalem Talmud Pesachim 1:1:6,וצריך לבדוק לאור הנר. נישמעינה מן הדא אין בודקין לא לאור החמה ולא לאור הלבנה ולא לאור הככבים אלא לאור הנר. ניחא לא לאור הלבנה ולא לאור הככבים אלא לאור חמה וכי יש חמה בלילה. הדא אמרה אפי' ביום צריך לבדוק לאור הנר. לא סוף דבר בית שאין בו אורה אלא אפילו בית שיש בו אורה אפילו ביום צריך לבדוק לאור הנר.
Pesachim,שיירי קרבן,1,0,1b,"@11כמ""ד לא שימשו המזלות בשנת המבול. @33וקשה א""כ מנ""ל שלקח אבנים טובות לידע יום ולילה דלמא להאיר להם דהא לא שימשו המזלות וע""ק א""כ דלא האירו המזלות א""כ לא היה אורן של האבנים טובות כהות כבלילה שעיקרן שהן כהות היינו מטעם שנצוצי היום מכהים אורן אפילו הן באפילה וכיון שלא שימשו המזלות ודאי שלא הוכהה מאורן וי""ל שלא שימשו המזלות היינו שלא שימשו כסדרן אלא כלם שימשו כאחת והיה אור החמה והלבנה והכוכבים בין ביום בין בלילה וניחא נמי הא דמקשי בי""מ איך יצוייר שביתת הגלגל אפילו רגע אחד וכו' ולפמ""ש לק""מ דמעולם. לא עמדו הגלגלים:","כמ""ד לא שימשו המזלות בשנת המבול",Jerusalem Talmud Pesachim 1:1:7,מבואות האפלין מהו שיהא צריך לבודקן בתחילה לאור הנר. מיליהון דרבנין אמרין לא כמה דהוא מנהר בליליא הוא מנהר ביממא דאמר רב הונא כד הוינן ערקין באילין בוטיתא דסדרא רבה היו מדליקין עלינו נרות בשעה שהיו כיהים היינו יודעין שהוא יום ובשעה שהיו מבהיקין היינו יודעין שהוא לילה. ותייא כיי דמר רבי אחייא בר זעירא נח בכניסתו לתיבה הכניס עמו אבנים טובות ומרגליות בשעה שהיה כיהות היה יודע שהוא יום. ובשעה שהיו מבהיקות היה יודע שהוא לילה. למה יש חיה אוכלת ביום ויש חיה אוכלת בלילה. והא כתיב (בראשית ו) צוהר תעשה לתיבה כמאן דאמר לא שימשו המזלות בשנת המבול.
Pesachim,שיירי קרבן,1,0,1b,"@11בתי כנסיות וב""מ מהו שיהו צריכין בדיקה וכו'. @33כתב המרדכי בפרקין בירושלמי ב""כ וב""מ מהו שיהו וכו' מהו שיהא צריך לבדקן בתחלה ביום לאור הנר ומסיק שלא לחלוק בין ביעור לביעור צריך לבדוק בלילה לאור הנר וכו' רבי מנא בעי חצירות שבירושלים וכו' והלא כבר בדקן מן הנותר ומשני שלא לחלוק בין ביעור לביעור מיהו בתלמוד שלנו יש אכסדרה לאורה נבדקת ע""כ ותימא הא לא מסיק הירושלמי אהא דמיבעיא לרבי ירמיה בב""ב וב""מ שאורן רב שלא לחלק בין בדיקה לבדיקה אלא אהא דחצירות וכו' וטעם גדול יש לחלק בשלמא גבי חצירות של חלות תודה הרואה לא ידע שהן חצירות של חלות תודה ורואה אותו בודק ביום בלא נר או שאינו בודק כלל יחשדהו או יטעה בבדיקה וכן לא חילקו בנרות שהרואה לא ידע שכהנת היא ויסבור שנדה אינה צריכה חפיפה וסריקה מה שא""כ באכסדרה שניכר לכל שאורן רב ואפשר לבודקן בלא נר לכ""ע אין צריכה נר ולא שייך בה שלא לחלק בין בדיקה לבדיקה וכן מבואר בש""ס דלא מייתי הא דתני רבי זכריה אאיבעיא דרבי ירמיה:","בתי כנסיות וב""מ מהו שיהו צריכין בדיקה",Jerusalem Talmud Pesachim 1:1:8,ר' ירמיה בעי בתי כניסיות ובתי מדרשות מהו שיהו צריכין בדיקה. מה צריכא ליה שכן מכניסין לשם בשבתות ובראשי חדשים. ותהא פשיטא ליה הכן הוא צריכה ליה הואיל ואורן מרובה. מהו שיהא צריך לבודקן בתחילה ביום לאור הנר.
Pesachim,שיירי קרבן,1,0,2a,"@11והיציע בבבלי גרסינן וגג היציע וגג המגדל @33ופירש""י אף על פי שהוא נמוך הואיל ומשופע א""צ לבדוק אבל שאר גגין שלהן לא היו משופעין ע""כ וקשה אם אינן ראויין לתשמיש מאי קמ""ל פשיטא ובסמוך משמע דגג המגדל שוה הוא וראוי לתשמיש דהא קאמר ובאותו שלא נשתמש בו חמץ אבל באותו שנשתמש בו חמץ וכו' לכן נראה דהטעם הוא מפני שאינן גבוהין כדמשמע בסוגיין וגם אין דרך להשתמש עליהן לכך ה""ל כמקום שאין מכניסין בו חמץ מיהו הא דבסמוך אפשר לפרש דה""ק ובאותו מגדל שלא נשתמש בו חמץ הוא דגגו א""צ בדיקה אבל אם נשתמש במגדל אף הגג צריך בדיקה אך לא ראיתי לאחד מן הפוסקים שכתב כן:",והיציע בבבלי גרסינן וגג היציע וגג המגדל,Jerusalem Talmud Pesachim 1:1:10,"חורי הבית העליונים והתחתונים והיציע והחדות והעלייה וגג הכד וגג המגדל בית התבן ובית הבקר ובית העצים ובית האוצרות אוצרות היין ואוצרות השמן ואוצרות הפירות אינן צריכין בדיקה. ניחא העליונים והתחתונים. הדא אמרה לא חשו לנפילה. א""ר יוסה תיפתר שהיו שניהן סמוכין לכותל אחד למעלה מעשרה וא' למטה מי'. והא תנינן חדות הדא אמרה שלא חשו לנפילה. מתיירא הוא התינוק לילך לשם וחש לומר שמא נתגלגל חמץ שם תיפתר בחדות שיש לה ליזבוז. וגג הבד וגג המגדל. הדא דתימר בגבוהין ג' טפחים אבל אם אינן גבוהין ג' טפחים כארץ הם ובאותו שלא נשתמש בו חמץ. אבל באותו שנשתמש בו חמץ אפילו גבוה כמה צריך בדיקה. אמר רבי מנא ויאות כן אנן אמרין הדא פיפייארות אפי' גבוה כמה לא תהא צריכה בדיקה."
Pesachim,שיירי קרבן,1,0,2b,"@11היוצא לפרש וכו'. @33כתב הר""ן בפירקין פירש""י שאין דעתו לחזור בתוך הפסח אבל דעתו לחזור בתוך הפסח אפי' קודם ל' יום זקוק לבער כדי שכשיחזור בימי הפסח לא ימצא חמץ בתוך ביתו ולפ""ז איכא למימר דלא פליג אירושלמי דאמר לא אמרן אלא בשדעתו לחזור וכו' וה""ק לא שנו שאין זקוק לבער אלא בשדעתו לחזור קודם הפסח אבל אין דעתו לחזור עד תוך הפסח אפי' קודם ל' יום זקוק לבער ואחרים פירשו דשאין דעתו לחזור היינו שאין דעתו לחזור כלל עד אחר הפסח אבל דעתו לחזור בין בתוך הפסח בין קודם הפסח צריך לבער שמא יחזור ע""פ בין השמשות ולא יהיה לו פנאי לבער וכ""כ הרמב""ם פ""ב מהלכות חמץ ובירושלמי לא משמע הכי ע""כ ונראה שהם מפרשים דברי הירושלמי בשאין דעתו לחזור כלל ואינו יכול לקיים כלל מצות ביעור שהרי בספינה הוא הלכך צריך לבער אפילו מר""ה וכה""ג כתב הטור בסימן תל""ו בשם אבי העזרי ואף על גב דאבי העזרי לא כתב אלא במפרש בתוך ל' יום הירושלמי מחמיר דאפילו קודם ל' יום מיהו הפוסקים לא פסקו כוותיה דבבבלי לא משמע הכי דהא קאמר רבא בשאין דעתו לחזור (*שלשים יום:",היוצא לפרש וכו',Jerusalem Talmud Pesachim 1:1:13,"היוצא לפרש קודם שלשים יום אינו צריך לבדוק. בתוך שלשים צריך לבדוק. הדא דתימר בשיש בדעתו לחזור אבל אין בדעתו לחזור אפילו קודם לשלשים יום צריך לבדוק ובספק אבל בודאי אפי' מראש השנה. א""ר בא ואפי' יש בדעתו לחזור צריך לבדוק שמא ימלך ולא יחזור."
Pesachim,שיירי קרבן,1,0,2b,"@11לית כאן אפילו נשים נשים עצמן הן נאמנות וכו'. @33כתב הרא""ש ובירושלמי פליגי איכא מ""ד לא תתני נשים לפי שהן עצלניות והן בודקות כל שהן ע""כ וקשה מ""ד לא תתני נשים הרי סיים שהן עצמן נאמנות וצ""ל שהיה לו גירסא אחרת בירושלמי אבל הר""ן כתב והכי איתא בירושלמי דאיכא מ""ד התם דלית כאן נשים דהן עצמן נאמנות ואיכא מ""ד מתוך שהן עצלניות בודקות כל שהו והיינו כמו שפירשתי בקונטרס:",לית כאן אפילו נשים נשים עצמן הן,Jerusalem Talmud Pesachim 1:1:14,"הכל נאמנין על ביעור חמץ אפי' נשים אפי' עבדים. ר' ירמיה בשם ר' זעירה לית כאן אפי' נשים. נשים עצמן הן נאמנות מפני שהן עצילות והן בודקות כל שהוא כל שהוא. כותים כל זמן שעושין מצתן עם ישראל נאמנין הן על ביעור חמץ. אם אינן עושין מצתן עם ישראל אינן נאמנין על ביעור חמץ. א""ר יוסה הדא דתימר בבתים אבל בחצירות חשודין הן. דאינון דרשין (שמות יב) לא ימצא בבתיכם לא בחצרות. "
Pesachim,שיירי קרבן,1,0,2b,"@11אבל בחצירות חשודין הן דאינון דרשין לא ימצא בבתיכם לא בחצרותיכם. @33וקשה הא כתיב לא יראה לך שאור בכל גבולך ז' ימים וי""ל דדרשי לא יראה ממש וכל שהטמין אינו עובר משא""כ לא ימצא משמע להו אפילו אחר החיפוש:",אבל בחצירות חשודין הן דאינון דרשין לא,Jerusalem Talmud Pesachim 1:1:14,"הכל נאמנין על ביעור חמץ אפי' נשים אפי' עבדים. ר' ירמיה בשם ר' זעירה לית כאן אפי' נשים. נשים עצמן הן נאמנות מפני שהן עצילות והן בודקות כל שהוא כל שהוא. כותים כל זמן שעושין מצתן עם ישראל נאמנין הן על ביעור חמץ. אם אינן עושין מצתן עם ישראל אינן נאמנין על ביעור חמץ. א""ר יוסה הדא דתימר בבתים אבל בחצירות חשודין הן. דאינון דרשין (שמות יב) לא ימצא בבתיכם לא בחצרות. "
