masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text
Taanit,שיירי קרבן,1,0,1a,"@11בשעה @33שהעבד ובו'. כתב הי""מ ובי""ט הראשון עבדינן כמה מצות שביתת י""ט וקרבנותיו וסוכה ולולב וניסוך המים. משעה שהעבד כלומר אחר שהשלים עבודתו ורות רבו נוחה הימנו והיינו ביום האחרון שכבר עשו כל מצות החג ע""כ וקצת קשה הא צריכין לפרש משעה שהעבד שימש כל צרכו בלשון עבר א""כ הל""ל כלשון שאמר ר""א בשעה שהעבד שימש כל צרכו וע""ק למה יקרא שימוש מצות החג שימש כל צרכו אבל לפמ""ש בקונט' ניחא שכיון שיצאו זכאים ביה""כ מסתמא הכריעו הזכיות וזהו נקרא שימש כל צרכו:",בשעה שהעבד ובו',Jerusalem Talmud Taanit 1:1:2,"טעמיה דר' אליעזר ע""י שארבעת מינין הללו גדילים על המים לפיכן הן באין פרקליטין למים. ד""א בשעה שהעבד משמש את רבו כל צורכו הוא תובע פרסו ממנו אמר לו ר' יהושע והלא משעה שהעבד משמש את רבו כל צורכו ורוח רבו נוחה הימינו הוא תובע פרנסתו ממנו ד""א אין העבד תובע פרסו אלא סמוך לפרסו. תני ר' ליעזר אומר משעת נטילת לולב ר' יהושע אומר משעת הניחו. על דעתיה דהדין בתרייא היא דעתיה דר' ליעזר קדמייתא היא דעתיה אחרייתא מחלפא שיטתי' דר' יהושע תמן הוא אמר מי""ט האחרון והכא הוא אמר משעת הניחו. א""ר מנא שכל היום כשר ללולב. ויזכיר מבערב לית כל עמא תמן ויזכיר בשחרית אף הוא סבור שמא הזכירו מבערב והוא הוי מדכר מכיון דהוא חמי לון דלא מדכרין בקדמיתא ומדכרין באחריתא אף הוא יודע שלא הזכירו מבערב. א""ר ר' חייה בר מרייא הכין הוה ר' יונה אביך הוי בה."
Taanit,שיירי קרבן,1,0,1a,"@11לית @33כל עמא תמן. בר""ה פ""ד דף י פריך הש""ס ואמר אף בהלל כן ופי' בי""מ קושיא היא לתקנו הלל נמי במוסף דכי היכי דזכי השני בתקיעה יזכה גם במוסף ומשני לית כל עמא תמן שאחר תפילת השחרית וקריאת התורה רבים יוצאים והולכים להתפלל מוסף ביחיד ולא יקראו הלל בציבור ע""כ וקשה וכי לית לן זריזין מקדימין למצות דנימא בשביל שזכה השני בתקיעה יזכה בהלל וע""ק דבבבלי בר""ה שם מפורש איפכא דקאמר מ""ש שני מתקיע משום ברוב עם הדרת מלך בהלל נמי נימא בשני משום ברוב עם וגו' הרי דבמוסף מצויין רבי' בבה""כ מבשחרית וע""ק מדמשני הש""ס כאן דבערב לית כל עמא תמן ואס""ד דאף במוסף אין הכל מצויין בבה""כ כמו בשחרית א""כ מאי אהני לן התקנה שתקנו להתחיל להזכיר במוסף עדיין איכא לכל החששות שישנו בערב. לכן כמ""ש שם בפירושי בקונטרס עיקר גם מ""ש בעל המאור בריש פרקין במדרש אגדה מצאתי לפי שאין דעתו של אדם מתיישבת עליו אלא במוסף כדכתיב בלא שפתי מרמה זו תפילת מוסף מיד מלפניך משפטי יצא זו היא שתוקעין שופר בתפילת המוספין ע""כ הנה דברי אגדה זו הם בירושל' דר""ה פ""ד דף י ושם פירשתיו אך מ""ש לפי שאין דעתו וכו' ורוצה לומר טעם זה גם בהזכרה הוא תימא דא""כ אף בהלל כן דהא הזכרה נמי אינה אלא שבח ואפ""ה היא דוקא במוסף ואנן תנן דבשעת ההלל הראשון קורא את ההלל אבל לפמ""ש שם בקונטרס לא שייך הך קרא אלא לענין תקיעה שאז המשפט יוצא:",לית כל עמא תמן,Jerusalem Talmud Taanit 1:1:2,"טעמיה דר' אליעזר ע""י שארבעת מינין הללו גדילים על המים לפיכן הן באין פרקליטין למים. ד""א בשעה שהעבד משמש את רבו כל צורכו הוא תובע פרסו ממנו אמר לו ר' יהושע והלא משעה שהעבד משמש את רבו כל צורכו ורוח רבו נוחה הימינו הוא תובע פרנסתו ממנו ד""א אין העבד תובע פרסו אלא סמוך לפרסו. תני ר' ליעזר אומר משעת נטילת לולב ר' יהושע אומר משעת הניחו. על דעתיה דהדין בתרייא היא דעתיה דר' ליעזר קדמייתא היא דעתיה אחרייתא מחלפא שיטתי' דר' יהושע תמן הוא אמר מי""ט האחרון והכא הוא אמר משעת הניחו. א""ר מנא שכל היום כשר ללולב. ויזכיר מבערב לית כל עמא תמן ויזכיר בשחרית אף הוא סבור שמא הזכירו מבערב והוא הוי מדכר מכיון דהוא חמי לון דלא מדכרין בקדמיתא ומדכרין באחריתא אף הוא יודע שלא הזכירו מבערב. א""ר ר' חייה בר מרייא הכין הוה ר' יונה אביך הוי בה."
Taanit,שיירי קרבן,1,0,1b,"@11אף @33הוא וכו'. פירשתי בקונטרס שלשנה הבאה יזכיר מבערב כן פי' הרא""ש וא""ת ל""ל למתלי הקלקלה בשנה הבאה הלא גם היום איכא תקלה שיתפלל שחרית שתים כדין השוכח או טעה בתפלת ערבית שמתפלל שחרית שתים ויותר מזה איכא למיחש שיתפלל שחרית שתים וי""ל דהירושלמי לשיטתו דסובר דבימות החמה אומר משיב הרוח ומוריד הטל וכיון שהזכיר טל אינו חוזר וכדלקמן א""כ אף שלא אמר ומוריד הגשם בערבית ובשחרית אינו צריך לחזור ולהתפלל:",אף הוא וכו',Jerusalem Talmud Taanit 1:1:2,"טעמיה דר' אליעזר ע""י שארבעת מינין הללו גדילים על המים לפיכן הן באין פרקליטין למים. ד""א בשעה שהעבד משמש את רבו כל צורכו הוא תובע פרסו ממנו אמר לו ר' יהושע והלא משעה שהעבד משמש את רבו כל צורכו ורוח רבו נוחה הימינו הוא תובע פרנסתו ממנו ד""א אין העבד תובע פרסו אלא סמוך לפרסו. תני ר' ליעזר אומר משעת נטילת לולב ר' יהושע אומר משעת הניחו. על דעתיה דהדין בתרייא היא דעתיה דר' ליעזר קדמייתא היא דעתיה אחרייתא מחלפא שיטתי' דר' יהושע תמן הוא אמר מי""ט האחרון והכא הוא אמר משעת הניחו. א""ר מנא שכל היום כשר ללולב. ויזכיר מבערב לית כל עמא תמן ויזכיר בשחרית אף הוא סבור שמא הזכירו מבערב והוא הוי מדכר מכיון דהוא חמי לון דלא מדכרין בקדמיתא ומדכרין באחריתא אף הוא יודע שלא הזכירו מבערב. א""ר ר' חייה בר מרייא הכין הוה ר' יונה אביך הוי בה."
Taanit,שיירי קרבן,1,0,1b,"@11בש""ץ @33הדבר תלוי וכו'. כתב הב""י בסי' קי""ד ונ""ל דבש""ץ הדבר תלוי היינו לומר שאף הציבור לא יזכירו עד שיזכיר הש""ץ ומ""מ זה מבואר שלא כדברי רבינו שכתב בשם הראב""ד דאף במוריד הטל אסור להזכיר עד שיזכיר הש""ץ ואינו דבמוריד העל אם רצה היחיד להזכיר קודם שיכריז הש""ץ מזכיר ואין בכך כלום ע""כ ולפמ""ש בקונטרס יש לתרץ דבטל נמי אסור להזכיר עד שיכריז הש""ץ והא דקאמר בטל יחיד אם רצה להזכיר מזכיר היינו לענין הזכרה גופא אם רצה להזכיר הטל או שלא להזכירו כלל. ולפמ""ש הב""י צריכין לומר דה""ק בש""ץ הדבר תלוי בתמיה וכ""פ הט""ז שם ע""ש אך קשה לי לפרש כו דהא בסמוך קאמר דא דאת אמר בש""ץ הדבר תלוי יחיד אם רצה וכו' משמע דכל זה מדברי ר' סימון הם:","בש""ץ הדבר תלוי וכו'",Jerusalem Talmud Taanit 1:1:3,"ר' חגיי בשם ר' פדת אסור ליחיד להזכיר עד שיזכיר שליח ציבור. ר' סימון בשם רבי יהושע בן לוי בשליח ציבור הדבר תלוי. א""ר מנא קומי ר' חגי מה ופליג א""ל לא. דא דאת אמר בשליח ציבור הדבר תלוי יחיד אם רצה להזכיר מזכיר בטל ודא דאת אמר אסור ליחיד להזכיר עד שיזכיר שליח ציבור בגשם. קמון לצלותא כמי שהזכיר שליח ציבור."
Taanit,שיירי קרבן,1,0,1b,"@11קמון @33לצלותא וכו'. כתב הרא""ש בסוגיין ובסדר ר""ע כתב כיון שהזכיר ש""ץ במוסף מתחילין העם להזכיר בתפילת המנחה וכו' ואפשר שגם מן הירושלמי דקדק דקאמר אסור ליחיד להזכיר עד שיזכיר ש""ץ בגשם ע""כ וקשה לפ""ז מאי האי דמסיק הש""ץ קמון לצלותא כמי שהזכיר הש""ץ ש""מ שהזכרת הש""ץ מהני לתפילת מוסף דיחיד:",קמון לצלותא וכו',Jerusalem Talmud Taanit 1:1:3,"ר' חגיי בשם ר' פדת אסור ליחיד להזכיר עד שיזכיר שליח ציבור. ר' סימון בשם רבי יהושע בן לוי בשליח ציבור הדבר תלוי. א""ר מנא קומי ר' חגי מה ופליג א""ל לא. דא דאת אמר בשליח ציבור הדבר תלוי יחיד אם רצה להזכיר מזכיר בטל ודא דאת אמר אסור ליחיד להזכיר עד שיזכיר שליח ציבור בגשם. קמון לצלותא כמי שהזכיר שליח ציבור."
Taanit,שיירי קרבן,1,0,2a,"@11בדייתיקי @33וכו'. בברכות פ' אין עומדין הגירסא נתתיו לאברהם במתנה נתתיו לו ויתן לך וגו' ודחק הי""מ והמפרשים בפי' השמועה ובלי ספק שגירסא משובשת היא וגירסתינו נכונה:",בדייתיקי וכו',Jerusalem Talmud Taanit 1:1:6,"ר' יעקב דכפר חנן בשם רשב""ל בשעה שעשה אברהם זקינם את רצוני נשבעתי לו שאיני מזיז טל מבניו לעולם מה טעמא (תהילים קי) נשבע ה' ולא ינחם אתה כהן לעולם וכתיב תמן (שם) לך טל ילדתך. א""ר יודה בר פזי בדייתיקי נתתיו לאביהם (בראשית כ) ויתן לך האלהים מטל השמים וגו'. א""ר שמואל בר נחמן בשעה שישראל באין לידי עבירות מעשים רעים הגשמים נעצרין והן מביאין להן זקן אחד כגון ר' יוסי הגלילי והוא מפגיע בעדם ומיד הגשמים יורדין אבל הטל אינו יורד בשביל בריה מה טעמא (מיכה ה) אשר לא יקוה לאיש ולא ייחל לבני אדם."
Taanit,שיירי קרבן,1,0,2a,"@11להאי @33דלא מצלי וכו כתב הר""ן והאי דקאמר לא מצלי ומיקל ולא קאמר משום דמיקל היינו משום דמתרץ גופיה סובר דמשום שלא הזכיר טל וגשם הוא דמחזירין אותו אבל אם הזכיר שניהם אין מחזירין אותו שאין הגשמים בימות החמה קללה גמורה אדרבה ברוב השנים סי' ברכה הם כדאיתא לקמן דאם כבר ירדו גשמים בזמנם סימן ברכה הם בימות החמה מיהו כשהניח להזכיר טל שהוא טובה לעולם והזכיר גשם מחזירין אותו ע""כ ונראה די""ל בהיפך דהמתרץ סובר אפילו הזכיר טל אין מחזירין אותו וה""ק לא דמי האי דמצלי ומיקל בשלא ירדו הגשמים מכבר או במקומות אחרים שלא ירדו מכבר להאי דלא מצלי ולא מיקל שאין הטל נעצר לעולם אפילו בלא תפלתו ואילו הוה מתרץ משום דמיקל ה""א בשירדו מכבר אין מחזירין אותו קמ""ל דבעינן דוקא דומיא דטל שאין בו שום קללה בעולם משא""כ בגשם שאם אינו קללה כאן שכבר ירדו אפשר שהם לקללה במקום אחר וכן דעת הפוסקים דאפילו הזכיר טל מחזירין אותו:","להאי דלא מצלי וכו כתב הר""ן והאי",,
Taanit,שיירי קרבן,1,0,2b,"@11היכן @33הוא אומרה בשש שהוא מוסיף. הרב בט""ז א""ח סי' קי""ד ס""ק ב' האריך להוכיח בדקדוקיס מהש""ס שלא יאמר בימות החמה הש""ץ בקול רם אפי' בשומע תפלה ע""ש ומכאן ראיה ברורה לדבריו דהרי מפורש קאמר ר""י דש""ץ לא יאמרו בשומע תפלה והא דאיתא בבבלי דשאלו אם ליחידים דמיין או לציבור וקא""ל רבי בשומע תפלה היינו שיתפללו היחידים בלחש בשומע תפלה אבל הש""ץ אומרה בשש מיהו בבבל ולדידן דאין מתפללין כ""ד ברכות צ""ע אם יאמר הש""ץ בשומע תפלה או לא יזכיר כלל:",היכן הוא אומרה בשש שהוא מוסיף,Jerusalem Talmud Taanit 1:1:10,"בנינוה צרכון למיעבד תענית בתר פסחא אתון ושאלון לרבי אמר לון ר' לכו ועשו ובלבד שלא תשנו מטביעה של תפילה. היכן הוא אומרה ר' ירמיה סבר מימר אומרה בשומע תפילה א""ל רבי יוסי לא אמר רבי זעירה בשם רב חונה לא שאל בברכת השנים או שלא הזכיר גבורות גשמים בתחיית המתים אומרה בשומע תפלה. ואמר לון רבי לכו ועשו ובלבד שלא תשנו מטביעה של תפלה. על דעתיה דר' יוסי היכן הוא אומרה בשש שהוא מוסיף עד כדון ציבור שיש לו שש יחיד שאין לו שש אמר רבי חיננא לא כן אמר רבי זעירא בשם רב חונה יחיד תובע צרכיו בשומע תפלה ואלי צרכיו הם."
Taanit,שיירי קרבן,1,0,3a,"@11תשובה @33כמה דאת אמר צרור הכסף וכו' כתב הי""מ וצ""ע מאי קעביד ליה רבי אליעזר חשובה הא ר""י נמי מפרש כסף תשובה ומינה פריך ועוד מה ענין צרור הכסף לכאן וי""ל דה""פ רבי אליעזר לעולם תשובה בעי והא דכתיב לא בכסף תגאלו אין פי לא בתשובה אלא בצדקות גמור כמד""א צרור הכסף שפירש צדיקים וכו' ע""כ ותימא שעיקר חסר מן הספר ותו א""כ הל""ל ובכסף תגאלו לכן נ""ל פירושי שבקונטרס עיקר:",תשובה כמה דאת אמר צרור הכסף וכו',Jerusalem Talmud Taanit 1:1:13,"אמרו לו א""כ לעולם יהא מזכיר. מחלפה שיטתיה דר' ליעזר מחלפה שיטתיה דר' יהושע דאיתפלגון רבי ליעזר אומר אם אין ישראל עושין תשובה אין נגאלין לעולם שנאמר (ישעיהו ל) בשובה ונחת תושעון אמר לו רבי יהושע וכי אם יעמדו ישראל ולא יעשו תשובה אינן נגאלין לעולם אמר לו ר""א הקב""ה מעמיד עליהן מלך קשה כהמן ומיד הן עושין תשובה והן נגאלין מ""ט (ירמיהו ל) ועת צרה היא ליעקב וממנה יושע אמר לו רבי יהושע והא כתיב (ישעיהו נה) חנם נמכרתם ולא בכסף תגאלו. מה עבד לה ר' ליעזר. תשובה כמה דאת אמר (משלי ז) צרור הכסף לקח בידו וגו' אמר לו ר' יהושע והא כתיב (ישעיהו ס) אני ה' בעתה אחישנה. מה עבד לה ר' ליעזר. תשובה כמה דאת אמר (דברים י) ועתה ישראל מה ה' אלהיך שואל מעמך כי אם ליראה וגו'. רבי אחא בשם ר""י בן לוי אם זכיתם אחישנה ואם לאו בעתה כיון שאמר לו ר' יהושע (דנייאל יב) וירם ימינו ושמאלו אל השמים וישבע בחי העולם כי למועד מועדים וחצי וככלות נפץ יד עם קדש תכלינה כל אלה איסתלק ר' ליעזר."
Taanit,שיירי קרבן,1,0,3b,"@11כדי @33שיצאו המועדות בטל. כתב הרא""ש והאי טעמא קאי אהזכרה ולא אהפסקה כי בי""ט הכל באין לבה""כ בערב כי אין עושין מלאכה בחול המועד ולכך אין מספיק טעם הראשון דלעיל דלית כל עמא תמן ולכך מפרש כדי שיזכיר טל במועדות בשחרית ובערבית וקצת קשה הא הרא""ש גופא כתב לעיל ויזכיר מערב כלומר כיון שעברו ימי החג ואין הגשמים סימן קללה ראוי היה שיתחיל מיד מבערב וכו' הרי שמפרש טעם דלעיל אימי החג וי""ל דה""ק דלר' יותנן לא ניחא ליה בתירוצא דלעיל משום דבי""ט כל עמא תמן אבל מודה הרא""ש דפירוקא דלעיל קאי בין אהזכרה בין אהפסקה והר""ן פי' דעיקר הטעם כדי שיצאו המועדות בטל וקושית הש""ס דלעיל לא קאי אלא אהפסקה דה""ל להפסיק מיד מבערב:",כדי שיצאו המועדות בטל,Jerusalem Talmud Taanit 1:2:2,"א""ר יוחנן הלכה כרבי יודה שאמר משום ר' יהודה בן בתירה. ר' אבון בשם ר' יוחנן טעמא דר' יודה כדי שיצאו המועדות בטל מפני שהטל סימן יפה לעולם."
