Index_Title,Jerusalem_Talmud_Mechon_Mamre,Schwab_fr,id_paragraphe,missing_footnotes
Jerusalem Talmud Avodah Zarah 1:1:1,"לפני אידיהן של נכרים שלשה ימים אסורין מלשאת ומלתת עמהן מלהשאילן ומלשאול מהן מלהלוותן ומלהלוות מהן מלפורעם ומלהפרע מהן רבי יהודה אומר נפרעין מהן מפני שהוא מיצר אמרו לו אע""פ שהוא מיצר עכשיו שמח הוא לאחר זמן רבי ישמעאל אומר שלשה לפניהן ושלשה לאחריהן אסור וחכמים אומרים לפני אידיהן אסור לאחר אידיהן מותר:","Trois jours avant les grandes fêtes des païens <sup>1</sup><i class=""footnote"">Cf. (Berakhot 8, 7).</i>, il faut éviter d’avoir des relations commerciales avec eux, de leur prêter des objets ou d’en emprunter, de leur faire un prêt ou un emprunt d’argent, de leur livrer ou de recevoir d’eux un paiement. R. Juda dit: Il est permis de se faire payer d’eux, parce que c’est un ennui pour eux (et n’est pas une participation à la fête). Les autres docteurs lui répliquèrent: s’il est vrai qu’une telle réclamation est un ennui momentané, elle donne plus tard de la joie (et c’est interdit). R. Ismaël dit: l’interdit a lieu aussi bien trois jours avant les fêtes que trois jours après; selon les autres docteurs, c’est seulement interdit avant, non après.",2097,
Jerusalem Talmud Avodah Zarah 1:1:2,"רבי חמא בר עוקבה שמע כולהון מכא והביאו לבוקר זבחיכם לשלשת ימים מעשרותיכם. א""ל רבי יוסי אין כיני אפילו בגליות דתני נחום המדי אומר יום אחד בגליות אסור. מאי כדון תמן בדקו ומצאו שהן עושין צרכיהן ליום אחד ואסרו יום אחד ברם הכא בדקו ומצאו שעושין צרכיהן לשלשת ימים ואסרו להן שלשת ימים.","R. Hama b. Ouqba déduit le délai de 3 jours en tous les cas précités, de ce qu’il est dit (Am 4, 4): Au matin ils apportaient leurs offrandes pour les 3 jours de vos dîmes <sup>2</sup><i class=""footnote"">Littéralement : et vos dîmes tous les 3 jours.</i> (c’était donc l’usage de se préparer à la fête idolâtre 3 jours d’avance). -Mais, dit R. Yossé, s’il en est ainsi, on devrait adopter le même délai pour les juifs de la captivité; or on a enseigné <sup>3</sup><i class=""footnote"">Tossefta à ce §, ch. 1.</i> que, selon Nahum le Mède, le premier jour seul avant la fête idolâtre les interdits précités sont applicables hors de la Palestine? -Pourquoi, fut-il répliqué, Nahum est-il de cet avis? -Parce qu’il résulte de l’enquête faite qu’au moment où les Juifs étaient captifs les idolâtres ne se préparaient à la fête que la veille, et ce jour seul fut interdit, tandis qu’auparavant l’enquête faite démontra que les idolâtres se préparaient durant 3 jours, et les 3 jours furent interdits.",2097,
Jerusalem Talmud Avodah Zarah 1:1:3,"מה מקיים רבי יוסי אהן קרייה והביאו לבוקר זבחיכם וגו' במלכות ירבעם הכתוב מדבר כיון שמלך ירבעם על ישראל התחיל מפתה את ישראל ואמר להן בואו ונעבוד עבודה זרה ע""ז וותרנית היא. הדא היא דכתיב נעלה ביהודה ונקיצינה ונבקיענה אלינו ונמליך מלך בתוכה את בן טבאל א""ר אבא חיזרנו בכל המקרא ולא מצינו מקום ששמו טבאל אלא שעושה טובה עם עובדיו. התורה אמרה ובחור אותו מכל שבטי ישראל לי לכהן וע""ז אומרה ויעש כהנים מקצות העם א""ר לא מן הקוצים שבעם מפסולת שבעם. התורה אמרה לא ילין חלב חגי עד בוקר וע""ז אמרה והביאו לבוקר זבחיכם. התורה אמרה ביום זבחכם יאכל וממחרת וע""ז אמרה לשלשת ימים מעשרותיכם. התורה אמרה לא תזבח על חמץ דם זבחי וע""ז אמרה וקטר מחמץ תודה. התורה אמרה כי תדור נדר לה' אלהיך לא תאחר לשלמו וע""ז אמרה וקראו נדבות השמיעו. א""ר יודן אבוי דרבי מתנייה לא בא הכתוב אלא להזכיר גניין של ישראל. יום מלכינו החלו שרים חמת מיין משך ידו את לוצצים. יום שמלך ירבעם על ישראל אתון כל ישראל לגביה בפתי רמשא אמרו ליה קום עבוד ע""ז. אמר לון אפתי רמשא הוא אשתי ולא אשתי כל עמא שתו אלא אם אתון בען אזלון ואתון בצפרא הדא הוא דכתיב כי קרבו כתנור לבם בארבם כל הלילה ישן אופיהם. כל הלילה לא ישן אופיהם בוקר הוא בוער כאש להבה. בצפרא אתון לגביה אמר לון כדון אנא ידע דאתון בען אלא דאנא דחיל מסנהדרין דידכון דלא יקטלונני. אמרו ליה אנן קטלין לון הה""ד כולם יחמו כתנור ואכלו את שופטיהם. רבי לוי אמר הרגום היך מה דת מר כי ימצא חלל רבי לא אמר הורידן מגדולתן. יום מלכינו החלו שרים חמת מיין. יום שנעשו בו שרים חולין מי גרם להן חמת מיין שהיו להוטין אחר היין. משך ידו את לוצצים כד הוה חמי בר נש כשר הוה מייתיב גביה תרין ליצנין ואמרין ליה אי זה דור חביב מכל הדורות אמר להן דור המדבר. ואינון אמרין ליה ולא עבדון עכו""ם והוא אמר לון בגין דחביבין לא איתענשון. והינון אמרין ליה חשי דמלכא בעי מיעבד כן ולא עוד אלא אינון עבדין חד ודין עבד תרין. וישם את האחד בבית אל ואת האחד נתן בדן.","Puisque R. Yossé ne paraît pas appliquer aux 3 jours le verset précité “Au matin ils apportaient leurs sacrifices, etc.”, à quoi se réfère ce verset? -Au règne de Jéroboam (blâmé par Amos): dès que ce roi régna sur Israël, il commença à détourner Israël du culte divin et l’engagea à se tourner vers les idoles, sous prétexte que celles-ci sont plus libérales, et permet ce que la Loi défend. Ainsi, il est dit (Is 7, 6): Montons contre Juda, effrayons-le, battons-le en brèche; et nommons pour roi au milieu d’eux le fils de Tabel. Or, dit R. Aba, nous avons eu beau chercher dans toute la Bible, et n’avons trouvé nulle part un homme du nom de Tabel; on veut donc désigner par là celui qui cherche à faire du bien à ses serviteurs. En effet, la Loi dit (1S, 2, 28): Choisis-le d’entre toutes les tribus d’Israël pour me servir de prêtre, tandis que de l’idolâtre il est dit (1R 12, 31): Il fit des prêtres de partie KETSOT, le peuple; c’est-à-dire, explique R. Ila, des gens de rebut de la populace. La Loi a dit (Ex 23, 18): la graisse de l’offrande à ma fête ne devra séjourner jusqu’au matin; mais pour l’idolâtrie il est dit (Am 4, 4): Ils ont offert leurs sacrifices au matin. La loi a dit (Lv 19, 6): Au jour où il est offert on le mangera, non le lendemain; mais pour le sacrifice à l’idole il est dit (Am 4, 4): à 3 jours de vos dîmes. La loi dit (Ex 23, 18): Tu ne répandras pas près du pain levé le sang de mon sacrifice; mais pour l’idolâtrie il est dit (Am 4, 4): Pour l’oblation de l’action de grâce vous faites des parfums de pain levé <sup>4</sup><i class=""footnote"">Littéral. : Faites fumer vos offrandes d'action de grâces avec du levain.</i>. La Loi dit (Dt 23, 22): Si tu fais un vœu à l’Eternel ton Dieu, ne tarde pas à le réaliser; mais pour l’idolâtrie il est dit (Am 4, 4): proclamez les dons, et publiez-les (sans souci du temps). R. Judan père de R. Mathnia dit que la honte d’Israël est exposée dans ce verset (Os 7, 5): Au jour de notre roi, on a rendu malades les gouvernants par le vin; il a tendu la main aux moqueurs. @ Le jour où Jéroboam monta sur le trône d’Israël, tous les israélites vinrent, et vers le soir ils l’engagèrent à adorer les idoles ensembles. -Non, dit-il, vers le soir je parais ivre sans l’être, car tous ont bu; si vous le voulez, allez et revenez à cet effet le matin, bien dispos, comme il est dit (ibid. 6): Ils ont appliqué à adresser des embûches leur cœur semblable à un four; le boulanger a dormi toute la nuit. Or, croyez-vous bien que le boulanger (celui qui excite les passions) dorme la nuit? Au contraire (ibid. 7): au matin, il brûle comme la flamme du feu. A leur arrivée le matin, il leur dit: Maintenant je vois que vous êtes bien disposés, mais je crains que votre Sanhédrin (tribunal supérieur) ne me condamne à mort. Ils répliquèrent: “nous les tuerons”, comme il est dit (ibid., 7): Ils sont tous échauffés comme un four et dévorent leurs juges. R. Levi dit qu’en effet ils les tuèrent, supposant (au premier verset précité d’Amos) une allusion au sens de cadavre, selon le terme homonyme (Dt 21, 1): Si l’on trouve un cadavre. Selon R. Ila, les juges furent seulement destitués de leur dignité, si l’on explique en ce sens ledit verset: Au jour de notre roi, on a déplacé les gouvernants par l’effet du vin; ainsi, c’est au jour où nos gouvernants sont devenus des gens profanes. Qui les poussés dans cette voie? C’est la colère produite par le vin, dont ils étaient avides, en tendant la main aux moqueurs. Lorsque le roi voyait un homme probe, il faisait asseoir auprès de lui deux moqueurs impies, qui lui disaient: Quelle est la meilleure des générations? Celle du séjour d’Israël au désert, répondait le juste. Mais, répliquaient ceux-ci, n’étaient-ce pas des idolâtres? En raison de l’affection divine pour eux, répondit le juste, ils n’ont pas été punis du crime d’idolâtrie. Et ils disaient: tais-toi, car le roi veut agir ainsi, en l’augmentant même, car les gens du désert ont fait un veau d’or, mais le roi veut en ériger deux, comme il est dit (1R 12, 29): Il plaça l’un à Beth-el et l’autre à Dan. ",,
Jerusalem Talmud Avodah Zarah 1:1:4,"גסות רוחו של ירבעם היא החליטתו. א""ר יוסי בר יעקב במוצאי שמיטה מלך ירבעם על ישראל הה""ד מקץ שבע שנים במועד שנת השמיטה בחג הסוכות בבוא כל ישראל לראות את פני ה' אלהיך במקום אשר יבחר תקרא את התורה הזאת נגד כל ישראל באזניהם. אמר אנא מיתבעי מיקרי קאים אנא ואינון אמרין מלכא דאתרא קדם. ואין מיקרי תיניין גנאי הוא לי ואין לא ניקרי ביזיון הוא לי. ואין מרפינון אזלון סלקין אינון שבקין יתי אזלין לון גבי רחבעם בן שלמה הה""ד אם יעלה העם הזה לעשות זבחים בבית ה' בירושלם ישוב לב העם הזה אל אדניהם אל רחבעם. מה עשה עשה שני עגלי זהב וכתב על ליבן והרגוך אמר כל מלך דיקום יסתכל בון. א""ר חונה חובר חברי' מחוכם כל מי שהיה חוברו היה חוברו. א""ר חונה ושחטה שטים העמיקו שהעמיק ברשע אמר כל דמפרסים אנא קטיל ליה.","L’orgueil de Jéroboam l’a poussé à agir ainsi. R. Yossé b. Jacob dit: à la fin d’une période agraire de 7 ans (ou grande réunion), le roi Jéroboam monta sur le trône d’Israël, comme il est dit (Dt 31, 10): “Au bout de 7 ans, à la fête de l’an du repos agraire, à la solennité des tentes, lorsque tout Israël viendra pour voir la face de l’Eternel ton Dieu, dans le lieu qu’il choisira, tu liras cette loi en face de tout Israël à leurs oreilles”. Or, le roi se dit: lorsque nous monterons et que je devrai lire, les assistants diront que le roi de la localité <sup>5</sup><i class=""footnote"">Roboam, roi de Juda.</i> doit avoir la prééminence: si je lis le second, c’est une honte pour moi; si je ne lis pas du tout, je serai méprisé; si je laisse le peuple aller seul à Jérusalem, il m’abandonnera pour se ranger sous les ordres de Roboam, fils de Salomon, comme il est écrit (1R 12, 27): Lorsque le peuple montera pour offrir des sacrifices dans la maison du Seigneur à Jérusalem, le cœur de ces gens se tournera vers leur maître, vers Roboam. Pour y obvier, voici ce que Jéroboam fit: il dressa comme idoles deux veaux sur lesquels il écrivit cet avertissement: “ils le tueront”, en donnant l’ordre à ses successeurs de regarder cet écrit (et de se prémunir). De même, dit R. Houna, il est dit (Ps 58, 6): Il n’entend pas la voix du devin, du charmeur expert en charmes, en ce sens qu’il avisait le roi futur à agir comme lui dans la voie du mal. R. Houna explique aussi ce verset (Os 5, 2): On a inventé des moyens profonds d’égorger les révoltés, en ce sens que l’on a approfondi l’impiété en disant que le roi tuera celui qui révélerait le sens de l’avis inscrit (que l’on prenait pour un ordre de révérer l’idole). ",,
Jerusalem Talmud Avodah Zarah 1:1:5,"א""ר אבין בר כהנא אף שבתות וימים טובים מצינו שבדה להם ירבעם מלבו הה""ד ויעש ירבעם חג בחדש השמיני בחמשה עשר יום לחדש בחג אשר ביהודה ויעל על המזבח כן עשה בבית אל לזבוח בחדש אשר בדה מליבו מלבד כתיב כמה דאת אמר מלבד שבתות ה'.","De même, dit R. Abin b. Cahana, on trouve que Jéroboam imagina une fixation fausse des jours de Shabat et des fêtes (pour dérouter les pèlerinages à Jérusalem), comme il est dit (1R 12, 32): Jéroboam institua une fête au VIIIe mois le quinze du mois pour la fête célébrée en Judée, et il monta à l’autel; il agit ainsi à Bet-el pour sacrifie à une date imaginée par lui. Or, il est écrit: en outre, dans le même sens que en dehors des Shabats de Dieu (Lv 23, 38), en vue de leur exclusion.",,
Jerusalem Talmud Avodah Zarah 1:1:6,תני עבר ונשא ונתן עמו מותר ר' יעקב בר אחא ר' יוסי בשם ר' יוחנן ואפילו ביום אידו ותני כן במה דברים אמורים בנכרי שאינו מכירו אבל בנכרי המכירו מותר מפני שהוא כמחניף להן. תני נכנס לעיר ומצאן שמחין שמח עמהן מפני שאינו אלא כמחניף להן.,"On a enseigné: si transgressant par mégarde l’interdit on a trafiqué avec les païens en ces jours, il est permis de jouir du revenu; et même, ajoute R. Jacob b. Aha ou R. Yossé au nom de R. Yohanan, si c’est le jour de la solennité païenne. On a en effet appris: la seule permission en cas de fait accompli se réfère aux relations avec un païen inconnu; mais avec celui que l’on connaît, c’est permis aussi en principe, parce qu’alors l’échange commercial ne constitue qu’une complaisance. Il est dit: si entrant dans une ville païenne on trouve ses habitants en réjouissance, on prendra part à leur joie, afin de se montrer gracieux à leur égard. ",,
Jerusalem Talmud Avodah Zarah 1:1:7,"חד דוקינר אוקיר לר' יודן נשייא חד דיסקי' מלא דינרין נסב חד מינהון ושלח ליה שארא. שאל לרשב""ל אמר יוליך הנייה לים המלח. הרי במכירו הרי לשעבר ור""ל אמר יוליך הנאה לים המלח. א""ר אבהו ואני לא שאלני רבן גמליאל בר' מהו לילך ליריד ואסרתי לו. והתני הולכין ליריד ולוקחין משם עבדים ושפחות. ר""ל אמר לא סוף דבר עבדים ישראל אלא אפילו נכרים מפני שמקרבין תחת כנפי השכינה. מאי כדון ר""ג אדם קטן היה וביקש ר' אבהו לגודרו אבל ר' יודן נשייא אדם גדול היה וביקש ר""ל לגדור הדבר.","Un officier ducenaire (ducenarius) avait offert à R. Juda Nassi un plat disco"" plein de dinars comme présent de fête; Rabbi accepta une pièce et rendit le reste; puis il consulta R. Simon b. Lakish pour savoir s’il pouvait la garder, celui-ci dit de s’interdire un tel profit et le jeter à la mer. -Pourquoi cette sévérité à l’égard d’un païen connu et lorsqu’il s’agit d’un fait accompli (d’une acceptation effectuée)? A moi aussi, répliqua R. Abahou <sup>6</sup><i class=""footnote"">V. Graetz, Geschichte, t. 4 (2e édit.), p. 483.</i>, une permission analogue a été demandée par R. Gamliel b. Rabbi, s’il est permis d’aller au marché des païens pour faire du commerce avec eux, et je l’ai défendu. -Mais n’a-t-on pas enseigné <sup>7</sup><i class=""footnote"">Tossefta, ch. 2.</i> qu’il est permis d’aller au marché des païens pour leur acheter des esclaves et des païens; sur quoi Resh Lakish ajoute qu’il n’est pas seulement permis d’acheter des esclaves juifs, mais aussi des païens, afin de les rapprocher ainsi du giron de la synagogue juive? -Pourquoi donc défendit-il à Rabbi d’accepter le dinar ? Or, on comprend qu’à R. Gamliel, un homme inférieur, R. Abahou l’ait interdit, afin de le prémunir contre les fréquentations dangereuses; mais comment justifier cette crainte à l’égard de R. Judan Nassi, un personnage important? Resh Lakish agit ainsi à titre d’exemple (pour ne pas laisser entraîner les ignorants à agir de même à l’égard d’un inconnu).",,
Jerusalem Talmud Avodah Zarah 1:1:8,"ניחא מלהשאיל מלשאול מהן מפני שהוא כמשיאו שם. ניחא מלהלוותו מלהלות מהן מפני שהוא כמשיאו שם. ניחא מלפורען מליפרע מהן שלא יאמר עכו""ם שלו סייעה. רבי בא בר טבליי בשם רב אם היתה מלוה אובדת מותר. ותני כן מלוה אובדת בעדים אין מלוה אובדת בשטר. אפילו מלוה בשטר אובדת היא שלא בכל שעה אדם זוכה לפרוע חובו. מאי כדון מלוה אובדת שלא במשכון אין מלוה אובדת במשכון. אשכח תני על קדמייתא מלוה אובדת בעדים אין מלוה אובדת בשטר.","-On comprend qu’il soit défendu de leur donner en location (en raison du profit ultérieur à en tirer); mais pourquoi est-il défendu de louer d’eux? -Il est à craindre que le propriétaire païen qui oblige l’Israélite l’entraîne chez lui à l’idolâtrie. -On comprend l’interdit de leur prêter; pourquoi est-il défendu de leur emprunter? -On craint les suite d’une complaisance. -On comprend la défense de les payer; pourquoi est-il défendu de faire se payer d’eux? -Pour ne pas laisser croire au païen que l’influence de son idole lui a permis de s’acquitter. R. Aba b. Tablaï dit au nom de Rav: s’il s’agit d’un prêt en danger d’être perdu, il est permis de l’encaisser en ce jour. De même on a enseigné: un prêt risqué est celui qui a été fait devant témoins, mais verbal (on peut l’encaisser). Toutefois, malgré le contrat on ne réussit pas toujours à se faire payer le dû, et c’est risqué. -De quel prêt garanti la Mishna parle-t-elle pour l’interdire? -Le prêt non basé sur un gage est risqué; mais celui qui est gagé n’est pas risqué (et sera interdit). On trouve aussi un enseignement qui confirme le premier dire: un prêt verbal par devant témoins est exposé à être perdu, non celui qui est rédigé sur contrat.",,
Jerusalem Talmud Avodah Zarah 1:1:9,"תמן תנינן רבי יודה אומר אשה לא תסוד מפני שניבול הוא לה רבי חנינה ורבי מנא חד אמר בסיד שהיא מתירתו במועד נחלקו אבל בסיד שמתירתו לאחר המועד אסור וחרנא אמר בסיד שהיא מתירתו לאחר המועד נחלקו אבל בסיד שמתירתו בתוך המועד מותר. ולא ידעין מאן אמר דא ומאן אמר דא מן מה דא""ר חנינה רבי יוסי בשם רבי יוחנן רבי יהודה כדעתיה כמה דרבי יהודה אמר תמן ניבול שעה ניבול כן הוא אמר הכא צרת שעה צרה הווי דו אמר בסיד שהוא מותר בתוך המועד נחלקו אבל בסיד שהוא מותר לאחר המועד אסור.","On a enseigné ailleurs <sup>8</sup><i class=""footnote"">(Moed Qatan 1, 7).</i>: bien qu’une femme puisse procéder à la confection d’ornements pour sa toilette pendant les jours de fête, selon R. Juda, elle ne devra pas s’enduire la figure de chaux; car, malgré le profit futur, ce procédé l’enlaidit pour le moment. R. Hanina et R. Mena justifient diversement cette divergence d’avis: d’après l’un, R. Juda et les autres docteurs diffèrent d’avis au sujet de la chaux, que la femme enlèvera encore pendant la fête, et tous admettent l’interdit de la chaux qui ne sera enlevée qu’après la fête; d’après le second, il y a divergence d’avis au sujet de la chaux que la femme enlèvera seulement après la fête, et tous permettent l’usage de la chaux à enlever pendant la fête. Jusque là, on ne savait pas qui a professé chacune de ces opinions; mais de ce que R. Hanina ou R. Yossé dit au nom de R. Yohanan que R. Juda se conforme sous ce rapport à son propre avis, et comme celui-ci dit qu’un enlaidissement même momentané compte comme tel, de même un chagrin d’un instant compte aussi (et malgré la satisfaction ultérieure de l’acquit, c’est une peine pour l’instant de le payer, et il est permis de se faire payer du païen); donc, R. Hanina a professé l’avis que la discussion entre R. Juda et les autres sages se réfère à l’application momentanée de la chaux, R. Juda tenant compte de l’enlaidissement partiel, et tous interdisent l’usage de la chaux à enlever après la fête.",,
Jerusalem Talmud Avodah Zarah 1:1:10,"אומנים ישראל שהיו עושין עם הנכרי באידן בתוך ביתו אסור בתוך בתיהן מותר רבי שמעון בן אלעזר אומר במה דברים אמורים בתלוש מן הקרקע אבל במחובר לקרקע אסור. בעיר אחרת בין כך ובין כך מותר מהו בין כך ובין כך מותר בין בתלוש בין במחובר בין בשכיר בין בקיבולת. אמר רבי לא בין בתלוש בין במחובר ובלבד בקיבולת. רבי שמעון בר ברסנה בשם ר' אחא בשבת ובאבל ובע""ז הלכה כר' שמעון בן אלעזר.",,,
