Index_Title,Jerusalem_Talmud_Mechon_Mamre,Schwab_fr,id_paragraphe,missing_footnotes
Jerusalem Talmud Gittin 1:1:1,"המביא גט ממדינת הים צריך שיאמר בפני נכתב ובפני נתחתם רבן גמליאל אומר אף המביא מן הרקם ומן התגר ר' אליעזר אומר אפי' מכפר לודים ללוד וחכ""א אינו צריך שיאמר בפני נכתב ובפני נתחתם אלא המביא ממדינת הים והמוליך והמביא ממדינה למדינה וממדינת הים צריך שיאמר בפני נכתב ובפני נתחתם רשב""ג אומר אפי' מהגמוניא להגמוניא:","Si un individu apporte d’une province d’outre-mer une lettre de divorce pour une femme mariée, il doit dire: “Cette lettre (ou cet acte) a été écrit et signé en ma présence”. Les actes d’affranchissement d’esclaves sont assimilés aux lettres de divorce <sup>1</sup><i class=""footnote"">Un motif d'assimilation est proposé par le Dr Rabbinowicz (Législation, 1, 329) : Tous les actes qui concernent deux personnes ont besoin du consentement des deux. Or, le divorce, bien qu'il concerne deux personnes n'a besoin que d'être consenti par le mari, comme il suffit à l'esclave d'être libéré par son maître</i>. R. Gamliel dit: il en est de même de celui qui l’apporte des localités de Reqem (Petra) ou Hagar <sup>2</sup><i class=""footnote"">""Pour ces deux localités, V. Graetz, Monatschrift, 1875, p 55 ; J Derenbourg, Revue des études juives, 1884, 8, 276 Elles sont omises dans le lexique de J Levy""</i>; selon R. Eliézer, il est semblable lorsqu’on l’apporte du village des Lydiens à Lod. Selon les autres sages, il est inutile de dire la formule: “cette lettre (ou cet acte) a été écrite et signée devant moi”, sauf au cas où on l’apporte d’outre-mer. De même, celui qui cherche un acte et l’apporte d’une province à l’autre, en traversant à cet effet la mer, devra formuler qu’il a été écrit et signé devant lui. Selon R. Simon b. Gamliel, c’est obligatoire même en passant d’un district hgemonia à l’autre.",1491,
Jerusalem Talmud Gittin 1:1:2,"וקשיא אילו המביא שטר מתנה ממדינת הים שמא חש לומר בפני נכתב ובפני נחתם. ר' יהושע בן לוי אמר שנייא היא שאינן בקיאין בדיקדוקי גיטין. א""ר יוחנן קל היקלו עליה שלא תהא יושבת עגונה והיינו קל אינו אלא חומר שאילו לא אמר לה בפני נכתב ובפני נחתם אף את אין מתירה להינשא. א""ר יוסי חומר שהחמרתה עליה מתחילה שיהא צ""ל בפני נכתב ובפני נחתם היקלתה עליה בסוף שאם בא ועירער עררו בטל. רבי מנא סבר מימר בערר שחוץ לגופו אבל בערר שבגופו בערר שאין בו ממש. אפילו בערר שיש בו ממש. אמר ר' יוסי בי ר' בון מכיון דתימר דטעמא חומר שהחמרתה עליה מתחילה שיהא צריך לומר בפני נחתם היקלתה עליה בסוף שאם בא וערר עררו בטל. הווי לא שנייא הוא ערר שחוץ לגופו. הוא ערר שבגופו. הוא ערר שאין בו ממש הוא ערר שיש בו ממש. וחש לומר שמא חתמו בעדים פסולין. א""ר אבון אינו חשוד לקלקלה בידי שמים. בבית דין הוא חשוד לקללה שמתוך שהוא יודע שאם בא וערר עררו בטל אף הוא מחתמו בעדים כשרין.","L’objection suivante a été présentée contre la Mishna: si l’on apporte d’une province d’outre-mer un acte de donation, est-il besoin de dire qu’il a été libellé et signé en sa présence? (Pourquoi donc est-ce obligatoire pour le divorce)? C’est que dit R. Josué b. Levi, il y a cette distinction à établir que les gens de ladite province ne sont pas bien au courant des formulaires du divorce (donc, en interrogeant le messager, on saura en même temps si l’acte est en règle). Selon R. Yohanan, c’est une facilité accordée (de tenir compte du témoignage par le message) afin que la femme répudiée ne reste pas trop longtemps affligée de l’isolement. -Mais n’est-ce pas au contraire une aggravation d’exiger cette attestation, qui n’est pas requise pour d’autres actes, puisqu’à défaut de la déclaration du message d’avoir vu libeller et signer l’acte devant lui, la femme en question ne pourrait pas se remarier? -Il est vrai, répond R. Yossé qu’au commencement il y a cette aggravation d’exiger du messager l’attestation de l’avoir vu libeller et sceller; mais à la fin il y a un allégement, en ce que le mari qui viendrait plus tard arguer n’avoir pas signifié cet acte de divorce n’est plus recevable. R. Mena avait supposé qu’il n’est pas ajouté foi au mari pour une contestation basée sur une cause non inhérente à l’acte même <sup>3</sup><i class=""footnote"">Littéralement : en dehors du corps c-à-d si le mari argue que l'acte n'a pas été rédigé pour lui, ou qu'il est soumis à une condition non réalisée .</i>; mais s’il s’agit d’une contestation affectant l’acte même, on croit le mari; et en admettant même qu’on ne le croit pas s’il s’agit d’une contestation affectant le corps de l’acte, lorsque cette contestation n’a pas de consistance (n’est pas fondée), on le croit certainement pour une contestation qui paraît bien fondée. Il n’en est pas ainsi, dit R. Yossé b. R. Aboun, puisque les sages ont institué d’abord cette aggravation que l’envoyé est tenu d’attester avoir vu libeller et signer l’acte, et par contre, ils ont établi cet allégement que la contestation opposée par le mari est sans valeur devant de témoignage, on n’a pas non plus établi de distinction entre la contestation faite en dehors du corps de l’acte et celle qui lui est afférente, ni entre la contestation fondée et celle qui ne l’est pas (on ne le croit jamais). -Mais n’y a-t-il pas à craindre que l’acte ait été souscrit (contresigné) par des témoins impropres à attester (et le mari a raison d’arguer que le corps même de l’acte est défectueux)? R. Aboun répond <sup>4</sup><i class=""footnote"">Cf (Yebamot 15, 5)</i>: le mari n’est pas soupçonné de mettre sa femme dans le cas de commettre le crime capital d’adultère (en se remariant sans l’autorisation qui provient du divorce régulier); mais on le soupçonne de lui faire tort en la faisant venir devant le tribunal, et en prétendant que l’acte est irrégulier, pour l’empêcher de se remarier. Or, du moment qu’il sait que ses contestations seront vaines (non accueillies), il aura soin de faire souscrire (confirmer) l’acte de divorce par des témoins valables.",1491,
Jerusalem Talmud Gittin 1:1:3,"היה כתוב בו מתנה ואמר בפני נכתב ובפני נחתם מאחר שעררו בטל אצל הגט עררו בטל אצל המתנ'. או מאחר שעררו בטל אצל הגט עררו קיים אצל המתנה. תנינן דבתרה אחד גיטי נשים ואחד שיחרורי עבדים שוין במוליך ובמביא. היה כתוב בו מתנה ואמר בפ""נ ובפני נתחתם מאחר שעררו בטל אצל הגט עררו קיים אצל המתנה. או מאחר שעררו קיים אצל המתנה עררו קיים אצל הגט. כתב כל נכסיו לעבדו את אמר הוא גיטו הוא מתנתו. מה את עבד לה. כגט הוא ועררו בטל. או כמתנה הוא ועררו קיים. וייבא כהדא כתב כל נכסיו לשני בני אדם כאחת והיו עדים כשרין לזה ופסולין לזה. ר' אילא בשם ר' אמי אתפלגון ר' יוחנן וריש לקיש חד אמר מאחר שהן פסולין לזה פסולין לזה וחרנה אמר כשירין לזה ופסולין לזה. ר' מנא לא מפרש. ר' אבין מפרש ר' יוחנן אמר מאחר שהן פסולין לזה פסולין לזה. וריש לקיש אמר כשרין לזה ופסולין לזה. אמר ר' אלעזר מתניתא מסייעא לר' יוחנן מה השנים נמצא אחד מהן קרוב או פסול עדותן בטילה אף הג' נמצא אחד מהן קרוב או פסול עדותן בטילה. ר' יעקב בר אחא אמר אתפלגון ר' חנינא חברין דרבנין ורבנין. חד אמר יאות א""ר לעזר. וחרנה אמר לא א""ר לעזר יאות. מ""ד יאות א""ר אלעזר נעשית עדות אחת וכאיש אחד בעדות שבטלה מקצתה בטלה כולה ומ""ד לא א""ר לעזר יאות נעשה כשני כתי עדים כשרים לזה ופסולים לזה","Si à l’acte de divorce une donation se trouve jointe, confirmée par le messager qui atteste l’avoir vu libeller et signer, est-ce qu’à ce dernier sujet la contestation soulevée par le mari est annulée pour la donation, comme elle l’est déjà pour le divorce (le cas échéant), ou bien est-elle seulement nulle pour le divorce, et maintenue pour la donation? De même, il a été enseigné plus loin (1,4): “Soit qu’il s’agisse de divorce, soit d’acte d’affranchissement des esclaves, la règle est exactement la même, aussi bien pour l’expédier de là que pour l’y apporter”, et, comme en ces cas l’attestation du libellé et de la signature est exigible (sans que le maître puisse soulever un objection contre ce témoignage), est-ce qu’en cas de donation écrite jointe à cet acte, la contestation soulevée ensuite par l’auteur de l’acte est non recevable? De même, encore, si quelqu’un a légué par écrit tous ces biens à son esclave <sup>5</sup><i class=""footnote"">Cf (Pea 3, 9)</i>, et ce dernier apporte lui-même l’acte qui le concerne, auquel cas l’esclave reprend pour ainsi dire possession de lui-même, le considère-t-on (en cas de contestation du maître) comme apportant un acte de divorce, pour lequel l’objection soulevée par le mari reste sans valeur, ou comme un acte de donation sur laquelle le maître peut revenir? C’est une question conforme à la discussion émise au sujet du legs fait à deux hommes simultanément – <sup>6</sup><i class=""footnote"">""Suit un passage traduit ci-dessus, (Ketubot 11, 5) ; cf (Makot 1, 12)""</i>.",,
Jerusalem Talmud Gittin 1:1:4,"עד שיאמר בפני נכתב ביום ונחתם ביום עד שיאמר נכתב לשמה ונחתם לשמה. בעא קומי ר' יוחנן צריך שיהא מכיר שמותן של עדים בשעת חתימתן. אמר לון עכו""ם לוקין חתומין עליו. ואתם אמרין אכין. מתניתא מסייעא לר' יוחנן כל הגיטין הבאין ממדינת הים אף על פי ששמותן כשם עכו""ם הרי אילו כשירין מפני שישראל שבחוצה לארץ שמותן כשם העכו""ם. לא אמר אלא שבח""ל הא שבא""י לא. מאי כדון. רבי ביבי בשם ר' אסי עד שיכתוב במקום יהודאיקי. אם אין שם יהודאיקי בבית הכנסת. אם אין שם בית הכנסת מצרף עשרה בני אדם. א""ר כבין נוח לו לקיימו בחותמיו ולא לצרף עשרה בני אדם. מאי כדון אפילו בחנותן של ישראל.","Il devra certifier, dit la Mishna, que l’acte a été écrit et signé en sa présence”, le même jour <sup>7</sup><i class=""footnote"">ci-après, (2, 2)</i>. Il devra attester aussi que cet acte a été écrit et scellé en vue de cette femme. On demanda devant R. Yohanan: faut-il (après coup) reconnaître les noms des témoins pour ceux qui ont signé (et confirmé) l’acte? Certes, répondit-il, puisque sur cet acte des noms de païens et de loups lucoi sont consignés, il est indubitable que la formalité de reconnaître les noms est exigible (sous peine d’invalidité). Un enseignement confirme l’avis de R. Yohanan <sup>8</sup><i class=""footnote"">Tossefta à ce traité , ch 6</i>: tous les actes qui viennent d’une province d’outre-mer, quoique contresignés par des noms qui ressemblent à ceux des païens, sont valables, parce que les Israélites qui séjournent hors de Palestine portent des noms similaires à ceux des païens. C’est dit seulement pour ceux du dehors, non pour ceux qui habitent à l’intérieur de la Palestine. Comment donc faut-il s’y prendre pour se prémunir à cet égard? R. Bivi au nom de R. Assa répond que l’acte de divorce devra être écrit au greffe de la justice (judicatus, pour qu’il n’y ait pas d’erreur dans les signatures des témoins); à défaut de quoi, on réunira à cet effet dix individus. R. Abin dit: il doit suffire d’astreindre celui qui donne le divorce à le faire confirmer par des contreseings, sans exiger encore l’assistance de dix hommes. En somme, quelle règle fixe R. Abin? Il suffit, selon lui, de l’écrire dans n’importe quelle boutique d’un Israélite.",,
Jerusalem Talmud Gittin 1:1:5,"ולא אמר נכתב ביום ונחתם ביום נכתב לשמה ונחתם לשמה. נימר מה דשאיל אמורא. א""ל ויידא דאמר רבין בר רב חסדא אייתי גיטא ונתנו לה ולא אמר לה בפני נכתב ובפני נחתם. אתא עובדא קומי ר' יוחנן א""ל טליהו ממנה ואמור לה בפני שנים בפני נכתב ובפני נחתם. ור' יוחנן כר""ש בן אלעזר דר""ש בן אלעזר אמר אינו גט עד שיאמר לה בשעת מתנה שהוא גיטיך. דרבי יוחנן ייבא מן ר' שמעון בן אלעזר ולא מודה ר' שמעון בן אלעזר שאם אמר לה בשעת מתנה שהוא גיטיך שאינו גט. והכא אפילו אם אמר לה בשעת מתנה שהוא גיטיך אינו גט עד שיאמר לה בפני שנים בפני נכתב ובפני נחתם. אלא מיסבור סבר ר' יוחנן שאין האשה נאמנת לומר התקבלתי גיטי משלוחי בעלי. והא תנינן האשה עצמה מביאה גטה וחש לומר שמא משלוחי הבעל קבלה. מאי כדון טעמא דר' יוחנן כדי להחזיקה גרושה בפני שנים.","-Si le messager n’a pas déclaré avoir vu libeller et signer le divorce en ce jour, ou que cet acte a été rédigé pour cette femme, quelle sera la valeur de l’acte? -On peut déduire la réponse, à l’aide de la question analogue posée par un amora précédent, en cette circonstance; R. Abin b. R. Hisda dit que quelqu’un apporta un acte de divorce et le remit à la femme, sans lui déclarer avoir vu libeller et signer cet acte; on demanda alors à R. Yohanan si la valeur de l’acte n’est pas entachée de ce fait? Il faut, dit R. Yohanan, reprendre l’acte à la femme, puis le lui présenter à nouveau en disant devant deux témoins (au moment de la remise) l’avoir vu libeller et signer (de même ici, pour la question du jour et de la destination personnelle, il est indispensable que le messager l’atteste, sous peine de nullité). Cet avis de R. Yohanan est conforme à celui que R. Simon b. Eléazar exprime plus loin (8, 2): selon lui, il est indispensable, pour la validité du divorce, qu’au moment de le remettre à la femme on le lui déclare. -Mais comment peut-on comparer R. Yohanan à R. Simon b. Eléazar? Ce dernier ne reconnaît-il pas qu’il suffit, pour la validité, avoir dit à la femme que c’est son acte de divorce, au moment de le lui remettre; tandis qu’ici (selon R. Yohanan) cela ne suffirait pas, et le messager doit encore attester devant deux personnes avoir vu libeller et signer l’acte? -C’est qu’en réalité la différence entre eux subsiste: plus loin, où R. Simon b. Eléazar prescrit seulement de déclarer à la femme que c’est son divorce en le lui remettant, il s’agit de cette remise faite par le mari lui-même; mais ici il s’agit de la remise par l’intermédiaire d’un envoyé, et R. Yohanan est alors d’avis que la femme n’est pas digne de foi en ce qu’elle déclare avoir reçu le divorce par un messager de son mari (voilà pourquoi l’attestation de la remise est exigible devant deux témoins, pour que la femme soit libre de se remarier). -Mais n’est-il pas dit plus loin (2, 7): “la femme même est recevable (libre) de présenter son divorce pour se remarier”? Or, n’est-il pas à craindre qu’elle l’ait reçu de son mari par un envoyé? (Pourquoi donc dire qu’on ne la croit pas)? Et par quel motif R. Yohanan prescrit-il l’attestation de la remise devant deux témoins? -C’est seulement pour faire valoir la présomption de répudiation devant deux témoins.",,
Jerusalem Talmud Gittin 1:1:6,"אתא עובדא קומי ר' יהושע בן לוי אמר ליה לית צריך. מחלפה שיטתיה דר' יהושע בן לוי. תמן אמר רבי יהושע בן לוי שנייא היא שאינן בקיאין בדיקדוקי גיטין. והכא אמר אכן. חברייא בשם דר' יהושע בן לוי הדא דאת אמר בראשונה שלא היו חבירים מצויין בחוץ לארץ. אבל עכשיו שחבירים מצויין בחוץ לארץ בקיאין הן. והא תנינן והמוליך. ואפילו תימר אין חבירים מצויין בח""ל אנן מצויין בא""י שלא לחלוק בגיטין בח""ל. מעתה המביא ממדינת הים לא יהא צריך לומר בפני נכתב ובפני נחתם. שלא לחלוק בגיטי א""י. מאי כדון מחמירין בקל מפני החמור ואין מקילין בחמור מפני הקל. רבי יעקב בר אחא בשם ר""ש בר אבא מה דא דא""ר יהושע בן לוי לשעבר אבל בתחילה אוף ר' יהושע בן לוי מודה.","On consulta, pour un fait de ce genre, R. Josué b. Levi, qui répondit: il n’est pas nécessaire (en cas de fait accompli) de reprendre le divorce et de le rendre ensuite à la femme devant deux témoins. -Est-ce que R. Josué b. Levi <sup>9</sup><i class=""footnote"">Cf. ci-dessus, au commencement</i> ne se contredit pas ? Plus haut (en réfutant l’objection tirée de l’analogie avec l’acte de donation) il constate une distinction à établir, savoir que les gens d’outre-mer ne sont pas bien au courant des formulaires de divorce, et qu’en conséquence il faut faire dire par le messager si toutes les règles ont été suivies, tandis qu’ici il dit au contraire que l’on peut s’en passer? Les compagnons répondirent au nom de R. Josué b. Lévi: l’opinion qu’il a professée en premier lieu se rapporte à l’époque où il n’y avait pas encore de savants installés hors de la Palestine (et, par suite, on ignorait les formulaires). -Mais n’a-t-on pas dit (dans notre Mishna) qu’il en est de même si l’on apporte l’acte d’une localité de la Palestine au-delà des mers? Or, en admettant même qu’au dehors de la Palestine il n’y a guère de savants, tandis qu’il y en a plutôt en Terre-sainte même, pourquoi cette sévérité lorsque le divorce a été rédigé en Palestine (pour être porté au dehors)? -C’est pour ne pas distinguer entre tous les divorces au dehors. -Mais alors on devrait dispenser de l’attestation devant témoins ce que l’on apporte du dehors, en raison de l’aptitude à l’intérieur? -C’est que l’on aggrave le cas facile à cause du plus sévère; mais à l’inverse, on n’allège pas le grave à cause du cas de sévérité. R. Jacob b. Aha dit au nom de R. Simon b. Aba (de justifier comme suit la contradiction apparente entre deux opinions diverses de R. Josué b. Levi): R. Josué b. Levi, d’une part, dispense de reprendre le divorce remis à la femme sans formalité, en cas de fait accompli; mais en principe, R. Josué b. Levi exige aussi la présentation avec l’attestation du libellé et du seing.",,
Jerusalem Talmud Gittin 1:1:7,"ר' בא בשם רב ר' זעירא בשם אבא בר חנה שנים שהביאו את הגט אינו צריך לומר בפנינו נכתב ובפנינו נחתם. ר' יוסי בן יוסי בשם ר' יוחנן צריך. הוא עצמו שהביא את הגט אינו צריך ליתנו לה בפני שנים כדי להחזיקה גרושה בפני שנים נתן לה גיטה נטלו ממנה והשליכו לים או לנהר. לאחר זמן אמר לה נייר חלק היה ושטר פרוע היה לא הכל ממנו לפוסלה. ר' בון בר חייה בעא קומי ר' זעירא הוא אינו פוסלה מי פוסלה. אמר ליה מכיון שהוחזקה גרושה בפני שנים לא הכל ממנו לפוסלה. נתן לה גיטה אשכחוניה גט בפסול כפוניה ויהב לה חורין. אתא עובדא קומי רבנין ואכשרון. ולא כן איתמר לא הכל ממנו לפוסלה. תמן לא הוכח פסול הכא הוכח פסול. כהדא חיננא בריה דרבי אסי הוה מיסן. וזרק גיטא לאיתתיה. אמר לה הרי גיטיך. צווחת ועלון מגירתא חטפיה מינה ויהב לה נייר חלק. אתא עובדא קומי רבנין וחשון. ולא כן א""ר ייסא בשם ר' יוחנן נבדק השם ונמצא מפי נשים ומפי קטנים בטל השם. תמן לא הוזכר השם. ברם הכא הוזכר שם הגט. ואית דבעי מימר אם אמר גט כשר היה וכיון דצווחת ועלון מגירתה חטפיה מינה ויהב לה נייר חלק.","R. Aba au nom de Rav, ou R. Zeira dit au nom d’Aba b. Hana: lorsque deux hommes apportent l’acte de divorce, il est inutile qu’ils déclarent l’avoir vu libeller et sceller; R. Yossé b. Yossé dit au nom de R. Yohanan que c’est exigible (selon la prescription de la Mishna, sans distinguer entre un envoyé et deux). Lorsque le mari lui-même apporte l’acte de divorce, il n’est pas nécessaire de le remettre devant 2 témoins; car la présence de 2 témoins est seulement exigible pour maintenir la présomption de répudiation, en cas de contestation par le mari (ce qui n’a pas lieu au présent cas). Si, après avoir donné le divorce à sa femme, le mari le lu reprend, et le jette à la mer, ou dans un fleuve, puis au bout d’un certain temps il lui déclare que c’était un papier blanc, ou un contrat acquitté, il ne dépend pas du mari de rendre ainsi cette femme impropre à se marier (le divorce existe). R. Aboun b. Hiya demanda devant R. Zeira: quel autre que le mari pourrait la rendre impropre (sachant seul ce que l’acte contenait)? Il s’agit du cas, répondit R. Zeira, où le mari a remis l’acte comme un divorce devant 2 témoins, de sorte que la femme est présumée être régulièrement répudiée devant 2 témoins; en ce cas, on ne croit plus la déclaration contraire, tendant à rendre la femme impropre. Un jour, après la remise du divorce, on découvrit que cet acte était irrégulier, et le mari fut contraint d’en remettre un autre à la femme. On consulta à ce sujet les rabbins, et ils déclarèrent que l’acte (quoiqu’obtenu par contrainte) est valable. -Mais alors, fut-il répliqué, pourquoi est-il dit auparavant qu’au cas où le mari veut revenir sur le divorce (en contestant le contenu), il n’est pas recevable à rendre la femme impropre? Pourquoi en ce cas aussi ne pas contraindre le mari à remettre un nouveau divorce? -C’est que plus haut l’irrégularité n’est pas démontrée (et vu la présomption de divorce, le mari n’est plus cru dans sa prétention de l’affirmer); tandis qu’ici l’irrégularité est évidente par l’acte même; aussi le mari est tenu de le renouveler. Ainsi, Hinena, fils de R. Assé, était médecin; il jeta l’acte de divorce à sa femme en lui disant: “Voici ton divorce”. Elle se mit alors à crier, et tandis que les voisines accouraient, le mari reprit l’acte, et lui remit un papier blanc. Le fait fut soumis à l’appréciation des rabbins (pour savoir quel est l’état légal de la femme) et ils déclarèrent qu’il y avait à craindre l’interdit de cette femme pour son mari (en raison du premier divorce remis <sup>10</sup><i class=""footnote"">Donc, la question de présomption du divorce l'emporte</i>. -Mais R. Yassa n’a-t-il pas dit au nom de R. Yohanan <sup>11</sup><i class=""footnote"">Ci-après, (9, 10) ( 50d)</i> que si le bruit se répand en ville qu’une telle femme est répudiée, elle sera considérée comme telle; si ensuite on se met à examiner de qui émane cette nouvelle, et il se trouve qu’elle a été répandue par des femmes ou des enfants, elle est sans valeur? (Pourquoi donc, ici, y a-t-il plutôt à craindre l’interdit, dont la source émane d’une femme)? -C’est que, dans la Mishna invoquée, on ne cite pas formellement le terme “divorce” (et il est formellement question de répudiation vaguement); tandis qu’ici ce nom a été seulement énoncé (en disant: “voici ton divorce”). Selon d’autres, pour maintenir la validité de la remise première, il faut avoir dit d’abord que l’acte est ainsi valable; et lorsqu’à la suite du cri de la femme les voisines sont accourues, puis le mari a repris l’acte contre du papier blanc, le divorce a pourtant été maintenu.",,
Jerusalem Talmud Gittin 1:1:8,"ר' ירמיה בעי כתבו בא""י וחתמו בח""ל והלך ליתנו לה בח""ל ולא מצאה בח""ל ובא ומצאה בא""י. צריך שיאמר לה בפני נכתב ובפני נחתם מפני שכתבו בארץ וחתמו בח""ל. אבל נכתב בא""י ונחתם בא""י והלך ליתנו לה בח""ל. ולא מצאה ובא ומצאה בא""י אינו צריך שיאמר בפני נכתב ובפני נחתם. נתן לה את גיטה ואחר כך אמרה תזכה לי חצירי שבעכו. אמר רבי חיננא נעשית כמי שהיתה ידה ארוכה. אילו מי שהיתה ידה ארוכה והושיטה את ידה ונטלתו שמא אינו צ""ל בפני נכתב ונחתם. א""ר אבא מאן אמר דלא.","R. Jérémie demanda: si l’acte de divorce a été écrit en Palestine et signé au dehors, puis le mari étant allé hors de la Palestine pour remettre l’acte de divorce à sa femme ne la trouve pas là, mais la trouve en Palestine, le formulaire prescrit au dehors est-il nécessaire ici? -Oui, il devra attester que l’acte est libellé et signé devant lui, en raison de la scission des opérations, d’avoir été écrit en Palestine et signé au dehors; ladite formalité est seulement inutile si l’acte a été aussi bien écrit que signé en Palestine, et le mari, après avoir quitté la Palestine pour remettre l’acte à sa femme au dehors ne l’y trouve pas, mais la trouve en Palestine même. Si, après avoir reçu l’acte de son mari, la femme dit que la cour de sa maison <sup>12</sup><i class=""footnote"">La cour qui appartient à quelqu'un sert, d'elle-même, à confirmer l'acquisition d'un objet par le séjour qu'il y fait V. B, Baba Metsia106</i> sise à Acco devra constituer la réception pour elle, selon R. Hanina, on suppose la femme avoir le bras assez long pour atteindre la cour de loin (sans s’y trouver en personne, et le divorce est accompli). Mais si elle avait en réalité le bras assez long pour qu’en étendant la main elle puisse prendre cet acte, le messager ne serait-il pas tenu cependant de déclarer avoir vu libeller et sceller l’acte devant lui? -Qui dit le contraire, répliqua R. Aba? (Certes, c’est indispensable; la femme est seulement dispensée de se trouver dans la cour).",,
Jerusalem Talmud Gittin 1:1:9,"ר' עזרא בעי קומי ר' מנא איש ואשה שהיו תפושין בגט היא אומרת זכיתי. והוא אמר לא זכיתה. תפלוגתא דרבי ודרשב""ג דאיתפלגון המלוה והלוה שהיו תפושין בשטר המלוה אומר שלי הוא שאבד ממני. והלוה אומר שלי הוא שפרעתיו לך יתקיים השטר בחותמיו דברי רבי. רשב""ג אומר יחלוקו. א""ר לעזר הכל הולך אחר התפוש בעדים. מה פליגין כשכתבו לאורך ושניהן תפושין בעדים. א""ל דברי הכל היא. הכא אפי' כולו בידו וחוט אחד בידה אינו גט דכתיב (דברים כד) ונתן בידה. עד שיהא כולו בידה.","R. Zeira demanda devant R. Mena: si un homme et sa femme tiennent chacun de leur côté un bout de l’acte de divorce, elle prétend l’avoir acquis (et être libérée), tandis que le mari prétend le contraire (ne l’ayant pas lâché), qui l’emporte légalement? -C’est une question conforme à la discussion entre Rabbi et R. Simon b. Gamliel; or, ils sont en litige à ce sujet <sup>13</sup><i class=""footnote"">J, ibid, 1, 1 ( 7d)</i>: si le créancier et le débiteur tiennent simultanément le contrat de dette, le premier déclare que cet acte est à lui, l’ayant perdu, tandis que le second déclare aussi que l’acte est à lui, l’ayant reçu après le paiement, l’acte sera maintenu dans les termes de la signature (il reste en l’état); tel est l’avis de Rabbi; selon l’avis de R. Simon b. Gamliel, on partagera en deux l’objet du différend. R. Eléazar dit: en cas de prise de l’acte de telle sorte que l’un le tient à l’emplacement où les témoins ont signé, et l’autre tient le reste de l’acte, il est admis d’un commun accord que le détenteur de la part de l’acte portant la signature des témoins sera le vrai propriétaire; il n’y a de discussion que lorsque les 2 signatures des témoins sont écrites en long (au lieu d’être l’une sous l’autre), de façon que chacun détient une de ces signatures en main (il en est de même ici pour l’acte de divorce que détiennent ensemble le mari et la femme, alors, selon R. Simon b. Gamliel, on partagera en deux la somme en litige, tandis que, selon Rabbi, la femme est tenue de prouver la remise de l’acte, non effectuée encore). -Non, dit R. Mena, l’analogie n’est pas complète, et l’exemple précité du contrat de dette n’est pas comparable; car l’acte de divorce, pour avoir son effet légal, devra se trouver complètement remis aux mains de la femme, sans qu’il reste une parcelle aux mains du mari, selon les termes de la Bible (Dt 24, 3): il lui remettra dans sa main, entièrement.",,
Jerusalem Talmud Gittin 1:1:10,"מתיב רבי לעזר לרבנן כמא דאית לכון המביא גט ממדינה למדינה במדינת הים צריך שיאמר בפני נכתב ובפני נחתם. אף אנא אית לי המביא ממדינה למדינה בא""י צריך שיאמר בפני נכתב ובפני נחתם. א""ר יעקב בר זבדי מעשה בא' שהביא את הגט מלמינה של קיסרין אתא עובדא קומי ר' אבהו א""ל אין צ""ל בפני נכתב ובפני נחתם. ואין למינה של קיסרין כקיסרין. אמר ר' אבין ספינה מפרשת היתה. ותני כן המביא גט מן הספינה כמביא מח""ל וצריך שיאמר בפני נכתב ובפני נחתם.","R. Eléazar objecta aux rabbins (au sujet de ce qu’ils disent sur l’apport “du village des Lydiens à Lod”): puisque vous êtes d’avis que le messager d’un acte de divorce l’apportant d’une province à l’autre, en traversant à cet effet la mer, devra formuler que l’acte a été écrit et signé devant lui, j’admets que la même formule est exigible pour le transport de cet acte d’une province à l’autre, en Palestine même. R. Jacob b. Zabdi a raconté que quelqu’un apporta un acte de divorce du port, limhn , de Césarée. On consulta à ce sujet R. Abahou, pour savoir s’il était indispensable de dire la formule en question, d’avoir vu libeller et signer l’acte devant lui? -Certes, répondit-il, c’est indispensable. -Mais le port de Césarée n’est-il pas considéré comme la ville elle-même? (Pourquoi donc, pour cet emplacement palestinien, exiger ladite formule)? -C’est que, répond R. Abin, il s’agit d’un vaisseau passager (voilà pourquoi, malgré la présence du bâtiment en Palestine, ladite attestation est exigible). En effet, on a enseigné: Apporter un acte de divorce d’un navire ressemble à l’apport du dehors, et il faut que le messager atteste l’avoir vu libeller et signer.",,
