Index_Title,Jerusalem_Talmud_Mechon_Mamre,Schwab_fr,id_paragraphe,missing_footnotes
Jerusalem Talmud Nazir 1:1:1,"כל כינוי נזירות כנזירות האומר אהא ה""ז נזיר או אהא נאוה נזיר נזיק נזיח פזיח ה""ז נזיר הריני כזה הריני מסלסל הרי אני מכלכל הרי עלי לשלח פרע הרי זה נזיר הרי עלי צפרים ר' מאיר אומר נזיר וחכמים אומרים אינו נזיר:","Toutes les dénominations du Naziréat ont la même valeur (juridiquement) que l’expression même de Naziréat (pour l’abstinence obligatoire). Ainsi, (lorsqu’à la vue d’un passant Nazir), on s’écrie “je veux être <sup>1</sup><i class=""footnote"">Sous-entendu : semblable à lui.</i>”, on sera désormais Nazir. Il en est de même de celui qui dit <sup>2</sup><i class=""footnote"">En se saisissant les cheveux.</i>: “je veux être beau”, ou s’il emploie les mots Naziq, Nazih, ou Pazih <sup>3</sup><i class=""footnote"">Ce sont 3 corruptions du mot Nazir.</i>. Celui qui dit: “je veux être comme un tel” (par allusion à un Nazir), ou “je veux les boucler” (mes cheveux), ou “je veux les entretenir”, ou: “je m’engage à laisser croître mes boucles <sup>4</sup><i class=""footnote"">Imitation d'une expression d'(Ez 44, 20).</i>” (ce qui est une allusion formelle au maintien des cheveux), sera Nazir. Celui qui dit: “je m’engage à offrir des oiseaux <sup>5</sup><i class=""footnote"">Si pendant l'époque consacrée le Nazir devient impur, il est tenu d'offrir une paire d'oiseaux au Temple. V. (Nb 6, 10).</i>”, selon R. Meir, sera aussi Nazir; selon les autres sages, il ne le sera pas.",1436,
Jerusalem Talmud Nazir 1:1:2,"כתיב (במדבר ל) איש כי ידור נדר מה תלמוד לומר נדר אלא מיכן שכינויי נדרים כנדרים (שם) או השבע מה תלמוד לומר שבועה אלא מיכן שכינוי שבועה כשבועה גר""ש ראש""ה דנדרי""ם קדמית""א ע""ד דמט""י אשכח תני ר' ישמעאל נדר נזיר להזיר מיכן שאדם קובע עליו נזירות בתוך ימי נזירותו","Comme il est écrit (Nb 30, 3): Si un homme s’engage par vœu, on déduit du terme final explétif que les diverses appellations des vœux équivalent aux vœux mêmes <sup>6</sup><i class=""footnote"">Cf. J., (Nedarim 1, 1) .</i>. Puis (ibid.): ou s’il a juré; là aussi le mot superflu par serment indique l’extension des appellations diverses d’interdit par serment à l’instar des serments eux-mêmes. – GARASS Rosha DI-NIDARIM etc. (le commencement du premier traité Nedarim se trouve reproduit ici textuellement jusqu’aux mots suivants <sup>7</sup><i class=""footnote"">C'est un des rares exemples où le rédacteur définitif du texte talmudique ne reproduit pas le passage que l'on retrouve ailleurs in-extenso : très intéressant pour l'histoire de cette rédaction.</i>. On a trouvé un enseignement où R. Ismaël interprète ce verset (Nb 6, 2) le vœu d’être naziréen, de s’abstenir, pour indiquer qu’un homme peut assumer un second naziréat pendant qu’il accomplit le premier.",1436,
Jerusalem Talmud Nazir 1:1:3,תני כל כינויי נזירות כנזירות ולוקין עליהן אף על גב דרבי יוחנן אמר אין לוקין על האיסרות מודה הוא הכא שהוא לוקה אף על גב דרבי שמעון אמר אינו מביא קרבן מודה הוא הכא שהוא לוקה אף על גב דר' יודה אמר ספק נזירות מותר מודה הוא הכא שהוא לוקה מה נן קיימין אם במתכוין ליזור אפילו אמר שאזכיר פת אהא נזיר נזיר אם בשאינו מתכוין ליזור אף על גב שהוציא נזירות מפיו לא יהא נזיר כך אם היה קורא בתורה והזכיר נזיר נזיק אלא כי נן קיימין באומר אחד מכל הלשונות הללו נזרי אם תופש אחד מהן נזירות תחול עליו נזירות ואם לאו לא תחול עליו נזירות אמר לו שמור ושמעת.,"On a enseigné aussi: toutes les appellations diverses du Naziréat équivalent au Naziréat même, et en cas de transgression d’un tel engagement, on est passible de la pénalité des coups de lanière. Malgré l’avis de R. Yohanan <sup>8</sup><i class=""footnote"">Ibid. (ib., p. 161).</i> disant que l’on n’est pas sujet à cette pénalité en cas d’infraction d’un interdit de jouissance, il reconnaît qu’ici la pénalité serait applicable. Bien que R. Simon dise d’autre part <sup>9</sup><i class=""footnote"">Ci-après, (2, 4).</i> que l’on est dispensé d’offrir un sacrifice (à l’opposition de son interlocuteur, qui interdit “de déclarer bien savoir que le vœu de naziréat existe, mais ignorer qu’il est défendu au Nazir de boire du vin”), il reconnaît toutefois ici que l’appellation de naziréat entraîne du moins la pénalité des coups de lanière. Enfin, quoique R. Juda, dise (en cas de rencontre de plusieurs individus <sup>10</sup><i class=""footnote"">Ibid., (5, 4)  fin.</i>, qui se supposent réciproquement engagés par Naziréat) que le doute au sujet du naziréat laisse l’individu libre, il reconnaît ici (pour les diverses appellations) qu’il y a lieu du moins d’appliquer la pénalité des coups en cas d’infraction du vœu ainsi conclu. A quel cas est applicable la diversité de “dénominations” en question dans la Mishna? Si l’individu avait l’intention de s’engager par vœu de Naziréat, il se trouvera engagé même en disant p. ex.: “que je sois nazir en mentionnant seulement pain”? Si au contraire il n’avait pas l’intention de contracter un engagement (et la “dénomination” est une simple parole qu’il a laissé échapper), même en énonçant le terme nazir (sans intention), il ne devrait pas se trouver engagé de cette façon, pas plus qu’on ne serait engagé lorsqu’en lisant le passage de la Bible relatif à ce sujet, on prononce soit le mot Nazir, soit Nazih (par corruption)? Il faut donc supposer qu’au moment d’énoncer l’une des dénominations douteuses, l’individu a pensé être conditionnellement engagé au Naziréat, si le terme en question comporte bien un tel engagement. Observe bien, lui fut-il dit, que ces termes servent d’engagement, et tu obéiras aux conséquences.",,
Jerusalem Talmud Nazir 1:1:4,אהא שמעון בר בא בשם ר' יוחנן בשראה נזירין עוברין ואמר נווה מהו וזה מלעיג עליהון אן אהא כמותן ר' יוסי בי ר' בון בשם שמואל הלואי אהא כמותן,"Quant à l’expression “je veux être” (ou: que je sois...), selon Simon b. Aba au nom de R. Yohanan, comme elle implique l’engagement de Naziréat pour celui qui voit passer des Naziréens devant lui (et elle comporte manifestement cette intention), que signifie son expression: “que je sois beau”? Est-ce une manière de railler ces passants, ou celui qui le dit veut-il leur ressembler? Cela signifie, dit R. Yossé b. Aboun, au nom de Samuel, que cet homme souhaite être comme eux.",,
Jerusalem Talmud Nazir 1:1:5,או אהא נווה נזיר מה אנן קיימין אם כשאמר נוה הדא היא קדמייתא אם בתפוס בשערו והתנינן הריני כזה ומדרבי יוסי בר' חנינא אם בתפוס בשערו והוא אמר הריני כזה אלא כי נן קיימין באומר אין נאה כזה.,"S’il a dit “je veux être beau” (comme eux), il sera Nazir (est-il dit dans la Mishna). De quel cas s’agit-il là? Il ne saurait s’agir de quelqu’un qui a poussé l’exclamation “beau”, car on sait déjà qu’il en est de même qu’au commencement (il sera Nazir)? Et il ne s’agit pas non plus de quelqu’un qui à ce moment se prend les cheveux (afin d’indiquer que, malgré l’absence d’un Nazir passant, l’engagement a lieu), puisqu’aux termes de la Mishna il suffit pour être nazir d’avoir dit: “je veux être comme un tel” (par simple allusion), car il résulte de l’avis de R. Yossé b. Hanina qu’en se prenant les cheveux, cela équivaut à l’expression: “je veux être comme un tel” (sans que les deux conditions aient besoin d’être jointes)? C’est que (tout en supposant la présence d’un nazir passant) l’homme s’est écrié: “rien de beau comme lui” (on nous apprend que cette expression a le sens élogieux, qui implique l'engagement).",,
Jerusalem Talmud Nazir 1:1:6,"נזיק נזיח פזיק א""ר יוחנן לשונות שביררו להן ראשונים אין רשות לבירייה להוסיף עליהן והא תני ר' חייה רזיח הזיח א""ר שילא לשונות שביררו להן משניות אין רשות לבירייה להוסיף עליהן והתני בר קפרא חרס לא חספא אמר ר' זעירא לשון גבוה הוא (איוב ט) האומר לחרס ולא יזרח וגו' אמר ר' שמעון בן לקיש לשון אומות העולם הוא אמר רבי זעירא לשון גיוותי הוא דאינון קריי לחספא כספא אמר ר' יוסי נראין דברים במקומות אחרים אבל במקום שקוראין לנזיר נזיק אנו אומרים נזיר פסילים אינו נזיר","Pour les mots (corrompus) Nazik, Nazih, Paziq, R. Yohanan dit: aux termes choisis par les anciens, il n’est permis par aucun contemporain d’ajouter de nouvelles expressions d’énonciations. -Mais R. Hiya n’a-t-il pas enseigné de considérer de même les mots Raziah, ou Haziah (quoique non énumérés dans la Mishna)? -On veut dire seulement, répond R. Shila, qu’il est défendu à tout contemporain (docteur de ce siècle) d’ajouter aux expressions de la Mishna (y compris celles de la Tossefta, ou de R. Hiya). Bar-Qapara a enseigné que l’appellation Heress (au lieu de Herem) a le sens d’anathème <sup>11</sup><i class=""footnote"">V. J., (Nedarim 1, 2) .</i>, bien que ce mot ait le sens habituel de tesson (n’en résulte-t-il pas qu’on applique au terme sa signification la plus grave, impliquant l’obligation de sacrifice)? C’est que, dit R. Zeira, ce mot peut avoir parfois le sens de Très-Haut, comme dans ce verset (Jb 9, 7) Il commande, Heress, au soleil, qui ne se lève pas. R. Simon b. Lakish dit: les termes en question sont des expressions populaires (erronées), comme il arrive à des Nabathéens d’appeler le Haspa (tesson) Kaspa (argent). – R. Yossé dit: l’avis de la Mishna (d’attacher de la valeur aux appellations corrompues du mot Nazir) est nécessaire pour les localités où ce n’est pas l’usage de s’exprimer ainsi; mais dans les localités où c’est l’habitude, cela va sans dire, qu’il est évident qu’une appellation défectueuse du Naziréat n’en empêche pas la réalisation",,
Jerusalem Talmud Nazir 1:1:7,"תני ב""ש אומרים בין כינויים בין כינויי כינויים אסורין ובית הלל אומרים כינויין אסורין כינויי כינויין מותרין היי דן אינון כינויי כינויין אמר ר' בא בר זבדא מנזקא מנזיקנא מפחזנא א""ר יוסה אין אילו כינויי כינויין כינויין ממש אינון אילו האומר מנדרנא שמא אינו נזיר אילו מנזירנא כאומר מפחזנא אילין אינון כינויי כינויין על דעתיה דרבי יוסי הדא היא דתנינן הרי עלי ציפורין רבי מאיר אומר נזיר וחכמים אומרים אינו נזיר אמר ר' יוחנן משום כינויי כינויין (דנייאל ד) עד די שעריה כנישרין רבא וטיפרוהי כציפורין.",". On a enseigné <sup>12</sup><i class=""footnote"">Tossefta à ce traité, ch. 1 : commencement.</i>: l’école de Shammaï dit que, soit les dénominations diverses du Naziréat, soit les dénominations des énonciations (celles qui en dérivent), lient (engagent) celui qui les a énoncées; selon l’école de Hillel, on est seulement lié par l’énoncé des énonciations directes, non par celles qui en dérivent. Qu’est-ce que l’on entend par ces dernières? Ce sont, dit R. Aba b. Zabda, les termes (composés de corrompus) Menazqa, Manziqua, Mapahzena. Ce ne sont pas là des dérivations, dit R. Yossa, mais de vraies dénominations (quoique corrompues); car, on est tout aussi bien engagé au naziréat en employant le terme Mandarna, qu’un des termes énoncés dans la Mishna, soit que l’on dise Manzirna, soit que l’on dise Mepahzina. Seulement, voici ce que l’on entend par dérivés de dénomination (et constitue le sujet du différend entre Shammaï et Hillel). C’est, selon l’avis de R. Yossé, conforme à l’enseignement suivant (final) de la Mishna, disant: “Celui qui s’engage à offrir des oiseaux sera Nazir, selon R. Meir; mais selon les autres sages, il ne le sera pas”. Or, R. Yohanan explique qu’en ce cas R. Meir déclare l’engagement formel, à titre de dérivation, en se fondant sur la juxtaposition biblique des mots “cheveux” et “oiseaux” de (Dn 4, 30) … jusqu’à ce que ses cheveux crûrent comme les (ailes des) aigles, et ses ongles comme les (serres des) oiseaux.",,
Jerusalem Talmud Nazir 1:1:8,הריני כזה. אמר ר' יוסי בר חנינה בתפוש בשערו והוא אמר הריני כזה הריני מסלסל הריני מכלכל כאומר הריני מן המסלסלין מן המכלכלין הריני מסלסל ומכלכל כאומר לא אסלסל ולא אכלכל פחות משלשים אלא שלשים הרי עלי שלא אסלסל שלא אכלכל כאומר לא אסלסל ולא אכלכל יותר על שלשים אלא שלשים הרי עלי לשלח פרע הרי אני מסלסל מכלכל הרי עלי שלא אסלסל ושלא אכלכל הרי עלי לשלח פרע,"Celui qui déclare vouloir être comme un tel, etc.” (est-il dit dans la Mishna). R. Yossé b. Hanina dit: C’est en se prenant les cheveux que l’individu se sera écrié: “je veux être comme un tel” (on sait ainsi quel est le sens d’engagement visé par cette expression). “S’il dit vouloir boucler (ses cheveux), ou les entretenir (les laisser croître)”, c’est comme s’il disait: “Je veux être du nombre de ceux qui bouclent leurs cheveux, ou de ceux qui les entretiennent “ (c’est l’équivalent de l’engagement au Naziréat). Ou encore, la déclaration de “les boucler et entretenir” équivaut à l’énoncé “de ne pas les boucler et entretenir moins de 30 jours”, mais bien 30 jours (le mois complet, usuel en ce cas); et de même l’expression: “je prends sur moi de ne pas les boucler, ni les entretenir” équivaut à celle-ci: “je ne les bouclerai et les entretiendrai pas moins de 30 jours, mais bien 30 jours complets”. En disant: “je m’engage à laisser croître mes boucles”, la Mishna suppose que l’on a ajouté (ou sous-entendu): “je veux les boucler et les entretenir”. De même encore, en disant: “Je prends sur moi de ne boucler ni entretenir mes cheveux (au-delà d’un mois)”, cela équivaut à l’engagement de “laisser croître ses boucles”.",,
Jerusalem Talmud Nazir 1:1:9,"הרי עלי ציפורין ר' מאיר אומר נזיר וחכמים אומרים אינו נזיר א""ר יוחנן משום כינויי כינויין עד די שעריה כנישרין רבא וטיפרוהי כציפורין רשב""ל אמר משום נזיר טמא מביא עוף וכי ציפורין הוא מביא תורין ובני יונה הוא מביא אית תניי תני כל עוף טהור קרוי ציפורין ואית תניי תני כל עוף בין טמא בין טהור קרוי ציפורין מן דמר כל עוף טהור קרוי ציפורין (דברים יד) כל צפור טהורה תאכלו ומן דמר כל עוף בין טמא בין טהור קרוי ציפורין (יחזקאל לט) אמור לצפור כל כנף מה טעמא דרבנין נעשה כמתנדב ציפורין לבדק הבית מ""ט דר""מ נעשה כמתנדב אשם לבדק הבית מה נפק מביניהון אמר הרי עלי אשם על דעתיה דר' מאיר מאחר שאינן מתנדבין אשם לבדק הבית נזיר על דעתין דרבנין מאחר שנזיר טמא מביא אשם אינו נזיר:","– Enfin, “celui qui s’engage à offrir des oiseaux, selon R. Meir, sera aussi Nazir; selon les autres sages, il ne le sera pas”. R. Yohanan <sup>13</sup><i class=""footnote"">""Ce n'est pas une répétition superflue d'un passage précédent, comme on pourrait le supposer au premier abord ; cette argumentation est reproduite ici à nouveau, en raison de la suite, ou l'avis d'autres docteurs.""</i> explique (comme ci-dessus) qu’en ce cas R. Meir déclare l’engagement formel, à titre de dérivation d’une dénomination de Nazir; il se fonde sur la juxtaposition biblique des mots “cheveux” et “oiseaux” (du verset de Daniel): jusqu’à ce que ses cheveux crûrent comme les (ailes des) aigles et ses ongles comme les (serres des) oiseaux. Selon R. Simon b. Levi, ce sacrifice est dû, parce qu’un naziréen devenu impur est tenu d’offrir un oiseau. -Mais est-ce un oiseau qu’il doit offrir, et non plutôt deux tourterelles, ou deux jeunes colombes (Nb 6, 10)? Selon un enseignement, les volatiles purs sont seuls appelés “oiseaux” (et c’est à eux que l’auteur du vœu faisait allusion); selon un autre enseignement, tout oiseau, soit impur, soit pur, est dénommé comme tel(et, par suite, le vœu d’offrir un “oiseau” n’implique pas le naziréat). La première opinion a pour base ce verset (Dt 14, 11): Vous pourrez manger tout “oiseau pur”; la seconde opinion a pour base le verset suivant (Ez 39, 17): Dis à l’oiseau, à tout objet ailé (même impur). Pourquoi, selon les autres sages, l’homme qui s’est exprimé ainsi, n’est-il pas Nazir? C’est que l’on peut supposer, de la part de cet homme, l’offrande volontaire des oiseaux pour contribuer aux besoins du culte. Pourquoi R. Meir ne craint-il pas l’hypothèse de l’émission d’un tel vœu (qui astreigne l’homme à être Nazir)? Ce serait supposer l’offrande volontaire d’un sacrifice de péché pour le culte (hypothèse inadmissible; il s’agit donc du Naziréat). Par conséquent, entre ces deux opinions diverses il y a une divergence pratique au cas où quelqu’un aurait dit: “je prends sur moi d’offrir un sacrifice de péché”: Puisque, selon R. Meir, il n’est pas admissible que l’on offre volontairement un sacrifice de péché pour les besoins du culte, le vœu précité impliquera le Naziréat; selon les autres sages, au contraire, il peut arriver à un nazir devenu impur d’être soumis au sacrifice de péché, et par conséquent le vœu précité n’implique pas le Naziréat.",,
Jerusalem Talmud Nazir 1:2:1,הריני נזיר מן החרצנים ומן הזגין ומן התגלחת ומן הטומאה הרי זה נזיר וכל דיקדוקי נזירות עליו הריני כשמשון בן מנוח כבעל דלילה כמי שעקר דלתות עזה כמי שניקרו פלשתים את עיניו הרי זה נזיר שמשון מה בין נזיר עולם לנזיר שמשון נזיר עולם הכביד את שערו מיקל בתער ומביא שלש בהמות ואם ניטמא מביא קרבן טומאה נזיר שמשון הכביד את שערו אינו מיקל ואם ניטמא אינו מביא קרבן טומאה:,"Celui qui dit: “je déclare vouloir m’abstenir des pépins, des peaux de raisins, de me faire couper les cheveux, de toute impureté <sup>14</sup><i class=""footnote"">Cf. ci-après, (6, 2).</i>”, sera considéré comme Nazir en tout, et tenu comme tel d’observer les formalités du Naziréat. Mais s’il dit: “je veux être comme Samson...ou le fils de Manoah... le mari de Dalila.... comme celui qui a arraché les portes de Gaza....ou: à qui les Philistins ont crevé les yeux....”, ce sera un naziréat à la façon de Samson (incomplet). Voici quelle différence il y a entre le Naziréat perpétuel et celui de Samson <sup>15</sup><i class=""footnote"">V. Midrash Rabba sur Nb ch. 9.</i>: Pour le premier, lorsque la chevelure devient par trop lourde, il est permis de l’alléger (de la tailler un peu) au rasoir, en offrant ensuite trois animaux en sacrifice <sup>16</sup><i class=""footnote"">Un sacrifice de péché, un holocauste, et une offrande de paix (à consommer soi-même).</i>; celui qui en ce cas devient impur doit offrir un sacrifice en expiation de l’impureté. Au contraire, le Nazir comme Samson ne peut jamais alléger sa chevelure, quelque lourde qu’elle soit; mais s’il devient impur, il n’est pas tenu d’offrir d’expiation pour l’impureté.",1437,
