masechet,בבלי,מקבילות,ספ' תנאים,מקרא,תח' ציטוט,מקום בירו'
Yoma,,,,,,
,"יומא ח ע""ב",Unnamed: 0,,,היה קורא,"יומא א, א )לח ע""ג (35,"
0,"יומא ט ע""א","ו""ר תפז; פד""כ טו",,,בראשון שהיו,"יומא א, א )לח ע""ג (37,"
,,,,,,
,,,,,,
,Unnamed: 0,Unnamed: 1,,"ויקרא טז, יז",וכל אדם,"יומא א, ה )לט ע""א (58,"
0,,,,"יחזקאל א, י",ודמות פניהם,"יומא א, ה )לט ע""א (60,"
1,"יומא נג ע""א",,"ספ' פא ע""ב","ויקרא טז, יב",והביא מבית,"יומא א, ה )לט ע""א (61,"
2,,,"ת' יומא א, ח (37:223)",,שהרי הצדוקין,"יומא א, ה )לט ע""א (62,"
3,,,,"ויקרא טז, ב",כי בענן,"יומא א, ה )לט ע""א (63,"
4,,,,"ויקרא טז, יג",ונתן את,"יומא א, ה )לט ע""א (64,"
5,,,,"ויקרא טז, ב",כי בענן,"יומא א, ה )לט ע""ב (1,"
6,,,,"ויקרא טז, יג",וכסה ענן,"יומא א, ה )לט ע""ב (2,"
7,"יומא נג ע""א",,,"ויקרא טז, יג",ולא ימות,"יומא א, ה )לט ע""ב (4,"
8,,,,"ויקרא טז, ב",כי בענן,"יומא א, ה )לט ע""ב (4,"
9,,,,"ויקרא טז, א",אחרי מות,"יומא א, ה )לט ע""ב (6,"
10,,,,"ויקרא טז, ב",כי בענן,"יומא א, ה )לט ע""ב (7,"
11,,,,"ויקרא טז, ב",כי בענן,"יומא א, ה )לט ע""ב (9,"
,,,,,,
,,,,,,
,Unnamed: 0,,"מ' ר""ה א, ט",Unnamed: 1,שעל מהלך,"יומא ד, ו )מא ע""ד (63,"
0,,,,"ויקרא טז, יב",גחלי,"יומא ד, ו )מא ע""ד (64,"
1,,,,"ויקרא טז, יב",אש,"יומא ד, ו )מא ע""ד (64,"
2,"פס' עה ע""ב",,"ספ' פא ע""א","ויקרא טז, יב",גחלי,"יומא ד, ו )מב ע""א (1,"
3,,,,"ויקרא טז, יב",אש,"יומא ד, ו )מב ע""א (1,"
4,,,,"ויקרא טז, יב",גחלי אש,"יומא ד, ו )מב ע""א (3,"
5,"מנ' צה ע""א",,,,רבי יהושע,"יומא ד, ו )מב ע""א (3,"
6,,,,"במדבר ב, יז",כאשר יחנו,"יומא ד, ו )מב ע""א (5,"
7,,,,"במדבר ב, יז",ונסע אוהל,"יומא ד, ו )מב ע""א (6,"
8,"זב' ס ע""ב",,"ת' זב' יג, ג (36:498)",,קדשים נדחין,"יומא ד, ו )מב ע""א (8,"
,,,,,,
,,,,,,
,,,"מ' שבו' ג, א",,שבועה שלא,"יומא ח, ג )מה ע""א (11,"
0,,,"מ' שבו' ג, א",,שבועה שלא,"יומא ח, ג )מה ע""א (12,"
1,,,"מ' שבו' ג, ד",,שבועה שלא,"יומא ח, ג )מה ע""א (15,"
2,,,"מ' יומא ח, ג",,האוכל ושותה,"יומא ח, ג )מה ע""א (20,"
,,,,,,
,,,,,,
Avodah Zarah,,,,,,
,,Unnamed: 0,"הש' ת' ע""ז ג, ג-ד",Unnamed: 1,מיילדת,"ע""ז ב, א )מ ע""ג (56,"
0,,"ע""ז ב, ב )מ ע""ד (5,",,,אם היה,"ע""ז ב, א )מ ע""ג (58,"
1,,,,"ישעיה מט, כג",מלכים,"ע""ז ב, א )מ ע""ג (62,"
2,,"ע""ז ב, א )מ ע""ג (58,",,,אם היה,"ע""ז ב, ב )מ ע""ד (5,"
3,,"שבת יד ע""ד","הש' מ' שבת יד, ד",,החושש,"ע""ז ב, ב )מ ע""ד (12,"
4,,"שבת טז ע""ב",,,רבי יוסי,"ע""ז ב, ב )מ ע""ד (24,"
5,,"שבת יז ע""ב",,,מחט,"ע""ז ב, ב )מ ע""ד (24,"
6,,"איכ""ר 158; ק""ר י, ה )כו",,,בר בריה,"ע""ז ב, ב )מ ע""ד (36,"
7,,"ע""ג(",,,,
8,,"ב""ר 8:861 וש""נ",,,והוות,"ע""ז ב, ב )מ ע""ד (38,"
9,,"הש' מג' עה ע""ג",,,רבי יונה,"ע""ז ב, ב )מ ע""ד (43,"
10,,,"ספ' טו ע""ד",,שבת,"ע""ז ב, ב )מ ע""ד (44,"
11,,,"מ' אה' ז, ו",,יצא רובו,"ע""ז ב, ב )מ ע""ד (56,"
12,,,"ת' ע""ז ח, ה",,גוי בגוי,"ע""ז ב, ב )מ ע""ד (58,"
13,,"סנ' כו ע""ג",,,להציל,"ע""ז ב, ב )מ ע""ד (59,"
14,,"ק""ר א, ח )ד ע""ב(","ת' חו' ב, כב-כג",,מעשה,"ע""ז ב, ב )מ ע""ד (61,"
15,,,,"קהלת י, ח",ופורץ,"ע""ז ב, ב )מא ע""א (2,"
16,,,,"ויקרא יח, ה",אשר יעשה,"ע""ז ב, ב )מא ע""א (3,"
17,,,"ת' ע""ז ג, ו",,המספר,"ע""ז ב, ב )מא ע""א (3,"
18,,,"ת' ע""ז ג, ה",,המסתפר,"ע""ז ב, ב )מא ע""א (5,"
19,,"שבת ז ע""ד",,,שלשה,"ע""ז ב, ב )מא ע""א (6,"
20,,,"הש' ת' שבת ו, א",,מספרין,"ע""ז ב, ב )מא ע""א (7,"
21,,,"הש' ת' סוטה טו, ח",,ושילמדו,"ע""ז ב, ב )מא ע""א (7,"
22,,"גט' מו ע""א","הש' ת' ע""ז ג, ו",,גוי,"ע""ז ב, ב )מא ע""א (11,"
23,,,"ת' ע""ז ג, ז",,מעשה,"ע""ז ב, ב )מא ע""א (12,"
24,,"תר' מה ע""ג",,,רבי יצחק,"ע""ז ב, ג )מא ע""א (15,"
25,,"הש' פד""כ 208",,,קונדיטון,"ע""ז ב, ג )מא ע""א (18,"
26,,,"ת' ע""ז ד, יב",,מבושל,"ע""ז ב, ג )מא ע""א (27,"
27,,,,"יחזקאל כג, לז",כי נאפו,"ע""ז ב, ג )מא ע""א (44,"
28,,"ו""ר קיט",,,מעשה,"ע""ז ב, ג )מא ע""א (46,"
29,,,,"שמות כב, ל",ואנשי,"ע""ז ב, ג )מא ע""א (50,"
