מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,רשימה,הערות
01975,"ב""ק ו, א (ה ע""ב, 24)",במחלוקת,,,"הש' ב""ק ד ע""ג (44)",,,
00670,"ב""ק ב, ב (ב ע""ד, 61)",תרנוגלין,,"ת' ב""ק ב, א (21:347)",,,,
00680,"ב""ק ב, ב (ג ע""א, 2)",תרנוגלין,,"ת' ב""ק ב, א (24:347)",,,,
00690,"ב""ק ב, ב (ג ע""א, 6)",נפח בכלים,,,"שבת ה ע""א",,,
00700,"ב""ק ב, ד (ג ע""א, 20)",מפתח החנות,,"מ' ב""ק ב, ד",,,,
00710,"ב""ק ב, ד (ג ע""א, 24)",לפיכך,,"ת' ב""ק א, ז",,,,
00720,"ב""ק ב, ה (ג ע""א, 32)",ר' יצחק,,,"תר' מד ע""ד; כת' כז ע""ג",,,
00730,"ב""ק ב, ה (ג ע""א, 35)",תשלומין,,,"גט' מז ע""א",,,
00740,"ב""ק ב, ה (ג ע""א, 36)",שורו שהדליק,,"מ' ב""ק ג, י",,,,
00750,"ב""ק ב, ו (ג ע""א, 41)",מתמול שלשום,"שמות כא, לו",,,,,
00760,"ב""ק ב, ו (ג ע""א, 43)",יצא ביום,,,"ב""ק ד ע""ב",,,
00770,"ב""ק ב, ו (ג ע""א, 53)",מתמול שלשום,"שמות כא, לו",,,,,
00780,"ב""ק ג, א (ג ע""ב, 53)",בממלא,,,"ב""ק ג ע""ד",,,
00790,"ב""ק ג, א (ג ע""ב, 60)",שור שעלה,,"ת' ב""ק ג, ו (22:350)",,,,
00800,"ב""ק ג, א (ג ע""ג, 5)",ראה אמת,,"הש' ת' יב' ד, ד (16:11)",,,,
00810,"ב""ק ג, א (ג ע""ג, 12)",שור שדחף,,"ת' ב""ק ו, א (16:354)",,,,
00820,"ב""ק ג, ב (ג ע""ג, 28)",מודין חכמים,,"הש' ת' ב""ק ב, ד (10:348)",,,,
00830,"ב""ק ג, ב (ג ע""ג, 30)",שעל מנת,,"ת' ב""ק י, כז (9:369)",,,,
00840,"ב""ק ג, ג (ג ע""ג, 36)",בור של נזקין,,"ת' ב""ק ו, יד (13:355)",,,,
00850,"ב""ק ג, ג (ג ע""ג, 40)",במפריח,,"הש' ת' ב, ה (16:348)",,,,
00860,"ב""ק ג, ג (ג ע""ג, 41)",כרבי יוסי,,"הש' ת' ב""ק ו, ד (25:354)","ב""ק ה ע""א",,,
00870,"ב""ק ג, ג (ג ע""ג, 45)",נתנו לו,,"מ' ב""מ י, ד",,,,
00880,"ב""ק ג, ג (ג ע""ג, 46)",וכמה הוא,,,"ב""מ יב ע""ג",,,
