מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
00290,"ביצה א, ד (ס ע""ג, 4)",במה דברים,,"ת' ביצה א, ח (27:281)",,,,
00300,"ביצה א, ד (ס ע""ג, 11)",מחלפה שיטתון,,,"ביצה סב ע""ד",,,
00310,"ביצה א, ד (ס ע""ג, 12)",ועוד אמ',,"מ' ביצה ד, ז",,,,
00320,"ביצה א, ד (ס ע""ג, 15)",וחכמים אומרי',,"מ' ביצה ד, ז",,,,
00330,"ביצה א, ה (ס ע""ג, 18)",מתניתא דרבי,,,"מע""ש נה ע""ב","ביצה י ע""ב",,
00340,"ביצה א, ה (ס ע""ג, 19)",האומר לבנו,,"מ' מע""ש ד, יב",,,,
00350,"ביצה א, ה (ס ע""ג, 28)",שמואל אמר,,,"שבת יג ע""ג",,,
00360,"ביצה א, ה (ס ע""ג, 35)",דאמ' ר',,,"שבת טז ע""ב","שבת קכג ע""א",,
00370,"ביצה א, ה (ס ע""ג, 35)",מודין חכמים,,"הש' מ' שבת טז, ב",,,,
00380,"ביצה א, ה (ס ע""ג, 38)",דאמר ר',,,"שבת טו ע""ג",,,
00390,"ביצה א, ה (ס ע""ג, 42)",אבל הוא,,"ת' ביצה א, יא (41:282)",,"ביצה יא ע""א",,
00400,"ביצה א, ו (ס ע""ג, 49)",תני רבי,,,"ב""ר 1241",,,
00410,"ביצה א, ו (ס ע""ג, 51)",דסדרה דבר,,,"הש' שבת ז ע""א (6)",,,
00420,"ביצה א, ו (ס ע""ג, 56)",אין יוצאין,,"ת' ביצה ג, יז (59:297)",,,,
00430,"ביצה א, ו (ס ע""ג, 64)",ולא את,,"הש' ת' ביצה א, יא (43:283)",,,,
00440,"ביצה א, ז (ס ע""ד, 3)",אמר רבי,,"ת' ביצה א, יב (46:283)",,"ביצה יב ע""ב",,
00450,"ביצה א, ח (ס ע""ד, 7)",שיש עליה,,"הש' מ' דמאי ו, א",,,,
00460,"ביצה א, ח (ס ע""ד, 8)",כהדא דתני,,,"פס' ל ע""א",,,
00470,"ביצה א, ח (ס ע""ד, 15)",וכל מלאכה,"שמות יב, טז",,,,,
00480,"ביצה א, י (ס ע""ד, 30)",ר' יונה,,,"שבת י ע""ב",,,
00490,"ביצה א, י (ס ע""ד, 35)",בורר ואוכל,,"ת' שבת טז, ט (20:77)",,,,
00500,"ביצה א, י (ס ע""ד, 43)",בורר כדרכו,,"מ' ביצה א, ח",,,,
00510,"ביצה א, י (ס ע""ד, 44)",דרבן גמליאל,,"מ' ביצה א, ח",,,,
00520,"ביצה א, י (ס ע""ד, 44)",של בית,,"ת' ביצה ב, טז (62:291)",,,,
00530,"ביצה א, י (ס ע""ד, 47)",כל מלאכה,"שמות יב, טז",,,,,
00540,"ביצה א, י (ס ע""ד, 48)",אך אשר,"שמות יב, טז",,,,,
00550,"ביצה א, י (ס ע""ד, 49)",ושמרתם את,"שמות יב, יז",,,,,
00560,"ביצה א, י (ס ע""ד, 50)",אך,"שמות יב, טז",,,,,
00570,"ביצה א, י (ס ע""ד, 50)",הוא,"שמות יב, טז",,,,,
00580,"ביצה א, י (ס ע""ד, 50)",לבדו,"שמות יב, טז",,,,,
00590,"ביצה א, י (ס ע""ד, 55)",בורר כדרכו,,"מ' ביצה א, ח",,,,
00600,"ביצה א, י (ס ע""ד, 56)",אבל נותנין,,"מ' שבת כ, א",,,,
00610,"ביצה א, י (ס ע""ד, 59)",משם ר',,"ת' מג' א, ז (32:345)",,"ביצה כח ע""ב",,
00620,"ביצה א, יא (ס ע""ד, 64)",ואין כל,,,"ביצה ס ע""א (15)",,,
00630,"ביצה א, יא (סא ע""א, 1)",אמרה לו,,,"הש' ב""ר 20; ו""ר תשכו",,,
00640,"ביצה א, יא (סא ע""א, 3)",משלחין חטים,,"ת' ביצה א, כב (82:285)",,,,
00650,"ביצה א, יא (סא ע""א, 4)",לכל נפש,"שמות יב, טז",,"ביצה סב ע""ב (57)",,,
00660,"ביצה א, יא (סא ע""א, 6)",דרבי עקיבה,,"מדרשב""י 20:21",,"ביצה כא ע""ב",,
00670,"ביצה א, יא (סא ע""א, 6)",לכל נפש,"שמות יב, טז",,,,,
00680,"ביצה א, יא (סא ע""א, 7)",לכל נפש,"שמות יב, טז",,,,,
00690,"ביצה א, יב (סא ע""א, 9)",מנעל על,,"מ' כלים כו, ד",,,,
00700,"ביצה א, יב (סא ע""א, 13)",תנה ר',,,"שבת ז ע""ד",,,
00710,"ביצה א, יב (סא ע""א, 14)",מטלטלין את,,"ת' שבת יג, טז (69:62)",,,,
00720,"ביצה א, יב (סא ע""א, 16)",כל שניאותין,,"מ' ביצה א, י",,,,
00730,"ביצה ב, א (סא ע""א, 58)",את אשר,"שמות טז, כג",,,,,
00740,"ביצה ב, א (סא ע""א, 59)",ר' ליעזר,,"מדר""י 168",,"ביצה טו ע""ב",,
00750,"ביצה ב, א (סא ע""א, 61)",את אשר,"שמות טז, כג",,,,,
00760,"ביצה ב, א (סא ע""א, 62)",את אשר,"שמות טז, כג",,,,,
00770,"ביצה ב, א (סא ע""א, 63)","כמ""ד",,"ס""ע ה","דב""ר ג, א (קה ע""א, 13)",,,
00780,"ביצה ב, א (סא ע""ב, 3)",מציעין את,,"מ' שבת טו, ג",,,,
00790,"ביצה ב, א (סא ע""ב, 5)","מתניתא דר""ש",,"הש' מ' חלה א, ח","חלה נח ע""א",,,
00810,"ביצה ב, א (סא ע""ב, 6)",אין עושין,,"ת' ביצה ב, ה (14:287)",,"ביצה יז ע""א",,
00820,"ביצה ב, א (סא ע""ב, 6)",ממלאה היא,,"ת' ביצה ב, ה (15:287)",,"ביצה יז ע""א",,
00830,"ביצה ב, א (סא ע""ב, 7)","ר""ש בן",,"ת' ביצה ב, ה (17:287)",,,,
00840,"ביצה ב, א (סא ע""ב, 10)",דרש רבי,,,"הש' פס' לא ע""א (29)",,,
00850,"ביצה ב, א (סא ע""ב, 14)",ר' יוחנן,,,"ביצה סא ע""ב (29)","הש' ביצה טז ע""ב",,
00860,"ביצה ב, א (סא ע""ב, 14)",הרי שלא,,"ת' ביצה ב, ג (8:286)",,"ביצה יז ע""א",,
00870,"ביצה ב, א (סא ע""ב, 18)",ממלא לו,,"ת' ביצה ב, ג (10:287)",,,,
00010,"ביצה א, א (ס ע""א, 2)",נעשית כמוקצה,,,"הש' ביצה ס ע""ב (63)",,,
00020,"ביצה א, א (ס ע""א, 4)",השוחט את,,"ת' ביצה א, ב (4:279)",,"ביצה ו ע""ב",,
00030,"ביצה א, א (ס ע""א, 10)",כשם שהיא,,"ת' ביצה א, ג (7:279)",,"הש' ביצה ג ע""ב; ביצה ד ע""א",,
00040,"ביצה א, א (ס ע""א, 10)",נתערבה אחת,,"ת' ביצה א, ג (9:280)",,"ביצה ג ע""ב",,
00050,"ביצה א, א (ס ע""א, 14)",אחרים אומרים,,"ת' ביצה א, א (1:279)",,"ביצה ד ע""א",,
00060,"ביצה א, א (ס ע""א, 15)",ואין כל,,,"ביצה ס ע""ד (64)",,,
00070,"ביצה א, א (ס ע""א, 16)",עגל שנולד,,"ת' ביצה א, א (2:279)",,"ביצה ו ע""ב",,
00080,"ביצה א, א (ס ע""א, 30)",ביצת נבילה,,"מ' עד' ה, א",,,,
00090,"ביצה א, א (ס ע""א, 34)",דאמר רבי,,,"ע""ז מא ע""ג","ביצה קטז ע""ב",,
00100,"ביצה א, א (ס ע""א, 46)",נולדה ביום,,"ת' ביצה א, ג (6:279)",,"ביצה ד ע""א",,
00110,"ביצה א, א (ס ע""א, 48)",רבי חנינה,,,"שבי' לח ע""ג",,,
00120,"ביצה א, א (ס ע""א, 49)",בספחי חרדל,,"הש' מ' שבי' ט, א",,,,
00130,"ביצה א, א (ס ע""א, 53)",דאיתפלגון שירי,,,"ער' כא ע""ב; שבי' לח ע""ג",,,
00140,"ביצה א, א (ס ע""ב, 5)",ר' ירמיה,,,"הש' שבת ו ע""ב (38)",,,
00150,"ביצה א, ב (ס ע""ב, 9)",רבי זריקן,,,"פס' לב ע""ב","ביצה ז ע""ב",,
