מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
00090,"ביכ' א, ב (סג ע""ד, 24)",כרבי יודה,,"הש' מ' חלה ד, ט; מ' ביכ' ג, יב",,,,
00250,"ביכ' א, ג (סג ע""ד, 50)",חד אמר,,,,"בר' מא ע""א",,
00470,"ביכ' א, ה (סד ע""א, 38)",עשה,"הש' דברים כג, ט",,,,,
00660,"ביכ' א, ח (סד ע""ב, 16)",פרכירי ענבים,,"הש' ת' תמ' ד, ד (30:555)",,,,
00810,"ביכ' א, יב (סד ע""ב, 48)",אשר בה,,"הש' ס""ד שא",,,,
01390,"ביכ' ב, ב (סד ע""ד, 55)",הקודש,"דברים כו, יג",,,,,
01410,"ביכ' ב, ב (סד ע""ד, 57)",הקודש,"דברים כו, יג",,,,,
01430,"ביכ' ב, ב (סד ע""ד, 59)",הקודש,"דברים כו, יג",,,,,
01770,"ביכ' ב, ט (סה ע""ב, 23)",הרובע והנרבע,,"הש' מ' סנ' א, ד",,,,
02000,"ביכ' ג, ג (סה ע""ג, 52)",אני הוא,,,"הש' ב""ר 505",,,
00770,"ביכ' א, יב (סד ע""ב, 45)",ששה עשר,,,"הש' חלה נט ע""ד (51)","מג' ו ע""א; כת' קיא ע""ב",,
01590,"ביכ' ב, ג (סה ע""א, 46)",שמחה (1),"דברים כו, יא",,,,,
01600,"ביכ' ב, ג (סה ע""א, 46)",שמחה (2),"דברים כז, ז",,,,,
00490,"ביכ' א, ו (סד ע""א, 44)",אמר רבי,,,"חלה נח ע""ג (45); חלה נט ע""ד (5); שבת ט ע""ב; ער' כ ע""א",,,
00010,"ביכ' א, א (סג ע""ג, 55)",אמר רבי,,,"ביכ' סג ע""ג (61)",,,
00050,"ביכ' א, א (סג ע""ג, 61)",דאמר רבי,,,"ביכ' סג ע""ג (55)",,,
00020,"ביכ' א, א (סג ע""ג, 56)",מאי זה,,"מ' ביכ' א, ב",,,,
00030,"ביכ' א, א (סג ע""ג, 56)",ראשית בכורי,"שמות כג, יט",,,,,
00040,"ביכ' א, א (סג ע""ג, 59)",היה חופר,,"מ' ב""ב ב, יב",,,,
00060,"ביכ' א, א (סג ע""ג, 63)",דרבי אמר,,,"ערלה ס ע""ד",,,
00070,"ביכ' א, א (סג ע""ג, 64)",ראשית בכורי,"שמות כג, יט",,,,,
00080,"ביכ' א, א (סג ע""ד, 11)",אין עושין,,"מ' ב""ב ג, ח",,"ב""ב כז ע""ב",,
00100,"ביכ' א, ב (סג ע""ד, 26)",הרי אלו,,"מ' ביכ' ב, ג",,,,
00110,"ביכ' א, ב (סג ע""ד, 29)",האונס והגנב,,"ת' תר' א, ו (19:108)",,,,
00120,"ביכ' א, ב (סג ע""ד, 34)",הרי אילו,,"מ' ביכ' ב, ג",,,,
00130,"ביכ' א, ג (סג ע""ד, 37)",אילו כתיב,,"ס""ד רצז (316)",,,,
00140,"ביכ' א, ג (סג ע""ד, 38)",ולקחת מראשית,"דברים כו, ב",,,,"צ""ל: ראשית",
00150,"ביכ' א, ג (סג ע""ד, 39)",מראשית,"דברים כו, ב",,,,,
00160,"ביכ' א, ג (סג ע""ד, 40)",פרי אדמתך,"דברים כו, ב",,,,"צ""ל: פרי האדמה",
00170,"ביכ' א, ג (סג ע""ד, 40)",ריבה וריבה,,,"הש' חלה נז ע""א (47)",,,
00180,"ביכ' א, ג (סג ע""ד, 41)",ארצך,"דברים כו, ב",,,,,
00190,"ביכ' א, ג (סג ע""ד, 41)",ארץ חיטה,"דברים ח, ח",,,,,
00200,"ביכ' א, ג (סג ע""ד, 43)",זית שמן,"דברים ח, ח","ס""ד רצז (316)",,"בר' לט ע""א",,
00210,"ביכ' א, ג (סג ע""ד, 46)",ודבש,"דברים ח, ח","ס""ד רצז (316)",,,,
00220,"ביכ' א, ג (סג ע""ד, 47)",וכפרץ הדבר,"דה""ב לא, ה",,,,,
00230,"ביכ' א, ג (סג ע""ד, 48)",אלו התמרים,,,"הש' תר' מז ע""ד (10)",,,
00240,"ביכ' א, ג (סג ע""ד, 49)",ארץ ארץ,"דברים ח, ח",,,,,
00260,"ביכ' א, ג (סג ע""ד, 52)",בהרת כגריס,,"מ' נג' ו, א",,,,
00270,"ביכ' א, ג (סג ע""ד, 52)",כעדשה מן,,"מ' אה' יג, ו",,,,
00280,"ביכ' א, ג (סג ע""ד, 56)",אם עבר,,"מ' תר' ב, ו",,,,
00290,"ביכ' א, ג (סג ע""ד, 63)",רבן שמעון,,"ת' ביכ' א, ה (14:287)",,,,
00300,"ביכ' א, ד (סד ע""א, 2)",ובני קיני,,"ת' ביכ' א, ב (6:286)",,,,
00310,"ביכ' א, ד (סד ע""א, 3)",לכה אתנו,"במדבר י, כט",,,,,
00320,"ביכ' א, ד (סד ע""א, 4)",האפיטרופי' והעבד,,"מ' ביכ' א, ה",,,,
00330,"ביכ' א, ד (סד ע""א, 5)",אמור בפרשה,"הש' דברים כו, יא",,,,,
00340,"ביכ' א, ד (סד ע""א, 9)",אם היתה,,"מ' ביכ' א, ד",,,,
00350,"ביכ' א, ד (סד ע""א, 15)",כי אב,"בראשית יז, ה",,,,,
