מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
02660,"ער' ה, א (כב ע""ג, 38)",ומעלה יתירה,,"הש' מ' מדות ב, ו",,,,
02880,"ער' ה, ג (כב ע""ד, 23)",כמאן דאמר,,"הש' מ' סוטה ה, ג",,,,
02890,"ער' ה, ג (כב ע""ד, 23)",כמאן דמר,,"הש' מ' סוטה ה, ג",,,,
00140,"ער' א, א (יח ע""ב, 39)",כרבי יוחנן,,"הש' מ' ער' ד, ב",,,,
00440,"ער' א, ג (יט ע""א, 25)",בשיטת אביו,,"הש' מ' ער' א, א",,,,
00790,"ער' א, ט (יט ע""ג, 39)",רבי יוחנן,,,"הש' ער' יט ע""ג (15)",,,
02110,"ער' ד, ו (כב ע""א, 18)",באמות,,,"הש' תנ""ב במ' ט (8)",,,
02120,"ער' ד, ו (כב ע""א, 18)",בעיבורי עיירות,,"הש' מ' ער' ה, א",,,,
02500,"ער' ה, א (כב ע""ג, 32)",שער סור,"הש' מל""ב יא, ו",,,,,
02510,"ער' ה, א (כב ע""ג, 32)",שער היסוד,"הש' דה""ב כג, ה",,,,,
02520,"ער' ה, א (כב ע""ג, 32)",שער חריסית,"הש' ירמיה יט, ב",,,,,
02530,"ער' ה, א (כב ע""ג, 32)",שער איתון,"הש' יחזקאל מ, טו",,,,,
02540,"ער' ה, א (כב ע""ג, 32)",שער התווך,"הש' ירמיה לט, ג",,,,,
02550,"ער' ה, א (כב ע""ג, 33)",שער חדש,"הש' ירמיה כו, י",,,,,
02560,"ער' ה, א (כב ע""ג, 33)",שער העליון,"הש' דה""ב כג, כ",,,,,
02570,"ער' ה, א (כב ע""ג, 33)",שער סור,"הש' מל""ב יא, ו",,,,,
02590,"ער' ה, א (כב ע""ג, 34)",שער היסוד,"הש' דה""ב כג, ה",,,,,
02600,"ער' ה, א (כב ע""ג, 34)",שער חריסית,"הש' ירמיה יט, ב",,,,,
02620,"ער' ה, א (כב ע""ג, 35)",שער האיתון,"הש' יחזקאל מ, טו",,,,,
02630,"ער' ה, א (כב ע""ג, 36)",שער התווך,"הש' ירמיה לט, ג",,,,,
02640,"ער' ה, א (כב ע""ג, 37)",שער חדש,"הש' ירמיה כו, י",,,,,
02650,"ער' ה, א (כב ע""ג, 37)",שער העליון,"הש' דה""ב כג, כ",,,,,
04250,"ער' ח, ח (כה ע""ב, 14)",רבי יוסי,,"הש' מ' סוכה א, ט",,,,
04260,"ער' ח, ח (כה ע""ב, 20)",דגשרים מפולשין,,"הש' מ' ער' ט, ד",,,,
00010,"ער' א, א (יח ע""ב, 13)",רבי יוסה,,,"סוכה נא ע""ג","ער' ב ע""א",,
04325,"ער' ח, ט (כה ע""ב, 30)",שיערו מקום,,,,"ער' פח ע""א",,
00020,"ער' א, א (יח ע""ב, 14)",מפתחו של,,"הש' מ' מד' ז, א",,,,
00030,"ער' א, א (יח ע""ב, 16)",פתח האולם,,"מ' מד' ג, ז",,,,
00040,"ער' א, א (יח ע""ב, 17)",תני רבי,,,"איכ""ר 45","ער' ב ע""ב",,
00460,"ער' א, ד (יט ע""א, 44)",דתנינן תמן,,,"ער' כ ע""ב (40); ביצה סב ע""ג (16)",,,
00470,"ער' א, ד (יט ע""א, 44)",אי זהו,,"מ' ביצה ד, ב",,,,
00480,"ער' א, ה (יט ע""א, 46)",דרבי יודה,,"מ' ער' א, ד",,,,
00490,"ער' א, ה (יט ע""א, 52)",ויעש את,"מל""א ז, כג",,,,,
00500,"ער' א, ה (יט ע""א, 57)",כתוב אחד,,"ת' כלים ב""מ ה, ב (24:583)",,,עמוד,
00510,"ער' א, ה (יט ע""א, 58)",אלפיים בת,"מל""א ז, כו",,,,,
00520,"ער' א, ה (יט ע""א, 58)",מחזיק בתים,"דה""ב ד, ה",,,,,
00530,"ער' א, ה (יט ע""א, 61)",ארבעים סאה,,"מ' כלים טו, א",,,,
00540,"ער' א, ו (יט ע""א, 64)",עשה לחיים,,"הש' ת' ער' א, ח (23:89)",,,,
00550,"ער' א, ו (יט ע""ב, 2)",אבני הבניין,,"ת' ער' א, ט (24:89)",,,,
00560,"ער' א, ו (יט ע""ב, 3)",קרן זוית,,"ת' ער' א, יא (27:89)",,,,
00570,"ער' א, ו (יט ע""ב, 4)",כותל הנכנס,,"ת' ער' א, י (26:89)",,,,
00580,"ער' א, ו (יט ע""ב, 6)",חצר גדולה,,"מ' ער' ט, ב",,,,
00590,"ער' א, ו (יט ע""ב, 11)",אמר רבי,,,"ער' יח ע""ד (6)",,,
00600,"ער' א, ו (יט ע""ב, 21)",משלשה ועד,,,"הש' ער' כה ע""א (30)",,,
00610,"ער' א, ז (יט ע""ב, 34)",רבי שמעון,,,"סוכה נב ע""ד",,,
00620,"ער' א, ז (יט ע""ב, 36)",מטמא משום,,"מ' ער' א, ז",,,,
00630,"ער' א, ז (יט ע""ב, 37)",רבי יוסה,,"מ' אה' ח, ה",,,,
00640,"ער' א, ז (יט ע""ב, 40)",מה טעמא,,"ת' גט' ב, ד (18:250)","ער' יט ע""ב (48); גט' מד ע""ב (42, 49)",,,
00650,"ער' א, ז (יט ע""ב, 40)",ספר,"דברים כד, א",,,,,
00660,"ער' א, ז (יט ע""ב, 48)",אמר רבי,,"ת' גט' ב, ד (18:250)","ער' יט ע""ב (40); גט' מד ע""ב (42, 49)",,,
00680,"ער' א, ז (יט ע""ב, 50)",וכל משקה,"ויקרא יא, לד",,,,,
00690,"ער' א, ז (יט ע""ב, 51)",מעתה אפילו,,"ספ' נד ע""ד",,,,
00700,"ער' א, ז (יט ע""ב, 52)",כלי,"ויקרא יא, לד",,,,,
00710,"ער' א, ח (יט ע""ב, 54)",בכל עושין,,"ת' ער' ב, א (1:92)",,,,
00720,"ער' א, ח (יט ע""ב, 56)",ובלבד שלא,,,"ער' כא ע""ד (50); ער' כו ע""ב (46)",,,
00730,"ער' א, ח (יט ע""ב, 58)",לעניין כלאים,,"ת' כל' ד, ו (11:218)",,,"וש""נ",
00740,"ער' א, ח (יט ע""ג, 3)",מקיפין בקנה,,"מ' ער' א, י",,,,
00750,"ער' א, ט (יט ע""ג, 8)",תמן את,,,"ער' כד ע""ב",,,
00760,"ער' א, ט (יט ע""ג, 11)",דמר רבי,,,"שבת יג ע""א",,"וש""נ",
00770,"ער' א, ט (יט ע""ג, 12)",רבי שמעון,,,"כל' כט ע""ב; סוכה נב ע""א",,,
00780,"ער' א, ט (יט ע""ג, 19)",מקיפין שלשה,,"מ' ער' א, ט",,,,
00670,"ער' א, ז (יט ע""ב, 49)",ספר,"דברים כד, א",,,,,
00800,"ער' א, י (יט ע""ג, 42)",שיירא שחנת,,"ת' ער' ב, ג (4:92)",,,,
00810,"ער' א, י (יט ע""ג, 49)",היך עבידא,,,"ער' כג ע""ג (35)",,,
00820,"ער' א, י (יט ע""ג, 56)",כשם שחלוקין,,"ת' כל' ד, ז (19:219)",,,,
00830,"ער' א, י (יט ע""ג, 58)",ויבא גדעון,"שופטים ז, יט",,,,,
00840,"ער' א, י (יט ע""ג, 60)",ויבאו נערי,"שמ""א כה, ט",,,,,
00850,"ער' א, י (יט ע""ג, 60)",מהו ויניחו,,,"סנ' כ ע""ב; מד""ש כג (116)",,,
00860,"ער' א, י (יט ע""ג, 60)",ויניחו,"שמ""א כה, ט",,,,"צ""ל: וינוחו",
00870,"ער' א, י (יט ע""ג, 61)",עד למחנה,"דה""א יב, כג",,,,,
00880,"ער' א, י (יט ע""ג, 63)",היוצאים למלחמה,,"ת' ער' ב, ו (21:93)",,,,
00890,"ער' א, י (יט ע""ד, 5)",רבי יוסה,,,"מע""ש נו ע""ד",,"וש""נ",
00900,"ער' א, י (יט ע""ד, 8)",אהלים שבשיירה,,"ת' ער' ב, ה (20:93)",,,,
00910,"ער' א, י (יט ע""ד, 10)",מותר לפנותן,,,"הש' שמ' יד, ד (205)",,,
00920,"ער' א, י (יט ע""ד, 13)",מי ירא,"שופטים ז, ג",,,,,
00930,"ער' ב, א (יט ע""ד, 63)",ממלין מבור,,"מ' ער' י, יד","ער' כו ע""ד (10)",,,
00940,"ער' ב, א (כ ע""א, 1)",מפני מה,,"ת' ער' ח, כב (65:138)",,,,
00950,"ער' ב, א (כ ע""א, 17)",היתה אבן,,"ת' ער' א, יב (30:90)",,"ער' יט ע""ב",,
