מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
01350,"גט' ד, א (מה ע""ג, 10)",בגיטין ביד,,,"גט' מה ע""א",,,
01360,"גט' ד, ב (מה ע""ג, 12)",לית הדא,,,"תר' מב ע""א",,,
01370,"גט' ד, ב (מה ע""ג, 14)",בשם ריש,,,"גט' מה ע""ג (21)",,,
01380,"גט' ד, ב (מה ע""ג, 21)",בשם ריש,,,"גט' מה ע""ג (14)",,,
01390,"גט' ד, ב (מה ע""ג, 23)",אם ביטלו,,"ת' גט' ג, ג (22:255)",,,,
01400,"גט' ד, ב (מה ע""ג, 27)",זתים וענבים,,"מ' תר' א, ד",,,,
01410,"גט' ד, ב (מה ע""ג, 27)",מפני גזל,,,"הש' תר' מ ע""ד (4)",,,
01420,"גט' ד, ב (מה ע""ג, 31)",היו לו,,"ת' גט' ו, ב (19:270)",,,,
01430,"גט' ד, ב (מה ע""ג, 39)",כותבין גט,,"מ' ב""ב י, ג","ב""ב יז ע""ג",,,
01440,"גט' ד, ב (מה ע""ג, 43)",ולא כן,,,"שבי' לט ע""ד",,"וש""נ",
01450,"גט' ד, ב (מה ע""ג, 46)",בראשונה היה,,"מ' גט' ד, ב",,,,
01460,"גט' ד, ב (מה ע""ג, 53)",הבעל נותן,,"מ' ב""ב י, ג",,,,
01480,"גט' ד, ג (מה ע""ג, 56)",לשוא הכיתי,"ירמיה ב, ל",,,,,
01490,"גט' ד, ג (מה ע""ג, 59)",אין לו,,"מ' ערכ' ו, ה",,,,
01500,"גט' ד, ג (מה ע""ג, 62)",אמר רב,,,"שבי' לט ע""ג",,,
01510,"גט' ד, ג (מה ע""ד, 2)",זה דבר,"דברים טו, ב",,,,,
01520,"גט' ד, ג (מה ע""ד, 7)",וזה דבר,"דברים טו, ב",,,,,
01530,"גט' ד, ג (מה ע""ד, 10)",לכל יושביה,"ויקרא כה, י","ספ' קז ע""א",,,,
01540,"גט' ד, ג (מה ע""ד, 12)",יושביה,"ויקרא כה, י",,,,,
01550,"גט' ד, ג (מה ע""ד, 12)",לכל יושביה,"ויקרא כה, י",,,,,
01560,"גט' ד, ד (מה ע""ד, 16)",רבו נותן,,"ת' גט' ג, ד (26:255)",,,,
01570,"גט' ד, ד (מה ע""ד, 19)",שכשם שישראל,,"ת' גט' ג, ד (24:255)",,,,
01580,"גט' ד, ד (מה ע""ד, 22)",רבי סימון,,,"גט' מה ע""ד (46)",,,
01670,"גט' ד, ד (מה ע""ד, 46)",אמר רבי,,,"גט' מה ע""ד (22)",,,
01590,"גט' ד, ד (מה ע""ד, 24)",כלום למדו,,"הש' מדרשב""י 177",,,,
