מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
01270,"קד' א, ב (נט ע""ב, 6)",מניין אתה,,"ספ' קי ע""א",,"קד' כ ע""א; ערכ' ל ע""א",,
01280,"קד' א, ב (נט ע""ב, 7)",כפי שניו,"ויקרא כה, נב",,,,,
02730,"קד' א, ד (ס ע""ב, 37)",שילייא שיצאת,,"הש' מ' נדה ג, ד",,,,
02780,"קד' א, ד (ס ע""ב, 61)",תלמידיה דרבי,,"הש' ת' סנ' ז, ב (31:425)",,,"ע""פ כ""י ב וד'",
02950,"קד' א, ה (ס ע""ג, 34)",כסף,"דברים כב, כט",,,,,
03010,"קד' א, ה (ס ע""ג, 53)",שהמוכר לא,,"הש' מ' ב""ב ד, ט",,,,
04450,"קד' א, י (סא ע""ד, 29)",חט אחד,"הש' קהלת ט, יח",,,,,
04820,"קד' ב, א (סב ע""ב, 12)",קטנה שקדשה,,"הש' ת' נדה ו, ה (24:647)",,,,
04960,"קד' ב, א (סב ע""ב, 64)",רבי יודה,,"הש' מ' שבו' ה, ה",,,,
07330,"קד' ד, א (סה ע""ג, 29)",עשירי,"דברים כג, ג","ס""ד רמט (277)",,,,
07340,"קד' ד, א (סה ע""ג, 30)",עשירי,"דברים כג, ד",,,,,
07600,"קד' ד, ג (סה ע""ד, 14)",לא שנו,,"הש' מ' יב' ח, ב",,,,
05440,"קד' ב, ט (סג ע""א, 52)",עריפה (1),"שמות יג, יג",,"ע""ז מה ע""ב",,"ע""ז וש""נ",
05450,"קד' ב, ט (סג ע""א, 52)",עריפה (2),"דברים כא, ד",,,,,
05460,"קד' ב, ט (סג ע""א, 56)",עריפתו לפדינו,"שמות יג, יג",,,,,
00010,"קד' א, א (נח ע""ב, 25)",או בכסף,,"הש' מדר""י 256",,,,
00020,"קד' א, א (נח ע""ב, 27)",בכסף מניין,,"ס""ד רסח (287)",,,,
00030,"קד' א, א (נח ע""ב, 27)",כי יקח,"דברים כד, א",,,,,
00040,"קד' א, א (נח ע""ב, 28)",ובעלה,"דברים כד, ו",,,,,
00050,"קד' א, א (נח ע""ב, 29)",כי ימצא,"דברים כב, כב",,,,,
00060,"קד' א, א (נח ע""ב, 31)",לא סוף,,,"כת' כז ע""ד",,,
00070,"קד' א, א (נח ע""ב, 33)",באו עליה,,"מ' סנ' ז, ט",,,,
00080,"קד' א, א (נח ע""ב, 33)",והשני בחנק,,"הש' ס""ד רמב (272)",,,,
00090,"קד' א, א (נח ע""ב, 34)",ויצאה חנם,"שמות כא, יא",,,,,
00100,"קד' א, א (נח ע""ב, 34)",אם אחרת,"שמות כא, י",,,,,
00110,"קד' א, א (נח ע""ב, 35)",מה זו,,"הש' ס""ד רסח (287)",,,,
00120,"קד' א, א (נח ע""ב, 35)",וכתב לה,"דברים כד, א",,,,,
00130,"קד' א, א (נח ע""ב, 36)",מקיש הויתה,,"ס""ד רסח (2:288)",,,,
00140,"קד' א, א (נח ע""ב, 37)",וכי יקח,"דברים כד, א",,,,,
00150,"קד' א, א (נח ע""ב, 37)",מגיד שהיא,,"ס""ד רסח (287)",,"קד' ד ע""ב- ה ע""א",,
00160,"קד' א, א (נח ע""ב, 38)",מה אם,,"הש' מדר""י 256",,,,
00170,"קד' א, א (נח ע""ב, 41)",כי יקח,"דברים כד, א",,,,,
00190,"קד' א, א (נח ע""ב, 49)",וכתב לה,"דברים כד, א",,,,,
00200,"קד' א, א (נח ע""ב, 53)",ובעלה,"דברים כד, א",,,,,
00180,"קד' א, א (נח ע""ב, 45)",כי יקח,"דברים כד, א",,,,,
00210,"קד' א, א (נח ע""ב, 56)",והתנחלתם אותם,"ויקרא כה, מו",,,,,
00220,"קד' א, א (נח ע""ב, 58)",רבי אבהו,,,"ב""ר 166","סנ' נז ע""ב",,
00230,"קד' א, א (נח ע""ב, 59)",הנך מת,"בראשית כ, ג",,,,,
00240,"קד' א, א (נח ע""ב, 63)",איש,"ויקרא יח, ו","ספ' צא ע""ב; ספ' פה ע""ד",,"סנ' נז ע""ב",,
00250,"קד' א, א (נח ע""ג, 3)",במה הוא,,,"ב""ר 325",,,
00260,"קד' א, א (נח ע""ג, 6)",דם באדם,"בראשית ט, ו",,,,,
00270,"קד' א, א (נח ע""ג, 8)",רבי לעזר,,,"ב""ר טז, ו (150); ב""ר 167","סנ' נח ע""א",,ז
00280,"קד' א, א (נח ע""ג, 9)",ודבק באשתו,"בראשית ב, כד",,,,,
00290,"קד' א, א (נח ע""ג, 11)",ודבק באשתו,"בראשית ב, כד",,,,,
00300,"קד' א, א (נח ע""ג, 12)",ר' יוסי,,,"כת' כה ע""ב","יב' נד ע""ב; סנ' נה ע""א",,
00310,"קד' א, א (נח ע""ג, 13)",מן הנידה,,"הש' ספ' צג ע""א",,"הש' יב' נד ע""א",,
00320,"קד' א, א (נח ע""ג, 14)",ודבק באשתו,"בראשית ב, כד",,,,,
00330,"קד' א, א (נח ע""ג, 16)",רבי יודה,,,"ב""ר 7:166",,,
00340,"קד' א, א (נח ע""ג, 18)",כי שנא,"מלאכי ב, טז",,,,,
00350,"קד' א, א (נח ע""ג, 20)",ה' צבאות,"מלאכי א, ד (ועוד הרבה בספר)",,,,,
00360,"קד' א, א (נח ע""ג, 22)",דתני רבי,,,"ב""ר 1:167",,,
00370,"קד' א, א (נח ע""ג, 24)",לא יוכל,"דברים כד, ד",,,,,
00380,"קד' א, א (נח ע""ג, 26)",לא סוף,,"ת' קד' א, ב (5:276)",,,,
00390,"קד' א, א (נח ע""ג, 36)",דרב אמר,,,"פס' כז ע""ג",,,
00400,"קד' א, א (נח ע""ג, 39)",תמן אינו,,,"הש' פס' כט ע""א (64)",,,
00410,"קד' א, א (נח ע""ג, 40)",שבועת הדיינין,,"מ' שבו' ו, א","שבו' לו ע""ד",,,
00420,"קד' א, א (נח ע""ג, 41)",הטענה בית,,"הש' מדרשב""י 199","שבו' לו ע""ד",,,
00430,"קד' א, א (נח ע""ג, 47)",ויצאה חנם,"שמות כא, יא",,,,,
00440,"קד' א, א (נח ע""ג, 56)",כי יתן,"שמות כב, ו",,,,,
00450,"קד' א, א (נח ע""ג, 58)",לאשמה בה,"ויקרא ה, כו",,,,,
00460,"קד' א, א (נח ע""ג, 58)",פרט לפחות,,"ספ' כח ע""ד",,,,
00470,"קד' א, א (נח ע""ג, 58)",כסף,"שמות כב, ו",,,,,
00480,"קד' א, א (נח ע""ג, 61)",או כלים,"שמות כב, ו",,,,,
00490,"קד' א, א (נח ע""ג, 61)",רבי נתן,,"מדר""י 299; הש' מדרשב""י 20:199",,,,
00500,"קד' א, א (נח ע""ד, 2)",אף על,,"מ' יב' א, ד; ת' יב' א, י (34:3)","יב' ג ע""ב","יב' יג ע""ב - טו ע""ב",רשומות 50-61 נבדקו בהשוואה ליבמות,
00510,"קד' א, א (נח ע""ד, 2)",בצרות,,"מ' יב' א, ד; מ' עד' ד, ח",,,,
