מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
90,"מע' א, א (מח ע""ג, 54)",מזרע הארץ,"ויקרא כז, ל",,,,,
100,"מע' א, א (מח ע""ג, 54)",פרי העץ,"ויקרא כז, ל",,,,,
110,"מע' א, א (מח ע""ג, 56)",מפרי העץ,"ויקרא כז, ל",,,,,
120,"מע' א, א (מח ע""ג, 56)",איסי בן,,,"חלה ס ע""ב (1)",,,
130,"מע' א, א (מח ע""ג, 61)",רבי יוחנן,,"הש' ס""ד קט","תר' מ ע""ד; מע' מח ע""ד (3); חלה נז ע""ג; ערלה ס ע""ג (57); נד' לח ע""ד",,"ס""ד עמוד",
140,"מע' א, א (מח ע""ג, 61)",ובא הלוי,"דברים יד, כט",,,,,
150,"מע' א, א (מח ע""ג, 63)",אמר רבי,,,"הש' שבת טז ע""ד (39); יב' ד ע""ד (34)",,,
160,"מע' א, א (מח ע""ד, 1)",ראשי' דגנך,"דברים יד, כג",,,,"צ""ל: דגנך",
170,"מע' א, א (מח ע""ד, 2)",ראשית דגנך,"דברים יח, ד",,,,,
190,"מע' א, א (מח ע""ד, 4)",ובא הלוי,"דברים יח, כט",,,,,
180,"מע' א, א (מח ע""ד, 3)",דאמ' ר',,"הש' ס""ד קט","תר' מ ע""ד; מע' מח ע""ג (61); חלה נז ע""ג; ערלה ס ע""ג; נד' לח ע""ד",,"ס""ד עמוד",
200,"מע' א, א (מח ע""ד, 5)",הקדיש קמה,,"מ' פאה ד, ז",,,,
220,"מע' א, א (מח ע""ד, 11)",עשר תעשר,"דברים יד, כב",,,,,
230,"מע' א, א (מח ע""ד, 15)",רבן גמליאל,,"מ' מע' ד, ו",,,,
240,"מע' א, א (מח ע""ד, 18)",אמ' ר',,"ת' מע' ג, ז (16:238)",,,,
250,"מע' א, א (מח ע""ד, 20)",כל שתחילתו,,"ת' מע' א, א (3:227)",,,,
260,"מע' א, א (מח ע""ד, 21)",המקיים מליאה,,,"ערלה ס ע""ג",,,
270,"מע' א, א (מח ע""ד, 24)",מאימתי פירו',,"מ' מע' א, ב",,,,
280,"מע' א, ב (מח ע""ד, 25)",ביחילו רבי,,,"שבי' לה ע""ב",,,
290,"מע' א, ב (מח ע""ד, 26)",וגם נפשם,"זכריה יא, ח",,,,,
300,"מע' א, ב (מח ע""ד, 36)",אשכול שבישל,,,"דמאי כא ע""ד",,,
310,"מע' א, ב (מח ע""ד, 48)",אחינו המסו,"דברים א, כח",,,,,
320,"מע' א, ב (מח ע""ד, 54)",אמרו בקליפה,,"ת' מע' א, א (8:227)",,,,
330,"מע' א, ב (מח ע""ד, 55)",מודין חכמים,,"ת' מע' א, א (6:227)",,,,
340,"מע' א, ג (מח ע""ד, 56)",תני ר',,,"שבי' לה ע""ג; שבי' לה ע""ד",,,
350,"מע' א, ג (מח ע""ד, 58)",הפרישין,,,"כל' כז ע""א",,,
360,"מע' א, ג (מט ע""א, 3)",ברוב כל,,,"שבת ד ע""ב",,,
370,"מע' א, ג (מט ע""א, 5)",אמר רבי,,,"שבי' לד ע""א (6); חלה נז ע""ד",,,
380,"מע' א, ג (מט ע""א, 5)",עשר תעשר,"דברים יד, כב",,,,,
390,"מע' א, ג (מט ע""א, 5)",דבר שהוא,,"ת' תר' ב, יד (60:115)",,,,
210,"מע' א, א (מח ע""ד, 7)",פדה את,,"הש' מ' ערכ' ח, א",,,,
1540,"מע' ג, א (נ ע""ג, 22)",דרבי ליעזר,,"הש' מ' תר' ח, ג","תר' מה ע""ב (53); מע' נ ע""ד (61)",,,
1550,"מע' ג, ב (נ ע""ג, 23)",מלקט אחת,,"הש' מ' מע' ב, ה",,,,
1590,"מע' ג, ג (נ ע""ג, 32)",אוכל עראי,,"הש' מ' מע' א, ה",,,,
1440,"מע' ג, א (נ ע""ג, 2)",הביא תאנים,,"ת' מע' ב, י (37:233)","הש' מע' נ ע""ד (22)",,,
1710,"מע' ג, ז (נ ע""ד, 22)",כרבי יוסי,,,"הש' מע' נ ע""ג (3)",,,
1730,"מע' ג, ז (נ ע""ד, 27)",חבור לעיר,,"הש' מ' ער' ה, ב",,,,
1750,"מע' ג, ז (נ ע""ד, 29)",מעורכי מלחמה,"הש' דברים כ, ה",,,,,
2140,"מע' ד, ב (נא ע""ב, 16)",נטבלה,,"הש' מ' מע' א, ה",,,,
2150,"מע' ד, ב (נא ע""ב, 17)",מעשיו של,,"הש' מ' כלים יז, טו",,,,
2410,"מע' ה, א (נא ע""ג, 58)",מקח טובל,,,"מע' נ ע""ב (1)",,,
2510,"מע' ה, ב (נא ע""ד, 15)",מעשרות,,"הש' ת' מע' ג, ט (23:239)",,,,
2570,"מע' ה, ב (נא ע""ד, 26)",חייב,,,"הש' מע' נא ע""ד (15)",,,
520,"מע' א, ו (מט ע""א, 48)",פודגרה,,,"הש' פאה יג ע""ג (37)",,,
1000,"מע' ב, ה (מט ע""ד, 55)",בית שמירה,,"הש' מ' מע' ג, ה",,,,
2720,"מע' ה, ד (נא ע""ד, 54)",בחנט,,,"הש' ר""ה נו ע""ד (33)",,,
2940,"מע' ה, ז (נב ע""א, 35)",כרכמין,,"הש' ת' מע""ש א, יד (47:246)",,,,
2730,"מע' ה, ד (נא ע""ד, 54)",וסיכך על,,,"הש' ערלה סא ע""א (27)",,,
10,"מע' א, א (מח ע""ג, 45)",עשר תעשר,"דברים יד, כב","הש' ס""ד קה (165)",,,,
20,"מע' א, א (מח ע""ג, 47)",את כל,"דברים יד, כב",,,,,
30,"מע' א, א (מח ע""ג, 48)",זירעוני גינה,,"הש' מ' מע' ה, ח",,,,
40,"מע' א, א (מח ע""ג, 48)",תבואת זרעך,"דברים יד, כב",,,,,
50,"מע' א, א (מח ע""ג, 48)",היוצא השדה,"דברים יד, כב",,,,,
60,"מע' א, א (מח ע""ג, 49)",אוכל ונשמר,,"מ' מע' א, א",,,,
70,"מע' א, א (מח ע""ג, 50)",עשר תעשר,"דברים יד, כב",,,,,
80,"מע' א, א (מח ע""ג, 51)",וכל מעשר,"ויקרא כז, ל","ספ' קטו ע""א; ס""ד קה (165)",,,,
400,"מע' א, ד (מט ע""א, 12)",הלוקח שדה,,"מ' תר' ה, ה",,,,
410,"מע' א, ד (מט ע""א, 16)",נהוראי בר,,"ת' מע' א, א (9:227)",,,,
420,"מע' א, ד (מט ע""א, 19)",אתרוג הבוסר,,,"סוכה נג ע""ד","סוכה לו ע""א",,
430,"מע' א, ד (מט ע""א, 20)",אתיא דרבי,,,"הש' מג' עג ע""ג (17)",,,
440,"מע' א, ד (מט ע""א, 25)",פרי,"ויקרא כג, מ",,,,,
450,"מע' א, ד (מט ע""א, 28)",רבי ישמעאל,,"ת' מע' א, ב (10:227)",,"חו' כה ע""ב",,
480,"מע' א, ה (מט ע""א, 35)",הוה מפקס,,"ת' מע' א, ה (18:227)",,,,
490,"מע' א, ה (מט ע""א, 36)",אגדו צינוק,,"הש' ת' מע' א, ו (21:227)",,,,
500,"מע' א, ה (מט ע""א, 38)",אגדו צינוק,,"ת' מע' א, ו (21:227)",,,,
510,"מע' א, ה (מט ע""א, 44)",לא בדעתו,,,"חלה נח ע""א",,,
530,"מע' א, ו (מט ע""א, 50)",מאימתי הוא,,"ת' תר' ג, יא (42:118)",,,,
540,"מע' א, ו (מט ע""א, 51)",אבל כובר,,"ת' תר' ג, יא (43:118)",,,,
550,"מע' א, ו (מט ע""א, 53)",והאלפים,"ישעיה ל, כד",,,,,
560,"מע' א, ו (מט ע""א, 56)",שילה וקיפה,,"ת' מע' א, ז (26:229)",,,,
570,"מע' א, ו (מט ע""א, 56)",אמר רבי,,,"מע' נא ע""ב (1)",,,
2100,"מע' ד, א (נא ע""ב, 1)",אמר רבי,,,"מע' מט ע""א (56)",,,
580,"מע' א, ו (מט ע""א, 57)",והאלפים,"ישעיה ל, כד",,,,,
590,"מע' א, ו (מט ע""א, 58)",אבל קולט,,"ת' מע' א, ו (25:229)",,,,
600,"מע' א, ו (מט ע""א, 59)",שהן מחוסרין,,,"הש' שבת י ע""ב (6)",,,
610,"מע' א, ו (מט ע""א, 60)",היין משיקפה,,"מ' מע' א, ז",,,,
620,"מע' א, ו (מט ע""א, 61)",השמן משירד,,"מ' מע' א, ז",,,,
630,"מע' א, ו (מט ע""א, 63)",היה אוכל,,"ת' מע' א, ח (31:229)",,,,
640,"מע' א, ו (מט ע""ב, 2)",דאמר רבי,,,"מע' נא ע""ב (40); מע' נב ע""א (21); חלה נח ע""א; חלה נט ע""א",,,
2230,"מע' ד, ג (נא ע""ב, 40)",דאמר רבי,,,"מע' מט ע""ב (2); מע' נב ע""א (21); חלה נח ע""א; חלה נט ע""א",,,
2870,"מע' ה, ו (נב ע""א, 21)",דאמר רבי,,,"מע' מט ע""ב (2); מע' נא ע""ב (40); חלה נח ע""א; חלה נט ע""א",,,
650,"מע' א, ו (מט ע""ב, 4)",ועוד אמר,,"מ' ביצה ד, ז",,"ביצה לד ע""ב",,
660,"מע' א, ו (מט ע""ב, 11)",עד היכן,,,"שבת ו ע""ב (14)",,,
670,"מע' א, ו (מט ע""ב, 25)",דאמר רבי,,,"חלה נח ע""א",,,
680,"מע' א, ז (מט ע""ב, 30)",זית שפיצעו,,"ת' טה' י, יא (33:671)",,"שבת קמה ע""א",,
960,"מע' ב, ד (מט ע""ד, 41)",דברי רבי,,,"הש' מע' נ ע""א (61)",,,
1310,"מע' ב, ז (נ ע""א, 61)",דרבי מאיר,,,"הש' מע' מט ע""ד (41)",,,
1320,"מע' ב, ז (נ ע""א, 63)",דבי ליעזר,,,"מע' מט ע""ד (33)",,,
970,"מע' ב, ד (מט ע""ד, 44)",יהא אסור,,"הש' מ' מע' ב, א",,,,
980,"מע' ב, ד (מט ע""ד, 47)",ר' שמעון,,"ת' מע' ב, ב (12:231)",,,,
990,"מע' ב, ה (מט ע""ד, 53)",אבל בלוקט,,"הש' ת' מע' ב, יא (42:234)",,,,
1010,"מע' ב, ה (מט ע""ד, 55)",דאמר רבי,,,"מע' נ ע""ג (15); מע' נא ע""א (57)",,,
1510,"מע' ג, א (נ ע""ג, 15)",דאמר רבי,,,"מע' מט ע""ד (55); מע' נא ע""א (57)",,,
2060,"מע' ד, א (נא ע""א, 57)",דאמר רבי,,,"מע' מט ע""ד (55); מע' נ ע""ג (15); מע""ש נד ע""א",,,
1020,"מע' ב, ה (מט ע""ד, 62)",כרמא אני,,"ת' ב""ב ו, יח (21:406)","כת' ל ע""ב","ב""מ קד ע""א; ב""ב ז ע""א",,
1030,"מע' ב, ו (נ ע""א, 5)",היה עושה,,"מ' ב""מ ז, ג","ב""מ יא ע""ב (51)",,"לבדוק שוב את כל דף נ ע""א (מטושטש)",
1040,"מע' ב, ו (נ ע""א, 7)",רבי יוסי,,"ת' ב""מ ח, ז (33:387); ס""ד רפז (305)",,,,
1050,"מע' ב, ו (נ ע""א, 7)",כדייש,"הש' דברים כה, ד",,,"ב""מ צא ע""ב",,
1060,"מע' ב, ו (נ ע""א, 9)",דייש,,"ת' ב""מ ח, ז (3:388)",,,,
