מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
510,"מ""ק א, ד (פ ע""ג, 38)",רבי חנניה,,,"הש' שבת יג ע""ג (30); חג' עט ע""ד (7); מ""ק פא ע""ב (35)","הש' ביצה יא ע""ב",,
860,"מ""ק ב, ד (פא ע""ב, 35)",רבי חנניה,,,"הש' שבת יג ע""ג (30); חג' עט ע""ד (7); מ""ק פ ע""ג (38)",,,
10,"מ""ק א, א (פ ע""א, 44)",מעיין שיוצא,,"ת' מ""ק א, א (1:365)",,,,
20,"מ""ק א, א (פ ע""א, 47)",מעיין שיצא,,"ת' מ""ק א, א (1:365)",,"מ""ק ב ע""א",,
30,"מ""ק א, א (פ ע""א, 59)",מה בין,,,"שבי' לד ע""ב (15); מ""ק פ ע""ג (18)",,,
440,"מ""ק א, ג (פ ע""ג, 18)",מה בין,,,"שבי' לד ע""ב (15); מ""ק פ ע""א (59)",,,
40,"מ""ק א, א (פ ע""ב, 1)",אילו הן,,"ת' מק' א, יג (21:653)",,,,
50,"מ""ק א, א (פ ע""ב, 3)",עד איכן,,,"תר' מו ע""א",,,
60,"מ""ק א, א (פ ע""ב, 9)",אבל אין,,"מ' מ""ק א, א",,,,
70,"מ""ק א, א (פ ע""ב, 15)",שדה בית,,"ת' מ""ק א, א (4:365)",,"מ""ק ד ע""א",,
80,"מ""ק א, א (פ ע""ב, 21)",אילו הן,,"ת' מ""ק א, ב (9:365)",,"מ""ק ד ע""ב",,
90,"מ""ק א, א (פ ע""ב, 22)",יד הבדיד,,"מ' כלים כט, ז",,,,
100,"מ""ק א, ב (פ ע""ב, 23)",רבי לעזר,,"מ' שבי' ג, ג",,,,
110,"מ""ק א, ב (פ ע""ב, 24)",פתר לה,,,"שבי' לד ע""ג",,,
120,"מ""ק א, ב (פ ע""ב, 25)",בשהיה לו,,"מ' שבי' ג, ג",,,,
130,"מ""ק א, ב (פ ע""ב, 26)",מוסיף עליו,,"מ' שבי' ג, ג",,,,
140,"מ""ק א, ב (פ ע""ב, 26)",רבי לעזר,,"מ' שבי' ג, ג",,,,
150,"מ""ק א, ב (פ ע""ב, 27)",שמא לא,,,"מ""ק פ ע""ב (41)",,,
160,"מ""ק א, ב (פ ע""ב, 28)",אתיא דר',,,"ב""ק י ע""ג",,,
170,"מ""ק א, ב (פ ע""ב, 30)",בשהיה לו,,"מ' שבי' ג, ג",,,,
180,"מ""ק א, ב (פ ע""ב, 31)",הרי זה,,"מ' שבי' ג, ג",,,,
190,"מ""ק א, ב (פ ע""ב, 31)",ר' לעזר,,"מ' שבי' ג, ג",,,,
200,"מ""ק א, ב (פ ע""ב, 37)",רבי לעזר,,"מ' מ""ק א, ב",,,,
210,"מ""ק א, ב (פ ע""ב, 41)",שמא לא,,,"מ""ק פ ע""ב (27)",,,
220,"מ""ק א, ב (פ ע""ב, 49)",ובלבד שלא,,"מ' מ""ק א, י",,,,
230,"מ""ק א, ב (פ ע""ב, 51)",ומתקנין את,,"מ' מ""ק א, ב",,,,
240,"מ""ק א, ב (פ ע""ב, 52)",הילכת הפטיש,,"מ' מע""ש ה, טו",,,,
250,"מ""ק א, ב (פ ע""ב, 53)",ועושין כל,,"מ' מ""ק א, ב",,,,
260,"מ""ק א, ב (פ ע""ב, 55)",החוטט בצינור,,"מ' מק' ד, ג",,,,
270,"מ""ק א, ב (פ ע""ב, 56)",אילו הן,,,"שק' מו ע""א",,,
350,"מ""ק א, ב (פ ע""ג, 3)",מיכן שמציינין,,"הש' ת' שק' א, ה (15:201)",,,,
360,"מ""ק א, ב (פ ע""ג, 3)",ובנה,"יחזקאל לט, טו",,,,,
370,"מ""ק א, ב (פ ע""ג, 3)",מיכן שמציינין,,"הש' ת' שק' א, ה (11:201)",,,,
380,"מ""ק א, ב (פ ע""ג, 5)",אצלו,"יחזקאל לט, טו",,,,,
390,"מ""ק א, ב (פ ע""ג, 5)",ציון,"יחזקאל לט, טו",,,,,
400,"מ""ק א, ב (פ ע""ג, 5)",מצא אבן,,"ת' שק' א, ה (13:201)",,"מ""ק ו ע""א",,
410,"מ""ק א, ב (פ ע""ג, 8)",אין מציינין,,"ת' שק' א, ה (14:201)",,"הש' מ""ק ה ע""ב",,
420,"מ""ק א, ג (פ ע""ג, 11)",רבי מנא,,,"שבי' לד ע""ב",,,
430,"מ""ק א, ג (פ ע""ג, 17)",עפר לבן,,"הש' מ' שבי' ב, י",,,,
450,"מ""ק א, ד (פ ע""ג, 27)",נפל אשת,"תהלים נח, ט",,"הש' ב""ר 531","מ""ק ו ע""ב",,
460,"מ""ק א, ד (פ ע""ג, 28)",בשדה הלבן,,"הש' ת' מ""ק א, ד (16:366)",,,,
550,"מ""ק א, ה (פ ע""ג, 63)",נתאכל הבשר,,,"הש' שמ' ב, יז (196)",,,
470,"מ""ק א, ד (פ ע""ג, 28)",שלא כדרכו,,"ת' מ""ק א, ד (14:366)",,,,
480,"מ""ק א, ד (פ ע""ג, 29)",מחריבין חוררי,,"ת' מ""ק א, ה (17:366)",,"מ""ק ו ע""ב",,
490,"מ""ק א, ד (פ ע""ג, 33)",ובפירצה שאינה,,,"שבי' לד ע""ד",,,
500,"מ""ק א, ד (פ ע""ג, 37)",אם היה,,"ת' מ""ק א, ז (21:367)","מ""ק פא ע""ב (34)","מ""ק ז ע""א",,
520,"מ""ק א, ה (פ ע""ג, 40)",בהרת כגריס,,"מ' נג' ד, י",,,,
530,"מ""ק א, ה (פ ע""ג, 49)",רבי מאיר,,"מ' מ""ק א, ה",,,,
540,"מ""ק א, ה (פ ע""ג, 63)",בראשונה היו,,"הש' ת' סנ' ט, ח (26:429)","סנ' כג ע""ד",,,
560,"מ""ק א, ה (פ ע""ד, 1)",שנינוחו אבותיו,,,"הש' ב""ר 94",,,
570,"מ""ק א, ה (פ ע""ד, 1)",תני המעביר,,,"פס' לו ע""ב; סנ' כג ע""ד",,,
580,"מ""ק א, ה (פ ע""ד, 4)",אי זהו,,,"הש' שמ' יב, ח (196)",,,
590,"מ""ק א, ה (פ ע""ד, 5)",ליקוט עצמות,,,"הש' שמ' יב, ז (197)",,,
600,"מ""ק א, ה (פ ע""ד, 10)",ליקוטי עצמות,,,"הש' שמ' יב, ד (195)",,,
610,"מ""ק א, ה (פ ע""ד, 12)",אבל אומרים,,,"הש' שמ' ג, ו (180)",,,
620,"מ""ק א, ה (פ ע""ד, 17)",העתידים עורר,"איוב ג, ח",,,,,
630,"מ""ק א, ו (פ ע""ד, 18)",אי זהו,,"ת' מ""ק א, טו (26:367)",,"מ""ק ח ע""ב",,
1690,"מ""ק ג, ה (פב ע""ג, 31)",ופתח אוהל,"ויקרא ח, לה",,,,,
1700,"מ""ק ג, ה (פב ע""ג, 33)",ומניין ששימר,,,"ב""ר 259; ב""ר 293; ב""ר ג, ו (22); מת""ה כו, ז (219); אדר""נ לב נו""א (92); תנ""ב נח ד (30); תנ""ו שמיני א (388)",,,ז
1710,"מ""ק ג, ה (פב ע""ג, 34)",ויהי לשבעת,"בראשית ז, י",,,,,
1720,"מ""ק ג, ה (פב ע""ג, 37)",אילו שבעת,,,"ב""ר 293","סנ' קח ע""ב",,
1730,"מ""ק ג, ה (פב ע""ג, 38)",כי שמן,"ויקרא י, ז",,,,,
1740,"מ""ק ג, ה (פב ע""ג, 39)",רבי יוחנן,,,"נזיר נו ע""ג; ב""ר 1288",,,
1750,"מ""ק ג, ה (פב ע""ג, 39)",אל נא,"במדבר יב, יב",,,,,
1760,"מ""ק ג, ה (פב ע""ג, 40)",תסגר,"במדבר יב, טו",,,,,
1770,"מ""ק ג, ה (פב ע""ג, 42)",אל נא,"במדבר יב, יב",,,,,
1780,"מ""ק ג, ה (פב ע""ג, 44)",רבי אבהו,,"ס""ד שנז","ב""ר 1288",,,
1790,"מ""ק ג, ה (פב ע""ג, 45)",ויתמו ימי,"דברים לד, ח",,,,,
1800,"מ""ק ג, ה (פב ע""ג, 45)",ימי,"דברים לד, ח",,,,,
1810,"מ""ק ג, ה (פב ע""ג, 45)",בכי,"דברים לד, ח",,,,,
1830,"מ""ק ג, ה (פב ע""ג, 45)",אבל,"דברים לד, ח",,,,,
1820,"מ""ק ג, ה (פב ע""ג, 45)",שנים,,,"הש' מ""ק פב ע""ב (37)","מ""ק כא ע""א",,
1840,"מ""ק ג, ה (פב ע""ג, 46)",ימי,"דברים לד, ח",,,,,
1850,"מ""ק ג, ה (פב ע""ג, 46)",בכי,"דברים לד, ח",,,,,
1860,"מ""ק ג, ה (פב ע""ג, 46)",אבל,"דברים לד, ח",,,,,
1870,"מ""ק ג, ה (פב ע""ג, 47)",והפכתי חגיכם,"עמוס ח, י",,,"מ""ק כ ע""א",,
1880,"מ""ק ג, ה (פב ע""ג, 49)",שמיני רגל,,,"חג' עו ע""ג","ר""ה ד ע""ב; יומא ב ע""ב; סוכה מז ע""א; חג' יז ע""א","יר' וש""נ",
1890,"מ""ק ג, ה (פב ע""ג, 52)",שמועה קרובה,,,"שמ' יב, ב (193)","ער' מו ע""א; מ""ק כ ע""א",,
1900,"מ""ק ג, ה (פב ע""ג, 53)",שמועה קרובה,,,"שמ' יב, ב (193)",,,
1910,"מ""ק ג, ה (פב ע""ג, 61)",שכן על,,,"מ""ק פג ע""ג (10)",,,
1930,"מ""ק ג, ה (פב ע""ד, 2)",האנק דום,"יחזקאל כד, יז",,,,,
1940,"מ""ק ג, ה (פב ע""ד, 2)",מתים אבל,"יחזקאל כד, יז",,,,,
1950,"מ""ק ג, ה (פב ע""ד, 3)",פארך חבוש,"יחזקאל כד, יז",,,,,
1960,"מ""ק ג, ה (פב ע""ד, 4)",לשני ימים,,,"הש' מ""ק פב ע""ב (29)",,,
1970,"מ""ק ג, ה (פב ע""ד, 5)",אף האבל,,,"הש' מ""ק פב ע""ג (45)",,,
1980,"מ""ק ג, ה (פב ע""ד, 6)",ונעליך תשים,"יחזקאל כד, יז",,,,,
1990,"מ""ק ג, ה (פב ע""ד, 5)",מה הגיהוץ,,,"הש' מ""ק פב ע""א (57)",,,
2000,"מ""ק ג, ה (פב ע""ד, 6)",ולא תעטה,"יחזקאל כד, יז",,,,,
640,"מ""ק א, ו (פ ע""ד, 22)",זה הבקיע,,"ת' מ""ק א, טו (27:367)",,,,
650,"מ""ק א, ז (פ ע""ד, 26)",שמעון בר,,,"גט' מו ע""א","מ""ק ח ע""ב",,
660,"מ""ק א, ז (פ ע""ד, 28)",מי שחציו,,"מ' גט' ד, ה",,"פס' פח ע""א; חג' ב ע""א; ב""ב יג ע""א",,
670,"מ""ק א, ז (פ ע""ד, 32)",כי חנוכת,"דה""ב ז, ט",,,,,
680,"מ""ק א, ז (פ ע""ד, 32)",רבי יעקב,,,"ב""ר 819",,,
690,"מ""ק א, ז (פ ע""ד, 33)",מלא שבוע,"בראשית כט, כז",,,,,
700,"מ""ק א, ז (פ ע""ד, 41)",תרין אמורין,,,"ע""ז לט ע""ב","הש' מ""ק ט ע""ב",,
710,"מ""ק א, ז (פ ע""ד, 45)",צרת שעה,,"הש' מ' ע""ז א, א",,,,
720,"מ""ק א, ח (פ ע""ד, 60)",החבל מאימתי,,"מ' כלים יט, א",,,,
730,"מ""ק א, ח (פ ע""ד, 62)",וטחן חטין,,"הש' ת' מ""ק א, יא (31:368)",,"הש' מ""ק יב ע""ב",,
740,"מ""ק א, ט (פא ע""א, 1)",תנור וכיריים,,"ת' ביצה ג, טז (58:297)",,"ביצה לד ע""א",,
750,"מ""ק א, ט (פא ע""א, 3)",תנור וכיריים,,"ת' ביצה ג, טז (57:297)",,"ביצה לד ע""א",,
760,"מ""ק א, י (פא ע""א, 10)",אפילו כן,,,"הש' שבת ח ע""א (52)",,,
770,"מ""ק ב, א (פא ע""א, 48)",הווי צורכה,,,"הש' פאה יז ע""ב; שבת ג ע""א; ע""ז לט ע""ד",,,
780,"מ""ק ב, א (פא ע""א, 52)",רבי יודה,,,"מ""ק פא ע""ב (50)",,,
790,"מ""ק ב, א (פא ע""א, 55)",אילו דברים,,,"הש' שמ' ה, ב (126)","מ""ק יא ע""ב",,
800,"מ""ק ב, א (פא ע""א, 57)",וזורעין את,,,"שמ' ה, ו (126)",,,
810,"מ""ק ב, ב (פא ע""א, 64)",וכן מי,,"מ' מ""ק ב, ב",,,,
820,"מ""ק ב, ג (פא ע""ב, 12)",פרקמטיא אבדה,,,"מ""ק פב ע""ב (49)","מ""ק י ע""ב",,
830,"מ""ק ב, ג (פא ע""ב, 18)",רבי יצחק,,,"הש' שבת יג ע""ב (19)",,,
840,"מ""ק ב, ג (פא ע""ב, 30)",אמר רבי,,,"סנ' כו ע""ב",,,
850,"מ""ק ב, ד (פא ע""ב, 34)",אם היה,,"ת' מ""ק א, ז (21:367)","מ""ק פ ע""ג (37)","מ""ק ז ע""א",,
870,"מ""ק ב, ד (פא ע""ב, 36)",רבי יהושע,,,"ב""ר 477","הש' ב""ק פ ע""ב",,
