מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
2200,"נד' ו, ו (לט ע""ג, 58)",הרי עלי,,"מ' נד' ב, ד",,,,
2210,"נד' ו, ו (לט ע""ג, 60)",כיצד הוא,,"ת' מנ' ו, ד (30:519)",,,,
2220,"נד' ו, ו (לט ע""ג, 62)",הנוטל זתים,,"מ' מע' ד, ג",,,,
2230,"נד' ו, ו (לט ע""ג, 63)",רבי שמעון,,"ת' נד' ג, ה (27:109)",,,,
2240,"נד' ו, ח (לט ע""ד, 11)",מה טעמא,,,"נד' לט ע""ד (ו, יב, 35); נד' מ ע""א",,,
2330,"נד' ו, יב (לט ע""ד, 35)",מאי טעמא,,,"נד' לט ע""ד (ו, ח, 11); נד' מ ע""א",,,
570,"נד' ב, ב (לז ע""ב, 36)",להרע או,,,"שבו' לד ע""ג",,,
580,"נד' ב, ב (לז ע""ב, 38)",ככל היוצא,"במדבר ל, ג",,,,,
590,"נד' ב, ג (לז ע""ב, 40)",רבי יוסי,,,"שבו' לד ע""ד",,,
600,"נד' ב, ג (לז ע""ב, 42)",שבועה שלא,,"מ' שבו' ג, ז",,,,
610,"נד' ב, ג (לז ע""ב, 53)",מסתברא כאחוי,,,"הש' פס' לג ע""ג (41)",,,
620,"נד' ב, ד (לז ע""ב, 55)",הוון בעי,,,"נד' לט ע""ג",,,
630,"נד' ב, ד (לז ע""ב, 56)",הרי עלי,,"מ' נד' ב, ד",,,,
640,"נד' ב, ד (לז ע""ב, 57)",כיצד הוא,,"ת' מנ' ו, ד (30:519)",,,,
650,"נד' ב, ד (לז ע""ב, 59)",הנוטל זיתים,,"מ' מע' ד, ג",,,,
660,"נד' ב, ד (לז ע""ב, 61)",ואם של,,"מ' נד' ב, ד",,,,
670,"נד' ב, ד (לז ע""ב, 62)",כחלת אהרן,,"מ' נד' ב, א",,,,
680,"נד' ב, ד (לז ע""ג, 4)",תרין תניין,,,,"נד' יט ע""ב",,
690,"נד' ג, א (לז ע""ד, 10)",וכל הנדרים,,,"חג' עו ע""ג",,,
700,"נד' ג, א (לז ע""ד, 11)",וידבר משה,"במדבר ל, ב",,"נד' מא ע""ב",,,
710,"נד' ג, א (לז ע""ד, 13)",לא יחל,"במדבר ל, ג",,,,,
720,"נד' ג, א (לז ע""ד, 15)",נשבעתי ואקיימה,"תהלים קיט, קו",,,,,
730,"נד' ג, א (לז ע""ד, 16)",אשר נשבעתי,"תהלים צה, יא",,"סנ' כט ע""ג; ו""ר לב, ב (תשמ); ק""ר י, כ (כח ע""א)",,,ז
740,"נד' ג, א (לז ע""ד, 17)",ארבעה נדרים,,"מ' נד' ג, א",,,,
750,"נד' ג, א (לז ע""ד, 20)",אף זה,,"מ' נד' ח, ז",,,,
760,"נד' ג, א (לז ע""ד, 33)",תניי בנדרים,,,"נזיר נז ע""א",,,
770,"נד' ג, א (לז ע""ד, 33)",כהדא דתני,,,"סוטה כא ע""ב",,,
780,"נד' ג, א (לז ע""ד, 33)",שבועה הדיינין,,"ת' סוטה ז, ד (36:192)",,,,
790,"נד' ג, א (לז ע""ד, 36)",כי את,"דברים כט, יד",,,,,
800,"נד' ג, ב (לז ע""ד, 38)",איפשר שלא,,,"שבו' לד ע""ד",,,
810,"נד' ג, ב (לז ע""ד, 45)",גמל פורח,,"מ' שבו' ג, ח",,,,
820,"נד' ג, ב (לז ע""ד, 46)","רשב""ג אומר",,"ת' מע' ג, טו (54:242)",,,,
840,"נד' ג, ב (לז ע""ד, 47)",גופה של,,"מ' נג' ו, א",,,,
830,"נד' ג, ב (לז ע""ד, 46)",התיב ר',,,"מע' נב ע""א",,"וש""נ",
850,"נד' ג, ב (לז ע""ד, 50)",שוא,"דברים ה, טז",,,,,
860,"נד' ג, ב (לז ע""ד, 50)",ושקר,"שמות כ, יב",,,,,
870,"נד' ג, ב (לז ע""ד, 51)",זכור,"שמות כ, ז","מדר""י (5:229); ס""ד רלג (265)","ש""ר כח, ד (נ ע""ג)",,"וש""נ",ז
880,"נד' ג, ב (לז ע""ד, 51)",ושמור,"דברים ה, יא",,,,,
890,"נד' ג, ב (לז ע""ד, 52)",מחלליה,"שמות לא, יד",,,,,
900,"נד' ג, ב (לז ע""ד, 53)",ושני כבשים,"במדבר כח, יט",,,,,
910,"נד' ג, ב (לז ע""ד, 54)",ערות אשת,"ויקרא יח, טו",,,,,
920,"נד' ג, ב (לז ע""ד, 54)",יבמה יבא,"דברים כה, ה",,,,,
930,"נד' ג, ב (לז ע""ד, 55)",ולא תסוב,"במדבר לו, ט",,,,,
940,"נד' ג, ב (לז ע""ד, 55)",וכל בת,"במדבר לו, ח",,,,,
950,"נד' ג, ב (לז ע""ד, 56)",גדילים תעשה,"דברים כב, יב",,,,,
960,"נד' ג, ב (לז ע""ד, 56)",לא תלבש,"דברים כב, יא",,,,,
970,"נד' ג, ב (לז ע""ד, 57)",אחת דיבר,"תהלים סב, יב",,,,,
980,"נד' ג, ב (לז ע""ד, 58)",הלא כה,"ירמיה כג, כט",,,,,
990,"נד' ג, ב (לז ע""ד, 58)",שבועת שוא,,"מ' שבו' ג, ח",,,,
1000,"נד' ג, ב (לח ע""א, 3)",שבועות הבאי,,"ת' נד' ב, א (5:104)",,,,
1010,"נד' ג, ב (לח ע""א, 13)",לשוא הכיתי,"ירמיה ב, ל",,,,,
1020,"נד' ג, ב (לח ע""א, 13)",שבועה שלא,,"מ' שבו' ג, ז","שבו' לד ע""ד",,,
1030,"נד' ג, ב (לח ע""א, 15)",אחד דברים,,"מ' שבו' ג, ה",,,,
1040,"נד' ג, ב (לח ע""א, 17)",זה חומר,,"ת' נזיר א, ז (31:126)",,,,
1050,"נד' ג, ב (לח ע""א, 19)",עד שבא,,"מ' נד' ט, ו",,,,
1060,"נד' ג, ג (לח ע""א, 24)",דר' מאיר,,"מ' נד' ח, ז",,,,
1070,"נד' ג, ג (לח ע""א, 25)",כיי דמר,,,"נד' מא ע""א",,,
1080,"נד' ג, ה (לח ע""א, 32)",תולים בגוים,,"ת' נד' ב, ב (5:104)",,,,
1090,"נד' ג, ה (לח ע""א, 32)",שבעלי זרוע,,,"שבי' לט ע""ב",,,
1100,"נד' ג, ה (לח ע""א, 33)",בית שמאי,,"מ' נד' ג, ה",,,,
1110,"נד' ג, ה (לח ע""א, 36)",לא תשבעו,"ויקרא יט, יב",,,,,
1120,"נד' ג, ו (לח ע""א, 37)",הרי נטיעות,,,"קד' סד ע""א",,,
1130,"נד' ג, ו (לח ע""א, 38)",הרי נטיעות,,"ת' נד' ב, ג (7:104)",,,,
1140,"נד' ג, ו (לח ע""א, 42)",אין לה,,"מ' נד' ג, ו",,,,
10,"נד' א, א (לו ע""ג, 29)",איש כי,"במדבר ל, ג",,"נזיר נא ע""א",,,
20,"נד' א, א (לו ע""ג, 30)",או השבע,"במדבר ל, ג",,,,,
30,"נד' א, א (לו ע""ג, 31)",אך כל,"ויקרא כז, כח",,,,,
40,"נד' א, א (לו ע""ג, 32)",נדר נזיר,"במדבר ו, ב",,,,,
50,"נד' א, א (לו ע""ג, 34)",כר' ישמעאל,,,"שבת יז ע""א",,ראה הערה 1,
60,"נד' א, א (לו ע""ג, 35)",הלוך הלכת,"בראשית לא, ל",,,,,
70,"נד' א, א (לו ע""ג, 35)",נכסף נכספת,"בראשית לא, ל",,,,,
80,"נד' א, א (לו ע""ג, 35)",גונב גונבתי,"בראשית מ, טו",,,,,
90,"נד' א, א (לו ע""ג, 35)",איש כי,"במדבר ל, ג",,,,,
100,"נד' א, א (לו ע""ג, 41)",ככל היוצא,"במדבר ל, ג",,,,,
110,"נד' א, א (לו ע""ג, 41)",מיכן לנדר,,"ת' נד' ה, א (13:114)",,,"וש""נ",
120,"נד' א, א (לו ע""ג, 44)",נדר נזיר,"במדבר ו, ב",,,,,
130,"נד' א, א (לו ע""ג, 44)",מיכן שאדם,,"ת' נזיר א, ז (30:126)","נזיר נא ע""א",,,
140,"נד' א, א (לו ע""ג, 47)",כינוי ערכין,,"מ' נד' א, א",,,,
150,"נד' א, א (לו ע""ג, 54)",המודר הנייה,,"מ' נד' ב, ד",,,,
160,"נד' א, א (לו ע""ג, 56)",נדרים,,"מ' נד' ב, ב",,,,
170,"נד' א, א (לו ע""ג, 56)",איזהו איסר,,"ת' נד' א, ד (27:102)",,,,
180,"נד' א, א (לו ע""ד, 10)",לאסור אסר,"במדבר ל, ג",,,,,
2585,"נד' ו, יג (מ ע""א, 24)",רבי שמואל,,,"סנ' א, ב (יח ע""ד, 63)",,,
2586,"נד' ו, יג (מ ע""א, 31)",חנניה בן אחי,,,"סנ' א, ב (יט ע""א, 7)",,,
3570,"נד' ט, ט (מא ע""ג, 49)",פותחין לאדם,,"מ' נד' ט, ט",,,,
3580,"נד' ט, י (מא ע""ג, 51)",אמר לו,,"ת' נד' ה, ו (27:116)",,,,
3590,"נד' ט, יא (מא ע""ג, 52)",בנות ישראל,"שמ""ב א, כד",,"מד""ש כה, א (122)",,,ז
3600,"נד' ט, יא (מא ע""ג, 54)",המעלה עדי,"שמ""ב א, כד",,,,,
3610,"נד' ט, יא (מא ע""ג, 55)",בנות ישראל,"שמ""ב א, כד",,,,,
3620,"נד' ט, יא (מא ע""ג, 56)",המעלה עדי,"שמ""ב א, כד",,,,,
3630,"נד' י, א (מא ע""ד, 29)",אם היה,"במדבר ל, ז","ס""ב קנג (203)",,,,
3640,"נד' י, א (מא ע""ד, 30)",אם בית,"במדבר ל, יא",,,,,
3650,"נד' י, א (מא ע""ד, 31)",ואשה כי,"במדבר ל, ד",,,,,
3660,"נד' י, א (מא ע""ד, 31)",ואם היה,"במדבר ל, ז",,,,,
