מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
00670,"נדה ב, א (מט ע""ד, 38)",נמצא,,"מ' נדה ב, ב",,,,
00680,"נדה ב, א (מט ע""ד, 42)",משבח,,,"הש' ב""ר 3:307",,,
00690,"נדה ב, ב (מט ע""ד, 58)",הפקידה,,"מ' נדה א, א",,,,
00700,"נדה ב, ב (מט ע""ד, 59)",יצא השמש,,"ת' נדה ג, ה (28:643)",,,,
00710,"נדה ב, ג (מט ע""ד, 64)",רבי מאיר,,,"נדה מט ע""א (31)",,,
00720,"נדה ב, ג (נ ע""א, 5)",כל הנשים,,"מ' נדה ב, ג",,,,
00730,"נדה ב, ג (נ ע""א, 8)",כמה עונה,,,"נדה מט ע""ג",,,
00740,"נדה ב, ד (נ ע""א, 27)",ושיליא,,"הש' מ' נדה ב, ג",,,,
00750,"נדה ב, ד (נ ע""א, 28)",בפרוזדור,,"הש' מ' נדה ב, ד",,,,
00760,"נדה ב, ה (נ ע""א, 34)",והיא גלתה,"ויקרא כ, יח",,,,,
00770,"נדה ב, ה (נ ע""א, 34)",וטהרה,"ויקרא יב, ז",,,,,
00780,"נדה ב, ה (נ ע""א, 35)",דם יהיה,"ויקרא טו, יט",,,,,
00790,"נדה ב, ה (נ ע""א, 35)",ואשה כי,"ויקרא טו, כה",,,,,
00800,"נדה ב, ה (נ ע""א, 37)",כי יפלא,"דברים יז, ח",,,,,
00810,"נדה ב, ה (נ ע""א, 38)",לדם,,"הש' ס""ד קנב (205)",,,,
00820,"נדה ב, ו (נ ע""א, 56)",והשחור,,"מ' נדה ב, ו",,,,
00830,"נדה ב, ו (נ ע""א, 60)",טהור,,,"הש' נדה ב, ו (נ ע""א, 54)",,,
00840,"נדה ב, ו (נ ע""ב, 2)",בלח,,"ת' נדה ג, יא (6:644)",,,,
00850,"נדה ב, ו (נ ע""ב, 14)",צללו,,"ת' נדה ג, יא (10:644)",,,,
00860,"נדה ב, ו (נ ע""ב, 26)",רבי יצחק,,,"נדה נ ע""ג",,,
00870,"נדה ב, ו (נ ע""ב, 29)",חמיתי,,,,"הש' נדה כ ע""ב",,
00880,"נדה ב, ו (נ ע""ב, 38)",והובא,"ויקרא יג, ב",,,,,
00890,"נדה ג, א (נ ע""ג, 9)",דם יהיה,"ויקרא טו, יט",,,,,
00900,"נדה ג, ב (נ ע""ג, 11)",המפלת,,"מ' נדה ג, ב",,,,
00910,"נדה ג, ב (נ ע""ג, 15)",ובמה היא,,"מ' נדה ז, א",,,,
00920,"נדה ג, ב (נ ע""ג, 16)",יהודה,,"ת' נדה ו, יא (7:648)",,,,
00930,"נדה ג, ב (נ ע""ג, 19)",דם הנידה,,"מ' נדה ז, א",,,,
00940,"נדה ג, ב (נ ע""ג, 20)",המפלת,,"מ' נדה ג, ב",,,,
00950,"נדה ג, ב (נ ע""ג, 24)",מעשה,,"ת' נדה ד, ג (16:644)",,,,
00960,"נדה ג, ב (נ ע""ג, 36)",ולנקיבה,,,"נדה נא ע""א",,,
00970,"נדה ג, ב (נ ע""ג, 39)",וייצר,"בראשית ב, ז",,,,,
