מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
485,"פס' א, ד (כז ע""ג, 58)",והנשים עצילות,,,"פס' כט ע""ג (39); הש' פס' כט ע""ג (2)",,,
2440,"פס' ב, ז (כט ע""ג, 40)",ייבא כהדא,,,"פס' כז ע""ב",,,
2450,"פס' ב, ז (כט ע""ג, 43)",שופכן במקום,,"ת' פס' ג, ו",,"פס' מב ע""א",,
2460,"פס' ב, ז (כט ע""ג, 46)",שרה חיטין,,"ת' פס' ג, ד",,,,
9400,"פס' ט, ז (לז ע""א, 45)",במחלוקת,,"הש' מ' מע""ש ג, ב",,,,
9180,"פס' ט, ד (לז ע""א, 1)",ואת הסיפים,"מל""א ז, נ (או: ירמיה נב, יט)",,,,,
3790,"פס' ד, ט (לא ע""ב, 47)",שימות ברעב,,,"הש' נד' לח ע""ג (27)",,,
5760,"פס' ו, ח (לג ע""ד, 27)",להלל,,,"הש' פס' לג ע""א (58)",,,
5800,"פס' ו, ח (לג ע""ד, 34)",בחטאת מתה,,"הש' מ' תמ' ד, א",,,,
5860,"פס' ו, ח (לג ע""ד, 41)",יש משיכה,,"מ' פס' ח, ג",,,הנוסח חסר,
6500,"פס' ז, ה (לד ע""ב, 57)",בבא בטומאה,,"הש' ת' פס' ו, א",,,,
6620,"פס' ז, ו (לד ע""ג, 19)",ר' יודה,,"ס""ב קיא (19:117)",,,,
6680,"פס' ז, ו (לד ע""ג, 27)",פרט לשתחילתה,,"הש' ס""ז 9:286",,,,
6780,"פס' ז, ו (לד ע""ג, 58)",מלבוא חמת,"הש' מל""א ח, סה; דה""ב ז, ח",,"הש' ב""ר 7:806",,,
7050,"פס' ז, ז (לד ע""ד, 53)",בטמא טומאת,,,"הש' פס' לד ע""ד (36)",,,
7100,"פס' ז, ח (לד ע""ד, 63)",כדי לפרסמו,,,,"פס' פא ע""ב",,
7120,"פס' ז, ח (לד ע""ד, 64)",אמר הריני,,"ת' פס' ג, יג (46:154); הש' מ' פס' ג, ח",,"פס' פב ע""א",,
7270,"פס' ז, ט (לה ע""א, 47)",מה חמית,,"הש' מדר""י 21; מדרשב""י 14","שבת ד ע""ג",,,
