מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
3140,"שק' ה, ד (מט ע""א, 56)",או לשה,"במדבר טו, יא",,,,,
3150,"שק' ה, ד (מט ע""א, 56)",או בעזים,"במדבר טו, יא",,,,,
3160,"שק' ה, ד (מט ע""א, 58)",או בעזים,"במדבר טו, יא",,,,,
3170,"שק' ה, ו (מט ע""א, 62)",רבי יעקב,,,"פאה כא ע""ב",,,
3180,"שק' ה, ו (מט ע""ב, 3)",לא תשיג,"דברים יט, יד",,,,,
3190,"שק' ה, ו (מט ע""ב, 3)",מתן בסתר,"משלי כא, יד",,,,,
3200,"שק' ה, ו (מט ע""ב, 4)",אמר רבי,,,"ו""ר תשעג",,,
3210,"שק' ה, ו (מט ע""ב, 5)",אשרי משכיל,"תהלים מא, ב",,,,,
3220,"שק' ה, ו (מט ע""ב, 32)",וישכח ישראל,"הושע ח, יד",,,,,
3230,"שק' ה, ו (מט ע""ב, 33)",קדשי המזבח,,"ת' תר' ד, יב (15:556)",,,,
3240,"שק' ה, ו (מט ע""ב, 35)",כלי שמצאו,,"מ' שק' ה, ו",,,,
3250,"שק' ו, א (מט ע""ג, 15)",בשם רבי,,"ת' שק' ב, יח (79:212)",,,,
3260,"שק' ו, א (מט ע""ג, 16)",לא יוותר,"מל""ב כ, יז",,,,,
3270,"שק' ו, א (מט ע""ג, 17)",ולתשובת השנה,"דה""ב לו, י",,,,,
3280,"שק' ו, א (מט ע""ג, 19)",ויאריכו הבדים,"מל""א ח, ח",,,,,
3290,"שק' ו, א (מט ע""ג, 20)",ויראו,"מל""א ח, ח",,,,,
3300,"שק' ו, א (מט ע""ג, 20)",ולא יראו,"מל""א ח, ח",,,,,
3440,"שק' ו, א (מט ע""ג, 47)",שמן משחת,"שמות ל, כה",,,,,
4310,"שק' ו, ד (נ ע""א, 60)",ויעש שולחנות,"דה""ב ד, ח",,,,,
4320,"שק' ו, ד (נ ע""א, 62)",ואת השולחן,"שמ' כו, לה",,,,"צ""ל: והשלחן",
4330,"שק' ו, ד (נ ע""א, 62)",חמשה מימין,"דה""ב ד, ח",,,,,
4340,"שק' ו, ד (נ ע""א, 63)",אף על,,"ת' סוטה יג, א (3:229); ת' מנ' יא, ט (4:530)",,,,
4350,"שק' ו, ד (נ ע""א, 64)",את השולחן,"מל""א ז, מח",,,,,
4360,"שק' ו, ד (נ ע""א, 65)",רבי יוסי,,"ת' מנ' יא, י (9:530)",,,,
4370,"שק' ו, ד (נ ע""א, 65)",את השולחנות,"דה""ב ד, יט",,,,,
4380,"שק' ו, ד (נ ע""ב, 4)",השלחן היה,,"הש' ת' יומא ב, יב (99:236)",,,,
4390,"שק' ו, ד (נ ע""ב, 7)",עשר מנורות,,"ת' מנ' יא, י (6:530)",,,,
4400,"שק' ו, ד (נ ע""ב, 7)",ויעש את,"דה""ב ד, ז",,,,,
2140,"שק' ד, ה (מח ע""א, 46)",סאה רביעית,,"הש' מ' שק' ד, ט",,,,
4950,"שק' ז, ז (נ ע""ד, 40)",שני קמצין,,"הש' ת' מנ' ז, יד (30:522)",,,,
4960,"שק' ז, ז (נ ע""ד, 44)",מתמיד,"הש' במדבר כח, ז",,,,,
10,"שק' א, א (מה ע""ד, 26)",כדי שיביאו,,,"שק' מה ע""ד (42)",,,
20,"שק' א, א (מה ע""ד, 28)",תרומת הלשכה,,"הש' מ' שק' ג, א",,,,
30,"שק' א, א (מה ע""ד, 29)",ומר ר',,,"ר""ה נו ע""ד",,,
40,"שק' א, א (מה ע""ד, 29)",ויהי בחדש,"שמות מ, יז",,,,,
50,"שק' א, א (מה ע""ד, 31)",חדשי,"במדבר כח, יד",,,,,
60,"שק' א, א (מה ע""ד, 32)",חדשי,"שמות יב, ב",,,,,
70,"שק' א, א (מה ע""ד, 34)",זאת עולת,"במדבר כח, יד",,,,,
80,"שק' א, א (מה ע""ד, 35)",בחדשו לחדשי,"במדבר כח, יד",,,,,
90,"שק' א, א (מה ע""ד, 36)",חדשי (1),"במדבר כח, יד",,,,,
100,"שק' א, א (מה ע""ד, 36)",חדשי (2),"שמות יב, ב",,,,,
110,"שק' א, א (מה ע""ד, 38)",משמעין,,"מ' שק' א, א",,,,
120,"שק' א, א (מה ע""ד, 38)",ויתנו קול,"דה""ב כד, ט",,,,,
130,"שק' א, א (מה ע""ד, 39)",אין בין,,"מ' מג' א, ד","מג' עא ע""א",,,
150,"שק' א, א (מה ע""ד, 42)",כדי שיביאו,,,"שק' מה ע""ד (26)",,,
160,"שק' א, א (מה ע""ד, 44)",כדי שיהו,,,"הש' שק' מו ע""א (21)",,,
170,"שק' א, א (מה ע""ד, 48)",בג' פרקים,,"מ' שק' ג, א",,,,
180,"שק' א, א (מה ע""ד, 51)",כדי לעשות,,,"הש' יומא לט ע""ד (20, 21, 23); יומא מ ע""א (36, 38); יומא מא ע""ב (46); סוכה נד ע""ג",,,
190,"שק' א, א (מה ע""ד, 52)",הן נקרא,,,"הש' דבר""ל 7:9",,,
200,"שק' א, א (מה ע""ד, 52)",כל נדיב,"שמות לה, כב",,,,,
210,"שק' א, א (מה ע""ד, 52)",ויתפרקו כל,"שמות לב, ג",,,,,
220,"שק' א, א (מה ע""ד, 53)",ויוצא משה,"שמות יט, יז",,,,,
230,"שק' א, א (מה ע""ד, 54)",ותקרבון אלי,"דברים א, כב",,,,,
240,"שק' א, א (מה ע""ד, 54)",אז ישיר,"שמות טו, א",,,,,
250,"שק' א, א (מה ע""ד, 54)",וישא כל,"במדבר יד, א",,,,"צ""ל: ותשא כל",
260,"שק' א, א (מה ע""ד, 55)",אכן השכימו,"צפניה ג, ז",,,,,
270,"שק' א, א (מה ע""ד, 56)",אין את,,,"הש' ו""ר תרצה",,,
280,"שק' א, א (מה ע""ד, 57)",תנא רבי,,"ס""ד א (10:6)",,,,
290,"שק' א, א (מה ע""ד, 58)",ועשית כפורת,"שמות כה, יז",,,,,
300,"שק' א, א (מה ע""ד, 60)",דבר אל,"שמות כה, ב",,,,,
310,"שק' א, א (מה ע""ד, 61)",מאת כל,"שמות כה, ב",,,,,
320,"שק' א, א (מה ע""ד, 62)",וזאת התרומה,"שמות כה, ג",,,,,
330,"שק' א, א (מה ע""ד, 64)",העשיר לא,"שמות ל, טו",,,,,
340,"שק' א, א (מו ע""א, 1)",שלש תרומות,"שמות ל, יג-טו",,,,,
350,"שק' א, א (מו ע""א, 2)",לא כן,,,"שק' מה ע""ד (41); מג' ע ע""א; מג' ע ע""ב; מג' עג ע""א",,"שק' מה ע""ד (41); מג' ע ע""א (60); מג' ע ע""ב (40); מג' עא ע""א (19)",
140,"שק' א, א (מה ע""ד, 41)",רבי חלבו,,,"שק' מו ע""א (2); מג' ע ע""א; מג' ע ע""ב; מג' עג ע""א",,"שק' מו ע""א (2); מג' ע ע""א (60); מג' ע ע""ב (40); מג' עא ע""א (19)",
360,"שק' א, א (מו ע""א, 9)",תני רבן,,"ת' מג' א, ו (28:245)","מג' עא ע""א",,"מג' עא ע""א (11)",
370,"שק' א, א (מו ע""א, 13)",אבל לעניין,,"ת' מג' א, ו (30:245)",,,,
380,"שק' א, א (מו ע""א, 16)",דנין דיני,,"ת' מ""ק ב, יא (33:371)","מ""ק פ ע""ב",,,
390,"שק' א, א (מו ע""א, 21)",מניין לציון,,,"מע""ש נה ע""ד; סוטה כג ע""ג",,,
