מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
3310,"שבי' ח, ב (לח ע""א, 15)",אמר ליה,,,"שבי' לט ע""א (37); מע' נב ע""א",,,
3320,"שבי' ח, ב (לח ע""א, 17)",קל מהן,,"מ' שבי' ח, ב",,,,
3330,"שבי' ח, ג (לח ע""א, 26)",פירו' חוץ,,"ת' שבי' ד, יח (54:183)",,,,
3340,"שבי' ח, ג (לח ע""א, 32)",את שדרכו,,"מ' שבי' ח, ג",,,שו' 33- כל גרמא. רטנר 74,
3360,"שבי' ח, ד (לח ע""א, 34)",לקט לי,,"מ' שבי' ח, ד",,,,
3370,"שבי' ח, ד (לח ע""א, 34)",לקט לי בו,,"מ' שבי' ח, ד",,,,
3350,"שבי' ח, ד (לח ע""א, 34)",מה בין,,,"מע""ש נד ע""א",,,
3650,"שבי' ח, ז (לח ע""ב, 30)",ובכולן הכהנים,,"מ' זב' י, ז",,"זב' עו ע""א",,
3660,"שבי' ח, ז (לח ע""ב, 33)",אתיא דיחידייא,,,"הש' שבת טז ע""ב; תר' מד ע""א; ער' כו ע""ג; ביצה סב ע""ג; מ""ק פ ע""ג; נד' מ ע""ב",,,
3670,"שבי' ח, ז (לח ע""ב, 34)",רבי מאיר,,,"הש' דמאי כד ע""ב; תר' מב ע""א","ער' מו ע""ב",דמאי הע' ל,
3680,"שבי' ח, ז (לח ע""ב, 37)",הא כיצד,,"ספ' קז ע""ג",,"סוכה מ ע""ב; קד' נח ע""א; ע""ז נד ע""ב",,
3690,"שבי' ח, ז (לח ע""ב, 44)",מי שיש,,"ת' שבי' ו, כה (49:193)",,"סוכה מא ע""א",,
3700,"שבי' ח, ח (לח ע""ב, 51)",אמר רבי,,,"מע""ש נב ע""ב",,,
3710,"שבי' ח, ח (לח ע""ב, 52)",שמן של,,"ת' שבי' ו, י (21:191)",,,,
3720,"שבי' ח, ח (לח ע""ב, 53)",ולא יסוך,,"ת' תר' י, יא (39:162); הש' ת' שבת ג, טז (37:14)","שבת ח ע""א; סנ' כח ע""א","שבת קמא ע""ב",,
3730,"שבי' ח, ח (לח ע""ב, 55)",לא יתננה,,"ת' תר' י, י (25:162)",,,,
3740,"שבי' ח, י (לח ע""ב, 60)",מתיר היה,,"הש' ת' פס' ב, א (1:144)","ערלה סב ע""ב; פס' כז ע""ב; ע""ז מד ע""ב (39); ע""ז מה ע""א","חו' ד ע""א",,
