מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
04175,"תע' ד, ב (סז ע""ד, 58)",מניין שהשיר,,,,"ערכ' יא ע""א",,
04375,"תע' ד, ב (סח ע""א, 53)",לעולם אין,,,,"תע' כז ע""ב",,
04525,"תע' ד, ג (סח ע""ב, 4)",חד אמר,,,,"תע' כז ע""ב; מג' כב ע""א",,
04585,"תע' ד, ג (סח ע""ב, 9)",המפטיר בנביא,,,,"תע' כג ע""א",,
04645,"תע' ד, ד (סח ע""ב, 18)",ואין מתענין,,,,"תע' ח ע""ב",,
04875,"תע' ד, ח (סח ע""ג, 5)",אין כל,,,,"סנ' קב ע""א",,
05285,"תע' ד, ח (סח ע""ד, 15)",על שש,,,,"יומא עה ע""א",,
05287,"תע' ד, ח (סח ע""ד, 16)",אמרון ליה,,,,"סוטה לה ע""א",,
05465,"תע' ד, ח (סח ע""ד, 46)",שמונים אלף,,,,"גטין נז ע""א",,
05611,"תע' ד, ח (סט ע""א, 40)",ולרבי אלעזר,,,,"יומא לה ע""ב",,
05612,"תע' ד, ח (סט ע""א, 43)",ג' כפרים,,,,"גטין נז ע""א",,
05615,"תע' ד, ח (סט ע""א, 47)",שמונים זוגים,,,,"הש' בר' מד ע""א",,
05617,"תע' ד, ח (סט ע""א, 54)",שמונים אלף,,,,"גטין נז ע""ב; סנ' צו ע""ב",,
05865,"תע' ד, ח (סט ע""ב, 32)",על ידי,,,,"הש' פס' פז ע""ב",,
05905,"תע' ד, ט (סט ע""ב, 45)",שלא יקדמנו,,,,"הש' מ""ק יח ע""ב",,
05935,"תע' ד, ט (סט ע""ב, 48)",הדא דאת,,,,"תע' כט ע""ב",,
05937,"תע' ד, ט (סט ע""ב, 53)",לאחריו מהו,,,,"תע' כט ע""ב",,
06012,"תע' ד, י (סט ע""ג, 10)",מהו ישנה,,,,"תע' ל ע""א",,
06055,"תע' ד, יא (סט ע""ג, 23)",שבו זמן,,,,"תע' לא ע""א; ב""ב קכא ע""ב",,
06065,"תע' ד, יא (סט ע""ג, 25)",שבו התיר,,,,"תע' ל ע""ב; ב""ב קכא ע""ב",,
06085,"תע' ד, יא (סט ע""ג, 30)",שבו הותרו,,,,"תע' ל ע""ב; ב""ב קכא ע""א",,
06142,"תע' ד, יא (סט ע""ג, 37)",שבו בטל,,,,"תע' ל ע""ב; ב""ב קכא ע""א",,
06145,"תע' ד, יא (סט ע""ג, 45)",ואפילו נתונים,,,,"תע' לא ע""א",,
06147,"תע' ד, יא (סט ע""ג, 47)",היתה בתו,,,,"תע' לא ע""א",,
05265,"תע' ד, ח (סח ע""ד, 13)",אמר להן,,,,"סוטה לה ע""א",,
05305,"תע' ד, ח (סח ע""ד, 21)",דיברו דברים,,,,"סוטה לה ע""א",,
01325,"תע' א, ו (סד ע""ד, 13)",בשעה שאת,,,,"תע' יא ע""א",,
01345,"תע' א, ו (סד ע""ד, 16)",על שם,,,,"תע' יד ע""ב",,
01355,"תע' א, ז (סד ע""ד, 21)",פותח אחד,,,,"תע' יד ע""ב",,
01357,"תע' א, ז (סד ע""ד, 22)",מה פותח,,,,"תע' יד ע""ב",,
01385,"תע' א, ח (סד ע""ד, 27)",מחלפה שיטתיה,,,,"הש' מ""ק יח ע""ב",,
01007,"תע' א, ד (סד ע""ב, 64)",דהוינה עסיק,,,,"הש' קד' לג ע""א",,
01415,"תע' ב, א (סה ע""א, 27)","א""ר חייה",,,,"תע' טז ע""א",,
01425,"תע' ב, א (סה ע""א, 37)",על שם,,,,"תע' טז ע""א",,
01465,"תע' ב, א (סה ע""א, 43)",לא דומה,,,,"תע' טו ע""ב",,
01505,"תע' ב, א (סה ע""א, 52)",חטא הנשיא,,,,"זב' מא ע""ב",,
01815,"תע' ב, א (סה ע""ב, 28)",מה עשו,,,,"תע' טז ע""א",,
01845,"תע' ב, א (סה ע""ב, 35)",מה שהיה,,,,"הש' תע' טז ע""א",,
01655,"תע' ב, א (סה ע""ב, 11)",כל שנה,,,,"ר""ה טז ע""ב",,
02025,"תע' ב, ב (סה ע""ב, 63)",ושפל ברך,,,,"תע' טז ע""א",,
02055,"תע' ב, ב (סה ע""ג, 3)",אם יאמר,,,,"בר' ט ע""ב",,
02065,"תע' ב, ב (סה ע""ג, 6)",כנגד שמנה,,,,"בר' כח ע""ב",,
02155,"תע' ב, ב (סה ע""ג, 19)",שבע של,,,,"בר' כט ע""א",,
02205,"תע' ב, ב (סה ע""ג, 25)",יחיד בתענית,,,,"תע' יג ע""ב",,
02255,"תע' ב, ב (סה ע""ג, 47)",אי זו היא,,,,"בר' כט ע""א",,
02275,"תע' ב, ג (סה ע""ג, 61)",שאם היה,,,,"בר' יב ע""א",,
02535,"תע' ב, ט (סה ע""ד, 41)",לא צורכה,,,,"תע' יז ע""א",,
02645,"תע' ב, יב (סה ע""ד, 58)",הא שאר,,,,"מ""ק יד ע""א",,
02675,"תע' ב, יג (סו ע""א, 5)",אמר רבן,,,,"תע' יח ע""ב",,
02695,"תע' ב, יג (סו ע""א, 10)",בתרין עשר,,"מג""ת 65",,"תע' יח ע""ב",,
02755,"תע' ב, יג (סו ע""א, 35)",ר' חנינה,,,,"ר""ה יח ע""ב",,
02765,"תע' ב, יג (סו ע""א, 40)",ואפי' תימר,,,,"ר""ה יט ע""ב",,
02795,"תע' ב, טו (סו ע""א, 59)",כמה היא,,,,"תע' יח ע""ב",,
02655,"תע' ב, יב (סה ע""ד, 63)",ר' אומר,,,,"סנ' כב ע""ב",,
02815,"תע' ג, א (סו ע""ב, 58)",רבי זעורה,,,,"תע' ח ע""ב",,
02845,"תע' ג, א (סו ע""ג, 4)",אמר ליה,,,,"הש' חו' ז ע""ב",,
02847,"תע' ג, ב (סו ע""ג, 12)",ירדו לצמחים,,,,"תע' יט ע""ב",,
03065,"תע' ג, ד (סו ע""ג, 59)",שלשה ברא,,,,"סוכה נב ע""ב",,
03105,"תע' ג, ד (סו ע""ג, 64)",רבי ליעזר,,,,"הש' תע' כה ע""ב",,
03135,"תע' ג, ה (סו ע""ד, 16)",בתים שאמרו,,,,"תע' כ ע""ב",,
03205,"תע' ג, ו (סו ע""ד, 27)",לא סוף,,"ת' תע' ב, י (61:333)",,"תע' כב ע""א",,
03225,"תע' ג, ז (סו ע""ד, 32)",נראו רצין,,,,"הש' תע' כב ע""א",,
03227,"תע' ג, ח (סו ע""ד, 34)",רב אמר,,,,"הש' תע' יד ע""א",,
03245,"תע' ג, ח (סו ע""ד, 39)",שאין שוטה,,,,"שבת יג ע""ב",,
03255,"תע' ג, ט (סו ע""ד, 42)",עד שיבללו,,,,"תע' כב ע""ב",,
03262,"תע' ג, י (סו ע""ד, 48)",עאל ליה,,,,"הש' תע' כג ע""א",,
03271,"תע' ג, יא (סו ע""ד, 56)",אמרו לא,,,,"תע' כג ע""א",,
03272,"תע' ג, יא (סו ע""ד, 59)",אסטיו לפנים,,,,"סוכה מה ע""א",,
03275,"תע' ג, יא (סו ע""ד, 61)",מה עיסקה,,,,"ב""מ כח ע""ב",,
03276,"תע' ג, יא (סו ע""ד, 64)",אלא צאו,,,,"תע' כג ע""א",,
03277,"תע' ג, יא (סז ע""א, 5)",שאלו את,,,,"תע' כב ע""ב",,
03185,"תע' ג, ו (סו ע""ד, 24)",רבי יוחנן,,,,"סנ' מד ע""ב",,
03279,"תע' ג, יא (סז ע""א, 7)",בטוחים אנו,,,,"הש' סוטה יא ע""א",,
03325,"תע' ג, יב (סז ע""א, 13)","ואין הקב""ה",,,,"הש' שבת סג ע""א; מ""ק טז ע""ב",,
03482,"תע' ג, יג (סז ע""א, 42)",כד הוה,,,,"הש' תע' כד ע""ב",,
03485,"תע' ג, יג (סז ע""א, 44)",מפלתא הוויין,,,,"הש' תע' כ ע""ב",,
03487,"תע' ג, יג (סז ע""א, 46)",מימי לא,,,,"מג' כז ע""ב; תע' כ ע""ב",,
03615,"תע' ד, א (סז ע""ב, 51)",מפני מה,,,,"ער' כו ע""ב",,
03895,"תע' ד, א (סז ע""ג, 37)",יום הכיפורים,,,,"שבת כד ע""ב",,
03897,"תע' ד, א (סז ע""ג, 39)",שבת שחלה,,,,"שבת כד ע""א",,
03955,"תע' ד, א (סז ע""ד, 6)",דבית רבי,,,,"הש' שבת ט ע""ב",,
03965,"תע' ד, א (סז ע""ד, 10)",ותניי תמן,,,,"בר' כז ע""ב",,
04017,"תע' ד, ב (סז ע""ד, 40)",לא צורכא,,,,"תע' כז ע""א",,
05613,"תע' ד, ח (סט ע""א, 43)",כפליים כיוצאי,,,"הש' שהש""ר א, טז (יג ע""ב)",,,זוסמן
05683,"תע' ד, ח (סט ע""ב, 14)",הדא הוא,,,"תנ""ו יתרו ה (244)",,,זוסמן
06143,"תע' ד, יא (סט ע""ג, 37)",ואמר רבי,,,"מד""ש לב, ה (141)",,,זוסמן
00005,"תע' א, א (סג ע""ג, 39)",על ידי,,,,"תע' ב ע""ב",,
00007,"תע' א, א (סג ע""ג, 44)",רבי ליעזר,,,,"תע' ב ע""ב",,
00045,"תע' א, א (סג ע""ג, 58)",כתיב ויאמר,,,,"הש' תע' ג ע""א",,
00135,"תע' א, א (סג ע""ד, 18)",בטל וברוחות,,,,"תע' ג ע""א",,
00165,"תע' א, א (סג ע""ד, 27)",בראש חדש,,,,"בר' כט ע""ב",,
00167,"תע' א, א (סג ע""ד, 29)",בנינוה,,,,"תע' יד ע""ב","צ""ל: בני נוה",
00182,"תע' א, א (סג ע""ד, 36)",יחיד תובע,,,,"בר' לא ע""א",,
00185,"תע' א, א (סג ע""ד, 39)",שני ימים,,,,"תע' ד ע""ב",,
00187,"תע' א, א (סג ע""ד, 40)",חנניה בן,,,,"תע' י ע""א",,
00189,"תע' א, א (סג ע""ד, 43)",הכל לפי,,,,"הש' תע' יד ע""ב",,
00195,"תע' א, א (סג ע""ד, 50)",רבי ליעזר,,,,"סנ' צז ע""ב",,
00625,"תע' א, א (סד ע""א, 27)",אילו היו,,,,"שבת קיח ע""ב",,
00065,"תע' א, א (סג ע""ד, 1)",נדר שהותר,,"מ' נד' ט, ו","נד' לח ע""א; נד' מא ע""ב","נד' כה ע""ב- כז ע""א",,
00655,"תע' א, ב (סד ע""א, 32)",מחלפה שיטתיה,,,,"תע' ד ע""ב",,
00725,"תע' א, ב (סד ע""א, 52)",שכן מצאנו,,,,"הש' תע' ה ע""א",,
00815,"תע' א, ג (סד ע""ב, 11)",שאת ממניען,,,,"הש' ב""ב טז ע""א",,
00985,"תע' א, ד (סד ע""ב, 36)",אילו הם,,,,"הש' תע' י ע""א",,
01005,"תע' א, ד (סד ע""ב, 54)",סלקון רבנן,,,,"הש' תע' כג ע""א",,
01025,"תע' א, ה (סד ע""ג, 11)",כל תענית,,,,"תע' יד ע""א",,
01035,"תע' א, ו (סד ע""ג, 21)",מה טעמא,,,,"הש' תע' יב ע""ב",,
01105,"תע' א, ו (סד ע""ג, 33)",בתענית ציבור,,,,"תע' יג ע""א",,
01107,"תע' א, ו (סד ע""ג, 34)",בתשעה באב,,,,"יומא עח ע""א",,
01109,"תע' א, ו (סד ע""ג, 36)",אין בין,,,,"פס' נד ע""ב",,
01305,"תע' א, ו (סד ע""ד, 11)",חם כלב,,,,"סנ' קח ע""ב",,
02520,"תע' ב, ח (סה ע""ד, 39)",עניני ה',"מל""א יח, לו",,,,,
02530,"תע' ב, ט (סה ע""ד, 40)",ויאמר קראתי,"יונה ב, ג",,,,,
02540,"תע' ב, י (סה ע""ד, 42)",משום סומכוס,,"ת' תע' א, י (50:326)",,,,
02550,"תע' ב, י (סה ע""ד, 43)",בנה בניתי,"מל""א ח, יג",,,,,
02560,"תע' ב, י (סה ע""ד, 44)",שביקש לעמוד,"הש' שמ""ב כד",,,,,
02570,"תע' ב, י (סה ע""ד, 45)",בקראי עניני,"תהלים ד, ב",,"מת""ה ד, ב (40)",,,ז
