מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
01815,"תר' ג, ד (מב ע""א, 51)",אין אדם,,,,"קד' נט ע""א",,
01992,"תר' ג, ו (מב ע""ב, 25)",מן מה,,,,"הש' תמ' ה ע""ב",,
01995,"תר' ג, ו (מב ע""ב, 26)",רבי חמא,,,,"תמ' ד ע""א",,
02745,"תר' ה, ב (מג ע""ג, 19)",כל הפסולין,,"הש' מ' זב' ח, ה",,,,
02795,"תר' ה, ג (מג ע""ג, 48)",נבילה בטלה,,,,"ביצה לח ע""ב; מנ' כג ע""א; בכ' כג ע""א",,
03435,"תר' ז, א (מד ע""ג, 9)",אמר רבי,,,,"כת' לב ע""ב","וש""נ",
03485,"תר' ז, א (מד ע""ג, 18)",מן המוציא,,,,"מכות ד ע""ב",,
03525,"תר' ז, א (מד ע""ג, 25)",הכל מודין,,,,"כת' לה ע""א",,
03555,"תר' ז, א (מד ע""ג, 33)",כאן בנערה,,,,"כת' לב ע""א",,
03725,"תר' ז, א (מד ע""ג, 60)",בחוסם פרתו,,,,"ב""מ צא ע""א",,
03945,"תר' ז, ד (מד ע""ד, 56)",רבי שמעון,,,,"יב' פב ע""א",,
04044,"תר' ז, ז (מה ע""א, 14)",בצל של,,,,"נד' נז ע""ב; נד' נט ע""ב",,
04165,"תר' ח, א (מה ע""ב, 16)",השב מידיעתו,,"ספ' כא ע""ד","תר' מד ע""א (23)","שבת סט ע""א; יומא פ ע""א; שבו' כו ע""ב; הו' ב ע""א; חו' ה ע""ב",,
04235,"תר' ח, ב (מה ע""ב, 30)",היה עומד,,,,"מכות יא ע""ב",,
04505,"תר' ח, ה (מה ע""ג, 41)",בעון קומי,,,,"ע""ז ל ע""א",,
04535,"תר' ח, ה (מה ע""ג, 50)",חד איתתא,,,,"הש' נד' צא ע""ב",,
04665,"תר' ח, ה (מה ע""ד, 40)",שלשה אירסין,,,,"ע""ז ל ע""ב",,
04805,"תר' ח, ז (מו ע""א, 17)",אוכל אדם,,,,"ע""ז ל ע""ב",,
04955,"תר' ח, ט (מו ע""א, 54)",תמן התורה,,,,"הש' פס' כ ע""ב",,
05015,"תר' ח, ט (מו ע""ב, 6)",רבי שמעון,,"הש' מ' בכ' ה, ב",,,,
05022,"תר' ח, ט (מו ע""ב, 12)",היסח הדעת,,,,"הש' פס' לד ע""א",,
