מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
460,"יומא א, א (לח ע""ב, 49)",ויסמכו אהרן,"ויקרא ח, כג",,,,,
470,"יומא א, א (לח ע""ב, 50)",קרבן ציבור,,"הש' ספ' מב ע""א (6)",,,,
480,"יומא א, א (לח ע""ב, 54)",אילו מושכין,,"מ' מנ' יא, ז",,,,
490,"יומא א, א (לח ע""ב, 55)",לפני תמיד,"שמות כה, ל",,,,,
500,"יומא א, א (לח ע""ב, 57)",רבי יוסי,,"מ' מנ' יא, ז",,,,
510,"יומא א, א (לח ע""ב, 64)",כל שבעת,,"ס""ע ז; ספ' מב ע""ד","פד""כ א (10); פס""ר ה (טו ע""א); במ""ר יב, טו (מט ע""ב); תנ""ו פקודי יא (354); תנ""ו תשא לה (330)",,"ס""ע עמ'",ז
520,"יומא א, א (לח ע""ג, 7)",אמר רבי,,"פד""כ 10",,,,
530,"יומא א, א (לח ע""ג, 7)",ויהי ביום,"במדבר ז, א",,,,,
540,"יומא א, א (לח ע""ג, 8)",כאשר עשה,"ויקרא ח, לד",,,,,
550,"יומא א, א (לח ע""ג, 9)",חדא בשם,,,"הש' יומא לח ע""א (40)",,,
10,"יומא א, א (לח ע""א, 40)",בשם רבי,,,"הש' יומא לח ע""ג (9)",,,
560,"יומא א, א (לח ע""ג, 12)",וימשחם,"במדבר ז, א",,,,,
570,"יומא א, א (לח ע""ג, 14)",שבעת ימים,"יחזקאל מג, כו",,,,,
580,"יומא א, א (לח ע""ג, 18)",פירש בן,,"ת' יומא א, א (2:220)",,,,
590,"יומא א, א (לח ע""ג, 19)",היה משמש,,"מ' שבו' ב, ד",,,,
600,"יומא א, א (לח ע""ג, 25)",כל הלשכות,,"ת' יומא א, ב (3:220)",,,,
610,"יומא א, א (לח ע""ג, 27)",בשעריך,"דברים ו, ט",,,,,
620,"יומא א, א (לח ע""ג, 29)",בשעריך,"דברים ו, ט",,,,,
630,"יומא א, א (לח ע""ג, 30)",בשעריך,"דברים ו, ט",,,,,
640,"יומא א, א (לח ע""ג, 32)",חולדת המולים,,,"מג' עה ע""ג",,(58),
650,"יומא א, א (לח ע""ג, 37)",בראשון שהיו,,,"ו""ר תפז; פד""כ טו (261); פס""ר מז (קצא ע""ב)",,,ז
660,"יומא א, א (לח ע""ג, 42)",יראת ה',"משלי י, כז",,,,,
670,"יומא א, א (לח ע""ג, 43)",ושנות רשעים,"משלי י, כז",,,,,
680,"יומא א, א (לח ע""ג, 46)",כפה הסיח,,,"הש' פד""כ 261",,,
690,"יומא א, א (לח ע""ג, 46)",מצאנו שלא,,"ת' מנ' יג, כב (37:538)",,,,
700,"יומא א, א (לח ע""ג, 58)",ויקל את,"ישעיה כב, ח",,,,"צ""ל: ויגל",
710,"יומא א, א (לח ע""ג, 59)",האומרים ערו,"תהלים קלז, ז",,,,,
720,"יומא א, א (לח ע""ג, 60)",מתקינין לו,,,"מג' עב ע""א; הו' מז ע""ד",,,
730,"יומא א, א (לח ע""ד, 1)",מעשה בבן,,"ת' יומא א, ד (16:221)",,,,
740,"יומא א, א (לח ע""ד, 6)",מעשה בשמעון,,"ת' יומא ג, כ (94:248)","ו""ר תע; פד""כ 398; במ""ר ב, כו (ח ע""א); אדר""נ לה נו""א (105); תנ""ו אחרי ז (433); תנ""ב אחרי ט (65)",,,ז
750,"יומא א, א (לח ע""ד, 12)",כל כבודה,"תהלים מה, יד",,,,,
760,"יומא א, א (לח ע""ד, 12)",יכול יהא,,"ספ' לא ע""ד",,,,
770,"יומא א, א (לח ע""ד, 13)",תחתיו מבניו,"ויקרא ו, טו",,,,,
780,"יומא א, א (לח ע""ד, 15)",שבעת ימים,"שמות כט, ל",,,,,
790,"יומא א, א (לח ע""ד, 18)",ופינחס בן,"דה""א ט, כ",,,,,
800,"יומא א, א (לח ע""ד, 20)",לפנים עמו,"דה""א ט, כ",,,,,
820,"יומא א, א (לח ע""ד, 21)",ובגדי הקדש,"שמות כט, כט",,,,,
830,"יומא א, א (לח ע""ד, 22)",אחריו,"שמות כט, כט",,,,,
840,"יומא א, א (לח ע""ד, 23)",ובגדי הקדש,"שמות כט, כט",,,,,
850,"יומא א, א (לח ע""ד, 24)",אחריו,"שמות כט, כט",,,,,
870,"יומא א, א (לח ע""ד, 31)",ובני אהרן,"במדבר י, ח","ס""ב עה (70)",,,,
880,"יומא א, א (לח ע""ד, 32)",אמר לו,,"ת' סוטה ז, טז",,,עמוד שורה,
890,"יומא א, א (לח ע""ד, 37)",וכפר הכהן,"ויקרא טז, לב","ספ' פג ע""ב",,,,
900,"יומא א, א (לח ע""ד, 39)",אשר ימשח,"ויקרא טז, לב",,,,,
910,"יומא א, א (לח ע""ד, 40)",ואשר ימלא,"ויקרא טז, לב",,,,,
920,"יומא א, א (לח ע""ד, 41)",וכפר הכהן,"ויקרא טז, לב",,,,,
930,"יומא א, א (לח ע""ד, 43)",חזור בך,,"מ' עד' ה, ו",,,,
940,"יומא א, א (לח ע""ד, 45)",וכפר בעדו,"ויקרא טז, ו",,,,,
950,"יומא א, א (לח ע""ד, 49)",קרי מצוי,,,"הש' דמאי כא ע""ד (20)",,,
960,"יומא א, א (לח ע""ד, 51)",רבי יהודה,,"מ' יומא א, א",,,,
970,"יומא א, א (לח ע""ד, 52)",המביא גט,,"מ' גטין ג, ג",,,,
980,"יומא א, א (לח ע""ד, 53)",תמן את,,,"גטין מח ע""ד",,,
990,"יומא א, א (לח ע""ד, 55)",אמ' רבי,,"ת' שק' ג, ג (8:283)",,,"עמוד שורה. וש""נ",
1000,"יומא א, א (לח ע""ד, 57)",וכפר בעדו,"ויקרא טז, ו",,,,,
1020,"יומא א, א (לח ע""ד, 59)",אמר רבי,,,"כת' כד ע""ד",,,
1030,"יומא א, ב (לח ע""ד, 63)",עור זה,,"הש' ת' יומא א, ה (23:221)",,,,
810,"יומא א, א (לח ע""ד, 20)",בימי פילגש,,,"הש' ו""ר תתסה",,,
1010,"יומא א, א (לח ע""ד, 59)",כקונה קניין,,"הש' מ' ביצה ה, ב",,,,
860,"יומא א, א (לח ע""ד, 25)",אייתי רב,,,"הש' שבי' לב ע""ד",,הע' 2,
1160,"יומא א, ד (לט ע""א, 41)",אם ה',"תהלים קכז, א",,,,,
1040,"יומא א, ב (לט ע""א, 1)",רבי אומ',,"ת' יומא א, ה (24:221)",,,,
1050,"יומא א, ב (לט ע""א, 5)",והנותרת מן,"ויקרא ב, ג",,,,,
1060,"יומא א, ב (לט ע""א, 6)",לאהרן ולבניו,"ויקרא ב, ג",,,,,
1070,"יומא א, ב (לט ע""א, 10)",והיתה לאהרן,"ויקרא כד, ט",,,,,
1080,"יומא א, ב (לט ע""א, 11)",האו' הרי,,"ת' מנ' יב, ז (28:531)",,,,
1090,"יומא א, ב (לט ע""א, 16)",שעד ששי',,"הש' מ' מנ' יב, ד",,,,
1100,"יומא א, ב (לט ע""א, 20)",למידין מידת,,,"הש' שבי' לט ע""ג (57)",,,
1110,"יומא א, ב (לט ע""א, 22)",רבי יוסי,,,"חג' עח ע""ב",,,
1120,"יומא א, ב (לט ע""א, 27)",והיה על,"שמות כח, לח",,,,,
1130,"יומא א, ג (לט ע""א, 30)",והכהן הגדול,"ויקרא כא, י","ת' יומא א, ו (26:222)",,,,
6130,"יומא ו, ה (מג ע""ד, 39)",פרים הנשרפין,,"הש' מ' זב' ד, ד",,,,
