yerushalmi ref,yerushalmi text,linked ref,linked text
Jerusalem Talmud Shekalim 1:1:2,"ולמה באחד באדר כדי שיביאו ישראל את שקליהן בעונן ותיתרם תרומת הלשכה מן החדשה בזמנה באחד בניסן רבי שמואל בר רב יצחק תרומת הלשכה כתחלתה דכתיב (שמות מ) ויהי בחדש הראשון בשנה השנית באחד לחדש הוקם המשכן ותני עלה ביום שהוקם המשכן בו ביום נתרמה התרומה רבי טבי רבי יאשיה בשם כהנא נאמר כאן (במדבר כח) חדשי ונאמר להלן (במדבר כח) חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן א""ר יונה שבק רבי טבי ראשה דמתניתא ואמר סופה דל כן כהדא דתני (במדבר כח) זאת עולת חדש בחדשו יכול יהא תורם בכל חדש וחדש ת""ל בחדשו לחדשי &lt;השנה&gt; בחודש א' הוא תורם לכל חדשי השנה יכול באיזה חדש שירצה נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן",Mishnah Shekalim 3:1,"בִּשְׁלשָׁה פְּרָקִים בַּשָּׁנָה, תּוֹרְמִין אֶת הַלִּשְׁכָּה, בִּפְרוֹס הַפֶּסַח, בִּפְרוֹס עֲצֶרֶת, בִּפְרוֹס הֶחָג, וְהֵן גְּרָנוֹת לְמַעְשַׂר בְּהֵמָה, דִּבְרֵי רַבִּי עֲקִיבָא. בֶּן עַזַּאי אוֹמֵר, בְּעֶשְׂרִים וְתִשְׁעָה בַּאֲדָר, וּבְאֶחָד בְּסִיוָן, וּבְעֶשְׂרִים וְתִשְׁעָה בְּאָב. רַבִּי אֶלְעָזָר וְרַבִּי שִׁמְעוֹן אוֹמְרִים, בְּאֶחָד בְּנִיסָן, בְּאֶחָד בְּסִיוָן, בְּעֶשְׂרִים וְתִשְׁעָה בֶּאֱלוּל. מִפְּנֵי מָה אָמְרוּ בְּעֶשְׂרִים וְתִשְׁעָה בֶּאֱלוּל, וְלֹא אָמְרוּ בְּאֶחָד בְּתִשְׁרֵי, מִפְּנֵי שֶׁהוּא יוֹם טוֹב, וְאִי אֶפְשָׁר לְעַשֵּׂר בְּיוֹם טוֹב, לְפִיכָךְ הִקְדִּימוּהוּ לְעֶשְׂרִים וְתִשְׁעָה בֶּאֱלוּל: 
"
Jerusalem Talmud Shekalim 1:1:2,"ולמה באחד באדר כדי שיביאו ישראל את שקליהן בעונן ותיתרם תרומת הלשכה מן החדשה בזמנה באחד בניסן רבי שמואל בר רב יצחק תרומת הלשכה כתחלתה דכתיב (שמות מ) ויהי בחדש הראשון בשנה השנית באחד לחדש הוקם המשכן ותני עלה ביום שהוקם המשכן בו ביום נתרמה התרומה רבי טבי רבי יאשיה בשם כהנא נאמר כאן (במדבר כח) חדשי ונאמר להלן (במדבר כח) חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן א""ר יונה שבק רבי טבי ראשה דמתניתא ואמר סופה דל כן כהדא דתני (במדבר כח) זאת עולת חדש בחדשו יכול יהא תורם בכל חדש וחדש ת""ל בחדשו לחדשי &lt;השנה&gt; בחודש א' הוא תורם לכל חדשי השנה יכול באיזה חדש שירצה נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן",Numbers 28:14,וְנִסְכֵּיהֶ֗ם חֲצִ֣י הַהִין֩ יִהְיֶ֨ה לַפָּ֜ר וּשְׁלִישִׁ֧ת הַהִ֣ין לָאַ֗יִל וּרְבִיעִ֥ת הַהִ֛ין לַכֶּ֖בֶשׂ יָ֑יִן זֹ֣את עֹלַ֥ת חֹ֙דֶשׁ֙ בְּחׇדְשׁ֔וֹ לְחׇדְשֵׁ֖י הַשָּׁנָֽה׃
Jerusalem Talmud Shekalim 1:1:2-3,"['ולמה באחד באדר כדי שיביאו ישראל את שקליהן בעונן ותיתרם תרומת הלשכה מן החדשה בזמנה באחד בניסן רבי שמואל בר רב יצחק תרומת הלשכה כתחלתה דכתיב (שמות מ) ויהי בחדש הראשון בשנה השנית באחד לחדש הוקם המשכן ותני עלה ביום שהוקם המשכן בו ביום נתרמה התרומה רבי טבי רבי יאשיה בשם כהנא נאמר כאן (במדבר כח) חדשי ונאמר להלן (במדבר כח) חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן א""ר יונה שבק רבי טבי ראשה דמתניתא ואמר סופה דל כן כהדא דתני (במדבר כח) זאת עולת חדש בחדשו יכול יהא תורם בכל חדש וחדש ת""ל בחדשו לחדשי &lt;השנה&gt; בחודש א\' הוא תורם לכל חדשי השנה יכול באיזה חדש שירצה נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן', 'מהו משמיעין רב הונא אמר מכריזין היך מה דאת אמר (דברי הימים ב כד) ויתנו קול ביהודה ובירושלם']",Mishnah Shekalim 1:1,"בְּאֶחָד בַּאֲדָר מַשְׁמִיעִין עַל הַשְּׁקָלִים וְעַל הַכִּלְאַיִם. בַּחֲמִשָּׁה עָשָׂר בּוֹ קוֹרִין אֶת הַמְּגִלָּה בַּכְּרַכִּין, וּמְתַקְּנִין אֶת הַדְּרָכִים וְאֶת הָרְחוֹבוֹת וְאֶת מִקְוְאוֹת הַמַּיִם, וְעוֹשִׂין כָּל צָרְכֵי הָרַבִּים, וּמְצַיְּנִין אֶת הַקְּבָרוֹת, וְיוֹצְאִין אַף עַל הַכִּלְאָיִם: 
"
Jerusalem Talmud Shekalim 1:1:2,"ולמה באחד באדר כדי שיביאו ישראל את שקליהן בעונן ותיתרם תרומת הלשכה מן החדשה בזמנה באחד בניסן רבי שמואל בר רב יצחק תרומת הלשכה כתחלתה דכתיב (שמות מ) ויהי בחדש הראשון בשנה השנית באחד לחדש הוקם המשכן ותני עלה ביום שהוקם המשכן בו ביום נתרמה התרומה רבי טבי רבי יאשיה בשם כהנא נאמר כאן (במדבר כח) חדשי ונאמר להלן (במדבר כח) חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן א""ר יונה שבק רבי טבי ראשה דמתניתא ואמר סופה דל כן כהדא דתני (במדבר כח) זאת עולת חדש בחדשו יכול יהא תורם בכל חדש וחדש ת""ל בחדשו לחדשי &lt;השנה&gt; בחודש א' הוא תורם לכל חדשי השנה יכול באיזה חדש שירצה נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן",Jerusalem Talmud Rosh Hashanah 1:1:14,הוֹסִיפוּ עֲלֵיהֶן שְׂכַר בָּתִּיְם וּתְרוּמַת שְׁקָלִים. שְׂכַר בָּתִּים. אָמַר רִבִּי יוֹנָה. וְהוּא שֶׁאָמַר. שָׁנָה זוֹ. אָבָל אִם אָמַר. שָׁנָה אַחַת. נוֹתֵן מֵעֵת לָעֵת. וּתְרוּמַת שְׁקָלִים. כַּהִיא דְאָמַר רִבִּי שְׁמוּאֵל בַּר יִצְחָק. כַּתְּחִילָּתָהּ. וַיְהִ֞י בַּחוֹדֶשׁ הָֽרִאשׁ֛וֹן בַּשָּׁנָ֥ה הַשֵּׁינִית בְּאֶחָ֣ד לַחוֹדֶשׁ הוּקַ֖ם הַמִּשְׁכָּֽן: וְתַנֵּי עֲלָהּ. בַּיּוֹם שֶׁהוּקַם הַמִּשְׁכָּן בּוֹ בַיּוֹם נִתְרְמָה הַתְּרוּמָה. רִבִּי טָבִי רִבִּי יֹאשַׁיָהוּ בְשֵׁם כַּהֲנָא. נֶאֱמַר כָּאן חָדְשֵׁי וְנֶאֱמַר לְהַלָּן חָדְשֵׁי. מַה חָדְשֵׁי שֶׁנֶּאֱמַר לְהַלָּן אֵין מוֹנִין אֶלְּא מִנִּיסָן אַף חָדְשֵׁי שֶׁנֶּאֱמַר כָּאן אֵין מוֹנִין אֶלְּא מִנִּיסָן. אָמַר רִבִּי יוֹנָה. שְׁבַק רִבִּי טָבִי רֹאשָׁהּ וְאָמַר סוֹפָא. דִּלֹא כֵן כַּהָדָא דְתַנֵּי. זֹ֣את עוֹלַת חוֹדֶשׁ בְּחָדְשׁ֔ו. יָכוֹל יְהֵא תוֹרֵם בְּכָל־חוֹדֶשׁ וָחוֹדֶשׁ. תַּלְמוּד לוֹמַר בְּחָדְשׁ֔וֹ לְחָדְשֵׁי֭. בְּחוֹדֶשׁ אֶחָד הוּא תוֹרֵם לְכָל־חָדְשֵׁי הַשָּׁנָה. יָכוֹל בְּאֵיזֶה חוֹדֶשׁ שֶׁיִּרְצֵֶה. נֶאֱמַר כָּאן חָדְשֵׁי וְנֶאֱמַר לְהַלָּן חָדְשֵׁי. מַה חָדְשֵׁי שֶׁנֶּאֱמַר לְהַלָּן אֵין מוֹנִין אֶלְּא מִנִּיסָן אַף מַה חָדְשֵׁי שֶׁנֶּאֱמַר כָּאן אֵין מוֹנִין אֶלְּא מִנִּיסָן.
Jerusalem Talmud Shekalim 1:1:2,"ולמה באחד באדר כדי שיביאו ישראל את שקליהן בעונן ותיתרם תרומת הלשכה מן החדשה בזמנה באחד בניסן רבי שמואל בר רב יצחק תרומת הלשכה כתחלתה דכתיב (שמות מ) ויהי בחדש הראשון בשנה השנית באחד לחדש הוקם המשכן ותני עלה ביום שהוקם המשכן בו ביום נתרמה התרומה רבי טבי רבי יאשיה בשם כהנא נאמר כאן (במדבר כח) חדשי ונאמר להלן (במדבר כח) חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן א""ר יונה שבק רבי טבי ראשה דמתניתא ואמר סופה דל כן כהדא דתני (במדבר כח) זאת עולת חדש בחדשו יכול יהא תורם בכל חדש וחדש ת""ל בחדשו לחדשי &lt;השנה&gt; בחודש א' הוא תורם לכל חדשי השנה יכול באיזה חדש שירצה נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן",Exodus 40:17,וַיְהִ֞י בַּחֹ֧דֶשׁ הָרִאשׁ֛וֹן בַּשָּׁנָ֥ה הַשֵּׁנִ֖ית בְּאֶחָ֣ד לַחֹ֑דֶשׁ הוּקַ֖ם הַמִּשְׁכָּֽן׃
Jerusalem Talmud Shekalim 1:1:2,"ולמה באחד באדר כדי שיביאו ישראל את שקליהן בעונן ותיתרם תרומת הלשכה מן החדשה בזמנה באחד בניסן רבי שמואל בר רב יצחק תרומת הלשכה כתחלתה דכתיב (שמות מ) ויהי בחדש הראשון בשנה השנית באחד לחדש הוקם המשכן ותני עלה ביום שהוקם המשכן בו ביום נתרמה התרומה רבי טבי רבי יאשיה בשם כהנא נאמר כאן (במדבר כח) חדשי ונאמר להלן (במדבר כח) חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן א""ר יונה שבק רבי טבי ראשה דמתניתא ואמר סופה דל כן כהדא דתני (במדבר כח) זאת עולת חדש בחדשו יכול יהא תורם בכל חדש וחדש ת""ל בחדשו לחדשי &lt;השנה&gt; בחודש א' הוא תורם לכל חדשי השנה יכול באיזה חדש שירצה נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן",Exodus 12:2,הַחֹ֧דֶשׁ הַזֶּ֛ה לָכֶ֖ם רֹ֣אשׁ חֳדָשִׁ֑ים רִאשׁ֥וֹן הוּא֙ לָכֶ֔ם לְחׇדְשֵׁ֖י הַשָּׁנָֽה׃
Jerusalem Talmud Shekalim 1:1:3,מהו משמיעין רב הונא אמר מכריזין היך מה דאת אמר (דברי הימים ב כד) ויתנו קול ביהודה ובירושלם,II Chronicles 24:9,וַיִּתְּנוּ־ק֞וֹל בִּיהוּדָ֣ה וּבִירוּשָׁלַ֗͏ִם לְהָבִ֤יא לַֽיהֹוָה֙ מַשְׂאַ֞ת מֹשֶׁ֧ה עֶבֶד־הָאֱלֹהִ֛ים עַל־יִשְׂרָאֵ֖ל בַּמִּדְבָּֽר׃
Jerusalem Talmud Shekalim 1:1:4,"תמן תנינן אין בין אדר הראשון לאדר השני אלא מקרא מגילה ומתנות לאביונים ר' סימון בשם ר' יהושע בן לוי אף שימוע שקלים וכלאים ביניהם רבי חלבו ורב הונא רב בשם ר' חייה רבה הכל יוצאין בי""ד שהוא זמן קרייתה א""ר יוסי ויאות כלום אמרו משמיעין על השקלים לא כדי שיביאו ישראל את שקליהן בעונתן אם אתה אומר באדר ראשון עד כדון אית בשתא שיתין יומין כלום אמרו יוצאין אף על הכלאים לא כדי שיהיו הצמחין ניכרין אם את אומר באדר ראשון עד כדון אינון דקיקין",Jerusalem Talmud Shekalim 1:1:8,"בַּחֲמִשָּׁה עָשָׂר בּוֹ קוֹרִין אֶת הַמְּגִלָּה בַּכְּרַכִּים. לֹא כֵן אָמַר רִבִּי חֶלְבּוֹ וְרַב חוּנָה רַב בְּשֵׁם רִבִּי חִייָה רַבָּה. הַכֹּל יוֹצְאֵין בְּאַרְבָּעָה עָשָׂר שֶׁהוּא זְמַן קְרִיאָתָהּ. לֹא בָא אֶלָּא לְלַמְּדָךְ [שֶׁכָל־] (שֶׁ)הַמִּצוֹת נוֹהֲגוֹת בַּאֲדָר הַשֵּׁינִי [נוֹהֲגוֹת בַּאֲדָר הָרִאשׁוֹן]. רִבִּי יוֹסֵה וְרִבִּי אָחָא הֲווֹן יְתִיבִין. אָמַר רִבִּי יוֹסֵה לְרִבִּי אָחָא. לֹא מִסְתַּבְּרָא לַשֶּׁעָבַר אֶלָּא לָבֹא. וְהָא תַנֵּי. מְקוֹם שֶׁנָּהֲגוּ לִקְרוֹתָהּ שְׁנֵי יָמִים קוֹרִין אוֹתָהּ שְׁנֵי יָמִים. אָמַר לֵיהּ. אוֹף אֲנָא סְבַר כֵּן. אָמַר רִבִּי מָנָא. <i data-overlay=""Vilna Pages"" data-value=""2b""></i>וְיֵאוּת. אִילּוּ מִשֶּׁקְּרָייָהּ בָּאַרְבָּעָה עָשָׂר חוֹזֵר וּקְרָייָא בַּחֲמִשָּׁה עָשָׂר שֶׁמָּא אֵין שׁוֹמְעִין לוֹ. אִם אוֹמֵר אַתְּ כֵּן נִמְצֶאתָ עוֹקֵר זְמַן כַּרַכִין בְּיָדֶיךָ."
Jerusalem Talmud Shekalim 1:1:4,"תמן תנינן אין בין אדר הראשון לאדר השני אלא מקרא מגילה ומתנות לאביונים ר' סימון בשם ר' יהושע בן לוי אף שימוע שקלים וכלאים ביניהם רבי חלבו ורב הונא רב בשם ר' חייה רבה הכל יוצאין בי""ד שהוא זמן קרייתה א""ר יוסי ויאות כלום אמרו משמיעין על השקלים לא כדי שיביאו ישראל את שקליהן בעונתן אם אתה אומר באדר ראשון עד כדון אית בשתא שיתין יומין כלום אמרו יוצאין אף על הכלאים לא כדי שיהיו הצמחין ניכרין אם את אומר באדר ראשון עד כדון אינון דקיקין",Mishnah Megillah 1:4,"קָרְאוּ אֶת הַמְּגִלָּה בַּאֲדָר הָרִאשׁוֹן וְנִתְעַבְּרָה הַשָּׁנָה, קוֹרִין אוֹתָהּ בַּאֲדָר הַשֵּׁנִי, אֵין בֵּין אֲדָר הָרִאשׁוֹן לַאֲדָר הַשֵּׁנִי אֶלָּא קְרִיאַת הַמְּגִלָּה וּמַתָּנוֹת לָאֶבְיוֹנִים: 
"
Jerusalem Talmud Shekalim 1:1:4,"תמן תנינן אין בין אדר הראשון לאדר השני אלא מקרא מגילה ומתנות לאביונים ר' סימון בשם ר' יהושע בן לוי אף שימוע שקלים וכלאים ביניהם רבי חלבו ורב הונא רב בשם ר' חייה רבה הכל יוצאין בי""ד שהוא זמן קרייתה א""ר יוסי ויאות כלום אמרו משמיעין על השקלים לא כדי שיביאו ישראל את שקליהן בעונתן אם אתה אומר באדר ראשון עד כדון אית בשתא שיתין יומין כלום אמרו יוצאין אף על הכלאים לא כדי שיהיו הצמחין ניכרין אם את אומר באדר ראשון עד כדון אינון דקיקין",Jerusalem Talmud Megillah 1:5:9,תַּמָּן תַּנִּינָן. אֵין בֵּין אֲדָר הָרִאשׁוֹן לַאֲדָר הַשֵּׁינִי אֶלָּא קְרִיאַת הַמְּגִילָּה וּמַתָּנוֹת לָאֶבְיוֹנִים׃ רִבִּי סִימוֹן בְּשֵׁם רִבִּי יְהוֹשֻׁעַ בֶּן לֵוִי. אַף שִׁימּוּעַ שְׁקָלִים וְכִלְאַיִם יֵשׁ בֵּינֵיהֶן. רִבִּי חֶלְבּוֹ וְרַב חוּנָה רַב בְּשֵׁם רִבִּי חִייָה רַבָּה. הַכֹּל יוֹצְאֵין בְּאַרְבָּעָה עָשָׂר שֶׁהוּא זְמַן קְרִיאָתָהּ. אָמַר רִבִּי יוֹסֵה. וְיֵאוּת. כְּלוּם אָֽמְרוּ. מַשְׁמִעִין עַל הַשְּׁקָלִים. לֹא כְּדֵי שֶׁיָּבִיאוּ יִשְׂרָאֵל שִׁקְלֵיהֶן בְּעוֹנָתָן. אְִם אוֹמֵר אַתְּ. בַּאֲדָר הָרִאשׁוֹן. עַד כְּדוֹן אִית בַּשַּׁתָּא שִׁיתִין יוֹמִין. כְּלוּם אָֽמְרוּ יוֹצְאִין אַף עַל הַכִּלְאָיִם לֹא כְּדֵי שֶׁיְּהוּ הַצְּמָחִין נִיכָּרִין. אְִם אוֹמֵר אַתְּ בַּאֲדָר הָרִאשׁוֹן. עַד כְּדוֹן אִינּוּן דַּקִּיקִין.
