Im_Id,Im_Ms,Im_ImRun,Im_File,Im_Web,Im_Title,SSMA_TimeStamp,PID,Im_Description
16489,1721,1,..\MnuImages\N1721a\w\0001r.jpg,0,"ברכות ב ע""א - ברכות ב ע""ב",0,871225,
16490,1721,2,..\MnuImages\N1721a\w\0001v.jpg,0,"ברכות ב ע""ב - ברכות ב ע""ג",000000000000E44A,871226,
16491,1721,3,..\MnuImages\N1721a\w\0002r.jpg,0,"ברכות ב ע""ג - ברכות ב ע""ג",000000000000E44B,871228,
16492,1721,4,..\MnuImages\N1721a\w\0002v.jpg,0,"ברכות ב ע""ג - ברכות ב ע""ד",000000000000E44C,871229,
16493,1721,5,..\MnuImages\N1721a\w\0003r.jpg,0,"ברכות ב ע""ד - ברכות ג ע""א",000000000000E44D,871231,
16494,1721,6,..\MnuImages\N1721a\w\0003v.jpg,0,"ברכות ג ע""א - ברכות ג ע""ב",000000000000E44E,871233,
16495,1721,7,..\MnuImages\N1721a\w\0004r.jpg,0,"ברכות ג ע""ב - ברכות ג ע""ב",000000000000E44F,871234,
16496,1721,8,..\MnuImages\N1721a\w\0004v.jpg,0,"ברכות ג ע""ב - ברכות ג ע""ג",0,871236,
16497,1721,9,..\MnuImages\N1721a\w\0005r.jpg,0,"ברכות ג ע""ג - ברכות ג ע""ד",0,871238,
16498,1721,10,..\MnuImages\N1721a\w\0005v.jpg,0,"ברכות ג ע""ד - ברכות ד ע""א",0,871240,
16499,1721,11,..\MnuImages\N1721a\w\0006r.jpg,0,"ברכות ד ע""א - ברכות ד ע""א",0,871242,
16500,1721,12,..\MnuImages\N1721a\w\0006v.jpg,0,"ברכות ד ע""א - ברכות ד ע""ב",0,871243,
16501,1721,13,..\MnuImages\N1721a\w\0007r.jpg,0,"ברכות ד ע""ב - ברכות ד ע""ג",0,871245,
16502,1721,14,..\MnuImages\N1721a\w\0007v.jpg,0,"ברכות ד ע""ג - ברכות ד ע""ד",0,871247,
16503,1721,15,..\MnuImages\N1721a\w\0008r.jpg,0,"ברכות ד ע""ד - ברכות ד ע""ד",0,871249,
