@11א	@22א	"<b>רמב""ן במבוא לספר: ...והספר הזה כולו במצות שעה שנצטוו בהם בעמדם במדבר... ואין בספר הזה מצוות נוהגות לדורות, זולתי קצת מצוות בענייני הקרבנות שהתחיל בהן בספר הכהנים (ספר ויקרא) ולא נשלם ביאורן שם, והשלימן בספר הזה. ע""כ.</b> קשה לי: (א) מה חשיבות יש בלימוד מצוות שעה אלו? (ב) בספר במדבר ישנן גם מצוות שאינן בענייני הקרבנות והן נוהגות לדורות, כמו: מצוות וידוי על חטא (להלן ה, ז), ברכת כהנים (ו, כז), חלה (טו, כ), ציצית (טו, לח), שלא לתור אחרי מחשבת הלב (טו, לט), פדיון בכור (יח, טו), דיני נחלות (כו, נג), שמיעת שופר בראש השנה (כט, א), הפרת נדרים (ל, ט) ועוד? (פ' במדבר תשנ""ה) ישנן מהדורות של פירוש רמב""ן על התורה (ראה מקראות גדולות ""המסורה"") שבהן ישנה ו""ו נוספת - ""זולתי קצת מצוות <b>ו</b>בענייני הקרבנות"". לפי גרסה זו אין כל קושי (הראני הרב איתן שנדורפי שי')."
		<b>(ספר הפקודים)</b>
		"חומש במדבר פותח בתיאורם של חמישה מפקדים שנעשו בחודש השני בשנה השנייה ליציאת מצרים, ואלו הם: (א) מפקד השבטים (פרק א). (ב) מפקד הדגלים (פרק ב). (ג) מפקד הלויים מבן חודש ומעלה (פרק ג). (ד) מפקד בכורות ישראל (פרק ג). (ה) מפקד הלויים מבן שלושים ועד בן חמישים (פרק ד). לקראת סיום החומש - בפרשת פינחס - ישנו מפקד נוסף של בני ישראל - מפקד שנערך בערבות מואב בשנה הארבעים, לקראת הכניסה לארץ ולקראת חלוקתה לשבטים. לכל אלו קדם מפקד אחר. מפקד עליו נצטווה משה כחלק מהציווי על מלאכת המשכן בספר שמות בראש פרשת כי תשא (שמות ל, יא-טז). סיכומו של מפקד זה מופיע בראש פרשת פקודי (שמות לח, כה-כח) ובינו לבין המפקד הפותח את ספרנו מפרידה כמחצית השנה. מפתיעה עד מאוד העובדה שבשני המפקדים נתקבלה אותה התוצאה - ""שש מאות אלף ושלשת אלפים וחמש מאות וחמשים"", וכבר נדרשתי לשאלה זו בספר שמות (ל, טז). (פ' במדבר תשמ""ט)"
		"<b>""וידבר ה' אל משה"". </b>אונקלוס מתרגם: וּמַלֵּיל ה' <b>עִם</b> מֹשֶׁה. ושאלתי את ידידי ר' רפאל בנימין פוזן שי' על כך, והרי תשובתו: הארמית מבחינה בין 'אמירה אֶל', לבין 'דיבור אֶל': דיבור הוא הדדי, ולכן דיבור ""אֶל"" מתורגם ""עִם"". כנגד זאת באמירה ""אֶל"", השומע הוא פסיבי, ולכן גם בארמית תרגומה ""אֶל"" (לְ). מעיון בפסוקים מתברר שדיבור אֶל־ המתורגם עִם זהו רק בדיבור אדם לאדם, אבל דיבור ה' ""אל"" האדם מתורגם בקביעות לְ־ ולא עִם. והטעם, מכיוון שאדם אינו מסוגל להחזיר דיבור לה', אין לתרגם אצלו ""עִם"". יוצא מן הכלל הוא דיבור הקב""ה ""אֶל"" משה המתורגם בדרך הקבע ""עִם"" ולכן ""וידבר ה' <b>אל</b> משה"" מתורגם בקביעות ""וּמַלֵּיל ה' <b>עִם</b> מֹשֶׁה"", אבל ""וידבר ה' <b>אל </b>אהרן"" (ויקרא י, ח; במדבר יח, ח) מתורגם ""וּמַלֵּיל ה' <b>לְ</b>אַהֲרֹן"" ולא ""עם אהרן"". בכך רומז המתרגם להפרש שבין נבואת משה לנבואת אהרן: אצל משה, שדרגת נבואתו היא בבחינת ""פה אל פה"" (במדבר יב, ח) הדיבור ""<b>אל</b> משה"" מתורגם ""<b>עם</b> משה"" לציון ההדדיות; כאשר משה שמע את הדיבור, היה מסוגל גם להשיב וזהו ""עם"". אבל הדיבור ""<b>אל</b> אהרן"" מתורגם ""<b>ל</b>אהרן"" ולא ""עִם"" משום שהוא היה שומע פסיבי בלבד ולא היה מסוגל להשיב. ע""כ. וראה מש""כ להלן (ד, א) ובספר שמות (ו, יג). (פ' במדבר תשנ""ז)"
		"<b>רש""י ד""ה וידבר, ...מתוך חיבתן לפניו מונה אותם כל שעה (במדבר רבה ב, יט) וכו'.</b> צריך אפוא לומר שמנייה מתוך חיבה היא ""לצורך"", כי הרי מניה שלא לצורך אסורה, ויפה בהקשר זה משלו של רבנו בחיי (בדבריו לפסוק ג): משל למלך שהיו לו גרנות הרבה והיו כולן מלאין תבן וקשין ולא היה מדקדק במניינן. היתה לו גורן אחת מלאה חיטין, אמר לבן ביתו: מנה לי כמה כורין יש בו, כמה מידות יש בו! המלך - זה הקב""ה, הגורן - אלו ישראל... התבואה - זה עם קדשו... בן ביתו - זה משה... כך הגויים נמשלים לתבן וקש... אבל ישראל חיטים ברורים הם, צדיקים הם, שנאמר: ""ועמך כולם צדיקים לעולם יירשו ארץ"" (ישעיה ס, כא), לפיכך הוא מדקדק במנין כולם. ע""כ. וראה רמב""ן על אתר באשר למניה על ידי דוד המלך ע""ה (ראה שמואל ב' כד, ט), שלא היתה לצורך אלא רק לשמח לבו שמולך על עם רב, ולכן היה קצף ה' עליו. עיין שם עוד. (פ' במדבר תשנ""ה) הערת הגר""א נבנצל שליט""א: איסור מנִיה שלא לצורך חל עלינו ולא על הקב""ה. הקב""ה מונה את בניו מתוך חיבה, אך למשה, דומה שאסור למנות משום חיבתו שלו, אלא שכאן קיבל ציווי מפורש על המנין, ובמקום שיש ציווי נחשב הדבר לצורך."
		"ורמב""ן להלן (פסוק מה) מביא ארבעה טעמים לציווי ה' למנות את ישראל: (א) כדי להודיע את חסדיו שבשבעים נפש ירדו למצרים ועתה הרבם כחול הים (לפי הסבר זה עדיין יש להבין מדוע היה צורך בחלוקה לשבטים). (ב) כדי שמשה רבנו, אבי הנביאים, ואהרן הכהן, קדוש ה', ישימו עיניהם הטובה על ישראל ויבקשו עליהם רחמים (גם לפי הסבר זה לא מבואר הצורך בחלוקה לשבטים ובציון המספרים). (ג) כדי לדעת איזה תפקיד מוטל על כל שבט במלחמת כיבוש הארץ (טעם זה מובא גם ברשב""ם לפסוק ב). (ד) כדי שיהיו מסודרים לקראת חלוקת הנחלה בארץ ישראל, שידע כל אחד לאיזה שבט הוא מיוחס. (פ' במדבר תשנ""ה)"
	@22ב	"<b>""...במספר שמות"".</b> ביטוי זה מופיע חמש עשרה פעמים בפרשתנו ועוד פעם אחת בפרשת פינחס (כו, נג). והנה משמעו של הביטוי לא ברור לי. כיצד מונים שמות? ושמא ביטוי זה הוא יסוד המדרש שרש""י מביא במנין הלויים (להלן ג, טז רש""י ד""ה על פי ה') והוא מתנחומא לפרשת במדבר (טז): ""...ובת קול יוצאה מן האהל ואומרת, כך וכך תינוקות יש באהל זה"" וכו'. בפשטות, הקושי שעמד בפני משה רבנו ע""ה באשר למניית הלויים מבני חודש ומעלה, עמד בפניו גם באשר למניית בכורות ישראל שנמנו מבן חודש ומעלה, ומעניין שבמנין הבכורות (להלן ג, מ) אין נדרשים לקושי זה. (פ' במדבר תשמ""ח)"
		"ואולי ""במספר שמות"" מורה על מנייה על פי חרסים־פתקים ששמות הנימנים רשומים עליהם. (פ' נשא תשמ""ח)"
		"וראה דברי ידידי ר' יחיאל צבי מושקוביץ שי' ב""דעת מקרא"" שם כתב: הספירה היתה בשמות. במפקד לא רק נקבע המספר הכולל של הנפשות בשבט, אלא כל אדם הוגדר והוצמד למשפחתו, לבית האב שלו ולשבטו. (פ' במדבר תש""ן) וכן מבואר ב""העמק דבר"" על אתר שכתב: במספר שמות - כל אחד הושיט שמו ושם שבטו, ואחר כך מנו הפתקות. וראה ר""ע ספורנו, לפיו ביטוי זה בא לציין את מעלתם של בני אותו הדור, שכל אחד מהם ראוי היה להקרא בשמו, שלא כבמנין בני ישראל שבפרשת פינחס (אחרי ארבעים שנה במדבר), לקראת כניסתם הסופית לארץ כנען, שם חסר באופן בולט הביטוי ""במספר שמות""."
		"<b>רש""י ד""ה למשפחֹתם, דע מנין כל שבט ושבט. ד""ה לבית אבֹתם, מי שאביו משבט אחד וכו'.</b> דומה שד""ה השני אינו ד""ה אלא צריך להבליע מילותיו בהמשך, וכוונת רש""י היא לומר שרק בהתיחסות בתי האב למשפחות, לשבט האב, אפשר לדעת את מניינו של כל שבט, בשל נישואין בין־שבטיים. ואכן בדפו""ר אין ציון ד""ה לבית אבתם. ותמוה שר' יצחק לוי בחומש רש""ר הירש לא נהג כך, אך באמת לא מצאתי בשום מקום הערה לכך. וגם ב""דעת מקרא"" הדפיסו כמקובל, ולא ידעתי איך הבינו דברי רש""י. (פ' במדבר תשמ""ט) אבל ראה ""נחלת יעקב"", לפיו אין לפרש שגם ""לבית אבֹתם"" חוזר אל תחילת הכתוב, משום שאם כן יש כאן כפילות מיותרת, אלא יש לפרש שלפי רש""י ""למשפחֹתם"", פירושו כאן ""לשבטיהם"", ואמרה התורה ""למשפחתם"", כי בני ישראל לא הוכרו באמירת שם שבטם אלא באמירת שם משפחתם, כמבואר ב""גור אריה"". מלבד זה, מוסיף הכתוב ""לבית אבֹתם"", ללמדנו כי בשעת מנין השבטים היחוס אל השבט יקבע לפי משפחת האב. כלומר, אם האב והאם אינם מאותו שבט, הבן ימנה על שבט האב."
