בשלח,"א, א",ראו כי:,"נאמר בשנת תקס""ה — ראה אוה""ת משפטים ע' ג'טז: ביאור ע""פ ראו . . בשלח תקס""ה. היום יום י""ז שבט ע' כ."
,,,"ביאור לד""ה זה נדפס במאמרי אדה""ז פרשיות פ' בשלח ע' רפז. ובסה""מ תקס""ה ח""א ע' רמא."
,,,"ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א."
,,,"המאמר באריכות במאמרי אדה""א שמות-א ע' רה."
,,,"ראה אוה""ת בשלח ע' תרנז. כרך ח ע' ב'תתקע."
,,,"ראה שיחת ש""ק פ' כי תשא תשד""מ. נדפס גם בלקו""ש חכ""ו ע' 386."
,,,"בביכל שמינית בויגין שת""י ראיתי שינויים (קלים) ויורשם פה, למראה עינים. [כ]."
,,ראו כי ה' נתן לכם:,"שמות טז, כט."
,,במדרש תלים:,"ראה ד""ה ויאמר לך לך תרכ""ז [בהוצאת תש""ס] ע' ט ובמ""מ לשם. בד""ה לך לך תר""ל ע' ט בענין הכפל דשבת."
,,קדשנו במצותיך:,"ברכת התפלה דשבת ויו""ט."
,,,"במאמרי אדה""א שמות-א ע' רו מקשה עוד יותר ”ואדרבה בשבת הי' ראוי לומר ל' עבר לפי שמצות שבת היא מצוה הראשונה שכבר קיים הקב""ה בעצמו"" ע""ש בארוכה."
,,,"בענין קדשנו במצותיך — ראה לקמן פ' במדבר ח, ד. קטע מובא באוה""ת פ' יתרו כרך ז ע' ב'תשה."
,,דרכי' דרכי נועם:,"משלי ג, יז."
,,ושמרו דרך ה':,"בראשית יח, יט."
,,כי בי-ה ה' צור עולמים:,"ישעי' כו, ד."
,,"ביו""ד נברא העוה""ב:","מנחות כט, ב. במאמרי אדה""א שמות-א ע' ריב מבאר איך מאות י' גשמי יומשך חיי העוה""ב שהוא חיי עולם הרוחני ולא יתכן לומר ענין ציור גשמי דאות היו""ד שלנו. וראה בענין זה גם בלקו""ת שה""ש ד, ב."
,,"ביו""ד מאמרות נברא העולם:","אבות פ""ה, מ""א."
,,צורה — כו':,"ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א."
,,בחכ' בתבונה ובדעת כו':,"חגיגה יב, א."
,,"יו""ד — להאיר רק:","שם אי' ”לא הי'"" רק ותי' להאיר לי' שם. [כ]. [ובאוה""ת בשלח ע' תרנז הוא כבפנים]."
,,לאו דאית לך צדק . . ולאו מכל אינון מדות:,"ת""ז בהקדמה (פתח אליהו ואמר)."
,,כי אמרתי עולם חסד יבנה:,"תהלים פט, ג."
,,"ע""פ ההשגה שמשיגים:","ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א."
,,השכל — כו':,"ראה הערת כ""ק אדמ""ר בהוספות — לעיל כ, א."
,,"בד""ה לסוסתי ברכבי:","לקו""ת שה""ש יא, ד ואילך."
