בשלח,ראו כי:,"Likkutei Torah, Beshalach 1:1","נאמר בשנת תקס""ה — ראה אוה""ת משפטים ע' ג'טז: ביאור ע""פ ראו . . בשלח תקס""ה. היום יום י""ז שבט ע' כ.<br>ביאור לד""ה זה נדפס במאמרי אדה""ז פרשיות פ' בשלח ע' רפז. ובסה""מ תקס""ה ח""א ע' רמא.<br>ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א.<br>המאמר באריכות במאמרי אדה""א שמות-א ע' רה.<br>ראה אוה""ת בשלח ע' תרנז. כרך ח ע' ב'תתקע.<br>ראה שיחת ש""ק פ' כי תשא תשד""מ. נדפס גם בלקו""ש חכ""ו ע' 386.<br>בביכל שמינית בויגין שת""י ראיתי שינויים (קלים) ויורשם פה, למראה עינים. [כ].","א, א"
בשלח,ראו כי ה' נתן לכם:,"Likkutei Torah, Beshalach 1:1","שמות טז, כט.","א, א"
בשלח,במדרש תלים:,"Likkutei Torah, Beshalach 1:1","ראה ד""ה ויאמר לך לך תרכ""ז [בהוצאת תש""ס] ע' ט ובמ""מ לשם. בד""ה לך לך תר""ל ע' ט בענין הכפל דשבת.","א, א"
בשלח,קדשנו במצותיך:,"Likkutei Torah, Beshalach 1:2","ברכת התפלה דשבת ויו""ט.<br>במאמרי אדה""א שמות-א ע' רו מקשה עוד יותר ”ואדרבה בשבת הי' ראוי לומר ל' עבר לפי שמצות שבת היא מצוה הראשונה שכבר קיים הקב""ה בעצמו"" ע""ש בארוכה.<br>בענין קדשנו במצותיך — ראה לקמן פ' במדבר ח, ד. קטע מובא באוה""ת פ' יתרו כרך ז ע' ב'תשה.","א, א"
בשלח,דרכי' דרכי נועם:,"Likkutei Torah, Beshalach 1:2","משלי ג, יז.","א, א"
בשלח,ושמרו דרך ה':,"Likkutei Torah, Beshalach 1:3","בראשית יח, יט.","א, א"
בשלח,כי בי-ה ה' צור עולמים:,"Likkutei Torah, Beshalach 1:3","ישעי' כו, ד.","א, א"
בשלח,"ביו""ד נברא העוה""ב:","Likkutei Torah, Beshalach 1:3","מנחות כט, ב. במאמרי אדה""א שמות-א ע' ריב מבאר איך מאות י' גשמי יומשך חיי העוה""ב שהוא חיי עולם הרוחני ולא יתכן לומר ענין ציור גשמי דאות היו""ד שלנו. וראה בענין זה גם בלקו""ת שה""ש ד, ב.","א, א"
בשלח,"ביו""ד מאמרות נברא העולם:",,"אבות פ""ה, מ""א.","א, א"
בשלח,צורה — כו':,,"ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א.","א, א"
בשלח,בחכ' בתבונה ובדעת כו':,,"חגיגה יב, א.","א, א"
בשלח,"יו""ד — להאיר רק:","Likkutei Torah, Beshalach 1:3","שם אי' ”לא הי'"" רק ותי' להאיר לי' שם. [כ]. [ובאוה""ת בשלח ע' תרנז הוא כבפנים].","א, א"
בשלח,לאו דאית לך צדק . . ולאו מכל אינון מדות:,"Likkutei Torah, Beshalach 1:4","ת""ז בהקדמה (פתח אליהו ואמר).","א, א"
בשלח,כי אמרתי עולם חסד יבנה:,"Likkutei Torah, Beshalach 1:4","תהלים פט, ג.","א, א"
בשלח,"ע""פ ההשגה שמשיגים:","Likkutei Torah, Beshalach 1:5","ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א.","א, א"
בשלח,השכל — כו':,"Likkutei Torah, Beshalach 1:5","ראה הערת כ""ק אדמ""ר בהוספות — לעיל כ, א.","א, א"
בשלח,"בד""ה לסוסתי ברכבי:",,"לקו""ת שה""ש יא, ד ואילך.","א, א"
בשלח,כי עמך מקור חיים:,,"תהלים לו, י. ראה לקמן ויקרא נב, ד ואילך. (אוה""ת ויקרא-ב ע' תש). אוה""ת שמות-ז ע' ב'תקמ.","א, א"
בשלח,"וע' בזח""ג פ' צו דף ל""ד סע""א:",,"”עמך שריא דלא מתפרש מינך, המבואר שמפרשו על יחוד או""א שהן תרין ריעין דלא מתפרשין . . כי עמך שני פי', הא' עמך דבר הטפל ובטל לך ולא אתה ממש . . הב' פי' עמך דבר שהוא עמך ממש מה שלמעלה מבחי' הגילוי"" — יהל אור עה""פ (ע' קלז). וראה באוה""ת בראשית-ב דף שה, א.","א, א"
בשלח,"ובפ' אמור ק""א א':",,"וע""ד כתיב כי עמך הסליחה וכתיב כי עמך מקור חיים פי' במק""מ עמך בינה שמשם היא הסליחה . . והסליחה נמשך מבחי' שהוא עמך ממש שהוא למעלה מסוכ""ע שאינו בגדר עלמין כלל ואינו סובב לעלמין כ""א הוא עמך ממש, וא""כ עד""ז פי' כי עמך מקו""ח היינו כי חיים הוא סוכ""ע וממכ""ע אך עמך הוא מקו""ח"" — יהל אור עה""פ (ע' קלז). וראה לקמן פ' אחרי כט, א. הוספות נב, א.","א, א"
בשלח,"ובספר מג""ע פי' כי מקור חיים:",,"וכן מובא לקמן ויקרא נב, ב ”מבואר בספר מגלה עמוקות אשר מקור חיים בגימט' אור אין סוף"". וראה באוה""ת בראשית-ב דף שי, ב מביא זה בסתם.","א, א"
בשלח,"העוה""ב . . נהנין מזיו השכינה:",,"ראה ברכות יז, א. אוה""ת סוכות ע' א'תשנז.","א, א"
בשלח,להנחיל אוהבי יש:,"Likkutei Torah, Beshalach 1:6","משלי ח, כא.","א, א"
בשלח,"העונג — הנ""ל:","Likkutei Torah, Beshalach 1:6","תי' הנ""ל לי' שם. וז""ל שם לגילוי ”הוא בבחי' צורת היו""ד"" והוא מקור כו'. [כ].","א, א"
בשלח,"הנשמות — ובמ""א:","Likkutei Torah, Beshalach 1:6","אלו המוקפים שעשיתי [מתיבת (ובמ""א עד תיבת שחורה שבשו""ה בד""ה)] ל' שם בהכ""י. [כ].","א, א"
בשלח,"מקור — וכמ""ש בת""א פ' לך לך:","Likkutei Torah, Beshalach 1:7","יג, ב.","א, א"
בשלח,לעולם ישנה אדם לתלמידו:,"Likkutei Torah, Beshalach 1:8","פסחים ג, ב. חולין סג, ב. ראה ביאוה""ז (עו, ד). ביאוה""ז להצ""צ (ע' שסג-ד) ובכ""מ (ע""פ רמב""ם הל' דיעות פ""ב ה""ד) — שבמארז""ל זה מדבר על דרך קצרה הכוללת את כל האריכות (כמו לשון המשנה). ומובן שאין זה סתירה לפירוש הפשוט, כ""א הוספה שביחד עם זה צ""ל קיצור הכולל את כל האריכות, — לקו""ש ח""כ ע' 88 הערה 17. וראה גם בד""ה וידבר אלקים אנכי תשכ""ח (סה""מ מלוקט ח""ג) ע' קסה הדיוק בלשון ”דרך קצרה"" ולא ”שכל קצר"" שצריך להשפיע להתלמיד כל העומק והפרטים שבהשכל, אלא שכל זה צריך ללמדו בדרך קצרה, בדיבורים קצרים שמהם יוכל התלמיד להבין כל הפרטים"".","א, א"
בשלח,"ע""ד — בדרך . . כו':",,"ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א.","א, א"
בשלח,מוסר אביך . . תורת אמך:,,"משלי א, ח.","א, א"
בשלח,"תושב""כ . . תורת אמך:","Likkutei Torah, Beshalach 1:8","על""ק לשמע""צ (פח, ב). וש""נ. [כ].","א, א"
בשלח,"בבה""ז פ' אחרי:","Likkutei Torah, Beshalach 1:9","לאדה""א עו, ג.","א, א"
בשלח,"הולד — ולכן . . יו""ד:","Likkutei Torah, Beshalach 1:10","ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א.","א, א"
בשלח,"בד""ה שחורה אני:",,"לקו""ת שה""ש ד, ב.","א, א"
בשלח,בהבראם — בה' בראם:,"Likkutei Torah, Beshalach 1:11","בראשית ב, ד. ב""ר יב, ב.","א, א"
בשלח,שלמטה — בה':,,"ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א.","א, א"
בשלח,"בתו""א פ' לך לך בד""ה שרי אשתך:",,"יג, ב.","א, ב"
בשלח,"היה — בביאור ע""פ כי תצא:",,"לקו""ת תצא לז, ב.","א, ב"
בשלח,"י""ג ת""ד:",,"ראה זח""ג קלא, א. זח""ב קעז, א.","א, ב"
בשלח,ושער רישי' כעמר נקא:,,"דניאל ז, ט.","א, ב"
בשלח,קדש יהי' גדל פרע:,,"במדבר ו, ה.","א, ב"
בשלח,שער באשה ערוה:,,"ברכות כד, א.","א, ב"
בשלח,שער — כו':,,"ראה הערת כ""ק אדמו""ר בהוספות — לעיל כ, א.","א, ב"
