השמים כסאי:,"Torah Ohr, Bereshit 1:1","הנחת כ""ק אדמו""ר האמצעי בסה""מ תקס""ה ח""ב ע' תשה. וביאור בע' תשטו.<br>ראה לעיל ציונים והערות לכ""ק אדמו""ר זי""ע.<br>הגהות באוה""ת בראשית כרך ג תע, א. ובכרך ו תתרכג, ב (מלקו""ת לג' פרשיות). תתרל, ב. ובמקבילו ד""ה ואשא אתכם תרל""ח ע' ריז (בספר התולדות לכ""ק אדמו""ר מהר""ש, מציין כ""ק אדמו""ר זי""ע ”נתבארו הענינים דד""ה השמים כסאי וביאוריו (שבתו""א ולקו""ת לג""פ) בהרחב הביאור"". וכן נזכר בד""ה ויהיו חיי שרה תרמ""ג ע' כב ”שהוא השמים כסאי שבתו""א"").<br>המאמר נאמר בשבת פ' מסעי ר""ח אב תקס""ה.<br>ראה גם סה""מ תרס""ו ע' תקיט. ד""ה השמים כסאי תשל""ו (סה""מ מלוקט ח""ג ע' קלג). ד""ה השמים כסאי תשל""א.<br>לכללות מאמר זה ראה ד""ה זה תשמ""א־ ש""פ תרומה תשד""מ־ ש""פ נח תשמ""ה. ד""ה כי כאשר השמים פ' ראה תשמ""ה. ד""ה בראשית ברא תשמ""ו וד""ה השמים כסאי תשמ""ו. ד""ה השמים כסאי ש""פ קרח תשמ""ז ושם ביאר שכאן בתו""א מבואר בארוכה דשמים וארץ כולל כל סדר ההשתלשלות דבשמים יש ג' דרגות וגם בארץ יש ג' דרגות, ומבואר ג' דרגות אלו כאן ובדרושים שלאח""ז כפי שהוא בעולמות ובישראל.","א, א"
השמים כסאי:,"Torah Ohr, Bereshit 1:1","ישעי' סו, א.","א, א"
איך שייך עליו ית' לומר כסאי:,"Torah Ohr, Bereshit 1:1","ראה ד""ה השמים כסאי תשל""א.","א, א"
שהרי אין לו דמות הגוף:,"Torah Ohr, Bereshit 1:1","פיוט יגדל. ראה רמב""ם הל' יסודי התורה פרק א ה""ז. פיהמ""ש להרמב""ם פ' חלק יסוד הג'. תניא ח""ב פ""ב. ראה אוה""ת בראשית כרך ו תתרכג, ב. אוה""ת ענינים ע' צב בשם השל""ה.","א, א"
הנה מקום אתי:,"Torah Ohr, Bereshit 1:1","שמות לג, כא.","א, א"
שהוא . . ואין העולם מקומו:,"Torah Ohr, Bereshit 1:1","”כמארז""ל במד""ר ר""פ ויצא תוך פס""ח ע""פ ויפגע במקום, וכ""ה בפ' תשא פמ""ה קרוב לס""פ ע""פ הנה מקום אתי"" — אוה""ת בראשית כרך ו תתרכג, ב (מלקו""ת לג""פ). בסה""מ תרל""ח בד""ה ואשא אתכם ע' ריז.<br>ראה בלקו""ת ויקרא נא, סע""ב.","א, א"
כי מן השמים דברתי:,,"שמות כ, יט.","א, א"
התורה היא מן השמים . . שמים אש ומים:,"Torah Ohr, Bereshit 1:1","ראה אוה""ת כרך ו תתרכג, ב (מלקו""ת לג' פרשיות א, א) שצ""ע שלקמן פ' מקץ בד""ה כי עמך מקו""ח (לד, ד) מפרש שהכוונה על חכמה, וכן לקמן במאמר זה מפרש כן, וכאן מפרש על חו""ג ע""ש.","א, א"
מימינו אש דת למו:,"Torah Ohr, Bereshit 1:1","דברים לג, ב. בבוך 1092, ובבוך 1824 לז, א, ובבוך 2044 רלד, א נוסף: שימין בחי' מים ומבחי' אש נעשה דת למו.","א, א"
ושמרתם את חוקותי:,"Torah Ohr, Bereshit 1:2","ויקרא יח, ה.","א, א"
וכך אנו מבקשים:,"Torah Ohr, Bereshit 1:2","”ע' אמרי בינה פתח השער ט, ב סי' ט""ו"" — הג""ה בכת""י על תו""א דפוס ראשון.","א, א"
ותן בלבינו בינה:,,"ראה ד""ה כל הנקרא בשמי תרצ""ו ע' 107.","א, א"
