index,versionTitle,replaces number
Ikar Tosafot Yom Tov on Mishnah Bava Batra,On Your Way,1
Shita Mekubetzet on Nedarim,Vilna Ed,2
Maadaney Yom Tov on Menachot,Vilna Edition,1
Tur,"Yoreh Deah, Vilna, 1923",2
Tur,"Even HaEzer, Vilna, 1923",3
Tur,"Choshen Mishpat, Vilna, 1923",4
Beit Yosef,"Tur Yoreh Deah, Vilna, 1923",1
Beit Yosef,"Tur Even HaEzer, Vilna, 1923",1
Drisha,"Tur Yoreh Deah, Vilna, 1923",2
Drisha,"Tur Even HaEzer, Vilna, 1923",1
Darchei Moshe,"Tur Orach Chaim, Vilna, 1923",1
Darchei Moshe,"Tur Yoreh Deah, Vilna, 1923",2
Darchei Moshe,"Tur Choshen Mishpat: Vilna, 1923",1
Kisse Rahamim on Tractate Soferim,"Talmud Bavli, Vilna 1883 ed.",1
Nahalat Yaakov on Tractate Soferim,"Talmud Bavli, Vilna 1883 ed.",2
Melekhet Shelomoh on Mishnah Parah,"Mishnah, ed. Romm, Vilna 1913",1
"Be'er HaGolah on Shulchan Arukh, Choshen Mishpat","Shulhan Arukh, Hoshen ha-Mishpat; Lemberg, 1898",2
"Netivot HaMishpat, Beurim on Shulchan Arukh, Choshen Mishpat","Shulhan Arukh, Hoshen ha-Mishpat, Lemberg, 1898",1
Maharam on Avodah Zarah,Vilna Edition,2
"Turei Zahav on Shulchan Arukh, Orach Chayim","Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893",1
"Sha'arei Teshuvah on Shulchan Arukh, Orach Chayim","Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893",1
"Kaf HaChayim on Shulchan Arukh, Orach Chayim","Kaf Hachayim, Orach Chayim vol. I-IV, Jerusalem 1910-1933",3
"Kaf HaChayim on Shulchan Arukh, Orach Chayim","Kaf Hachayim, Orach Chayim vol. V-VIII, Jerusalem 1910-1933",1
"Pitchei Teshuva on Shulchan Arukh, Even HaEzer","Apei Ravrevei: Shulchan Aruch Even HaEzer, Lemberg, 1886",1
"Turei Zahav on Shulchan Arukh, Even HaEzer","Apei Ravrevei: Shulchan Aruch Even HaEzer, Lemberg, 1886",1
Nishmat Adam,"Chayei Adam, Warsaw, 1888",6
"Siftei Kohen on Shulchan Arukh, Yoreh De'ah","Ashlei Ravrevei: Shulchan Aruch Yoreh Deah, Lemberg, 1888",1
"Beur HaGra on Shulchan Arukh, Yoreh De'ah","Ashlei Ravrevei: Shulchan Aruch Yoreh Deah, Lemberg, 1888",2
Pri Megadim on Yoreh De'ah,"Ashlei Ravrevei: Shulchan Aruch Yoreh Deah, Lemberg, 1888",1
Shoel uMeshiv Mahadura V,"Lemberg, 1865-1890",1
"Yad Ephraim on Shulchan Arukh, Orach Chayim","Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893",1
Ohr Zarua,"Ohr Zarua, Zhytomyr, 1862",2
"Chatam Sofer on Shulchan Arukh, Orach Chayim","Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893",1
"Peleti on Shulchan Arukh, Yoreh De'ah","Kereti u'Peleti, Warsaw, 1878",1
Tosefta Kifshutah on Shabbat,"Tosefta Kifshuta. Third Augmented Edition, JTS 2001",2
Mareh HaPanim on Jerusalem Talmud Sukkah,"Piotrków, 1898-1900",1
Sheyarei Korban on Jerusalem Talmud Nedarim,"Piotrków, 1898-1900",1
Guide for the Perplexed,"Judeo Arabic, Paris, 1856 (ar)",2
Kol Yaakov on Shulchan Arukh,"Jerusalem, 1910",1
Ta'amei HaMinhagim,"Lemberg, 1928",1
