index,versionTitle,replaces number
Pirkei Avot,Open Mishnah,2
Mishnah Berakhot,Open Mishnah,2
Mishnah Makkot,Open Mishnah,1
Mishnah Peah,Open Mishnah,2
Bereshit Rabbah,Sefaria Community Translation,11
Rashbam on Genesis,Sefaria Community Translation,20
Sforno on Genesis,Sefaria Community Translation,24
Ramban on Genesis,Sefaria Community Translation,184
Ibn Ezra on Genesis,Sefaria Community Translation,33
Mishnah Berakhot,Sefaria Community Translation,5
Berakhot,Sefaria Community Translation,8
Shabbat,Sefaria Community Translation,2
Kiddushin,Sefaria Community Translation,2
Rashi on Exodus,Sefaria Community Translation,1
Bava Metzia,Sefaria Community Translation,2
Mishnah Ta'anit,Sefaria Community Translation,3
Rashi on Genesis,Sefaria Community Translation,3
For the Perplexed of the Generation,Sefaria Community Translation,28
Megillah,Sefaria Community Translation,13
Sanhedrin,Sefaria Community Translation,1
Ramban on Exodus,Sefaria Community Translation,3
Esther Rabbah,Sefaria Community Translation,1
Rashi on Deuteronomy,Sefaria Community Translation,4
Vayikra Rabbah,Sefaria Community Translation,1
Taanit,Sefaria Community Translation,9
Eikhah Rabbah,Sefaria Community Translation,9
Rashi on Leviticus,Sefaria Community Translation,1
Yevamot,Sefaria Community Translation,1
Chagigah,Sefaria Community Translation,17
Bamidbar Rabbah,Sefaria Community Translation,12
Mishnah Berurah,Sefaria Community Translation,9
Devarim Rabbah,Sefaria Community Translation,4
"Mishneh Torah, Prayer and the Priestly Blessing",Sefaria Community Translation,1
Sefer Chasidim,Sefaria Community Translation,3
"Mishneh Torah, Repentance",Sefaria Community Translation,1
Mishnah Maaser Sheni,Sefaria Community Translation,1
Mishnah Makkot,Sefaria Community Translation,1
Chullin,Sefaria Community Translation,1
Kitzur Shulchan Arukh,Sefaria Community Translation,1
Rashi on Numbers,Sefaria Community Translation,6
"Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary",Sefaria Community Translation,1
Mishnah Tamid,Sefaria Community Translation,10
Radak on Genesis,"Eliyahu Munk, HaChut Hameshulash",1
Mishnah Parah,Sefaria Community Translation,1
Ibn Ezra on Exodus,Sefaria Community Translation,1
Shemot Rabbah,Sefaria Community Translation,13
Kitzur Shulchan Arukh,Yona Newman Translation,1
Rashi on Shabbat,Sefaria Community Translation,2
Sotah,Sefaria Community Translation,6
Makkot,Sefaria Community Translation,5
"Shulchan Arukh, Orach Chayim",Wikisource Shulchan Aruch,2
"Shulchan Arukh, Orach Chayim",Sefaria Community Translation,30
"Shulchan Arukh, Yoreh De'ah",Wikisource Shulchan Aruch - English,2
"Shulchan Arukh, Even HaEzer",Sefaria Community Translation,1
Hadran,Sefaria Community Translation,10
"Mishneh Torah, Kings and Wars",Sefaria Community Translation,4
Kohelet Rabbah,Sefaria Community Translation,1
Bartenura on Mishnah Berakhot,Sefaria Community Translation,1
Deuteronomy,Sefaria Community Translation,5
Maaseh Rav,Sefaria Community Translation,7
Bartenura on Mishnah Makkot,Sefaria Community Translation,1
Rashbam on Exodus,Sefaria Community Translation,1
Rashi on II Samuel,Sefaria Community Translation,1
Mekhilta DeRabbi Yishmael,Sefaria Community Translation,1
Metzudat David on Isaiah,Sefaria Community Translation,1
Duties of the Heart (abridged),"Duties of the Heart, translated by Edwin Collins, 1909",54
Rashi on Judges,Sefaria Community Translation,4
Metzudat David on Psalms,Sefaria Community Translation,1
Malbim on II Samuel,Sefaria Community Translation,6
Rashi on Megillah,Sefaria Community Translation,1
Rashi on Berakhot,Sefaria Community Translation,1
Nehar Misrayim,Sefaria Community Translation,1
Tosafot on Berakhot,Sefaria Community Translation,1
Iggeret HaRamban,Sefaria Community Translation,3
Rashi on Psalms,Sefaria Community Translation,6
Sukkah,Daf Shevui,2
Menachot,Sefaria Community Translation,1
Nedarim,Sefaria Community Translation,2
Kli Yakar on Genesis,Sefaria Community Translation,1
Shir HaShirim Rabbah,Sefaria Community Translation,2
Rashi on Jeremiah,Sefaria Community Translation,1
Shemonah Kevatzim,Sefaria Community Translation,3
Malbim on Psalms,Sefaria Community Translation,1
Ramban on Deuteronomy,Sefaria Community Translation,1
Ramban on Numbers,Sefaria Community Translation,3
Shadal on Genesis,Sefaria Community Translation,1
Mekhilta DeRabbi Yishmael,"Mechilta, translated by Rabbi Shraga Silverstein",11
Netivot Olam,Sefaria Community Translation,3
Magen Avraham,Sefaria Community Translation,1
Pele Yoetz,Sefaria Community Translation,4
Genesis,The Rashi chumash by Rabbi Shraga Silverstein,294
Exodus,The Rashi chumash by Rabbi Shraga Silverstein,562
Numbers,The Rashi chumash by Rabbi Shraga Silverstein,489
Deuteronomy,The Rashi chumash by Rabbi Shraga Silverstein,901
Leviticus,The Rashi chumash by Rabbi Shraga Silverstein,388
Derashot HaRan,"Derashot HaRan, by Rabbi Shraga Silverstein",665
Pirkei Avot,The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,25
Mishnah Berakhot,The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,56
Malbim on Isaiah,Sefaria Community Translation,1
