Blessings 4.7,"A person who decides not to continue eating or drinking, <sup class=""footnote-marker"">1</sup><i class=""footnote"">The <i>Kessef Mishneh</i> cites <i>Pesachim</i> 103b, which states that once a person diverts his attention from drinking wine, he must recite another blessing when he begins drinking again.<br>The Ra'avad notes that the passage from <i>Pesachim</i> (<i>loc. cit.</i>) mentions only drinking and does not discuss eating, and on that basis protests against the Rambam's equation of the two. From <i>Berachot</i> 42a, however, it appears that similar principles apply with regard to eating.</i> and afterwards changes his mind and [desires to] eat or drink, must recite another blessing <sup class=""footnote-marker"">2</sup><i class=""footnote"">efore partaking of the food or drink. He is not, however, required to recite a blessing after the first food or drink. Rather, he is required to recite only a single blessing after he completes eating.</i> although he has not changed his place. <sup class=""footnote-marker"">3</sup><i class=""footnote"">As mentioned in Halachot 3-5, a person who changes his place while eating must recite both a blessing after the food he has eaten previously and a blessing over the food he plans to eat in his new place.<br>Many authorities do not accept the Rambam's decision with regard to a meal that includes bread. When a person sits down to such a meal, he is considered to have fixed his attention on eating. People frequently become drawn into eating more than they originally intended at such meals. Thus, a person's decision not to continue eating is not considered final, since it is quite possible that he will change his mind and decide to eat again. (See <i>Shulchan Aruch HaRav</i> 179:1).<br>Based on these principles, the <i>Shulchan Aruch</i> (<i>Orach Chayim</i> 179:1) rules that, although once a person has decided to cease eating or drinking a new blessing is generally required, when partaking of a meal it is not sufficient to make a mental decision, and a person must wash before grace to be considered to have ceased eating.</i> If he did not decide [to cease] eating or drinking and had in mind to continue - even if he <sup class=""footnote-marker"">4</sup><i class=""footnote"">emained in the place in which he ate originally, and</i> made an interruption for the entire day <sup class=""footnote-marker"">6</sup><i class=""footnote"">The Rambam's terminology appears to be a stylistic exaggeration. If a person waits long enough for the food he has eaten to digest, it would appear that he is required to recite another blessing before beginning to eat again (<i>Kin’at Eliyahu</i>).</i> - he is not required to recite a second blessing. <sup class=""footnote-marker"">7</sup><i class=""footnote"">efore partaking of more food or drink.</i>",5,did not decide [to cease] eating or drinking and had in mind to continue,eating at a later time
Leavened and Unleavened Bread 8.1,"The order of the fulfillment of these mitzvot <sup class=""footnote-marker"">1</sup><i class=""footnote"">the mitzvot of eating matzah, maror, and <i>charoset</i>, and of relating the story of the Exodus.</i> on the night of the fifteenth [of Nisan] <sup class=""footnote-marker"">2</sup><i class=""footnote"">and in the Diaspora, on the night of the sixteenth of Nisan</i> is as follows: In the beginning, <sup class=""footnote-marker"">3</sup><i class=""footnote"">It is customary to begin the Seder as soon as possible after nightfall, in order that the children will be able to remain awake and participate in the Seder.</i> a cup [of wine] is mixed <sup class=""footnote-marker"">4</sup><i class=""footnote"">with water, as stated in Halachah 7:9.</i> for each individual. <sup class=""footnote-marker"">5</sup><i class=""footnote"">See Halachah 7:7.</i> They recite the blessing,<br>בורא פרי הגפן and the <i>kiddush</i> of the day on it, and the blessing, <i>shehecheyanu</i>. <sup class=""footnote-marker"">7</sup><i class=""footnote"">which is recited whenever a person fulfills a mitzvah that is not performed frequently. Though this blessing is instituted for the fulfillment of the mitzvah of celebrating the holiday of Pesach, one should also have the intention of including the other mitzvot mentioned above.</i> Then, they drink <sup class=""footnote-marker"">8</sup><i class=""footnote"">while reclining, as in Halachah 7:8.</i> [it].<br>Afterwards, one recites the blessing, על נטילת ידים, and washes one's hands. <sup class=""footnote-marker"">10</sup><i class=""footnote"">in preparation for eating the vegetable dipped in <i>charoset</i>, as mentioned in the following halachah. In <i>Hilchot Berachot</i> 6:1, the Rambam writes that one must wash one's hands before partaking of any food dipped in a liquid. However, the present custom is not to recite a blessing before this washing. (<i>Shulchan Aruch, Orach Chayim</i> 473:6, <i>Taz</i>). See also <i>Shulchan Aruch, Orach Chayim</i> 158:4.</i> A set table is brought, <sup class=""footnote-marker"">11</sup><i class=""footnote"">In the Rambam's commentary on the Mishnah, <i>Pesachim</i> 1:3, he writes that the table is brought before <i>kiddush</i>. This is also the custom in most homes today, where the Seder plate is brought to the table before <i>kiddush</i>.</i> on which are <sup class=""footnote-marker"">12</sup><i class=""footnote"">all the objects to be used during the Seder:</i> maror, another vegetable, <sup class=""footnote-marker"">13</sup><i class=""footnote"">to dip in the <i>charoset</i> as <i>karpas,</i</i> matzah, <i>charoset</i>, the body of the Paschal lamb, and the meat of the festive offering of the fourteenth of Pesach. <sup class=""footnote-marker"">14</sup><i class=""footnote"">The Paschal sacrifice should be eaten after one has been satisfied from eating other foods. Therefore, another sacrifice, a חגיגה (festive offering) was also brought to make up the main body of the festive meal. (See <i>Hilchot Korban Pesach</i> 10:12-14.)</i> At present, <sup class=""footnote-marker"">15</sup><i class=""footnote"">when the Temple has not yet been rebuilt and we do not bring the Paschal sacrifice</i> we bring two types of meat on the table: one in commemoration of the Paschal sacrifice <sup class=""footnote-marker"">16</sup><i class=""footnote"">The <i>Chidah</i> mentions that it is customary that the meat designated in commemoration of the Paschal sacrifice be roasted in the way that sacrifice was roasted. Rabbenu Manoach writes that it is customary to take the front leg or shank-bone of a lamb as a reference to God's ""outstretched arm.""<br>It is forbidden to designate an animal as a sacrifice at present. Hence, since many of the common people might think that the shank-bone was actually a Paschal sacrifice, many authorities suggested using a bone from a chicken, a species which was never offered as a sacrifice. Similarly, we are warned not to eat the shank-bone.<br><b>and one in commemoration of the festive offering. --</b> The custom of bringing a type of meat to commemorate the festive offering is one of the opinions mentioned in <i>Pesachim</i> 114b. Our custom is to use an egg for that purpose. The <i>Maggid Mishneh</i> writes that the latter practice was commonly observed in his day as well. In contrast to the shank-bone, the egg may be eaten. Indeed, it is customary in many communities to begin the Seder meal by eating it.</i> and one in commemoration of the festive offering.",6,,"and they recite the blessing, בורא פרי הגפן"
Leavened and Unleavened Bread 8.1,"The order of the fulfillment of these mitzvot <sup class=""footnote-marker"">1</sup><i class=""footnote"">the mitzvot of eating matzah, maror, and <i>charoset</i>, and of relating the story of the Exodus.</i> on the night of the fifteenth [of Nisan] <sup class=""footnote-marker"">2</sup><i class=""footnote"">and in the Diaspora, on the night of the sixteenth of Nisan</i> is as follows: In the beginning, <sup class=""footnote-marker"">3</sup><i class=""footnote"">It is customary to begin the Seder as soon as possible after nightfall, in order that the children will be able to remain awake and participate in the Seder.</i> a cup [of wine] is mixed <sup class=""footnote-marker"">4</sup><i class=""footnote"">with water, as stated in Halachah 7:9.</i> for each individual. <sup class=""footnote-marker"">5</sup><i class=""footnote"">See Halachah 7:7.</i> They recite the blessing,<br>בורא פרי הגפן and the <i>kiddush</i> of the day on it, and the blessing, <i>shehecheyanu</i>. <sup class=""footnote-marker"">7</sup><i class=""footnote"">which is recited whenever a person fulfills a mitzvah that is not performed frequently. Though this blessing is instituted for the fulfillment of the mitzvah of celebrating the holiday of Pesach, one should also have the intention of including the other mitzvot mentioned above.</i> Then, they drink <sup class=""footnote-marker"">8</sup><i class=""footnote"">while reclining, as in Halachah 7:8.</i> [it].<br>Afterwards, one recites the blessing, על נטילת ידים, and washes one's hands. <sup class=""footnote-marker"">10</sup><i class=""footnote"">in preparation for eating the vegetable dipped in <i>charoset</i>, as mentioned in the following halachah. In <i>Hilchot Berachot</i> 6:1, the Rambam writes that one must wash one's hands before partaking of any food dipped in a liquid. However, the present custom is not to recite a blessing before this washing. (<i>Shulchan Aruch, Orach Chayim</i> 473:6, <i>Taz</i>). See also <i>Shulchan Aruch, Orach Chayim</i> 158:4.</i> A set table is brought, <sup class=""footnote-marker"">11</sup><i class=""footnote"">In the Rambam's commentary on the Mishnah, <i>Pesachim</i> 1:3, he writes that the table is brought before <i>kiddush</i>. This is also the custom in most homes today, where the Seder plate is brought to the table before <i>kiddush</i>.</i> on which are <sup class=""footnote-marker"">12</sup><i class=""footnote"">all the objects to be used during the Seder:</i> maror, another vegetable, <sup class=""footnote-marker"">13</sup><i class=""footnote"">to dip in the <i>charoset</i> as <i>karpas,</i</i> matzah, <i>charoset</i>, the body of the Paschal lamb, and the meat of the festive offering of the fourteenth of Pesach. <sup class=""footnote-marker"">14</sup><i class=""footnote"">The Paschal sacrifice should be eaten after one has been satisfied from eating other foods. Therefore, another sacrifice, a חגיגה (festive offering) was also brought to make up the main body of the festive meal. (See <i>Hilchot Korban Pesach</i> 10:12-14.)</i> At present, <sup class=""footnote-marker"">15</sup><i class=""footnote"">when the Temple has not yet been rebuilt and we do not bring the Paschal sacrifice</i> we bring two types of meat on the table: one in commemoration of the Paschal sacrifice <sup class=""footnote-marker"">16</sup><i class=""footnote"">The <i>Chidah</i> mentions that it is customary that the meat designated in commemoration of the Paschal sacrifice be roasted in the way that sacrifice was roasted. Rabbenu Manoach writes that it is customary to take the front leg or shank-bone of a lamb as a reference to God's ""outstretched arm.""<br>It is forbidden to designate an animal as a sacrifice at present. Hence, since many of the common people might think that the shank-bone was actually a Paschal sacrifice, many authorities suggested using a bone from a chicken, a species which was never offered as a sacrifice. Similarly, we are warned not to eat the shank-bone.<br><b>and one in commemoration of the festive offering. --</b> The custom of bringing a type of meat to commemorate the festive offering is one of the opinions mentioned in <i>Pesachim</i> 114b. Our custom is to use an egg for that purpose. The <i>Maggid Mishneh</i> writes that the latter practice was commonly observed in his day as well. In contrast to the shank-bone, the egg may be eaten. Indeed, it is customary in many communities to begin the Seder meal by eating it.</i> and one in commemoration of the festive offering.",9,,"Afterwards, one recites the blessing, על נטילת ידים,"
Leavened and Unleavened Bread 8.2,"He <sup class=""footnote-marker"">1</sup><i class=""footnote"">the person leading the Sede</i> begins and recites the blessing, בורא פרי האדמה, takes the vegetable, <sup class=""footnote-marker"">3</sup><i class=""footnote"">Rabbenu Manoach writes that it is customary to use כרפס (parsley).<br>This practice is instituted in order to pique the curiosity of the children. (See Halachah 7:3.) They see us beginning to eat without continuing to do so.</i> dips it in <i>charoset</i>, <sup class=""footnote-marker"">4</sup><i class=""footnote"">This custom is also mentioned in the Haggadot of Rav Saadia Gaon and Rav Amram Gaon. However, Rabbenu Tam and many Ashkenazic authorities object to it. Hence, it is our practice to dip the vegetable in salt water or vinegar. (See <i>Beit Yosef, Orach Chayim</i> 473.)</i> and eats a כזית. He and all those eating together with him, each and every one, do not eat less than a כזית.<br>Afterwards, the table is taken away <sup class=""footnote-marker"">7</sup><i class=""footnote"">to arouse the children's curiosity, as explained in Halachah 7:3.</i> from the person reciting the Haggadah alone. <sup class=""footnote-marker"">8</sup><i class=""footnote"">This was customary when people sat on couches with small tables in front of them. At present, it is customary to remove the Seder plate.</i> The second cup [of wine] is mixed. <sup class=""footnote-marker"">9</sup><i class=""footnote"">This also is intended to pique the children's curiosity, for though the wine is poured, it is not drunk until later.</i> Here is where the son asks, and the one reciting [the Haggadah] <sup class=""footnote-marker"">10</sup><i class=""footnote"">Some versions of the <i>Mishneh Torah</i> omit the latter phrase, which implies that the questions are not asked by the children. Others interpret the passage as follows: the children ask without necessarily phrasing the questions precisely, and then the leader recites the standard text. Perhaps this is the source for the custom followed by many, where, after the child recites the four questions, the leader of the Seder, and, at times, each of the assembled, also recites the questions.</i> says:<br><br>Why is this night different from all other nights?<br>On all other nights, we are not required to dip even once. On this night, we dip twice?<br>On all other nights, we eat chametz (leaven) or matzah. On this night, only matzah?<br>On all other nights, we eat roasted, boiled, or cooked meat. On this night we eat only roasted?<br>On all other nights, we eat any type of vegetables. On this night, we eat maror (bitter herbs)?<br>On <sup class=""footnote-marker"">13</sup><i class=""footnote"">In contrast to the question regarding matzah, we do not say only bitter herbs, for other vegetables are allowed (and even required: for use in the karpas) on Pesach.</i> all other nights, we eat either sitting upright or reclining. On this night, we all recline?<br> <sup class=""footnote-marker"">14</sup><i class=""footnote"">This question is not mentioned in the Mishnah. Some commentaries maintain that it was not recited in that period for it was customary for many to eat reclining throughout the year. Thus, doing so on Pesach was not a unique phenomenon. Nevertheless, this question is found in as early a Haggadah as that of Rav Amram Gaon.<br>Others maintain that, by including it in this halachah, the Rambam expresses his opinion that it was mentioned while the Temple was standing. Thus, at that time, five questions were recited.</i>",2,,"ecited before partaking of a vegetable. It is proper to have the intention to include also the maror, which is eaten later."
Leavened and Unleavened Bread 8.2,"He <sup class=""footnote-marker"">1</sup><i class=""footnote"">the person leading the Sede</i> begins and recites the blessing, בורא פרי האדמה, takes the vegetable, <sup class=""footnote-marker"">3</sup><i class=""footnote"">Rabbenu Manoach writes that it is customary to use כרפס (parsley).<br>This practice is instituted in order to pique the curiosity of the children. (See Halachah 7:3.) They see us beginning to eat without continuing to do so.</i> dips it in <i>charoset</i>, <sup class=""footnote-marker"">4</sup><i class=""footnote"">This custom is also mentioned in the Haggadot of Rav Saadia Gaon and Rav Amram Gaon. However, Rabbenu Tam and many Ashkenazic authorities object to it. Hence, it is our practice to dip the vegetable in salt water or vinegar. (See <i>Beit Yosef, Orach Chayim</i> 473.)</i> and eats a כזית. He and all those eating together with him, each and every one, do not eat less than a כזית.<br>Afterwards, the table is taken away <sup class=""footnote-marker"">7</sup><i class=""footnote"">to arouse the children's curiosity, as explained in Halachah 7:3.</i> from the person reciting the Haggadah alone. <sup class=""footnote-marker"">8</sup><i class=""footnote"">This was customary when people sat on couches with small tables in front of them. At present, it is customary to remove the Seder plate.</i> The second cup [of wine] is mixed. <sup class=""footnote-marker"">9</sup><i class=""footnote"">This also is intended to pique the children's curiosity, for though the wine is poured, it is not drunk until later.</i> Here is where the son asks, and the one reciting [the Haggadah] <sup class=""footnote-marker"">10</sup><i class=""footnote"">Some versions of the <i>Mishneh Torah</i> omit the latter phrase, which implies that the questions are not asked by the children. Others interpret the passage as follows: the children ask without necessarily phrasing the questions precisely, and then the leader recites the standard text. Perhaps this is the source for the custom followed by many, where, after the child recites the four questions, the leader of the Seder, and, at times, each of the assembled, also recites the questions.</i> says:<br><br>Why is this night different from all other nights?<br>On all other nights, we are not required to dip even once. On this night, we dip twice?<br>On all other nights, we eat chametz (leaven) or matzah. On this night, only matzah?<br>On all other nights, we eat roasted, boiled, or cooked meat. On this night we eat only roasted?<br>On all other nights, we eat any type of vegetables. On this night, we eat maror (bitter herbs)?<br>On <sup class=""footnote-marker"">13</sup><i class=""footnote"">In contrast to the question regarding matzah, we do not say only bitter herbs, for other vegetables are allowed (and even required: for use in the karpas) on Pesach.</i> all other nights, we eat either sitting upright or reclining. On this night, we all recline?<br> <sup class=""footnote-marker"">14</sup><i class=""footnote"">This question is not mentioned in the Mishnah. Some commentaries maintain that it was not recited in that period for it was customary for many to eat reclining throughout the year. Thus, doing so on Pesach was not a unique phenomenon. Nevertheless, this question is found in as early a Haggadah as that of Rav Amram Gaon.<br>Others maintain that, by including it in this halachah, the Rambam expresses his opinion that it was mentioned while the Temple was standing. Thus, at that time, five questions were recited.</i>",5,,"The Rambam requires that a כזית be eaten, because the Rabbis instituted the custom of eating the vegetable. The use of the term ""eating"" in halachah implies a minimum of a כזית (<i>Maggid Mishneh</i>). Nevertheless, this opinion is not accepted. The <i>Shulchan Aruch, Orach Chayim</i> 473:6, states that less than a כזית should be eaten, in order that no question arise as to whether or not one is obligated to recite a blessing afterwards."
Leavened and Unleavened Bread 8.2,"He <sup class=""footnote-marker"">1</sup><i class=""footnote"">the person leading the Sede</i> begins and recites the blessing, בורא פרי האדמה, takes the vegetable, <sup class=""footnote-marker"">3</sup><i class=""footnote"">Rabbenu Manoach writes that it is customary to use כרפס (parsley).<br>This practice is instituted in order to pique the curiosity of the children. (See Halachah 7:3.) They see us beginning to eat without continuing to do so.</i> dips it in <i>charoset</i>, <sup class=""footnote-marker"">4</sup><i class=""footnote"">This custom is also mentioned in the Haggadot of Rav Saadia Gaon and Rav Amram Gaon. However, Rabbenu Tam and many Ashkenazic authorities object to it. Hence, it is our practice to dip the vegetable in salt water or vinegar. (See <i>Beit Yosef, Orach Chayim</i> 473.)</i> and eats a כזית. He and all those eating together with him, each and every one, do not eat less than a כזית.<br>Afterwards, the table is taken away <sup class=""footnote-marker"">7</sup><i class=""footnote"">to arouse the children's curiosity, as explained in Halachah 7:3.</i> from the person reciting the Haggadah alone. <sup class=""footnote-marker"">8</sup><i class=""footnote"">This was customary when people sat on couches with small tables in front of them. At present, it is customary to remove the Seder plate.</i> The second cup [of wine] is mixed. <sup class=""footnote-marker"">9</sup><i class=""footnote"">This also is intended to pique the children's curiosity, for though the wine is poured, it is not drunk until later.</i> Here is where the son asks, and the one reciting [the Haggadah] <sup class=""footnote-marker"">10</sup><i class=""footnote"">Some versions of the <i>Mishneh Torah</i> omit the latter phrase, which implies that the questions are not asked by the children. Others interpret the passage as follows: the children ask without necessarily phrasing the questions precisely, and then the leader recites the standard text. Perhaps this is the source for the custom followed by many, where, after the child recites the four questions, the leader of the Seder, and, at times, each of the assembled, also recites the questions.</i> says:<br><br>Why is this night different from all other nights?<br>On all other nights, we are not required to dip even once. On this night, we dip twice?<br>On all other nights, we eat chametz (leaven) or matzah. On this night, only matzah?<br>On all other nights, we eat roasted, boiled, or cooked meat. On this night we eat only roasted?<br>On all other nights, we eat any type of vegetables. On this night, we eat maror (bitter herbs)?<br>On <sup class=""footnote-marker"">13</sup><i class=""footnote"">In contrast to the question regarding matzah, we do not say only bitter herbs, for other vegetables are allowed (and even required: for use in the karpas) on Pesach.</i> all other nights, we eat either sitting upright or reclining. On this night, we all recline?<br> <sup class=""footnote-marker"">14</sup><i class=""footnote"">This question is not mentioned in the Mishnah. Some commentaries maintain that it was not recited in that period for it was customary for many to eat reclining throughout the year. Thus, doing so on Pesach was not a unique phenomenon. Nevertheless, this question is found in as early a Haggadah as that of Rav Amram Gaon.<br>Others maintain that, by including it in this halachah, the Rambam expresses his opinion that it was mentioned while the Temple was standing. Thus, at that time, five questions were recited.</i>",6,,"Despite the fact that a כזית is eaten, the Rambam does not require the recitation of the blessing, בורא נפשות, after eating the vegetable. This is surely true according to our custom, in which less than a כזית is eaten."
Leavened and Unleavened Bread 8.2,"He <sup class=""footnote-marker"">1</sup><i class=""footnote"">the person leading the Sede</i> begins and recites the blessing, בורא פרי האדמה, takes the vegetable, <sup class=""footnote-marker"">3</sup><i class=""footnote"">Rabbenu Manoach writes that it is customary to use כרפס (parsley).<br>This practice is instituted in order to pique the curiosity of the children. (See Halachah 7:3.) They see us beginning to eat without continuing to do so.</i> dips it in <i>charoset</i>, <sup class=""footnote-marker"">4</sup><i class=""footnote"">This custom is also mentioned in the Haggadot of Rav Saadia Gaon and Rav Amram Gaon. However, Rabbenu Tam and many Ashkenazic authorities object to it. Hence, it is our practice to dip the vegetable in salt water or vinegar. (See <i>Beit Yosef, Orach Chayim</i> 473.)</i> and eats a כזית. He and all those eating together with him, each and every one, do not eat less than a כזית.<br>Afterwards, the table is taken away <sup class=""footnote-marker"">7</sup><i class=""footnote"">to arouse the children's curiosity, as explained in Halachah 7:3.</i> from the person reciting the Haggadah alone. <sup class=""footnote-marker"">8</sup><i class=""footnote"">This was customary when people sat on couches with small tables in front of them. At present, it is customary to remove the Seder plate.</i> The second cup [of wine] is mixed. <sup class=""footnote-marker"">9</sup><i class=""footnote"">This also is intended to pique the children's curiosity, for though the wine is poured, it is not drunk until later.</i> Here is where the son asks, and the one reciting [the Haggadah] <sup class=""footnote-marker"">10</sup><i class=""footnote"">Some versions of the <i>Mishneh Torah</i> omit the latter phrase, which implies that the questions are not asked by the children. Others interpret the passage as follows: the children ask without necessarily phrasing the questions precisely, and then the leader recites the standard text. Perhaps this is the source for the custom followed by many, where, after the child recites the four questions, the leader of the Seder, and, at times, each of the assembled, also recites the questions.</i> says:<br><br>Why is this night different from all other nights?<br>On all other nights, we are not required to dip even once. On this night, we dip twice?<br>On all other nights, we eat chametz (leaven) or matzah. On this night, only matzah?<br>On all other nights, we eat roasted, boiled, or cooked meat. On this night we eat only roasted?<br>On all other nights, we eat any type of vegetables. On this night, we eat maror (bitter herbs)?<br>On <sup class=""footnote-marker"">13</sup><i class=""footnote"">In contrast to the question regarding matzah, we do not say only bitter herbs, for other vegetables are allowed (and even required: for use in the karpas) on Pesach.</i> all other nights, we eat either sitting upright or reclining. On this night, we all recline?<br> <sup class=""footnote-marker"">14</sup><i class=""footnote"">This question is not mentioned in the Mishnah. Some commentaries maintain that it was not recited in that period for it was customary for many to eat reclining throughout the year. Thus, doing so on Pesach was not a unique phenomenon. Nevertheless, this question is found in as early a Haggadah as that of Rav Amram Gaon.<br>Others maintain that, by including it in this halachah, the Rambam expresses his opinion that it was mentioned while the Temple was standing. Thus, at that time, five questions were recited.</i>",11,,"The first three of these four questions are recorded in the Mishnah. It must be noted that the commonly accepted text of the Haggadah follows a different order, quoting that mentioned in the Babylonian Talmud, <i>Pesachim</i> 116a. The order mentioned by the Rambam is found in the Jerusalem Talmud and the codifications of Rabbenu Asher and Rav Yitzchak Alfasi.<br>Perhaps, the reason for this order is that the first three questions follow the pattern the child sees at the Seder: first we dip (<i>karpas</i>,) then we eat matzah, and then we eat maror.<br>It must be noted that the expression ""twice"" represents somewhat of a question to the Rambam, who also requires the matzah and the sandwich to be dipped in <i>charoset</i>."
Leavened and Unleavened Bread 8.2,"He <sup class=""footnote-marker"">1</sup><i class=""footnote"">the person leading the Sede</i> begins and recites the blessing, בורא פרי האדמה, takes the vegetable, <sup class=""footnote-marker"">3</sup><i class=""footnote"">Rabbenu Manoach writes that it is customary to use כרפס (parsley).<br>This practice is instituted in order to pique the curiosity of the children. (See Halachah 7:3.) They see us beginning to eat without continuing to do so.</i> dips it in <i>charoset</i>, <sup class=""footnote-marker"">4</sup><i class=""footnote"">This custom is also mentioned in the Haggadot of Rav Saadia Gaon and Rav Amram Gaon. However, Rabbenu Tam and many Ashkenazic authorities object to it. Hence, it is our practice to dip the vegetable in salt water or vinegar. (See <i>Beit Yosef, Orach Chayim</i> 473.)</i> and eats a כזית. He and all those eating together with him, each and every one, do not eat less than a כזית.<br>Afterwards, the table is taken away <sup class=""footnote-marker"">7</sup><i class=""footnote"">to arouse the children's curiosity, as explained in Halachah 7:3.</i> from the person reciting the Haggadah alone. <sup class=""footnote-marker"">8</sup><i class=""footnote"">This was customary when people sat on couches with small tables in front of them. At present, it is customary to remove the Seder plate.</i> The second cup [of wine] is mixed. <sup class=""footnote-marker"">9</sup><i class=""footnote"">This also is intended to pique the children's curiosity, for though the wine is poured, it is not drunk until later.</i> Here is where the son asks, and the one reciting [the Haggadah] <sup class=""footnote-marker"">10</sup><i class=""footnote"">Some versions of the <i>Mishneh Torah</i> omit the latter phrase, which implies that the questions are not asked by the children. Others interpret the passage as follows: the children ask without necessarily phrasing the questions precisely, and then the leader recites the standard text. Perhaps this is the source for the custom followed by many, where, after the child recites the four questions, the leader of the Seder, and, at times, each of the assembled, also recites the questions.</i> says:<br><br>Why is this night different from all other nights?<br>On all other nights, we are not required to dip even once. On this night, we dip twice?<br>On all other nights, we eat chametz (leaven) or matzah. On this night, only matzah?<br>On all other nights, we eat roasted, boiled, or cooked meat. On this night we eat only roasted?<br>On all other nights, we eat any type of vegetables. On this night, we eat maror (bitter herbs)?<br>On <sup class=""footnote-marker"">13</sup><i class=""footnote"">In contrast to the question regarding matzah, we do not say only bitter herbs, for other vegetables are allowed (and even required: for use in the karpas) on Pesach.</i> all other nights, we eat either sitting upright or reclining. On this night, we all recline?<br> <sup class=""footnote-marker"">14</sup><i class=""footnote"">This question is not mentioned in the Mishnah. Some commentaries maintain that it was not recited in that period for it was customary for many to eat reclining throughout the year. Thus, doing so on Pesach was not a unique phenomenon. Nevertheless, this question is found in as early a Haggadah as that of Rav Amram Gaon.<br>Others maintain that, by including it in this halachah, the Rambam expresses his opinion that it was mentioned while the Temple was standing. Thus, at that time, five questions were recited.</i>",12,,"eferring to the Paschal sacrifice, which was roasted. As mentioned in the following halachah, this question is not recited at present."
Leavened and Unleavened Bread 8.4,"The table is returned before him and he says: This Paschal sacrifice which we eat [is] because the Omnipresent passed over the houses of our ancestors in Egypt, as [Exodus 12:27] states: ""And you shall say: 'It is a Paschal sacrifice unto God.'""<br>He lifts up the maror in his hands and says: This maror that we eat [is] because the Egyptians made the lives of our forefathers bitter in Egypt, as [Exodus 1:14] states: ""and they embittered their lives.""<br>And he lifts up the matzah in his hand and says:<br><br>This matzah which we eat [is] because the dough of our ancestors was not able to leaven before the Holy One, blessed be He, was revealed to them and redeemed them immediately, as [Exodus 12:39] states: ""And they baked the dough which they took out of Egypt [as cakes of matzah].""<br><br>At present, he says: ""This Paschal sacrifice, which our ancestors would eat when the Temple was standing, [is] because the Holy One, blessed be He, passed over the houses of our ancestors...""",4,,"[is] because the Omnipresent passed over the houses of our ancestors in Egypt, as [Exodus 12:27] states: ""And you shall say: 'It is a Paschal sacrifice unto God.'"""
Leavened and Unleavened Bread 8.4,"The table is returned before him and he says: This Paschal sacrifice which we eat [is] because the Omnipresent passed over the houses of our ancestors in Egypt, as [Exodus 12:27] states: ""And you shall say: 'It is a Paschal sacrifice unto God.'""<br>He lifts up the maror in his hands and says: This maror that we eat [is] because the Egyptians made the lives of our forefathers bitter in Egypt, as [Exodus 1:14] states: ""and they embittered their lives.""<br>And he lifts up the matzah in his hand and says:<br><br>This matzah which we eat [is] because the dough of our ancestors was not able to leaven before the Holy One, blessed be He, was revealed to them and redeemed them immediately, as [Exodus 12:39] states: ""And they baked the dough which they took out of Egypt [as cakes of matzah].""<br><br>At present, he says: ""This Paschal sacrifice, which our ancestors would eat when the Temple was standing, [is] because the Holy One, blessed be He, passed over the houses of our ancestors...""",9,,passed over the houses of our ancestors...
Leavened and Unleavened Bread 8.5,"And he says:<br><br>Therefore, we are obliged to thank, praise, laud, glorify, adore, exalt, magnify, and give eternal honor to the One who did all these miracles for us and took us out from slavery to freedom, from sorrow to joy, from deep darkness to great light. [Therefore,] let us recite before Him: Halleluyah!<br><br>[He continues, beginning the Hallel, reciting from] ""Halleluyah! Servants of God - offer praise;"" until ""the flintstone into a stream of water."" He concludes:<br><br>Blessed are You, God, our Lord, King of the universe, who redeemed us and redeemed our ancestors from Egypt and has enabled us to reach this night so that we may eat matzah and bitter herbs upon it.""<br><br>At present, he adds:<br><br>So too, God, our Lord and Lord of our fathers, enable us to reach other festivals and holidays that will come to us in peace, celebrating in the rebuilding of Your city and rejoicing in Your service. Then, we shall eat of the sacrifices and of the Paschal offerings whose blood shall be sprinkled on the wall of Your altar to be graciously accepted. Then, we shall offer thanks to You [with] a new song for our redemption and for the deliverance of our souls. Blessed are You, God, who redeemed Israel.<br><br>He recites the blessing, בורא פרי הגפן, and drinks the second cup.",3,,"[Therefore,] let us recite before Him: Halleluyah!"
