Chapter, Etz Yoseph Paragraphs, Midrash Rabba Paragraphs
*1, 51, 36
*2, 13, 6
*3, 28, 17
4, 4, 4
*5, 31, 23
*6, 7, 5
7, 5, 5
*8, 5, 3
*9, 16, 13
*10, 10, 7
*11, 9, 6
*12, 9, 7
*13, 8, 7
14, 4, 4
*15, 32, 31
16, 4, 4
17, 5, 5
*18, 13, 12
*19, 9, 8
*20, 23, 19
21, 11, 11
*22, 4, 3
*23, 17, 15
*24, 5, 4
*25, 16, 12
*26, 4, 3
*27, 10, 9
*28, 8, 6
*29, 12, 9
*30, 22, 24
*31, 19, 17
*32, 8, 9
*33, 10, 8
*34, 4, 3
35, 6, 6
36, 4, 4
*37, 5, 4
*38, 11, 9
39, 1, 1
40, 4, 4
*41, 12, 7
*42, 10, 9
*43, 11, 9
*44, 8, 10
45, 6, 6
*46, 6, 5
*47, 14, 9
*48, 7, 6
*49, 3, 2
50, 5, 5
*51, 6, 8
*52, 4, 5
