Index Title,Guide for the Perplexed,le français d'origine,
Version Title,"Moreh Nevuchim, translated by Ibn Tibon",,
Language,he,,
Version Source,http://mobile.tora.ws/,,
Version Notes,,,
"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 1",בשם יי אל עולם:,"<b>AU NOM DE L'ÉTERNEL</b> <br>DIEU DE L'UNIVERS<sup class=""footnote-marker"">(2)</sup><i class=""footnote"">Nous avons traduit ici les mots <span dir=""rtl"">אל עולם</span> dans le sens que Maïmonide lui-même leur prête dans plusieurs endroits, et notamment dans le chap. 29 de la troisième partie du <i>Guide</i>, quoique dans le passage biblique (Genèse, XXI, 33) ces mots signifient <i>le Dieu éternel</i>.</i>",
"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 2",כתב הרב המחבר התלמיד החשוב ר׳ יוסף ש״צ בן רבי יהודה נ״ע:,"When<sup class=""footnote-marker"">(3)</sup><i class=""footnote"">Le verbe <span dir=""rtl"">כנת</span> <img src=""data:image/jpg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/wAALCAAlAEABAREA/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/9oACAEBAAA/APUzTCK5vxff6zbQ2djodu7Xl7IUE4GRCAASTngdep6AGugt45Y7WFJ5RLMqKJJAMB2xycdsmsnxXdajaeGr2bSgxvEUFNq7iBkbiB3IGao+DPER1aE2w+2XC28KGS9ul2l5STlMAY49azvFtnrus+LbC00uW6t7aBA8s+GSJGznOf4zjAx/9eu6A5qtealZadGkl7dRW6SOI0MhxuY9APWreKazBSAWALHABPU/1pAwdQVIIPQg5BpkpWON5HOFRSxPoAMmsu18R6PcaEdaW8VNPBIMsgK4IOCMev061iw6/rfiaRX0G2FhpKN8+oXqZaVR18tPpnk11tneW2oWy3NnPHPA/wB142yDWBp9rFrGrTa1dxiRYJWgsUccRhDhnx/eLA89gBW5aahbXpnFtMJDBKYZMZ+VxjI/WuU8c+G9a1270yfSLuOE2pc/NIUKMejgjvjitjwjo9zoXhq2sLyYSzoWZtrbguTnaD6D/Gr17qkVrpl5ewr9r+yq5aKFgWLL1X2I71z2rp/wlHg2zu9Fgt3KyR3cVrKo2OVJ3RkDjPUfWtrw9rMWu6NDfQxNATmOSFhgxOpwy/gay/s6eHPFlubUFbHWXZJIgfljuANwZR0G4AgiptElFtNfaTIcT207yqP70UjFlYevUg+4rA1fSPFOiajd6j4Wljngu5PNns5FUkP3K56j8QfrVWPxX4+3iJ/Ci7z3KMo/Pdj9a2bX/hM9UA+33Fno8POVtk82Y/iSVFEPhnUtOe6ttI1Y2+nXCg7JU8x0kLDeQSOcqD17moovCWtaUl3baFr/ANkspGRreKWISGE5+fkjuOnv1rovD+jroelraee1xKZHlmnZcNK7HJYj/PSqutMtxruiWcZ3SxXBu5AOSkaowyfQEsAKs6losOpXNvcCWS2u7c5juIcBgvdTnqp9K0QOKayim7RmnhRUgFKBWbpmhwaS1xIJprm6uH3TXM5Bd/QcAAAdgK//2Q==""> </img > qui commence la phrase se rapporte aux mots <span dir=""rtl"">עטׄם שאנך</span>, qu’il sert à mettre au plus-que-parfait.</i>, my dear disciple Rabbi Joseph<sup class=""footnote-marker"">(4)</sup><i class=""footnote"">Voy. ma Notice précitée sur Joseph ben Iehouda. Nous reviendrons sur ce disciple de Maïmonide dans l’introduction générale de cet ouvrage.—Les lettres <span dir=""rtl"">ש״צ</span>, qui suivent le nom de Joseph, sont l’abréviation de <span dir=""rtl"">שְׁמָרָהוּ צוּרוֹ</span>, le prétérit hébreu étant employé, à la manière arabe, dans le sens de l’optatif.</i>, son of R. lehouda [may he rest in paradise!],",
"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 3",הנה מאז באת אלי וכונת מקצות הארץ לקרות לפני גדלה מעלתך בעיני לרוב זריזותך על הדרישה ולמה שראיתי בשיריך מחוזק התשוקה לדברים העיוניים. והיה זה אחר הגיע אלי כתביך וחרוזיך מן האסכנדריה קדם שאבחון ציורך. והייתי אומר אולי תשוקתו גדולה מהשגתו? וכאשר קראת עמי מה שקראתו מחכמת התכונה ומה שקדם לך – ממה שאי אפשר מבלעדיו הצעה לה – מן החכמות הלמודיות הוספתי בך שמחה לטוב שכלך ומהירות ציורך. וראיתי תשוקתך לחכמות הלמודיות עצומה והנחתיך להתלמד בהם לדעתי מה אחריתך. וכאשר קראת עמי מה שקראתו ממלאכת ההגיון נקשרה תוחלתי בך וראיתיך ראוי לגלות לך סודות ספרי הנבואה עד שתשקיף מהם על מה שצריך שישקיפו עליו השלמים והחלתי לרמז לך ברמיזות. וראיתיך מבקש ממני תוספת באור ופוצר בי לבאר לך דברים מן הענינים ההם מופתיים ואם לא – מאיזו מלאכה הם. וראיתיך יודע מעט ממנו – מאשר למדת מזולתי. ואתה נבוך כבר דפקתך הבהלה ונפשך החשובה תבקש ממך ׳למצוא דברי חפץ׳. ולא סרתי לדחותך מזה ולצוותך לקחת הדברים על הסדר; כונה ממני – שיתאמת לך האמת בדרכיו לא שיפול האמת במקרה. ולא נמנעתי כל ימי התחברך עמי כשהזכר ׳פסוק׳ או דבר מדברי ה׳חכמים׳ שיש בו הערה על ענין זר לבארו לך:,"tu te présentas chez moi, étant venu d'un pays lointain<sup class=""footnote-marker"">(5)</sup><i class=""footnote"">Littéralement: <i>des extrémités des pays</i>. Joseph était venu de Sabta ou Seuta, située dans le nord-ouest de l’Afrique, que les Arabes appelaient <i>Al-Maghreb al-Akça</i> ou l’extrême Occident. Voy. la susdite Notice, pages 6 et 14.</i> pour suivre mes leçons, tu étais déjà très haut placé dans mon estime à cause de ta grande passion pour l'étude, et parce que j'avais reconnu dans tes poésies un amour très prononcé pour les choses spéculatives, et cela depuis que tes opuscules et tes <i>Makâmât</i><sup class=""footnote-marker"">(1)</sup><i class=""footnote"">Les <i>Makâmât</i> chez les Arabes sont des nouvelles ou récits écrits en prose rimée mêlée de vers; on connaît les célèbres <i>Makâmât</i> ou <i>Séances</i> de’Harizi. Ce genre de compositions fut imité en hébreu, par les juifs, dès la première moitié du XII<sup>e</sup> siècle, et on leur donnait le nom de <span dir=""rtl"">מחברות</span>; c’est en effet ce mot que R. Iehouda al-’Harizi emploie ici dans sa traduction, et qui rend beaucoup mieux le sens du mot arabe que le mot <span dir=""rtl"">חרוזיך</span>, employé par Ibn-Tibbon. Al-’Harizi, dans son recueil de Makâmât connu sous le titre de <i>Ta’hkemôni</i> (<span dir=""rtl"">תחכמוני</span>), cite luimême de notre Joseph une <i>Makâma</i> qui était devenue célèbre. Voy. ma Notice précitée, p. 48 et suiv.</i> me furent parvenus d'Alexandrie, et avant que je pusse (par moi-même) éprouver ta conception. Je me disais (d'abord): Peut-être son désir est-il plus fort que sa compréhension; mais quand tu eus fait, sous ma direction, tes études de l'astronomie et des sciences mathématiques que tu avais abordées auparavant et qui doivent nécessairement lui servir de préparation, je ressentis à ton égard une joie bien plus grande à cause de l'excellence de ton esprit et de la promptitude de ta conception; et, voyant que tu avais un grand amour pour les mathématiques, je te laissais libre de t'y exercer, sachant quel devait être ton avenir<sup class=""footnote-marker"">(2)</sup><i class=""footnote"">Plusieurs manuscrits portent <span dir=""rtl"">במאלך</span>, d’autres <span dir=""rtl"">במא לך</span>, et d’autres encore <span dir=""rtl"">כמאלך</span>; c’est cette dernière leçon que paraît exprimer la traduction d’Al-’Harizi, qui porte <span dir=""rtl"">שכלך השלם</span>. Il faut lire sans doute <img src=""data:image/jpg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/wAALCAAgAEEBAREA/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/9oACAEBAAA/APVt1ZPiOe9g8O382nyxxXUcJeN5CAFxyTzx0z1qTRLy4vtDsLu7RY7ieBJJFUcAkZqHVZtf+0LBo9rZbNm57m8kO0Nn7oVeT9feuZHiDxxbXMulXOgQzXcn/Hve2x/cqM/ebPHHoSD7V3oJwATk9zTgacDTs1534n8dax4d1m5tF8OyX0HytBNGWUFSBkHCnJzmqNn4nuviHoGu6GNLfT9QFsCqSOSjAsOCSAR0x071Xh8a+MNAubO38ReHoVsnnS2+0x5XrwMYJU+vvXXP4vgsvGUnh/UIxbCSNHs52PyzE/eBJ4BzwPp9KqR+MriXxJrmgtYGO8tIHms+reeFXPPpk4x+XWsvS/G/iXVfCtre2HhiS8vgzLc87Izt7pzkk+gzjHetvUNa1u/8M6fq3hi0WaaV8zWsyjcBghl5IwVYYNO8K+JNY1PUrrTdd0b+zbuKITxhWJDpu2nrnv711tNBK9yPxrl4psfEy4iJOW0hG+uJT/jUXiO2HiTUYNChCmK2miu72bP+qCnKIv8AtNz9B9a5XxBNa6v8Sp/C2sWv2m0vIYxbTRf6y0faW4PYE5z+FafhWLV/DviHU9H1FH1CU2pubPUDkySxpgCM5zgAngZ4OfWo28cjwpFHo50LUr02caLNcxA7TKRucZI5wzHnvWtB4n0/w74ftLrULW8hk1KSW6itI4/MkUO27HYdwce9O0HxXY+JvFCtZ6bqMPkWbq09xB5YOXU7T+WR7k12WajPzVgpps6+O5dT8v8A0dtNWDf6v5hOPyrStba1gubmWCCOOW4ffM6jmRsYyatALu3bRu9cc0/AznAz607cw/iP50wv8wJ6joe4p+8v1Yn6mlxX/9k=""> </img > (de <img src=""data:image/jpg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/wAALCAAiAB0BAREA/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/9oACAEBAAA/APXqxtfstV1IW9lYXj2FvIS1zdxEeagHRUB9T1PoKwYPBuunNte+ML6fT8nMaDbIw9C+TXZRRLDDHEmdqKFGTk4Axye9P68Dr2rznwvr2rN4B8QXkszNLYyTC3nkcO24DJBB7A9M+vtXocbFokY9SoJ/Kn00k158IG0qLx9ZBkETD7ZECMgCVDnOfcV3ck8Nnp5uZ3CW8MW95OwUDrWN4a8Qzaw14k62zrCytFNaOWSSNs4znkMNuCDj6VyuhfErStN0hLHWZr06nBJIk2Yi5Zt57k8denauk0eyk1mHVNQ1WzaCPVUWFbV/vLAqkDd6MdxPtxUFn8PdKs/KUXmqSwRuHFvNdFoiByFK4wRXT2tpbWKstpbxW6udzCJAgJ9Tiof7K059SF29hatc7M+cYVL5/wB7GatCnUlf/9k=""> </img >), ce qu’Ibn-Tibbon a bien rendu par <span dir=""rtl"">אחריתך</span>. Je ne sais où Hyde a pris la leçon de <span dir=""rtl"">עקלך</span>, qu’il prétend changer en <span dir=""rtl"">עקבך</span>. (Voy. le <i>Syntagma dissertationum</i> de Hyde, publié par Sharpe, t. I, p. 436.) Cette leçon ne se trouve dans aucun des manuscrits d’Oxford, ni dans les deux mss. de Leyde.</i>. Et quand tu eus fait sous moi tes études de logique, mon espérance s'attachait à toi et je te jugeais digne de te révéler les mystères des livres prophétiques, afin que tu en comprisses ce que doivent comprendre les hommes parfaits. Je commençai donc à te faire entrevoir les choses et à te donner certaines indications; mais je te voyais me demander davantage, et tu insistais pour que je t'expliquasse des sujets appartenant à la métaphysique et que je te fisse connaître à cet égard à quoi visaient les <i>Motécallemîn</i><sup class=""footnote-marker"">(1)</sup><i class=""footnote"">Ce nom désigne les philosophes religieux ou les scolastiques des Arabes. Sur son origine voyez ma Notice sur Rabbi Saadia Gaon, p. 16 et suiv. (Bible de M. Cahen, t. IX, p. 88 et suiv.). L’auteur donne luimême de nombreux détails sur les <i>Motécallemîn</i> dans plusieurs endroits de cet ouvrage, et notamment I<sup>re</sup> partie, ch. 71, 73 et suiv. J’ai donné un aperçu succinct de leurs doctrines dans le <i>Dictionnaire des sciences philosophiques</i>, art. <i>Arabes</i>.</i>, et si leurs méthodes étaient basées sur la démonstration, ou, dans le cas contraire, à quel art elles appartenaient. Je voyais que tu avais déjà un peu étudié cette matière sous d'autres (maîtres); mais tu étais agité et saisi de troubles<sup class=""footnote-marker"">(2)</sup><i class=""footnote"">Tous les manuscrits, même ceux qui ont des points diacritiques, portent <span dir=""rtl"">בדתך</span>; je pense qu’il faut prononcer <img src=""data:image/jpg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/wAALCAAkADMBAREA/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/9oACAEBAAA/APUThVJPQDPAzXO+HtV1fWb28u7izNnpI+S0jmjKzSEHlznoP89ql8W6rdaP4bub2yUGZSqhym8RgnBcjvgVDp2oWfirTbiJrd7qxUJH588W1Lo4BJCHsDXOa9qS6VqUlqdR15I1G4Q2NqipCm0bQrbTkds+tdLd3GoweHEuNPs5Lq/aJNkMrDO4gcseAcZyelZ1roXid7ZGuvFEsc7Dc6RW6FVJ7AkduldwVGKqagdthctnkQuc5/2TXJeE9Yuf+EM0B7mzmka6lFrnrhPmw5/2cCt7StTOoXepWv2OS3SxmEKFxgSDGcgdh/TFFpPqj6/f2txZLHp0aI1tcK3MhPUEf5x75rTKCjYKxtO8QfavDiavcxmJSrM6RgyFcMRjAGSeOlUNIvNY1LxNfTXEMg0FoALd5FaHGeuUYAk9cseAOnepvB1vJb+Doo7RllIaf7OWPysvmNs5HY4H51Y8N6xcan4ctb7UBFDcSM0cirwocOUwMn1FUfENt9h8QaR4h+0GFIpBaXKuxCtHISAceoYj/Iqfxlqmq6N4ee/0yJHkgkRpg65xFn5v6c9hmtyOUyRI+3G5Q2M9MjNcjqPgC4a8nuND8RX+kidzJJDGxKbj1IwRiobb4dXczAa74r1XUoP4rcSFEf2PJJHtWjqPge3vrtBFqN7ZaaEw9haSeXGWxgMMcDjqMc1rzaBp82gHRfKMdl5YjCxttZQDkEH1yM59ay9I8CaZpxaS7mudVlIKhtQfzFQHrtU8DI79ahT4e6atyqm+1B9OR/NGnNPmHdnPPcrwOD6V1u2pe1NNNoorm3sEX4ix3yyzB5NPIdA/yNg4GRXS1//Z""> </img >, du verbe <img src=""data:image/jpg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/wAALCAAiABQBAREA/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/9oACAEBAAA/AOo8XafcXN3ZS22hNqxwYyrXrxRx5OcugIBBGefpV7wzFfx+H3SbSIdLkSSUW9ojbgi/w5Puc89x6Uvh/Qb6z03OrajPPfTuZpiknyoxA+VfYYqxqUurxavpYsltP7PZ2F60zYYD+Hbz19MdTWyDijdXJ+JbPT/Ffhny0v4Y1fFxbXO8YDAHB57dc1YtNXivvC8U76hFA8lqA84lA8p9u0nJ7hvWqvw8uri48GWj38rSOGkWOQsSXjDEBsnk+3tiqP8Awq/w42rfb5IZ3xJ5i27Sfugc5xjGSM9s1o6z4c8MI13rOr2dvsMQW4aQHYwyMEqOrcAAjntW7Zi1ksYHszGbVowYfLGF244x7VZNY/ipFk8KaorqGX7OxwRnpitCxjSLT7WONFRFhQBVGAPlHav/2Q==""> </img >, <i>prœvertit, vicit</i>, de sorte que les mots <span dir=""rtl"">אלדהשה̈</span> <img src=""data:image/jpg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/wAALCAAhADABAREA/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/9oACAEBAAA/APVeKMCmk4rjfGNh4lur61l8PyiPfA9tM7S7BEGYHePfjqMmtPwqmuJpkr6/IDeSzu4RWBEacAKMduCfxreGDXLp8QvCxXMmtW0LZIMcuVZSDjkY9qs3XjTQbPRotXkv1ewll8pZolLgNgnBA5HT0qpYfEbwrqd1BawaoonnbbGksTpuPYZIxz25rO8RfEfRdH1O90PUE1K2nRdongRTwyghlOeDz6dqs2HjrS5/Cd3rFql9cW+nssUvmgea/QbuuDwcnp07VJ4f+IGjeI9R+wWf2iO4KlkE0YAcDrggn9amu/h34Uu7uW6m0hGllYs5ErgEnqcA4FYl3ZaJpvhl9OmtYl0v+3fIaOQk4XeOc5yen1xmrureBfDEGkXk8OiWsU8ELyxvFuVlZAWGDn1ArqLNo9RsLW9lt4t88KSEMobG5QcZI96y9HeCDVPEqS+TFCt7HyxVVwYUGPTtVO4vPD974k0B7G80+W7S5kUfZ5ELbDE+Qce+K64jiuGTwzZeKk1aDVDPttdbnkiEMu3aSqe3+cmuxntEubOa1fcEljaJiDzgjB/GpLW2S0tIbaPJSGNY13dcKABn8qytX8JaNrcUkd/aGRJZ1nkAlZd7hdozg9McYqppngLw1o9/De2OlrFcQndG5kdtpxjPJrpjWNoH+s1n/sKTfyWtgU6g001//9k=""> </img > signifient: <i>le trouble</i> ou <i>la confusion s’était emparée de toi</i>. Ibn-Tibbon a bien rendu le mot <img src=""data:image/jpg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/wAALCAAfADABAREA/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/9oACAEBAAA/APTM0hak3Zrk/E3hzXtZ1BH0zxFLYWrIFlhBb7wzgrt9c881r+FoDa+GbC3bUEvzHHtNzG25XwT0PcDp+FbArzrXdb8e6XrVzb2GijULNpt8EywFx5ZAwhIIxjnrzU+meI/EupeF9bkudOjsNXsVDRo6ld2V35Kt7A/WsX/hLPiTbmOafwsjwsN2xYCCwxnHDEg49s10Oo3XjO+hsdT8MiyNpeWiSNBeYDQv3xnBPX9OlHh2fxgDqen6smmxXMVmJbQWyqEV2LAZxxjK1TsfE/jfT9Tt08R6FAmnyTJA1xAB8hY4DZDHIyfSvRCvFcB4juXWHxhFBBNNO0VrEiRKWOSh5wAeByT/APXrstJuLm/0ewurqAwXMsSPLEQQUY9Rg8iqPhQP/wAI5Asm7KyTAbuuPMbFUNQvRoviXVNVuI5ntI9Mh3CKMsWfzGAUDueT9M81z198Q7PXYotOttG1hZZbmHlrfssise/tXpZPFYmnWVxb+JtZu3jCwXIgETBuW2qQeO3WtwHimmjcR0JFBdscs351/9k=""> </img > par <span dir=""rtl"">דפקתך</span>.</i>, et ta noble âme te stimulait <i>afin de trouver les objets de ton désir</i><sup class=""footnote-marker"">(3)</sup><i class=""footnote"">Ces derniers mots, que l’auteur a écrits en hébreu, sont tirés de l’Ecclésiaste, ch. XII, <small>V</small>. 10.</i>. Je ne cessais de te détourner de cette voie et je te recommandais de prendre les choses par ordre; car mon but était (de faire) que la vérité s'établît pour toi méthodiquement et que la certitude ne t'arrivât pas comme par hasard. Tant que tu étais avec moi, je ne me refusais pas, quand il était question d'un verset ou d'un des textes des docteurs appelant l'attention sur quelque sujet curieux, à t'en donner l'explication; ",
"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 4",וכאשר גזר האלוה בפרידה ופנית אל אשר פנית העירוני החיבורים ההם אל הסכמה כבר שקטה ועוררתני פרידתך לחבר המאמר הזה אשר חברתיו לך ולדומים לך – ואם הם מעט. ושמתיו פרקים מפרדים וכל מה שיכתב ממנו הוא יגיעך ראשון ראשון באשר תהיה. ואתה שלום:,"mais lorsque Dieu décréta la séparation et que tu t'en allas d'un autre côté, ces conférences firent renaître dans moi une (ancienne) résolution qui s'était déjà affaiblie, et ton absence m'engagea à composer ce traité que j'ai fait pour toi et pour tes semblables, quelque peu nombreux qu'ils soient. J'en ai fait des chapitres détachés, et tout ce qui en aura été mis par écrit te parviendra successivement là où tu seras. Porte-toi bien.",
"Guide for the Perplexed, Introduction, Prefatory Remarks 1",״הודיעני דרך זו אלך כי אליך נשאתי נפשי״.,"Fais-moi connaître le chemin que je suivrai, car c'est vers toi que j'ai élevé mon âme (Ps. CXLIII, <small>V</small>. 8).",
"Guide for the Perplexed, Introduction, Prefatory Remarks 2",״אליכם אישים אקרא וקולי אל בני אדם״.,"C'est vous, hommes, que j'appelle, et ma voix (s'adresse) aux fils d'Adam (Prov. VIII, 4).",
