headword,error
א״א,
אא״א,
אא״א,
אאאואא״ה,
אא״ב,
אאב״ח,
אא״ד,
אא״ה,
אאחע״א,
אאיבי״ח,
אא״כ,
אאמדשלב״ל,
אאע״ה,
אאפיקון,
אאק״כ,
אאש״ע,
אא״ת,
א״ב,
אָב,
"אַב בֵּית דִּין,",
אב״א,
אַבָּא,
אַבָּא אֲרִיכָא,
אִבָּא,*
אבאטיס [אֲכָאטֵיס],
אַבְאָשׁוּתָא,
"אֶבְגִינוֹס, אֶבְגִינָס",
אֶבְגְנִיסְטֵי,
אבגתיים [אַבְגְּתִּית],
(אבד) אִבֵּד עַצְמוֹ לָדַעַת,
אבדוי [אֲבִירוֹי],
אבדומי,
אבדוקים,
"אֶבְדִימָא, אֶבְדִימוֹס, אֶבְדִימִי, אֶבְדִימָס",
"אַבְדָּלָה, אַבְדַּלְתָּא",
אַבְדָּן,
אַבְדָּנָא,
אבדתא,
אבָּהוּ,
"אַבּוּב, אַבּוּבָא",
"אַבּוּב רוֹאֶה, אַבּוּב רוֹעֶה",
אֵבּוּבְרָם,
אִבּוּד,
אַבּוּדְיָנָא,
"אֲבוּדְמָא, אֲבוּדְמִי",
אבוורנקי,
אבוטני,
אֲבוּיָה,
אִבּוּל,
"אַבּוּל, אַבּוּלָא",
אַבּוּלָאֵי,
אבולי,
אבולין,
אבון,
"אֲבוּנָא, אֲבוּנָה",
אַבּוֹס,
אבוקא,
אֲבוּקָה,
אַבּוּרְגְנֵי,
אַבְזֶקֶת,
אֲבִזְרֵי,
אבח״א,
אבחטס,
אַבְטָא,
אבטא,
אבטו,
"אבטוליס, אַבְטוֹלְמוֹס, אבטולס",
אַבְטוֹנִיָה,
אַבְטָחָה,
אַבְטַי,
אבטיגא,
אַבְטְיוֹנָא,
אבטילאות,
אבטילס,
אַבְטִינָס,
אַבְטָלָה,
אַבְטַלְיוֹן,
אַבְטָלְמָס,
אביא,
אֲבִידַרְנָא,
אֲבֵידְתָּא,
"אֶבְיוֹנָה, אֶבְיוֹנוּת",
"אֲבִיטוּל, אַבַּייֵ",
אביינוס,
אביך,
"אֲבִילָה, אֲבֵילוּת, אֲבֵילוּתָא",
אֲבֵילִין,
אַבִּימִי,
"אַבִּין, אַבִּינָא",
אביסנא,
אָבִיק,
אֲבִיָקה,
אבירודימוס,
אבישנא,
אב״כ,
"אֶבְלָא, אֶבְלָה, אֶבְלוּ",
אַבְלוֹנִיס,
אַבְלֵט,
"אבליג, אבליגה [אַבְלִינָה]",
אַבְלַס,
אֶבְמָכִיס,
אבמנ״ט,
אֶבְמָסִין,
אַבְמָרִי,
אֶבֶן,
"אֶבֶן מְסַמָּא,",
"אֶבֶן שׁוֹאֶבֶת,",
"אֶבֶן שָׁעוֹת,",
"אֶבֶן שְׁתִיָה,",
"אֶבֶן תְּקוּמָה,",
אבנגר [אַכַּנְגַר],
אַבְנִימוֹס,
אבניתא,
אֲבַנְתָּא,
"אבסקטא, אֲבַסְקַנְטָה",
אַבְעָיָה,
אֲבָצָא,
אִבֵּק,
אֲבַק,
אֶבְקוֹלָס,
אבקק״ק,
אֲבַקְתָּא,
אֵבֶר,
אִבֵּר,
"אָבָר, אֲבָרָא",
אַבְרָאִי,
אַבְרוּטִי,
אברוכסים,
אברוקלין,
אַבְרוּרֵי,
אַבַרְזִין,
אַבְרְייָאָה,
אַבְרְייָתָא,
אַבְרִיקִין,
אַבְּרִית,
אַבְרָנִי,
אֲבַרְנִים,
אברסקין,
אֲבַרְתָּא,
אַבְשׁוּנָא,
אֲבָשִׁים,
אַגַּב,
"אַגַּב אוֹרְחָא,",
אַגַּב גְרָרָא,
אַגְבִּין,
אגגע״ה,
אָגַד,
אֶגֶד,
אַגְדָּא,
אַגָּדָה,
אגדון,
אַגְדָּנָא,
