entry,suspected string
"<entry id=""E00118""><head-word>אִבֵּק</head-word><pos>פ״י,</pos><senses><sense><definition>זרה אבק</definition><notes> 
cover with dust | 
<italic>
bestäuben
</italic>
 
ירוש׳ בכורים פ״א ס״ג ל״ד: ענבים מאובקות ומעושנות.</notes></sense></senses>
<binyan><binyan-form>הִתְאַבֵּק</binyan-form><senses><sense><definition>,
 התכסה באבק</definition><notes> to be covered with dust | 
<italic> sich mit Staub bedecken </italic>
אבות פ״א מ״ד: והוי מתאבק בעפר רגליהם.</notes></sense></senses></binyan>
</entry>

",הִתְאַבֵּק
"<entry id=""E00594""><head-word>אוּשְׁפִּיזָא. אוּשְׁפִּיזִיכְנָא, אוּשְׁפִּיזְכָן</head-word><pos>ז׳,</pos><senses><sense><definition>בעל אכסניא</definition><notes> 
innkeeper | 
<italic>
Gastwirt
</italic>
 עיר׳ נ״ג ע״ב׃ הוה שאיל באושפיזא; סנה׳ ז׳ ע״ב׃ אושפיזיכניה דרב׃ מגי׳ כ״ו ע״א׃ נעשה אושפיזכן לשכניה.</notes></sense></senses>
</entry>

","אוּשְׁפִּיזִיכְנָא,"
"<entry id=""E00636""><head-word>אִחָה</head-word><binyan><binyan-name>פיעל,</binyan-name>  <senses>
<sense>
<number>1) </number><definition>
 כנ״ל. ב״ר ל״ט׃ אברהם שאיחה את כל באי העולם.
 
</definition></sense><sense>
<number>2) </number><definition>
 תפר</definition><notes> 
to sew together | 
<italic>
zusammennähen
</italic>
 
סנה׳ פ״ז מ״ח׃ וקורעין ולא מאחין.
</notes></sense></senses></binyan>
<binyan><binyan-form>הִתְאַחֵה</binyan-form> <binyan-name>התפ׳,</binyan-name>  <senses>
<sense>
<number>1) </number><definition>
 התחבר ע״י תפירה</definition><notes> 
to be sewn together | 
<italic>
zusammengenäht werden
</italic>
 מו״ק כ״ו ע״א׃ ואלו קרעין שאין מתאחין.
 
</notes></sense><sense>
<number>2) </number><definition>
 התאחד</definition><notes> 
to join | 
<italic>
sich vereinigen
</italic>
 שה״ש ה׳ ב׳׃ שנתאחו לי במצרים.
</notes></sense></senses></binyan></entry>

",הִתְאַחֵה
"<entry id=""E00647""><head-word>אָחַז.</head-word><senses><sense><definition>– אָחַז אֶת הָעֵינַיִם תעתע, עשה בלהטים</definition><notes> 
to deceive by trickery | 
<italic>
vortäuschen, vorgaukeln
</italic>
 סנה׳ ס״ה ע״ב׃ מעונן זה האוחז את העינים.</notes></sense></senses>
<binyan><binyan-form>הֶאֱחִיז</binyan-form><binyan-name>הפ׳,</binyan-name><senses><sense><definition>הדליק</definition><notes> 
to kindle, to light | 
<italic>
anzünden
</italic>
 שבי׳ י״ט ע״ב׃ מאחיזין את האור.</notes></sense></senses></binyan>
</entry>

",הֶאֱחִיז
"<entry id=""E00853""><head-word>אִימוּם</head-word><senses><sense><definition>עי׳. <bold>
<xref rid=""E01315"">
אִמוּם</xref>
</bold>
. ירוש׳ ביצה פ״א ס׳ ע״א׃ מפרקין את המנעל מעל האימום.
</definition></sense></senses>
</entry>
",אִמוּם
"<entry id=""E01114""><head-word>אָכַל</head-word><pos>פ״י</pos><senses><sense><definition>. – תפס מקים</definition><notes> 
occupy (space) | 
<italic>
Raum einnehmen
</italic>
 מדות פ״ג מ״א׃ והיסוד היה מהלך על פני הצפון וכו׳ ואוכל בדרום אמה אחת.</notes></sense></senses>
<binyan><binyan-form>הִתְאַכֵּלֵ</binyan-form><binyan-name>התפ׳,</binyan-name><pos>ל
</pos>  <senses>
<sense>
<number>1) </number><definition>
 נשרף</definition><notes> 
to be burnt | 
<italic>
verbrannt werden
</italic>
 ירוש׳ בר׳ פ״ד ז׳ ע״ב׃ שהיו מתאכלין על גבי המזבח.
 
</notes></sense><sense>
<number>2) </number><definition>
 אזל</definition><notes> 
to be consumed | 
<italic>
verzehrt werden
</italic>
 קיד׳ נ״ט ע״א׃ נתאכלו המעות.
</notes></sense></senses></binyan></entry>

",הִתְאַכֵּלֵ
"<entry id=""E01188""><head-word>אַלּוֹאּין</head-word><pos>ז״ר,</pos><senses><sense><definition>אהלות</definition><notes> 
aloe-wood | 
<italic>
Aloeholz
</italic>
 
תרג׳ תה׳ מ״ה ט׳ (מר ואהלות)׃ מירא דכיא ואקסיל אלואין.
 
אֵלוֹגִין עי׳ <xref rid=""E00819"">אֵילוֹגִין.</xref> במ״ר ט״ז׃ הניח המלך את האלוגין שלו וחייבו מפיו.
</notes></sense></senses>
</entry>
",אֵלוֹגִין
"<entry id=""E01257""><head-word>אִלְמֵן</head-word><pos>פ״י,</pos><senses><sense><definition>עשה לאלמנה</definition><notes> 
to widow | 
<italic>
zur Wittwe machen
</italic>
 פסח׳ מ״ט ע״א׃ מחריב את ביתו ומאלמן את אשתו.</notes></sense></senses>
<binyan><binyan-form>הִתְאַלְמֵן</binyan-form><binyan-name>התפ׳,</binyan-name><senses><sense><definition>נעשתה לאלמנה</definition><notes>
 
to become a widow | 
<italic>
verwittwet werden
</italic>
 מכות פ״א מ״א׃ נתאלמנה או נתגרשה.</notes></sense></senses></binyan>
</entry>

",הִתְאַלְמֵן
"<entry id=""E01350""><head-word>אִמֵּץ</head-word><pos>פ״י,</pos><senses><sense><definition>סגר, עיצם את העינים</definition><notes> 
to close | 
<italic>
(Augen) zudrücken
</italic>
 שבת קנ״א ע״ב׃ אין
 
מאמצין את המת בשבת.</notes></sense></senses>
<binyan><binyan-form>הִתְאַמֵּץ</binyan-form><binyan-name>התפ׳,</binyan-name><senses><sense><definition>נסגר</definition><notes> 
to be closed | 
<italic>
sich schliessen
</italic>
 תוס׳ שבת י״ח י״ט׃ ונותן לו שמן בין ריסי עיניו והן מתאמצות מאליהן.</notes></sense></senses></binyan>
</entry>

",הִתְאַמֵּץ
"<entry id=""E01398""><head-word>אַנְדְרוֹלוֹמוֹסְיָא, אַנְדְרוֹלוֹמְסִיָא. אַנְדְרוֹ־לְמַסִיָה</head-word><pos>נ׳,</pos><senses><sense><definition>פורענות</definition><notes> 
punishment | 
<italic>
Bestrafung
</italic>
 ירוש׳ סוטה פ״א י״ז ע״א׃ בכל מקום שאתה מוצא זנות אתה מוצא אנדרולומסיה באה לעולם; תנח׳ במדבר ל״ב׃ מלך בשר ודם שמרדה עליו מדינה
 
הוא עושה
 
בה
 
אנדרולומסיא; שם קורח י״ט׃ ועושה בה אנדרולומוסיא.</notes></sense></senses>
</entry>

",אַנְדְרוֹ־לְמַסִיָה
