page.section,content
1a:1,* ° <b><big>ארבעה</big></b> @11א אבות נזיקין השור והבור והמבעה וההבער לא הרי השור כהרי המבעה ולא הרי המבעה כהרי השור ולא זה וזה שיש בהן רוח חיים כהרי האש שאין בו רוח חיים ולא זה וזה שדרכן לילך ולהזיק כהרי הבור שאין דרכו לילך ולהזיק הצד השוה שבהן שדרכן להזיק וממונך ושמירתן עליך וכשהזיק חב המזיק לשלם תשלומי נזק במיטב הארץ:
1a:2," <b><big>גמ'</big></b>  מדקתני אבות מכלל דאיכא תולדות תולדותיהן כיוצא בהן או לא פירוש @22א כיון דקיי""ל דנזק שלם ממונא הוא וחצי נזק קנסא הוא ומועד שהזיק משלם נזק שלם מן העליה ותם משלם חצי נזק מגופו בעינן למידע הני תולדות דהני אבות אי כיוצא בהן נינהו דכל מועד מינייהו תולדה דיליה כוותיה ומשלם נ""ש מן העלייה ותם (א) תולדה דיליה כוותיה ומשלם חצי נזק מגופו או דלמא תולדותיהן לאו כיוצא בהן @13דף ג:@77 ואסיקנא דכולהו תולדותיהן כיוצא בהן בר מתולדה דרגל ומאי ניהו חצי נזק צרורות דהלכתא גמירי לה (@68א) דלא משלם אלא חצי נזק ואמאי קרו לה תולדה דרגל דמשלם מן העליה ולפוטרה ברה""ר @13לקמן דף טז:@77 ומאי עלייה מעולה שבנכסיו כדתנן @13גיטין דף מט:@77 הניזקין שמין להן בעדית ובעל חוב בבינונית וכתובת אשה בזיבורית:"
1a:3,"@13דף ב@77 ת""ר ג' אבות נאמרו בשור הקרן והשן והרגל תולדה דקרן מאי היא נגיפה נשיכה רביצה בעיטה."
1a:4,"נשיכה תולדה דשן היא כי אמרי' תולדה דשן היא היכא דיש הנאה להיזקה הא אין הנאה להיזקה רביצה ובעיטה תולדה דרגל היא כי אמרי' [ב] הנ""מ היכא דהיזיקן מצוי @13דף ב ע""ב@77 הני אין היזקן מצוי @13דף ג.@77 :"
1a:5,תולדה דשן מאי היא נתחככה בכותל להנאתה וטינפה פירות להנאתה:
1a:6,תולדה דרגל מאי היא הזיקה בגופה דרך הלוכה בשערה דרך הלוכה:
1a:7,תולדה דבור מאי היא
1b:1,"אבנו סכינו ומשאו שהניחן ברה""ר והזיקו:"
1b:2,@13דף ג.@77 תולדה דמבעה מאי היא אי אליבא דשמואל דאמר מבעה זה השן הא אמינא לה ואי לרב דאמר מבעה זה אדם @22א כיחו וניעו:
1b:3,תולדה דהבער מאי היא אבנו סכינו ומשאו שהניחם בראש הגג ונפלו ברוח מצויה @11א והזיקו:
1b:4,@13דף ח:@77 וכולהו בין אבות בין תולדות מועדין מתחלתן נינהו לבר מקרן דתם ולבסוף מועד הוא ושן ורגל ברשות הרבים פטורין @22ב משום דאורחייהו הוא:
1b:5,"@13דף ד:@77 תני ר' חייא עשרים וארבעה אבות נזיקין ואלו הן השור והבור והמבעה וההבער ושומר חנם והשואל ונושא שכר והשוכר ונזק וצעד וריפוי ושבת ובושת ותשלומי כפל ותשלומי ארבעה וחמשה וגנב וגזלן ועדים זוממין והאונס והמפתה והמוציא שם רע והמטמא והמדמע @22ג והמנסך הרי כ""ד [א] ומוסר הרי כ""ה @13דף ח.@77 והאי דקרו להו אבות לאו מכלל דאיכא לכולהו תולדות אלא לשלם ממיטב הוא דקרו להו הכי:"
