page.section,content
1a:1, <b><big>חמש</big></b>  עשרה נשים @11א פוטרות צרותיהן וצרות צרותיהן מן החליצה ומן היבום עד סוף העולם (א) בתו ובת בתו ובת בנו בת אשתו ובת (ב) בתה ובת בנה חמותו ואם חמותו ואם חמיו אחותו [מאמו] ואחות אמו ואחות אשתו ואשת אחיו מאמו ואשת אחיו שלא היה בעולמו וכלתו הרי אלו פוטרות צרותיהן וצרות צרותיהן מן החליצה ומן היבום עד סוף העולם וכולן אם מתו או (@66א) נתגרשו או מיאנו או שנמצאו @22א אילוניות צרותיהן מותרות ואי אתה יכול לומר בחמותו ובאם חמותו ובאם חמיו שנמצאו אילוניות או שמיאנו (ג) שכבר ילדו:
1a:2," <b><big>גמ'</big></b>  @13דף ג:@77 מנא ה""מ דתנו רבנן @16ויקרא יח@77 ואשה אל @22ב אחותה לא תקח לצרור לגלות ערותה עליה בחייה מה ת""ל לפי שנאמר @16דברים כה@77 יבמה יבא עליה שומע אני אפילו על אחת מכל העריות האמורות בתורה הכתוב מדבר נאמר כאן עליה ונאמר להלן יבמה יבא עליה מה להלן במקום מצוה א] אף כאן במקום מצוה ואמר רחמנא לא תקח אין לי אלא היא צרתה מנין תלמוד לומר לצרור אין לי אלא צרתה צרת צרתה מנין ת""ל לצרור (ד) ולא (@67א) לצרר ואין לי אלא אחות אשה שאר עריות מנין אמרת מה אחות אשה מיוחדת שהיא ערוה וחייבין על זדונה כרת ועל שגגתה חטאת ואסורה ליבם אף כל שהיא ערוה וחייבין על זדונה כרת ועל שגגתה חטאת אסורה ליבם ואין לי אלא הן צרותיהן מנין אמרת מה אחות אשה מיוחדת שהיא ערוה וחייבין על זדונה כרת ועל שגגתה חטאת ואסורה ליבם צרתה אסורה אף כל שהיא ערוה וחייבין על זדונה כרת ועל שגגתה חטאת ואסורה ליבם צרתה אסורה מכאן אמרו חמש עשרה נשים פוטרות צרותיהן וצרות צרותיהן מן החליצה ומן הייבום עד סוף ב] העולם יכול שאני מרבה ג] את שש עריות חמורות"
1b:1,מאלו שיהו צרותיהן אסורות אמרת מה אחות אשה מיוחדת שהיא ערוה וחייבין על זדונה כרת ועל שגגתה הטאת ואפשר לינשא לאחים ואסורה ליבם צרתה אסורה אף כל שהיא ערוה וחייבין על זדונה כרת ועל שגגתה חטאת ואפשר לינשא לאחים ואסורה ליבם צרתה אסורה יצאו שש עריות חמורות מאלו הואיל ואי אפשר לינשא לאחים צרותיהן מותרות שאין צרה אלא מאח אזהרה שמענו עונש מנין אמר קרא @16ויקרא יח@77 כי כל אשר יעשה מכל התועבות האלה ונכרתו 
1b:2,"@13דף ח: ע""ש@77 ורבי נפקא ליה צרת ערוה דאסורה מהכא דתניא רבי אומר ולקח ולקחה לאסור צרות של עריות והכי קאמר לכתוב רחמנא ולקח מאי ולקחה כל היכא דאיכא תרין לקוחין דאי בעי האי נסיב ואי בעי האי נסיב שריאן ואי לא תרוייהו אסירן ורבי האי עליה מאי עביד ליה מיבעי ליה להא @13דף ט.@77 דתנו רבנן @16ויקרא ד@77 ונודעה החטאת אשר חטאו עליה עליה מה ת""ל רבי אומר נאמר כאן עליה ונאמר להלן עליה מה להלן דבר שחייבין על זדונו כרת ועל שגגתו חטאת אף כאן דבר שחייבין על זדונו כרת ועל שגגתו חטאת "
1b:3,"ורבנן דמפקי ליה להאי עליה לצרת ערוה במקום ייבום דאסירא האי סברא דרבי מנא להו נפקא להו מדמקרי ליה ר' יהושע בן לוי לבריה @16במדבר טו@77 תורה אחת יהיה לכם לעושה בשגגה וכתיב @16שם@77 והנפש אשר תעשה ביד רמה הוקשה כל התורה כולה לעבודת כוכבים מה עבודת כוכבים דבר שחייבים על זדונו כרת ועל שגגתו חטאת אף כל דבר שחייבים על זדונו כרת ועל שגגתו חטאת ורבי האי תורה אחת מאי עביד ליה מיבעי ליה לכדתניא לפי שמצינו שחילק הכתוב בין יחידים למרובין יחידים בסקילה לפיכך ממונם פלט ומרובין בסייף לפיכך ממונם אבד יכול נחלוק בקרבנותיהן ת""ל תורה אחת יהיה לכם וכו'."
1b:4,"האי שמעתתא קשיא להו לרבוותא וקא הוו בה טובא ולא סלקא להו כל עיקר איכא מינייהו מ""ד כי מדרש זה דרכי בענין תורה אחת לא יתכן שהרי חילק הכתוב בין מרובין ליחידים גם בקרבן עבודת כוכבים שהרי יחידים מביאין שעירה וצבור שהן ב""ד מביאין פר לעולה ושעיר לחטאת וכיון שפירש הכתוב וחילק לא הוי ס""ד שצריכין אנו לחלוק חלוקה אחרת כדי שיהא צריך דנשמעי' תורה אחת "
1b:5,ואיכא מינייהו מאן דפירשה וכיון דחזא דלא סלקא ליה כהוגן אמר ליכא למיפתר בה טפי מן הכין 
1b:6,"ואיכא מינייהו מאן דפירקא לההיא קושיא וקאמר הכי ודאי שהמקרא חילק בין יחידים למרובין בקרבן עבודת כוכבים דכתיב @16במדבר טו@77 וכי תשגו ולא תעשו את כל המצות האלה וגו' וכתיב @16שם@77 והיה אם מעיני העדה נעשתה לשגגה ועשו כל העדה פר בן בקר אחד לעולה (א) @16שם@77 ואם נפש אחת תחטא בשגגה והקריבה עז בת שנתה לחטאת ביחיד הוא דחילק הכתוב דכתיב ואם נפש אחת אבל ביחידים לא חילק והאי דקתני בברייתא יכול נחלוק בקרבנותיהן לאו על יחיד דחילק ביה קרא קאמר אלא על יחידים שהן רבים ומאן ניהו עיר שהודח מיעוטה שהן בסקילה כיחיד וקאמר האי תנא שחילק הכתוב בעיר הנדחת בין מיעוט העיר שהן יחידים לרוב העיר שהן מרובין (ב) ואלו בסקילה וממונן פלט ואלו בסייף וממונן אבד ולענין קרבן לא חילק הכתוב אלא בין נפש אחת למרובים אבל באלו מיעוט העיר במיתתן חילק יכול הואיל וחילק במיתתן לדונן כיחיד בסקילה יכול נחלוק נמי בקרבנותיהן ולא יביאו קרבן צבור ת""ל תורה אחת אלו הן תורף דבריו של מפרש זה וקאמר דליכא בה קושיא "
1b:7,"וכד מעיינת בה בשמעתא אליבא דהאי פירושא משכחת לה כולה קושיא חדא דהאי תורה אחת בענין יחיד כתיב ולא בענין צבור וא""כ להאי פירושא הוה ליה האי תנא מהדר אציבורא וקא נסיב ליה קרא דיחיד ועוד אי האי תנא איחידים קא מהדר דליתו קרבן צבור אמאי קאמרינן מאי ליתו ליתו פר לעולה ושעיר לחטאת צבור בעבודת כוכבים הוא דמייתי דשמעת מיניה דהני לאו ציבורא נינהו ולא אפשר דניתו האי קרבן ולאו הכין הו""ל למימר ליתו פר לעולה ושעיר לחטאת צבור נמי היינו קרבנו וליכא חלוקה בקרבן דידהו מקרבן צבור ותו כי אמרינן ואלא מאי שעירה אמאי פרכינן יחיד נמי היינו קרבנו לאו הכין הל""ל האי (@66א) יחיד בעבודת כוכבים הוא דמייתי ולא אפשר להני יחידים לאתויי קרבן יחיד כדפרכינן בכולהו ועוד בר מן כל דין היכי מייתי בין הני ובין הני קרבן ציבור והא קיימא לן דלא מייתו קרבן צבור אלא צבור שעשו בהוראת בית דין דכתיב @16שם@77 והיה אם מעיני העדה נעשתה לשגגה ואמור רבנן @14הוריות דף ד:@77 נאמר כאן עדה ונאמר להלן עדה מה עדה האמורה להלן עד שיהו כולן ראויין להוראה אף עדה האמורה כאן עד שיהו כולן ראויין להוראה ותנן נמי @14שם@77 הורו ב""ד ועשו כל הקהל או רובן על פיהם מביאין פר ובעבודת כוכבים מביאין פר ושעיר וכו' ותנן נמי @14הוריות דף ה.@77 הורו ב""ד של אחד מן השבטים ועשה אותו שבט על פיהן אותו שבט חייב ושאר שבטים פטורים דברי ר' יהודה וחכ""א אין חייבין אלא על הוראת ב""ד הגדול שנאמר @16שם@77 ואם כל עדת ישראל ישגו ולא עדת אותו השבט ואע""ג דהאי קרא בשאר מצות הוא דכתיב הא קא גמרינן @14הוריות דף ה:@77 מעיני מעיני בגזרה שוה אלא האי פירושא ודאי פירושא פריכא הוא ולאו דסמכא הוא "
1b:8,"והכין פירושא (ג) מצינו שחילק הכתוב בין יחידים למרובים שהיחידים בסקילה וממונן פלט ומרובין בסייף וממונם אבד יכול כשם שחילק במיתתן של מרובין ועשאה בסייף כך נחלוק בקרבנותיהן ולא יביאו קרבן היחידים שהיא שעירה ת""ל @16במדבר טו@77 תורה אחת יהיה לכם וגו' כלומר תורת כל מי שאינו מביא קרבן צבור בהוראה אחת היא ואין בה חלוקה אלא הכל מביאין קרבן יחיד שהיא שעירה והאי הוא פירושא דהאי ברייתא "
