page.section,content
1a:1,@13דף עג:@77 <b><big>יום</big></b> הכפורים אסור באכילה @11א ובשתיה וברחיצה ובסיכה ובנעילת הסנדל ובתשמיש המטה המלך והכלה ירחצו את פניהם והחיה תנעול את הסנדל דברי ר' אליעזר וחכמים אוסרין:
1a:2," <b><big>גמ'</big></b>  @13דף עו.@77 הני חמשה ענויין @22א כנגד מי אמר רב חסדא כנגד חמשה ענויין שבתורה @16ויקרא כג@77 שבת שבתון @16שם טז@77 שבת שבתון @16במדבר כט@77 ובעשור @16ויקרא כג@77 ואך בעשור @16שם טז@77 והיתה [א] זאת לכם לחקת עולם קראי חמשה הוו ואנן שיתא תנן שתיה בכלל אכילה היא דא""ר שמעון בן לקיש מנין לשתיה שהיא בכלל אכילה שנאמר @16דברים יד@77 ואכלת לפני ה' אלהיך במקום אשר יבחר לשכן שמו שם מעשר דגנך תירושך ויצהרך ותירוש חמרא הוא וקא קרי ליה ואכלת וכתיב נמי @16שם@77 ונתתה הכסף בכל אשר תאוה נפשך בבקר ובצאן וביין ובשכר ובכל אשר"
1b:1,תשאלך נפשך ואכלת שם יין ושכר משתיה הוא וקא קרי ליה ואכלת:
1b:2,אכילה ושתיה דאיקרו עינוי מנלן דכתי' @16ויקרא כב@77 תענו את נפשותיכם ותנא דבי ר' ישמעאל @13דף עד:@77 כתיב הכא תענו את נפשותיכם וכתיב התם @16דברים ה@77 ויענך וירעיבך מה להלן עינוי רעבון אף כאן עינוי רעבון @13דף עו:@77 סיכה דאיקרי עינוי מנא לן דכתיב @16דניאל י@77 לחם חמודות לא אכלתי ובשר ויין לא בא אל פי וסוך לא סכתי ואיקרי עינוי דכתיב @16שם@77 כי מן היום הראשון אשר נתת את לבך להבין ולהתענות:
1b:3,"@13דף עז.@77 רחיצה דאיקרי עינוי מנלן דכתיב @16מ""א ב@77 ולאביתר הכהן אמר המלך ענתות לך על שדך כי איש מות אתה והיום הזה לא אמיתך כי נשאת את ארון ה' אלהים לפני דוד אבי וכי התענית בכל אשר התענה אבי וכתיב @16ש""ב יז@77 כי אמרו העם רעב ועיף וצמא במדבר רעב מלחם וצמא ממים ועיף ממאי לאו מרחיצה ודילמא מנעילת הסנדל אמר רב נחמן בר יצחק מהכא @16משלי כה@77 מים קרים על נפש עיפה  ואימא משתיה מי כתיב בנפש על נפש כתיב אלמא עיף מרחיצה הוא וכתיב @16מ""א ב@77 וכי התענית בכל אשר התענה אבי נעילת הסנדל מנא לן דכתיב @16ש""ב טו@77 ודוד עולה במעלה הזיתים עולה ובוכה וראש לו חפוי והוא הולך יחף וכתיב וכי התענית בכל אשר התענה אבי:"
1b:4,תשמיש המטה מנא לן דכתיב @16בראשית לא@77 אם תענה את בנותי ואם תקח נשים על בנותי @13דף עז.@77 אם תענה מתשמיש ואם תקח מצרות
1b:5,"תנו רבנן @11א אסור לרחוץ מקצת גופו ככל גופו ואם היה מלוכלך בטיט @22א ובצואה רוחץ כדרכו ואינו חושש ואסור לסוך מקצת גופו ככל גופו ואם היה חולה או שיש לו חטטין בראשו סך כדרכו ואינו חושש תנא דבי מנשה ר' שמעון בן גמליאל אומר מדיחה אשה ידה אחת במים ונותנת פת לתינוק ואינה @22ב חוששת אמרו עליו על שמאי הזקן שלא רצה להאכיל בידו אחת וגזרו עליו שיאכיל בשתי ידיו מאי טעמא אמר אביי משום @22ג שיבתא פי' רוח רעה ת""ר ההולך להקביל פני רבו או פני אביו או פני מי שהוא גדול ממנו בחכמה עובר במים עד צוארו ואינו חושש איבעיא להו הרב אצל התלמיד מאי ולא איפשיטא הלכך אסור:"
1b:6,"רבא שרא להו לבני עבר ימינא למיעבר (א) לנטורי פירי א""ל אביי לרבא תניא דמסייע לך שומרי פירות עוברין עד @22ד צוארן במים ואינן חוששין:"
1b:7,רב יוסף שרא לבני תרבא
2a:1,"למעבר (א) למיתי לפירקא ולמיזל א""ל אביי נהי דלמיתי מצוה קא עביד למיזל מאי מצוה קעביד אמר ליה שלא תהא מכשילן לעתיד לבא שאם לא תתיר להם לחזור לבתיהן לא יבאו למצוה רב יהודה ורב שמואל בר (ב) יהודה הוו קיימי אגודא דנהר פפא אמעברא דחצדד הוי קאי רמי בר פפא להך גיסא רמא [א] בהו קלא מהו למעבר למיתי קמי רבנן למשאל שמעתא א""ל רב יהודה רב ושמואל דאמרי תרוייהו עובר ובלבד שלא יוציא ידו מתחת חפת חלוקו איכא דאמרי א""ל [ב] רב יהודה ורב שמואל בר (ג) יהודה תנינא ובלבד שלא יוציא ידו מתחת חפת @22א חלוקו תינח ביוה""כ דליכא מנעל ברגלו מצי למעבר במיא @13דף עח.@77 בשבת דאיכא מנעל מאי איכא למימר תא שמע דאמר ר' נחמיה חתניה דבי נשיאה אנא חזיתינהו לר' אמי ור' אסי דעברו' דרך מלבוש תינח מנעל סנדל מאי ואסיקנא סנדל לכתחלה לא תני רב יהודה אסור לישב על הטיט ביוה""כ אמר רבי יהושע בן לוי ובטיט המטפחת אמר אביי ובטופח על מנת להטפיח"
2a:2,"אמר רב יהודה מותר להצטנן בפירות רב יהודה מצטנן בקרא רבה מצטנן בינוקא רבא מצטנן בכסא דכספא אמר רבא כסא דכספא מליא אסיר חסיר שרי דפחרא @22ב בין מליא בין חסירה אסיר מאי טעמא מישחל שחיל רב אשי אמר אפי' כסא דכספא חסיר אסיר מ""ט אתי (@66א) לאזדרבויי פי' שמא יתנענעו המים שבתוכו וינתזו על בשרו"
2a:3,"זעירא בר חמא אושפיזכניה דר' יהושע בן לוי ודרב אמי ודרב אסי ודכולהו רבנן דקסרי הוה אמר ליה ליוסף בריה דרבי יהושע בן לוי בר (ד) אוריא תא אימא לך מילתא מעליתא דהוה עביד אבוך ערב @11א תשעה באב מביאין לו מטפחת ושורה במים ומקנח בה פניו ידיו ורגליו למחר מעבירה ע""ג עיניו ואינו חושש ערב יום @11ב הכפורים שורה אותה במים ועושה אותה כמין כלים נגובין למחר מעבירה על גבי עיניו ואינו חושש וכן כי אתא רבה בר מרי אמר מטפחת היתה לו לר' יהושע בן לוי ערב יום הכפורים שורה במים ועושה אותה כמין כלים נגובין למחר מעבירה ע""ג עיניו ואינו חושש ואסיקנא דבערב תשעה באב שורה במים ועושה כמין כלים נגובים וערב יום כפורים מקנח בה ידיו ורגליו ולמחר מעבירה על גבי עיניו ואינו חושש אבל אין שורה במים מעיקרא (@66ב) דחייש לסחיטה בשעה שמעבירה ע""ג פניו וכן הילכתא"
