tikkun,daf,paragraph,line,phrase,formatting,footnotes
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,0,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,0,"In the beginning,",Formatting.BOLD_ITALICS,"FootnoteType.CITATION/None[In the beginning,]:Gen.1:1"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,0,ELoQYM,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,0,created…,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,1,Be-REiShYT‹In-the-beginning›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,2,– He is,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,2,"One, that is not revealed,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,3,and He created two.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,4,"They are two, and they are",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,4,the letter,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,4,Beit◘‹◘,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,4,ב›‹2›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,5,–,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],0,5,and they are two hidden worlds.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,0,And with what did He create them?,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,1,"With one hidden point,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,2,–,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,2,it is,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,2,called,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,2,"reishyt‹beginning›,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,3,and about it is stated:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,3,"You have made all of them,",Formatting.ITALICS,"FootnoteType.CITATION/None[You have made all of them,]:Ps. 104:24"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],1,4,with wisdom‹ḥokhmah›.,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,0,"And the two hidden worlds were not revealed,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,1,until He had made for them two garments.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,2,And what are they?,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,2,…the heavens and the earth…,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,3,…the heavens…,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,3,"– a garment for the Higher world,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,4,"which was created with the Higher point,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,5,…and the earth,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,5,"– a garment for the lower world,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,6,which was created by,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,6,the Name,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,6,"ELQYM,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,7,which,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],2,7,is Higher Mother.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,0,Yod◘‹◘י›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,0,– ‘beginning’‹reishyt›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,0,"it is called,",,
