masechet,chapter<=,chapter=>,vilna<=,vilna=>,lieberman<=,lieberman=>,add
Berakhot,5,5,26,100,25,100,1
Berakhot,6,6,1,100,0,100,1
Shabbat,3,17,1,100,0,0,-1
Shabbat,18,18,1,11,0,0,-1
Shabbat,17,17,0,0,20,100,1
Eruvin,1,1,9,100,12,100,1
Eruvin,2,3,0,100,0,100,1
Eruvin,4,4,1,2,1,3,1
Eruvin,4,4,3,100,4,100,2
Eruvin,5,5,1,14,1,18,2
Eruvin,5,5,15,100,19,100,3
Eruvin,6,100,0,100,0,100,3
Pesachim,2,3,0,100,0,100,-1
Pesachim,4,4,1,10,1,12,-1
Yoma,2,2,9,100,9,100,1
Yoma,3,100,0,100,0,100,1
Rosh Hashanah,1,1,15,100,16,100,1
Rosh Hashanah,2,2,1,3,1,4,1
Rosh Hashanah,2,2,4,100,5,100,2
Taanit,2,2,11,100,13,100,1
Taanit,3,3,0,100,0,100,1
Megillah,2,2,7,100,12,100,1
Megillah,3,3,0,100,0,100,1
Ketubot,12,12,9,100,4,100,1
Gittin,3,3,5,13,4,10,1
Gittin,3,3,14,100,11,100,2
Gittin,4,100,0,100,0,100,2
Moed Katan,1,1,12,12,8,8,1
